geneNames	GSM5176138	GSM5176139	GSM5176140	GSM5176141	GSM5176142	GSM5176143	GSM5176144	GSM5176145	GSM5176146	GSM5176147	GSM5176148
A1CF	424.737	1264.91	315.944	266.637	258.322	809.09	900.768	1341.78	164.811	397.494	265.546
A2M	2102.77	9010.97	4359.98	3401.61	4322.84	6263.1	6219.24	8920.42	4646.96	7585.62	4630.6
A4GALT	170.529	362.135	37.6772	68.2033	172.23	161.111	237.538	463.154	167.009	197.252	78.8315
A4GNT	288.341	850.545	167.555	172.216	63.412	471.785	354.401	408.314	122.132	160.702	160.958
AAAS	185.652	1062.54	86.2197	218.425	130.058	96.8776	111.294	279.901	80.2126	49.1251	142.491
AACS	357.668	1183.4	453.92	472.999	650.326	631.844	673.071	1866.25	438.257	609.777	367.892
AADAC	63.8213	105.795	57.7148	17.4771	48.2257	276.602	71.9095	97.8634	7.73382	19.8568	16.8631
AAGAB	67.182	268.368	83.1586	63.5066	72.3338	59.5641	145.87855	209.8385	114.3858	174.4096	71.7498
AAK1	104.2382	391.4581	98.057784	81.28892	135.576062	262.23456	177.41524	252.8796	80.859438	156.28152	64.663818
AAMDC	297.5358	534.875166666667	206.1253	162.602266666667	168.663406666667	246.316133333333	337.953	487.689666666667	118.807403333333	299.2845	142.529106666667
AAMP	542.994	2295.13	1114.2	592.727	739.037	713.993	418.142	1786.53	596.755	458.922	304.247
AANAT	8.97422	38.7956	7.4194	16.1015	9.18102	31.901	28.9874	59.7051	7.67515	13.9035	23.6979
AAR2	506.527	1838	548.093	505.858	475.079	701.309	837.277	1728.16	529.647	723.124	441.777
AARS	1994.47	7424.99	2048.72	1327	2190.83	2652.06	1889.31	4144.1	1381.3	1788.92	1061.66
AASDHPPT	435.9635	1137.485	517.8885	318.0635	429.9705	410.698	347.765	1101.6175	541.9145	617.0055	237.698
AASS	261.2435	377.521	218.3585	115.75395	155.686	49.5006	91.7549	141.0364	103.80635	111.57725	90.27485
AATF	897.341	2379.68	754.333	503.074	549.444	801.377	656.813	1114.36	397.081	446.688	271.209
AATK	110.453	201.871	138.854	41.486	173.244	515.725	142.284	200.674	181.046	169.29	199.029
ABAT	153.075666666667	445.592	80.1864	101.129766666667	146.019666666667	71.09682	200.346133333333	186.874866666667	87.2943333333333	70.6679	47.0332
ABCA1	346.171333333333	756.764333333333	287.719133333333	252.2376	325.398	178.9952	190.368666666667	302.759233333333	137.5324	181.0856	125.9152
ABCA11P	49.3451	282.473	127.318	51.0383	61.6044	97.7094	78.2561	198.475	119.077	185.382	80.6729
ABCA12	85.1104	157.082	38.5988	89.3512	61.0505	71.0519	130.214	13.4512	40.8931	64.183	57.3521
ABCA2	98.1072333333333	301.556566666667	104.3737	110.208613333333	86.7133666666667	179.183533333333	172.9476	370.4734	96.7054	161.466866666667	77.32996
ABCA3	164.405	360.487	129.816	43.2877	107.277	52.7568	231.314	406.302	87.9169	163.205	85.5038
ABCA4	22.2734	169.348	32.2099	38.2278	37.7969	134.95	132.652	128.412	32.602	63.8318	23.2009
ABCA5	787.329	3005.49	1726.3	1031.42	1660.8	942.323	769.869	1955.44	991.796	1205.8	884.544
ABCA6	216.421	384.113	211.339	149.454	187.607	96.3669	110.604	232.438	115.515	12.8192	58.6996
ABCA7	158.597	307.526	94.6594	176.114	174.655	94.8774	186.059	271.239	205.362	193.537	55.0879
ABCA8	145.968	388.463	122.609	114.156	163.845	220.192	248.829	1017.75	187.344	494.817	187.787
ABCB1	111.845	323.098	93.3199	72.5283	28.3646	149.542	224.182	54.4293	63.7513	22.0055	38.5345
ABCB11	78.38235	53.4321	76.589765	25.05525	27.83755	136.7686	122.78685	102.2397	15.42415	30.80975	51.51995
ABCB4	18.2673	26.1238	11.1858	74.4613	16.4141	123.596	118.475	97.1161	61.3942	90.167	37.9202
ABCB6	90.60185	494.26925	120.866035	197.415075	182.95859	102.6195	117.00865	106.1444	97.63611	176.00278	120.82975
ABCB7	272.405	759.539	272.099	244.296	359.532	264.392	47.8818	455.891	159.357	237.359	141.497
ABCB8	10.8476	56.2846	21.1808	6.98735	9.02467	104.243	32.2217	44.7018	10.369	9.53059	13.246
ABCB9	118.5005	303.74	80.39675	17.5083	105.0695	114.8545	148.80025	193.3765	77.20115	82.7295	62.5832
ABCC1	375.7485	2746.91	795.3605	603.588	753.46	1059.3775	689.3255	2153.985	640.8975	924.5895	401.747
ABCC10	96.29745	510.3125	223.4195	148.5095	252.746	322.434	337.513	819.478	292.25	393.9465	139.8595
ABCC2	20.8394	39.0856	15.3011	69.8136	37.2415	40.7591	193.867	499.61	48.6459	30.2088	7.07008
ABCC3	45.0724	77.33425	19.26645	22.54295	11.8854	42.9826	57.3631	100.26875	80.56905	30.61075	19.1644
ABCC4	87.304	410.788	137.802	133.728	103.385	115.263	139.963	522.117	196.924	293.861	139.524
ABCC5	334.492	1098.05	348.775	234.492	336.025	798.155	577.816	1406.55	312.095	614.605	155.383
ABCC8	40.93265	201.9355	49.5443	32.9816	29.35525	84.54975	79.66515	83.9254	33.7789	41.6778	16.4595
ABCC9	112.468033333333	290.2271	41.9913	62.8162333333333	79.8846666666667	138.474	242.066666666667	276.669666666667	55.3829333333333	100.109	54.4056666666667
ABCD1	240.53	728.054	360.116	206.206	328.531	348.521	403.834	935.24	317.788	352.679	156.202
ABCD2	109.734	140.525	53.6091	50.3631	6.45672	26.6716	26.5789	110.816	31.4374	17.8307	15.7278
ABCD3	95.5134	639.726	288.037	246.859	284.693	251.783	368.305	1083.1	475.682	651.038	204.974
ABCD4	106.8161	441.7905	151.6905	98.4706	175.634	142.8628	237.944	500.915	122.11145	130.61905	143.05295
ABCE1	396.962	1189.6525	435.135	323.3405	372.525	416.3525	355.831	1042.739	580.438	654.8845	355.8895
ABCF1	531.519	2394.39	729.065	445.084	643.846	1370.36	1250.47	2518.88	667.743	751.166	400.131
ABCF2	165.92224	648.1257	203.47638	147.79118	223.38318	281.31558	222.95846	586.2716	198.247	246.936	122.37796
ABCF3	297.757	1923.46	346.446	495.074	460.423	844.28	837.299	1402.98	294.853	582.97	338.049
ABCG1	161.9255	384.6985	46.199865	52.1532	54.97335	203.5314	177.078	316.4065	66.36335	104.74535	55.38255
ABCG2	165.549	437.476	132.925	81.8899	125.47	155.611	191.884	293.417	116.522	147.414	106.18
ABCG4	35.1408	554.297	108.886	114.296	162.879	280.609	228.035	609.137	125.321	256.363	85.9578
ABCG5	73.1526	25.9318	19.6612	3.81903	8.35543	41.7076	93.2399	149.619	5.63929	83.8746	53.314
ABHD10	961.582	3523.44	800.504	746.769	907.074	1026.33	889.32	2804.62	798.417	929.561	635.677
ABHD11	257.327	797.426	215.823	228.527	311.314	413.347	394.998	1117.51	250.293	402.808	132.691
ABHD17A	762.924	2122.8	934.522	787.07	873.143	571.709	1167.24	1987.27	980.422	1011.35	557.875
ABHD17B	176.227	598.178	69.1497	43.6379	95.8464	377.159	206.488	685.242	90.0901	137.505	78.6441
ABHD2	183.403	750.785125	204.32885	236.16375	143.7922775	397.689625	366.39195	1094.31225	269.70725	425.12125	205.2987
ABHD3	134.68	281.404	157.953	113.764	66.0421	178.457	181.062	256.691	144.777	92.1605	54.5589
ABHD4	843.687	2860.49	852.756	834.796	746.614	1086.81	1230.28	2098.14	865.019	922.134	336.053
ABHD5	142.677133333333	391.325	119.8241	68.7932333333333	74.2032333333333	248.170333333333	201.443933333333	304.649666666667	156.94	155.151033333333	76.3141333333333
ABHD6	112.785175	200.56725	70.2936	53.908445	79.40745	121.2878	140.4211	119.135175	88.77565	105.524375	47.3407
ABHD8	33.0164	69.6067	28.768	99.8146	46.5324	80.8247	175.046	36.314	24.6038	197.072	58.3056
ABI1	261.569	1008.443	421.7025	286.9995	391.7025	715.953	329.4535	1115.2245	478.895	536.537	272.4925
ABI2	291.2193475	1122.119225	284.6182875	190.355025	210.2745425	399.25235	436.6249	1053.137875	365.31425	306.8546	214.3380725
ABI3BP	160.671	181.873	115.024	84.7912	67.5456	84.0957	31.8281	511.286	157.703	184.249	101.249
ABL1	993.246	3644.23	1245.16	593.819	1007.14	653.037	485.62	1856.83	568.842	877.138	316.796
ABL2	375.247	1023.86	324.385	359.39	210.353	794.113	487.088	925.261	431.574	297.639	124.881
ABLIM1	240.974	798.73	224.38565	281.37	306.01245	360.6585	390.936	578.0985	236.754	291.5875	203.09515
ABLIM3	14.6901	59.9813	19.6881	21.6353	13.4909	44.983	41.9469	124.655	19.6642	34.6375	4.66151
ABO	33.31005	114.32205	17.4515	78.3322	43.96615	110.1615	123.80935	85.8188	35.52565	50.0704	38.296035
ABR	406.8895	1453.31	479.72	468.3616	661.567	737.1395	815.0595	1602.301	693.285	717.7885	413.705465
ABT1	360.379	1118.01	291.755	134.518	345.91	251.83	188.499	668.24	443.716	485.867	223.715
ABTB2	323.421	1276.59	341.713	248.262	509.165	682.177	489.069	1259.84	312.392	434.258	209.585
AC003989.4	110.309	328.826	115.59	137.171	83.3596	178.44	166.039	140.583	118.797	99.0634	39.1975
AC004692.5	400.854	1063.55	623.744	522.677	873.94	637.445	614.154	762.993	700.523	494.162	361.476
AC004941.5	33.7663	347.236	40.637	135.102	39.4057	59.8185	108.138	361.813	50.4482	188.555	27.0796
AC005838.2	135.919	360.075	21.1554	101.326	19.5453	175.641	157.409	345.197	59.217	113.672	16.997
AC007292.3	185.404	81.2535	18.8267	78.8327	133.247	141.819	41.1179	138.844	180.117	126.931	10.5228
AC007389.3	151.669	470.071	140.481	173.605	163.494	358.945	552.038	1282.95	234.488	322.035	234.98
AC012065.7	164.099	717.945	205.979	169.34	203.219	257.457	184.524	530.12	179.705	197.409	87.158
AC068039.4	110.274	232.114	115.266	108.706	110.902	176.484	254.644	391.722	187.21	167.035	88.0992
