geneNames	GSM1339618	GSM1339619	GSM1339620	GSM1339621	GSM1339622	GSM1339623	GSM1339624	GSM1339625	GSM1339626	GSM1339627	GSM1339628	GSM1339629	GSM1339630	GSM1339631	GSM1339632	GSM1339633
A1CF	263.8	282.5	306.6	325.5	274	254.8	384.2	370.6	219.7	187.7	196.9	260.5	271	205.4	283.7	266.8
A2M	6556.4	4880.5	5882.8	6705.5	5939.3	6940.2	5729.1	6141.6	5821.3	5898.5	6246.6	5707.8	5400.1	6058.7	6504.4	4884.2
A4GALT	273.8	207.8	179.1	246	313.8	460	161.2	227.3	163.9	231.1	282.6	358	275.9	385.7	207.8	140.2
A4GNT	216.2	144.7	181.1	226.1	183.8	195.9	191	266.8	224.3	159.6	165.3	165.8	212.1	142.4	173.2	163.6
AAAS	303.5	256.1	190.2	194.1	261.9	221.8	190.4	226.3	207.4	145	239.1	242	149.7	216.1	286.3	180.1
AACS	414.3	496.5	492.6	328.2	517.6	407.1	386.3	581	642	365.2	524.4	513.6	585.9	319.9	508.2	528.2
AADAC	18.6	48.8	23.9	20.2	21.7	36.8	28	32.4	33	30	18.8	16	16.7	13.3	20.8	27.3
AAGAB	216.2	169.95	184.5	233.6	249.25	199.75	275.05	204.4	299.9	202.3	114.65	135.15	171.25	154	132.6	218.75
AAK1	198.76	169.36	154.46	203.52	209.7	172.34	150.46	166.92	193.22	121.8	158.36	167.92	196.4	175.58	142.62	150.16
AAMDC	206.533333333333	267.166666666667	200.733333333333	208.666666666667	214.233333333333	282.933333333333	260.766666666667	241.133333333333	226.8	240.433333333333	258.933333333333	268.8	322.333333333333	339.833333333333	337.266666666667	337.7
AAMP	567.4	464.1	491.4	409	556	524.7	685	601.9	609.6	590.5	569.7	364.7	367.3	576.1	446.3	621.9
AANAT	14.4	7.4	10.7	5.7	4.5	7.4	16.3	10.4	6.8	6	3.3	10.9	23.2	6.6	8.3	7.1
AAR2	644.2	597.7	491.2	711.2	636	708	679.5	680.2	655.3	640.2	527.2	662.3	685.1	533.6	647.4	643
AARS	2233.6	1686.6	1647.7	1754.3	2237.5	1574.2	1643.8	1788.8	2220.4	1568.9	2156.5	1897.4	1709.3	2320.6	1782.8	1482.6
AASDHPPT	873.4	744.6	726.05	499.4	706.7	643.8	814.15	658.55	623.9	766.7	684.65	595.95	592.15	594.75	676.8	758.1
AASS	117.1	93.45	79.85	59.15	73.05	61	7.35	44.3	50.4	33.4	111.6	32.6	62.95	63.2	69.75	43.75
AATF	600.4	869.3	1258.4	1058.5	1032.9	757.5	773.2	542.3	835.4	369.1	797.4	643.3	542.8	397.6	653.4	670.6
AATK	299.2	260.9	190.6	223.6	285	394.6	284.8	414.7	281.3	207.5	181.8	274.5	304.9	206.3	313.4	202.3
ABAT	98.5	151.333333333333	173.933333333333	174.133333333333	150.633333333333	86.4	201.2	141.7	176.7	90.7	134.933333333333	169.566666666667	144.6	89.2333333333333	180.2	200.266666666667
ABCA1	734.066666666667	1611.63333333333	943.933333333333	757.133333333333	541.366666666667	617.266666666667	1325	1188.66666666667	758.966666666667	827.833333333333	706.366666666667	690.7	636.2	460.966666666667	722.633333333333	848.6
ABCA11P	160.1	130.1	113.1	79.4	101	158.4	125.6	123.1	64.3	48.5	76.5	142	92	96.7	113.3	185.6
ABCA12	30.7	36.6	31.8	56.3	27.9	30	18	65.1	8.9	17	30.9	14.7	28.9	40.3	8.4	33.3
ABCA2	238.8	227.933333333333	213.3	211.533333333333	181.666666666667	181.333333333333	158.033333333333	124.4	114.433333333333	139.466666666667	272.266666666667	205.9	233.033333333333	235.933333333333	200.533333333333	140.433333333333
ABCA3	179	127.3	130.1	108.4	72.5	54.5	107.8	41.8	34.8	88.2	163.2	153.6	130.9	158.2	124	63.7
ABCA4	30.6	28.6	81.1	71.3	27.6	70.5	37.1	40.3	45.3	50.2	32.4	23.6	59.2	103.2	52	83.3
ABCA5	387.3	353.8	207.9	246.8	191.9	215.5	154.8	268.1	136.6	106.1	219.4	261.8	197.3	274.9	159.7	197.8
ABCA6	161.9	310.3	348	308.4	141.1	242.7	540.1	317.5	187.8	192.8	122.7	371	313	268.8	529.3	393
ABCA7	270.4	267.7	211	217.9	167.3	214.9	224	151.8	205.8	149.4	123.3	186.6	189.7	88.2	124.8	141.1
ABCA8	1160.5	1614.3	818.6	746.6	351.3	1655	733.9	549.2	210.5	24.1	815	2583.4	1627.8	1214.5	2157.7	1341.1
ABCB1	294.6	194.3	271.5	224	196.6	257.7	126.4	268.2	178.7	93	225.2	208.4	176	107.1	201.3	142.1
ABCB11	11.45	44.45	22.85	38.65	12.45	40.25	47.7	48.05	33.15	57.35	17.85	31.75	35	29.95	27.65	40
ABCB4	104.4	40	68.1	8.9	57.9	88.8	56.1	45.1	22.6	49.3	38.5	18	47.7	25.9	117.4	57.5
ABCB6	270.4	191.95	212.95	179.85	212.8	202.3	163.85	127.6	108.4	203.55	202.85	252.95	252.7	182.65	226.55	172.4
ABCB7	304	414.8	428.8	311.6	367.2	262.1	423.1	417.5	357.7	401.8	342.8	316.8	320	345.8	382.7	372.5
ABCB8	23.6	52.2	7.4	67.3	29.1	10.3	49.9	13.9	58.8	35	82	37	21.5	41.2	16.5	24.2
ABCB9	54.2	58.5	70	23.75	35.4	84.15	28.85	39.5	27.5	22.45	36.95	49.55	21.75	34.75	22.2	23.7
ABCC1	589.55	504.45	603.8	469.45	624.55	478.15	589.4	561.75	429	479.5	448.85	466.8	486.65	488.1	558.1	396.65
ABCC10	580.35	331.35	405.45	304.85	496.6	318.6	402.4	335.75	413.5	410.8	266.15	268.75	285.35	273.9	333.65	318.25
ABCC2	63	131.7	35.8	39.8	14	158.9	138.2	90.8	49.8	5.9	12.3	261.1	98.4	74.8	188.8	6.9
ABCC3	258.75	272.35	138.6	248.85	109.4	35.1	245.35	118.55	178.85	124.7	230	186.35	379.8	103.6	114.1	430.5
ABCC4	300.6	305.2	384.2	338.7	492.8	256.3	408.9	320.3	468.7	337.6	253.1	180.2	209.5	211.3	272.7	202.1
ABCC5	679.7	705.1	625	610.6	467.9	479.9	674.4	441.2	386.7	405.7	449.3	464.5	610.5	518.8	587.2	541.1
ABCC8	11.05	14.85	11.4	12.55	15.25	15.85	19.6	15.8	8.85	12.1	12.2	16.15	15.75	18.1	16.5	18.55
ABCC9	157.266666666667	192.966666666667	182.233333333333	147.9	196.033333333333	208.333333333333	153.733333333333	167.033333333333	134.4	148.866666666667	180.1	234.3	141.1	106.1	257.433333333333	163
ABCD1	497.4	486.5	466.5	316.6	372.8	349.5	516.2	371.4	419.6	316.3	293.4	479.4	321.3	345.6	270.4	409.5
ABCD2	77.3	111.4	62.5	114	86.3	48.9	46.3	111.3	90.3	42.9	37.9	83.1	86.5	32.1	68.6	69.9
ABCD3	713.2	578.8	511.5	458.4	397.2	456.4	486.9	529	499.7	578	478.2	584.2	600.2	670.3	646.7	698.8
ABCD4	210.75	289.85	245.5	188.65	133	180.85	146.7	141	222.35	194.6	170.95	139.7	235.7	140.85	155.55	183.25
ABCE1	741.55	615.95	595.3	610	630.3	825.05	576.1	695.25	575.65	702.25	608.65	526.6	600.6	593.9	545.65	761.65
ABCF1	1212.6	1150.7	1267.5	1159.4	1100.9	1157.8	1093.6	1271.6	1415.8	1147.5	874.8	1099.6	1188.9	1011.5	1257.1	1204.1
ABCF2	278.9	205.12	221.56	230.92	276.66	250	216.96	288.24	290.44	241.66	210.38	217.36	233.58	189	222.82	250.3
ABCF3	677.7	451.9	423.3	431.2	603	511.8	500.1	373.6	486.8	372.5	404.5	551.5	497.9	231.2	505.5	366.6
ABCG1	478.25	741.8	545.75	644.3	580.2	567.95	814.65	869.1	841.75	576.05	465.4	352.6	391.15	270.05	465.35	431.25
ABCG2	320.6	246	246.5	253.5	204.5	280	144.9	165.8	248.3	108.8	219.3	233.2	229.3	248.2	303.1	236
ABCG4	149.8	152.3	169.1	142.4	203.9	192.6	136.2	280.1	123.4	144.1	106.8	157.8	164.4	79.2	105.6	163.1
ABCG5	8.4	19.3	14.6	9.4	14.4	18.7	21.8	30.4	3.7	35	7.7	29.6	61.3	7.3	3.3	45.3
ABHD10	1580.6	1221.1	1089.2	972.8	1140.1	805.2	1314.2	1065.5	1344	914.8	1096	1183.2	1072.2	1052	1142.1	1372.1
ABHD11	422.4	422.2	393.1	386.6	477.6	391.6	516.1	329.3	380.9	245.3	280.8	417.8	485.4	406.3	391.9	482.2
ABHD17A	1153.6	1130.5	1125.5	1247.8	1255	1185.4	1213.8	1016	1324.4	1492.4	1031.1	1137.4	1142.6	1253.7	1230.7	1187.9
ABHD17B	200.2	270.7	275.2	275.1	291	220.6	257.1	307.5	295.8	301.7	185.5	257.6	244.8	260.4	247.5	194.7
ABHD2	291.2	395.1	376.05	374.825	412.325	311.925	447.675	329.525	395.5	471.925	483.575	601.05	433.75	501.375	370.925	276.9
ABHD3	398.2	476.2	306.9	597.6	175.7	177.2	320.1	176.2	717.1	381.2	351	186.5	294.1	158.1	261.7	503.1
ABHD4	769.3	1017.4	1145.6	815.9	932.6	735.4	1133.7	512.8	758.2	1064.7	749.5	845.1	856.9	990	964.9	772.2
ABHD5	167.933333333333	224.966666666667	162.766666666667	142.633333333333	140.233333333333	168.3	176.6	257	132.733333333333	169.1	125.166666666667	172.033333333333	174	158.4	188	192.9
ABHD6	184.1	251.375	187.875	270.525	240.325	219.975	196.95	217.3	178.4	163.375	309.75	292.5	293.05	193.1	236	216.25
ABHD8	76.5	91.3	102.7	31.1	44.3	33.2	80.2	21.1	17.9	74.6	94.7	113.8	111.1	141.1	59.8	22.1
ABI1	869.8	901.8	1250.45	927.2	911.65	940.4	1476	792	971.8	1071	772.05	790.2	927.9	788.3	851.55	895.15
ABI2	402.975	262.175	259.675	252.475	326.475	316.175	268.875	203.65	222.375	286.1	258.975	298.8	336.35	261.175	184.475	226
ABI3BP	99.8	62.1	90.5	44.1	27.5	33.9	13.5	59.2	61.1	21.4	46	66.6	78.9	47.7	22.4	84.4
ABL1	1722.4	1168.2	1236.5	1061.4	1252.3	1343.8	1194.4	1873.1	1265.1	1765.6	1562.6	1520.9	1309	1746	2345.8	1340.6
ABL2	202.7	162.6	153	191	134.6	207.5	286.2	195.9	172.9	151.9	105.9	181.5	230.5	153.4	210.8	143.5
ABLIM1	1050.55	1516.3	1378.8	1056.45	754.65	1403.15	806.55	871.85	691.95	764.5	965.4	2063.95	1413.5	1569	1722.95	1359.2
ABLIM3	567.2	387.9	392.8	649.7	514.5	491.4	288.5	401.2	322.4	324.9	325.1	357	311.4	463.2	361	282.1
ABO	90.7	17.2	33.7	24.7	103.1	114.85	102.5	158.6	65.95	93.35	76.45	77.05	76.1	76.95	21.05	77.4
ABR	681.2	894.25	993.7	605.4	581.65	663.5	761.2	650.7	484.65	739.15	670.95	901.1	940.55	853.8	767.85	595.3
ABT1	405.5	355.7	373.6	291.3	554.6	528.2	456	478.6	558.4	481.6	479.9	273.2	361.6	475.6	380.5	404.5
ABTB2	162.3	195.9	148.7	49.3	95.4	137.7	120.4	119.2	129.6	119.3	159.1	185	200	182.7	160.5	212.6
