id	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
GSM5176138_Control	0.0369256038291374	0	0.0341076157455405	0.0294935904263143	0	0.122176028643175	0	0.00150924460882284	0.0378251406000414	0	0	0.0309666544125252	0.083397893334319	0.0347160271328089	0.0642612920657124	0.269190335827748	0.0428876553635521	0	0.183893712280658	0	0.0130002248532545	0.0156489808763906
GSM5176139_Control	0.0652093733370693	0	0.019480296725392	0.0387974907277633	0	0.187774958716253	0	0.0378570230568361	0.0129706260392352	0	0	0.0131990914474767	0.073124047190562	0.039387917137171	0.0624815567579611	0.27318102398209	0.0268377608083383	0	0.1130649825642	0	0	0.0366338515096519
GSM5176140_Control	0.0518146478963042	0.00763811816647101	0.0985723681164487	0.000612486979679827	0	0.00962604671569482	0.0260278601204181	0.0536775866199093	0.0362067162457549	0.0815378610491722	0	0	0.0691223475040714	0.0561515101881807	0.0820142237285714	0.255312360042615	0.0387035061140169	0	0.104773845839639	0.0194566432518364	0.00834997552621294	0.000401895895003983
GSM5176141_Control	0.0818667505210044	0.0730009231314507	0.0521595747098344	0.0603464708225859	0	0.0603399061192251	0.0121231791991056	0.0106577550278649	0.0400952447452203	0	0.0301433894934193	0	0.0258901897645685	0.0368965989780429	0.0830313870293385	0.272354243047118	0.0259570826478288	0	0.0991529465861008	0	0	0.0359843581772916
GSM5176142_Control	0.0199627402397436	0.027447070114102	0.0529396251580203	0	0	0.0669120480648069	0	0.0455423696224357	0.0339879639262312	0	0.0399182134236379	0.0193398347554802	0.0410619737198726	0	0.0798367672561306	0.386725752604439	0.00264917239531889	0	0.143052828528819	0	0	0.0406236401909622
GSM1332201_Control	0.0351504016551007	0	0.0131607147984343	0.00624610348065142	0	0.131699114064699	0.0164814014570575	0.0173195764360092	0	0	0.0218770019880253	0	0.0322331331414761	0.00310806070318079	0.0425597196324488	0.440649117981231	0.0396635739224765	0	0.0724390613693477	0.0489506292540331	0.00210262193091906	0.0763597681849092
GSM1332202_Control	0.00618262944764534	0.0276407643904902	0.000956913870669939	0.0134144812857334	0	0.100438375015728	0	0.0155672602008843	0.0320935504536134	0	0	0.0530520022054637	0.0664317519282571	0	0.0410598850337446	0.463958131277356	0	0	0	0.167135661590475	0	0.0120685932999393
GSM1332203_Control	0	0.0558689473300324	0	0	0	0.211776145500585	0	0.003351664931367	0.00753434631052988	0.0478365615707709	0	0.0519959619645776	0.0231663701471577	0	0.0594254054648619	0.30132087249573	0.0519795052738945	0	0.0171729960787231	0.161119243972213	0	0.00745197895955646
GSM1332204_Control	0	0.042962880032564	0.00962423507445967	0	0	0.167352529794358	0	0.00456839059073142	0	0.0456996457830511	0	0	0.0409455690952417	0.0394913998073734	0.0537920462796412	0.37558022995618	0.0321047419196743	0	0	0.166489687756961	0.00358793997006853	0.0178007039396951
GSM1332205_Control	0	0.0535231361092933	0.00601061330786715	0	0	0.150309958718451	0	0.0306574804624792	0.0197081027415387	0.0400167391926093	0	0.00205146505052129	0.0742595129506785	0	0.0693202811713058	0.24321383940358	0.00824655717526099	0	0	0.29531190240123	0	0.007370411315184
GSM1332206_Control	0.0243652381984183	0	0.00500773692154529	0	0	0.146698038126954	0	0.0514866158674186	0.00751455042823636	0	0	0.0968297983062126	0.0207376285741553	0	0.0348535126327318	0.33056885183495	0.00435934033148999	0.0117028199576531	0	0.208498194802616	0.0425687480040872	0.0148089260135327
GSM1332207_Control	0	0.0423548628794001	0.0234189979122623	0	0	0.0797673944143691	0.00737355908489263	0.0286385887599845	0.0258168048094284	0.0487408816930711	0	0.0428502235845511	0.0640945810519277	0	0.226213538976366	0.244772625483326	0.0365441400118759	0	0.0338577559510667	0.065691545239591	0	0.0298645001478879
GSM1332208_Control	0.047436679273537	0.0272967486645351	0	0	0	0.185730297197426	0	0.0177410412004193	0.0476167481626391	0	0.0418704454475753	0	0	0.0168348186283909	0.0859816787961475	0.204661516297092	0.0120843995560768	0	0	0.309530694868479	0	0.0032149319076821
GSM1332209_Control	0.0425823395023114	0	0	0.0230941359302786	0	0.0986544056807416	0.0104944562928366	0.0249663438351639	0.0100706309253923	0	0.00329584936972347	0.0222853402548785	0.0369584621424952	0.092760753294409	0.0398600116038858	0.436876696547176	0.0065651254488557	0	0.131128419197758	0	0	0.0204070299740935
GSM1332210_Control	0	0.0803708452087199	0.0133195440689664	0.00987209840295892	0	0.193097034800315	0.0182841264809028	0.00604968460924895	0.00261983292895812	0.0493038447104356	0	0.0349298231045372	0.0137933391351158	0.0294615092083693	0.158483066701786	0.19898310092687	0.074313258828809	0	0.0659300433348104	0.0446947800605249	0	0.00649406748867206
GSM1337304_Control	0.056887207840617	0	0.039656446176214	0	0.104514071239054	0.0317935090160502	0.0608912329308726	0	0.00555285846400668	0.0607417804486826	0.0330787965821787	0	0.0129081399084197	0.207016063913426	0.0298053379499632	0.186354502792383	0.00131373187151083	0	0.143598335479559	0.0159091731892517	0	0.00997881219781122
GSM1337305_Control	0.0315060465448056	0	0.00570468607406602	0.089165174576436	0	0	0	0.00855541725776895	0.0416658828727915	0	0.00480942494125396	0.0157242467071011	0.0783476790362802	0.010802598585683	0.030881485646552	0.545820570865282	0.0237904470755625	0	0.104943956062962	0	0	0.00828238375345481
GSM1337306_Control	0.0304863109708878	0	0.0284683084578693	0	0	0.164474649584189	0.0124900168488428	0.0122465357946365	0.0131273972771066	0	0	0.0551206339455889	0.066267042348051	0	0.0562244240045045	0.304808630113668	0.0159587219748409	0	0.193848976757003	0	0.015920793377555	0.0305575585452577
GSM1337307_Control	0	0.0108366656466827	0.00107316474654036	0	0	0.0425673547227932	0.0176882227470252	0	0.0119189604354927	0.0403319894164811	0.0144404151542804	0	0.154845598003698	0.0457541441872792	0.00681809823002747	0.0565292693629641	0.0154392901013571	0	0.0431472311943754	0.00301389131030376	0	0.5355957047407
GSM1337308_Control	0	0.0624357907954351	0.0349544215837753	0.0152829576284178	0	0.0865059144564452	0.0459897277782205	0.023472819077647	0.00946457937045405	0.0412526781108529	0.0095358201012003	0	0.0644470928803582	0	0.0889661346612331	0.283421035004864	0.0294806197236657	0	0.0410394822247837	0.156759633940474	0	0.00699129266217257
