ID	GSM5176138_Control	GSM5176139_Control	GSM5176140_Control	GSM5176141_Control	GSM5176142_Control	GSM1332201_Control	GSM1332202_Control	GSM1332203_Control	GSM1332204_Control	GSM1332205_Control	GSM1332206_Control	GSM1332207_Control	GSM1332208_Control	GSM1332209_Control	GSM1332210_Control	GSM1337304_Control	GSM1337305_Control	GSM1337306_Control	GSM1337307_Control	GSM1337308_Control	GSM1337309_Control	GSM1337310_Control	GSM1337311_Control	GSM1337312_Control	GSM1337313_Control	GSM5176143_Treat	GSM5176144_Treat	GSM5176145_Treat	GSM5176146_Treat	GSM5176147_Treat	GSM5176148_Treat	GSM1332211_Treat	GSM1332212_Treat	GSM1332213_Treat	GSM1332214_Treat	GSM1332215_Treat	GSM1332216_Treat	GSM1332217_Treat	GSM1332218_Treat	GSM1332219_Treat	GSM1332220_Treat	GSM1337327_Treat	GSM1337328_Treat	GSM1337329_Treat	GSM1337330_Treat	GSM1337331_Treat	GSM1337332_Treat	GSM1337333_Treat	GSM1337334_Treat	GSM1337335_Treat	GSM1337336_Treat	GSM1339633_Treat	GSM1339632_Treat	GSM1339631_Treat	GSM1339630_Treat	GSM1339629_Treat	GSM1339628_Treat
ALDH3A2	9.591424	9.75256	9.366624	9.263815	9.191174	9.427947	9.096737	9.255062	8.635415	8.848412	9.013317	8.205383	8.390005	8.859479	9.037885	8.318198	9.145821	9.576785	8.074214	8.516527	9.515313	9.268084	9.610055	9.655634	9.503254	8.752238	8.804471	9.472146	8.886852	8.688281	8.954682	9.189659	9.625893	9.839603	9.629834	9.826136	10.012655	9.367517	9.5055	9.906432	9.861464	9.818077	9.393224	9.562368	9.515313	9.958762	9.140007	9.501707	9.265497	9.517377	9.225987	9.520842	9.792009	9.602527	9.95931	9.854719	9.205134
ATF3	8.562676	10.769939	9.984473	8.516963	10.215584	9.86814	10.356382	10.538258	10.490325	11.949365	11.539129	10.982119	11.075171	9.979181	10.617038	10.150255	8.806297	8.391091	9.727542	10.830484	8.758463	7.246004	11.299525	11.476109	12.004247	9.521831	8.139748	7.831741	8.132051	8.249379	8.203811	8.996393	8.253047	7.768776	9.869398	7.392844	8.087809	7.704264	7.793892	7.651721	7.640839	8.344187	7.887313	8.020234	8.439054	7.991269	7.53765	8.323815	8.341725	8.160954	6.987319	7.626309	11.855793	6.933942	8.444676	7.506659	7.782406
ATG16L1	5.077732	4.86379	5.159731	5.673838	5.178041	4.611977	5.187259	5.130528	6.845846	6.376618	4.322672	5.633844	6.149104	3.707648	4.720244	5.687833	6.002111	5.494348	5.695851	4.161534	3.925502	5.3208	5.723343	5.768899	5.714809	5.839959	5.629182	3.268184	5.174274	5.4141	2.507874	5.963053	4.476987	3.17003	5.422247	5.651841	3.635477	4.391095	2.851548	3.756999	4.812306	3.025361	4.318567	4.261974	5.677501	4.745828	4.244927	5.258028	3.538573	2.982136	6.066029	5.266356	5.941286	5.567947	4.587248	4.708259	3.171935
BRD2	9.990473	10.189948	9.8654	10.003782	9.724538	9.389629	10.018773	10.624889	10.23653	10.715402	10.1002	10.170902	10.339285	10.114435	10.176814	9.872833	9.883478	9.408674	10.16859	9.913239	10.467022	10.375829	10.63467	10.720007	10.215691	9.716876	10.180314	9.615028	9.590413	9.055629	9.528699	10.043609	9.658696	9.07189	9.284991	9.38499	9.413617	8.879233	9.451933	9.640136	10.093841	9.829725	9.553403	9.472939	9.288558	9.146481	9.413555	9.215307	9.202447	9.341966	10.16954	9.309012	9.601651	9.930172	10.174579	9.846917	10.162123
BRD4	9.445926	8.768002	8.471832	8.833244	8.974148	8.217606	8.96674	8.55434	9.057091	10.067788	9.014154	9.615976	10.283464	9.537619	9.672263	8.838959	8.761402	8.613449	9.220283	9.352371	9.812553	9.807115	10.024065	10.034292	9.483878	8.88723	9.357785	8.541745	8.371235	8.336006	8.878403	9.037482	8.442839	8.203193	8.086611	8.069126	8.117308	7.503614	9.045253	8.638875	8.930598	8.49102	8.486565	8.310712	7.935654	8.371954	8.933489	8.472392	8.139944	8.192004	9.560467	9.116244	9.028315	9.652373	8.556078	9.324839	9.123696
CDKN1A	9.599872	10.579252	10.27784	10.134931	10.701711	9.460664	10.886683	10.782749	11.266645	11.220013	11.01311	10.917717	11.524502	10.567802	10.264889	10.519307	8.96517	9.408067	11.841931	11.54282	9.909875	8.886947	10.64886	10.715299	11.506801	9.607717	8.776165	8.347871	9.454326	8.988882	8.706453	8.680258	8.556802	8.50672	9.006386	9.120325	8.333456	9.385521	9.308189	9.00143	8.571511	9.156831	9.011532	9.124993	9.446347	8.081966	8.804468	8.913197	8.743877	9.421475	9.149431	8.63404	8.990449	10.606046	8.780357	9.380041	9.583151
CDKN2A	7.021208	6.054128	6.64969	6.820391	5.618596	6.172912	5.959606	6.674885	5.124664	6.40306	6.684825	6.690922	6.909652	6.539225	6.896056	5.973537	6.402676	6.094193	6.691686	6.480002	7.086235	6.678957	6.280913	6.048347	6.090329	6.991475	6.294193	7.062697	6.937219	6.571564	7.077259	6.438815	6.60195	6.717981	6.217306	6.806447	6.899703	6.921729	6.705999	6.91644	7.050075	6.565852	6.571324	6.753071	7.165451	6.491188	6.969637	6.871738	7.251891	7.875986	6.836351	6.697377	6.245797	7.274677	6.403765	6.387912	6.968993
CYB5R1	10.079699	10.074614	9.953958	10.210104	9.972008	10.28554	10.363218	10.211051	10.077985	9.610551	9.792613	9.23856	9.59705	10.302745	9.946636	8.895653	10.219587	9.742468	9.687133	9.726591	10.117507	10.075514	10.019374	10.012385	10.106768	10.083597	9.702525	10.583508	10.003294	10.047348	9.869382	9.874707	10.226011	10.681827	10.410899	10.508359	10.620957	10.27986	10.144167	10.463224	10.396388	10.946311	10.218017	10.52152	10.497945	10.38558	10.556089	10.346618	10.524357	10.22166	10.052331	10.35564	10.521832	9.937687	10.497163	10.525728	10.475714
DAZAP1	8.388372	8.11021	7.959478	8.221711	8.139363	8.168248	7.897911	7.801377	8.566782	8.665698	7.652229	8.76629	8.776512	8.665473	8.09876	8.749396	8.364299	8.652582	9.167673	8.999413	7.877991	7.967741	7.914665	8.317796	8.193612	8.519744	7.288301	7.760326	8.045449	8.162242	8.204367	8.063837	7.697309	8.16358	7.57849	8.040128	7.601525	7.752012	7.676062	7.804174	7.960445	7.626425	7.732643	7.987434	8.006912	7.652711	7.910192	7.715373	8.082602	7.722281	8.021199	7.891836	7.486222	8.155407	8.044963	7.850641	8.397172
DDR2	9.825818	9.152443	9.112417	8.969819	9.017768	9.275692	10.773802	10.38716	9.296581	9.438611	9.347046	9.473805	9.877803	9.697099	10.174172	9.381809	10.008129	10.321371	9.178841	9.333201	10.076295	10.105965	10.365863	10.30405	10.098651	9.714061	10.102345	9.695739	8.408039	8.843814	9.03841	9.641735	9.562014	8.985995	9.72589	9.437313	9.349553	7.63547	8.887723	9.775625	10.087761	9.233824	8.918461	9.584602	8.155228	9.406151	8.501114	8.617965	8.323086	9.154443	9.593939	9.650226	9.640322	10.271818	10.155193	10.242107	9.063479
