"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CXCL12",0,2.73356540660188,0.964,0.391,0,"0","CXCL12"
"SFRP2",0,2.45328005412297,0.54,0.085,0,"0","SFRP2"
"IGF1",0,2.30677909343445,0.901,0.345,0,"0","IGF1"
"IGFBP4",0,1.95205120545769,0.957,0.624,0,"0","IGFBP4"
"SCG2",0,1.93427077877185,0.591,0.09,0,"0","SCG2"
"EFEMP1",0,1.93356030142211,0.982,0.597,0,"0","EFEMP1"
"SERPINF1",0,1.9065600998487,0.97,0.557,0,"0","SERPINF1"
"WISP2",0,1.69875662328654,0.968,0.54,0,"0","WISP2"
"SFRP1",0,1.64036106811028,0.757,0.211,0,"0","SFRP1"
"CP",0,1.61887155056224,0.8,0.266,0,"0","CP"
"FGF7",0,1.54255932752404,0.646,0.095,0,"0","FGF7"
"SLPI",0,1.53433504498804,0.396,0.052,0,"0","SLPI"
"C1S",0,1.4948396554462,0.999,0.806,0,"0","C1S"
"C1R",0,1.46495094500775,0.999,0.791,0,"0","C1R"
"COL14A1",0,1.37822324386408,0.948,0.469,0,"0","COL14A1"
"MMP2",0,1.29017231821615,0.976,0.55,0,"0","MMP2"
"VCAN",0,1.27941489039552,0.96,0.65,0,"0","VCAN"
"JUNB",0,1.24412265459437,0.996,0.984,0,"0","JUNB"
"GGT5",0,1.23918107156036,0.497,0.09,0,"0","GGT5"
"CFH",0,1.20821447525318,0.949,0.609,0,"0","CFH"
"SRPX",0,1.19723297401506,0.707,0.158,0,"0","SRPX"
"EPHX1",0,1.17357566629437,0.916,0.527,0,"0","EPHX1"
"PDGFRL",0,1.16994314398942,0.877,0.475,0,"0","PDGFRL"
"MDK",0,1.16907552731574,0.586,0.138,0,"0","MDK"
"TUBB2B",0,1.15628365357443,0.673,0.238,0,"0","TUBB2B"
"PTGFR",0,1.09569093662557,0.553,0.116,0,"0","PTGFR"
"OLFML3",0,1.08626704715187,0.744,0.223,0,"0","OLFML3"
"RARRES2",0,1.04885280236093,0.442,0.083,0,"0","RARRES2"
"PODN",0,0.999096752780224,0.573,0.127,0,"0","PODN"
"SERPING1",0,0.992797726392704,0.996,0.825,0,"0","SERPING1"
"C3",0,0.901808396378583,0.404,0.045,0,"0","C3"
"ENPP2",0,0.747014184820149,0.455,0.096,0,"0","ENPP2"
"IFITM3",7.07513684944535e-291,0.846555868246833,0.996,0.928,1.51528205904571e-286,"0","IFITM3"
"CYP1B1",7.56588743524265e-280,1.09366741869155,0.972,0.759,1.62038611200592e-275,"0","CYP1B1"
"PPAP2A",5.60029889210235e-276,1.04548443350819,0.902,0.585,1.19941601372156e-271,"0","PPAP2A"
"CES1",1.75201932871542e-269,0.990342502776707,0.564,0.19,3.75229979630982e-265,"0","CES1"
"NNMT",3.50195602163838e-265,0.95007628735291,0.997,0.857,7.50013921154292e-261,"0","NNMT"
"CFD",9.16988425407561e-265,2.00744528667766,0.955,0.833,1.96391411069537e-260,"0","CFD"
"AEBP1",1.08686429693572e-263,0.806106332161092,0.917,0.511,2.32773726474724e-259,"0","AEBP1"
"ECM2",7.68497049391129e-258,0.899461690405126,0.814,0.445,1.64589013068098e-253,"0","ECM2"
"RASD1",3.5334500616706e-253,1.38763792216465,0.696,0.327,7.56758999707992e-249,"0","RASD1"
"DCN",1.05087592573095e-251,0.855858509421385,1,0.924,2.25066097013798e-247,"0","DCN"
"IL6",1.07765230676637e-244,2.02221769399723,0.666,0.311,2.30800794540155e-240,"0","IL6"
"IFITM2",1.2410107329364e-244,0.830643634372929,0.968,0.877,2.65787268672989e-240,"0","IFITM2"
"TMEM176A",6.01168098666533e-244,1.27146485695775,0.624,0.265,1.28752171691411e-239,"0","TMEM176A"
"PTGDS",2.30439203371421e-238,2.52191860557054,0.486,0.161,4.93531641860572e-234,"0","PTGDS"
"SSPN",1.30011703595886e-232,0.814926318781612,0.827,0.481,2.7844606559131e-228,"0","SSPN"
"ZFP36L1",9.03857625675882e-226,0.788408990098244,0.985,0.896,1.93579187691004e-221,"0","ZFP36L1"
"TAGLN",6.45235971586742e-225,0.601728046348892,0.748,0.356,1.38190188034732e-220,"0","TAGLN"
"FBLN1",4.43535122539019e-224,0.862169714616794,0.594,0.232,9.49919171941818e-220,"0","FBLN1"
"SEPP1",3.18109360896666e-221,0.425135963263789,0.945,0.706,6.81294818232391e-217,"0","SEPP1"
"RPL39",2.91379921754901e-216,0.735749068675459,0.999,0.997,6.24048378422471e-212,"0","RPL39"
"TMEM176B",1.05258614642517e-212,1.17097226242248,0.64,0.303,2.2543237497988e-208,"0","TMEM176B"
"PDGFRA",4.33687994031587e-208,0.794635766462988,0.789,0.482,9.28829576817451e-204,"0","PDGFRA"
"CDH11",5.46895880127321e-205,0.61927080371971,0.492,0.171,1.17128690646868e-200,"0","CDH11"
"MYC",1.14043976944302e-201,1.08446109783587,0.879,0.628,2.44247985421611e-197,"0","MYC"
"RPS18",1.10310128687212e-200,0.450470738222998,0.999,0.999,2.36251202609402e-196,"0","RPS18"
"COL1A2",9.86982421387837e-200,0.615876170674082,0.999,0.86,2.11382025188633e-195,"0","COL1A2"
"FBLN5",1.34031220315686e-198,0.700302988373232,0.472,0.163,2.87054664550104e-194,"0","FBLN5"
"S100A13",1.1281369615177e-196,0.72258703682467,0.961,0.779,2.41613093048246e-192,"0","S100A13"
"MGST1",1.53937510304152e-194,0.916192487977214,0.783,0.49,3.29687965818402e-190,"0","MGST1"
"PCOLCE",2.52805774362154e-194,0.706364556318021,0.993,0.813,5.41434126951426e-190,"0","PCOLCE"
"PLA2G2A",1.40507577070021e-192,1.0801446302627,0.994,0.916,3.00925077810865e-188,"0","PLA2G2A"
"EBF1",5.59078348856258e-192,0.762752018179814,0.718,0.386,1.19737809974545e-187,"0","EBF1"
"PLTP",7.58888031274622e-190,0.971615531091414,0.911,0.668,1.62531049658086e-185,"0","PLTP"
"SMOC2",5.1076733553112e-189,0.830354322499915,0.654,0.318,1.093910402507e-184,"0","SMOC2"
"LGALS3BP",4.79879283933485e-182,0.897277706833326,0.784,0.486,1.02775746240034e-177,"0","LGALS3BP"
"COL1A1",1.45838751136672e-179,0.304833620975919,0.962,0.658,3.12342853309411e-175,"0","COL1A1"
"FOSB",6.05197056694241e-176,0.849016378426436,0.953,0.846,1.29615053632206e-171,"0","FOSB"
"TMEM108",8.96006594528533e-175,0.419521259054139,0.259,0.051,1.91897732350176e-170,"0","TMEM108"
"LHFP",6.07901457332375e-174,0.780376750145062,0.861,0.623,1.30194255116875e-169,"0","LHFP"
"THBS2",1.38588230102193e-173,0.630423090972918,0.527,0.221,2.96814412409866e-169,"0","THBS2"
"SGCE",8.06758948001208e-171,0.695133015837275,0.554,0.248,1.72783563893419e-166,"0","SGCE"
"ID3",8.23015036869268e-171,0.942626284257148,0.929,0.721,1.76265130446291e-166,"0","ID3"
"AKR1C3",1.11417013565808e-169,0.563932627768104,0.637,0.302,2.38621817953892e-165,"0","AKR1C3"
