"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PLA2G2A",0,3.39221548245609,0.992,0.706,0,"Fibroblasts","PLA2G2A"
"LUM",0,3.19537652016433,1,0.754,0,"Fibroblasts","LUM"
"DCN",0,3.19494246266461,0.998,0.721,0,"Fibroblasts","DCN"
"COMP",0,3.10148354777348,0.88,0.5,0,"Fibroblasts","COMP"
"CLU",0,3.06469961996196,0.991,0.858,0,"Fibroblasts","CLU"
"PRELP",0,2.8759939791215,0.898,0.378,0,"Fibroblasts","PRELP"
"ASPN",0,2.80923504395798,0.884,0.399,0,"Fibroblasts","ASPN"
"PRG4",0,2.74189202292602,0.989,0.89,0,"Fibroblasts","PRG4"
"CRTAC1",0,2.66587697015763,0.959,0.676,0,"Fibroblasts","CRTAC1"
"FN1",0,2.6276188257099,0.998,0.908,0,"Fibroblasts","FN1"
"WISP2",0,2.59622692044685,0.715,0.239,0,"Fibroblasts","WISP2"
"DPT",0,2.58273667010791,0.909,0.316,0,"Fibroblasts","DPT"
"C1R",0,2.40042250446612,0.957,0.362,0,"Fibroblasts","C1R"
"IGFBP6",0,2.34307370863618,0.927,0.422,0,"Fibroblasts","IGFBP6"
"TNFAIP6",0,2.3357695905501,0.888,0.37,0,"Fibroblasts","TNFAIP6"
"HTRA1",0,2.27395061630547,0.909,0.576,0,"Fibroblasts","HTRA1"
"CCDC80",0,2.26418859007655,0.97,0.349,0,"Fibroblasts","CCDC80"
"MGP",0,2.25466547033159,1,0.783,0,"Fibroblasts","MGP"
"C1S",0,2.24417814348235,0.966,0.388,0,"Fibroblasts","C1S"
"COL3A1",0,2.16256332004756,0.853,0.464,0,"Fibroblasts","COL3A1"
"PCOLCE2",0,2.16162911362139,0.851,0.222,0,"Fibroblasts","PCOLCE2"
"BGN",0,2.15540311737702,0.946,0.482,0,"Fibroblasts","BGN"
"COL1A2",0,2.14256901742696,0.99,0.507,0,"Fibroblasts","COL1A2"
"EFEMP1",0,2.09552518996099,0.778,0.241,0,"Fibroblasts","EFEMP1"
"FMOD",0,2.04841876200516,0.763,0.217,0,"Fibroblasts","FMOD"
"PCOLCE",0,1.92441970049367,0.968,0.4,0,"Fibroblasts","PCOLCE"
"ANGPTL2",0,1.91659737771945,0.956,0.357,0,"Fibroblasts","ANGPTL2"
"NNMT",0,1.9091035324321,0.989,0.496,0,"Fibroblasts","NNMT"
"PLAC9",0,1.90165799695503,0.974,0.401,0,"Fibroblasts","PLAC9"
"CDO1",0,1.86925117951845,0.807,0.175,0,"Fibroblasts","CDO1"
"FSTL1",0,1.86059937072986,0.953,0.393,0,"Fibroblasts","FSTL1"
"MMP2",0,1.84805292402354,0.716,0.278,0,"Fibroblasts","MMP2"
"GPX3",0,1.82419547418982,0.92,0.429,0,"Fibroblasts","GPX3"
"ISLR",0,1.77838018295932,0.883,0.209,0,"Fibroblasts","ISLR"
"HAS1",0,1.77132040321453,0.778,0.213,0,"Fibroblasts","HAS1"
"COL1A1",0,1.76123183960173,0.805,0.365,0,"Fibroblasts","COL1A1"
"OGN",0,1.74542137196267,0.696,0.145,0,"Fibroblasts","OGN"
"COL6A2",0,1.72927565721504,0.987,0.487,0,"Fibroblasts","COL6A2"
"TPPP3",0,1.71961325870955,0.931,0.59,0,"Fibroblasts","TPPP3"
"CTGF",0,1.6910012215267,0.871,0.375,0,"Fibroblasts","CTGF"
"VCAN",0,1.67965841443801,0.808,0.321,0,"Fibroblasts","VCAN"
