"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","High PTGS2 Fibroblasts","GO:0005539","glycosaminoglycan binding","14/182","232/18369",8.18129632302528e-08,1.54757751328727e-05,1.28964792773939e-05,"9510/11096/3075/1634/2335/11167/10457/8425/5549/5802/5270/64094/7130/7148",14
"2","High PTGS2 Fibroblasts","GO:0005125","cytokine activity","14/182","235/18369",9.59415166785446e-08,1.54757751328727e-05,1.28964792773939e-05,"650/6347/6348/6351/9244/2919/6387/2920/2921/3569/3624/3976/4282/4982",14
"3","High PTGS2 Fibroblasts","GO:0005201","extracellular matrix structural constituent","12/182","167/18369",1.07470660644949e-07,1.54757751328727e-05,1.28964792773939e-05,"8483/1634/2199/2331/2335/8425/4239/8076/127435/5549/3371/7148",12
"4","High PTGS2 Fibroblasts","GO:0008009","chemokine activity","7/182","49/18369",5.04898646135902e-07,5.45290537826774e-05,4.54408781522312e-05,"6347/6348/6351/2919/6387/2920/2921",7
"5","High PTGS2 Fibroblasts","GO:0008201","heparin binding","11/182","168/18369",9.36003006840642e-07,8.08706597910314e-05,6.73922164925262e-05,"9510/11096/3075/2335/11167/10457/5549/5802/5270/64094/7148",11
"6","High PTGS2 Fibroblasts","GO:0005178","integrin binding","10/182","151/18369",2.67057703390124e-06,0.000192281546440889,0.000160234622034074,"11096/928/6387/2335/10457/3383/8425/7148/7106/7412",10
"7","High PTGS2 Fibroblasts","GO:0042379","chemokine receptor binding","7/182","74/18369",8.58830712745064e-06,0.000530021239865526,0.000441684366554605,"6347/6348/6351/2919/6387/2920/2921",7
"8","High PTGS2 Fibroblasts","GO:1901681","sulfur compound binding","12/182","269/18369",1.59834939728291e-05,0.000810209813377615,0.000675174844481346,"9510/11096/3075/2335/11167/2495/10457/5549/5802/5270/64094/7148",12
"9","High PTGS2 Fibroblasts","GO:0050840","extracellular matrix binding","6/182","55/18369",1.68793711120337e-05,0.000810209813377615,0.000675174844481346,"11096/1634/2199/3958/64094/8404",6
"10","High PTGS2 Fibroblasts","GO:0045236","CXCR chemokine receptor binding","4/182","18/18369",2.55950392671011e-05,0.00104295061410718,0.000869125511755981,"2919/6387/2920/2921",4
