"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","High PTGS2 Fibroblasts","hsa04668","TNF signaling pathway","20/116","114/8464",3.38186129683799e-17,7.50773207898033e-15,5.48217515487421e-15,"468/330/6347/1051/2919/2920/2921/2353/3383/3569/3725/3976/1326/4314/4790/4792/5743/9021/7128/7412",20
"2","High PTGS2 Fibroblasts","hsa04657","IL-17 signaling pathway","14/116","94/8464",2.58800333319073e-11,2.87268369984171e-09,2.09764480690196e-09,"6347/1051/2919/2920/2921/2353/8061/3569/3725/4314/4790/4792/5743/7128",14
"3","High PTGS2 Fibroblasts","hsa05417","Lipid and atherosclerosis","18/116","215/8464",5.94812511521614e-10,4.40161258525994e-08,3.21407462366065e-08,"468/6347/6348/2919/2920/2921/2353/3303/3304/3383/3569/3725/4314/4790/4792/6648/7412/7494",18
"4","High PTGS2 Fibroblasts","hsa04064","NF-kappa B signaling pathway","13/116","104/8464",1.30942193388072e-09,7.26729173303802e-08,5.30660467941136e-08,"330/6351/2919/6387/2920/2921/4616/3383/4790/4792/5743/7128/7412",13
"5","High PTGS2 Fibroblasts","hsa05323","Rheumatoid arthritis","11/116","93/8464",4.70911645943922e-08,2.09084770799101e-06,1.52674512579714e-06,"6347/6348/2919/6387/2920/2921/2353/3383/3569/3725/4314",11
"6","High PTGS2 Fibroblasts","hsa04610","Complement and coagulation cascades","10/116","86/8464",2.3360450322577e-07,8.64336661935349e-06,6.31141991171379e-06,"623/715/717/1604/1675/3075/1191/5329/5270/710",10
"7","High PTGS2 Fibroblasts","hsa05418","Fluid shear stress and atherosclerosis","12/116","139/8464",3.82363761931236e-07,1.21263935926764e-05,8.85473974998653e-06,"60/71/6347/2353/3162/3383/3725/4313/4790/6383/8878/7412",12
"8","High PTGS2 Fibroblasts","hsa05134","Legionellosis","8/116","57/8464",9.21981684085583e-07,2.55849917333749e-05,1.86822604406816e-05,"2919/2920/2921/3303/3304/3569/4790/4792",8
"9","High PTGS2 Fibroblasts","hsa04210","Apoptosis","11/116","136/8464",2.2961569248492e-06,5.66385374796135e-05,4.13576802838335e-05,"60/71/468/330/824/2353/4616/3725/4790/4792/7846",11
"10","High PTGS2 Fibroblasts","hsa05132","Salmonella infection","14/116","249/8464",7.03656476813762e-06,0.000156211737852655,0.000114066418346652,"60/71/113146/302/330/2353/2597/3569/3725/10398/4790/4792/388/7846",14
"11","High PTGS2 Fibroblasts","hsa04061","Viral protein interaction with cytokine and cytokine receptor","9/116","100/8464",8.36529759763444e-06,0.000168826915152259,0.000123278069859876,"57007/6347/6348/6351/2919/6387/2920/2921/3569",9
"12","High PTGS2 Fibroblasts","hsa04621","NOD-like receptor signaling pathway","11/116","186/8464",4.53807240528361e-05,0.000839543394977468,0.000613037851240067,"330/6347/2919/2920/2921/3569/3725/4790/4792/7128/10628",11
"13","High PTGS2 Fibroblasts","hsa04060","Cytokine-cytokine receptor interaction","14/116","297/8464",5.08783524868597e-05,0.00086884571169868,0.000634434516840193,"57007/650/6347/6348/6351/2919/6387/2920/2921/3569/3624/3976/4982/51330",14
"14","High PTGS2 Fibroblasts","hsa04933","AGE-RAGE signaling pathway in diabetic complications","8/116","100/8464",6.36562998710423e-05,0.000986110832920439,0.000720061964294678,"6347/2335/3383/3569/3725/4313/4790/7412",8
"15","High PTGS2 Fibroblasts","hsa05167","Kaposi sarcoma-associated herpesvirus infection","11/116","194/8464",6.66291103324621e-05,0.000986110832920439,0.000720061964294678,"2919/2920/2921/2353/3383/3569/3725/4790/4792/5743/1827",11
"16","High PTGS2 Fibroblasts","hsa05171","Coronavirus disease - COVID-19","12/116","232/8464",7.49730372280399e-05,0.000990479829579362,0.000723252222642114,"715/717/6347/1675/2353/3569/3725/4314/4790/4792/6231/6192",12
"17","High PTGS2 Fibroblasts","hsa05133","Pertussis","7/116","76/8464",7.58475545173385e-05,0.000990479829579362,0.000723252222642114,"715/717/2353/3569/3725/4790/710",7
