id	logFC	AveExpr	t	P.Value	adj.P.Val	B
GADD45B	-2.287219696375	9.69455224912281	-11.8106202535777	4.26084837823335e-17	5.3465125450072e-13	28.3614236083084
SIK1	-2.282868277375	8.53859070701754	-10.5176234103642	4.3789534925987e-15	2.20837162670916e-11	23.9381389046866
KDELR3	1.001648884	9.53485181403509	10.4665425656228	5.27981740526576e-15	2.20837162670916e-11	23.7589053771482
FOSL2	-1.655073999625	7.76276353333333	-10.3676620792867	7.59031775817889e-15	2.38108268074072e-11	23.4110313120944
PNRC1	-1.15417632675	10.4506429684211	-10.2455453951549	1.1901392915797e-14	2.95345681917161e-11	22.9797560978325
NFIL3	-2.07630048675001	9.90588908947369	-10.1992066933876	1.41223628586465e-14	2.95345681917161e-11	22.8156315173568
B3GALNT1	1.038777153	6.42064131052631	10.1383081584329	1.76896502889482e-14	3.16455101390136e-11	22.5995483277308
HNRNPA1	-0.871397010375006	9.0894993368421	-10.0729437599001	2.2537025053028e-14	3.16455101390136e-11	22.3671311605271
CEBPD	-1.37393306575	10.9092100280702	-10.071029308467	2.26976084835131e-14	3.16455101390136e-11	22.3603163580659
APOLD1	-2.1658269245	8.32015727719298	-9.97879083788263	3.19700548673419e-14	4.01160248475406e-11	22.0314737088431
RHOB	-1.211791241	11.9026981614035	-9.91033350242404	4.1247921986006e-14	4.70526295527639e-11	21.7867811985953
KLF9	-1.481436200125	8.50243849122807	-9.83151943693336	5.53428598628992e-14	5.78701837966383e-11	21.5044126164801
ZFAND5	-1.052386759	10.5805769649123	-9.63834635966829	1.14051672149292e-13	1.10086183240717e-10	20.8094249079886
BCL6	-1.099712502	10.2053584947368	-9.56330079171795	1.51192573708682e-13	1.26722113796574e-10	20.5383474773192
MAFF	-2.193154955125	8.40173316491228	-9.5627871870006	1.51484834790295e-13	1.26722113796574e-10	20.5364902084462
NFKBIA	-1.17350430437501	11.7220117859649	-9.48189233923877	2.05400959922372e-13	1.6108570281912e-10	20.2436212253134
YBX3	-0.693104443625	10.7901839614035	-9.31585549122378	3.84443725068367e-13	2.83764697773993e-10	19.6404298930069
VEGFA	-1.730716769375	8.40518479298246	-9.28731924526429	4.28280556826338e-13	2.98559134836494e-10	19.5364876165855
MYC	-1.62346663012501	9.63707088947369	-9.10735199215335	8.4758406295596e-13	5.59762359051125e-10	18.8791885924046
CDKN1A	-1.520106524625	9.67234514736842	-9.01361784617164	1.21073969135968e-12	7.59618082359062e-10	18.5356712296288
TIPARP	-1.22992521675	9.74058251578947	-8.98233863068175	1.36394926865708e-12	8.14992163005194e-10	18.420867693492
CEBPB	-0.831036214125008	12.3687895894737	-8.95268040342356	1.5271953369583e-12	8.71056685825125e-10	18.3119361643639
COPZ2	0.906534917749992	10.1923621596491	8.92600064903228	1.6907739651383e-12	9.22427465850233e-10	18.2138806343258
SCRG1	2.111461225125	10.3578253684211	8.52695871259513	7.79258199892067e-12	4.07422162176903e-09	16.7406097497859
KAL1	1.676522098625	9.04481808070176	8.49690974641687	8.74654333924186e-12	4.39006503283227e-09	16.6292022327468
JUND	-0.727084214875006	10.7931113385965	-8.35288994445057	1.52243183606739e-11	7.33383343758593e-09	16.0944448935542
GABARAPL1	-1.043985088875	8.8015636	-8.34357673164571	1.57804831698135e-11	7.33383343758593e-09	16.0598207224404
CBLB	-1.119234719125	8.17347051754386	-8.31448570627797	1.76525259629733e-11	7.91085342083534e-09	15.9516353082362
SLC2A3	-2.104163432375	7.82581091403509	-8.28935719010203	1.94480969649336e-11	8.4149903695168e-09	15.8581471924706
PRDX4	0.667905607624999	11.0611600596491	8.23097675713565	2.4359638228475e-11	1.01888246830301e-08	15.6408147608375
CX3CR1	2.00933634825	8.05682518421052	8.18281476312042	2.93360080578563e-11	1.18744590035478e-08	15.4613872930969
DDIT4	-1.94591440425	10.5404278736842	-8.16941229134786	3.08940460585144e-11	1.20136521264732e-08	15.4114355253319
NAP1L3	1.0723507015	8.14304068245614	8.16360457342585	3.15947178971643e-11	1.20136521264732e-08	15.3897870775624
STK24	-0.534966173125003	10.1102518333333	-8.13617959093665	3.51249440172276e-11	1.29631705155345e-08	15.2875374760248
ADM	-1.750126338375	10.1987802368421	-8.10431037519324	3.9727298383785e-11	1.4242804003421e-08	15.1686734868729
WNT5B	2.146545005	6.30375301754386	8.07537911098555	4.44271822192131e-11	1.54853411801857e-08	15.060727021678
ZFP36	-1.555734006375	11.2943460421053	-8.06252080816674	4.66912539096563e-11	1.56303089541648e-08	15.0127390104695
PLIN2	-1.372445404875	8.98914034210526	-8.05898224326493	4.73343752198168e-11	1.56303089541648e-08	14.999531594041
MTHFD2	-1.28434059175	9.46209813333333	-8.03627394721978	5.16782792693304e-11	1.66271550838861e-08	14.9147618778575
GLT8D2	0.990768727000003	9.7859246877193	8.00773812691675	5.77081335688259e-11	1.81030415005407e-08	14.8082075023358
RLF	-0.716952202250001	8.27134401403509	-7.95559400880443	7.06076708021547e-11	2.16093915420838e-08	14.613414482948
TPPP3	1.99827862425	9.2062308631579	7.91648870249222	8.21457081704348e-11	2.45420082410147e-08	14.4672630461057
NAMPT	-1.567010952125	9.78380457719298	-7.89891557528568	8.79287560113354e-11	2.56588379169822e-08	14.4015679085586
CTSO	0.691754029124995	10.3389580631579	7.88456942511115	9.29510890373679e-11	2.65079605736566e-08	14.3479286588626
ARPC1A	0.557021109749998	9.76665688947369	7.79156067561287	1.3326442167039e-10	3.6225055227881e-08	14.0000179477136
BTG1	-0.648253801374999	11.5513869333333	-7.78866305949962	1.34769063707937e-10	3.6225055227881e-08	13.9891749847976
PTN	1.290577905375	8.42706976842106	7.7869146525121	1.3568517657877e-10	3.6225055227881e-08	13.9826322846543
JMJD6	-0.648539267125003	7.49123254385965	-7.71635484164518	1.78359116672527e-10	4.6626045750143e-08	13.7185253552033
MRPL48	0.558438613999998	8.41020473333334	7.63694390370813	2.42665980140948e-10	6.21423003838492e-08	13.4211545286735
PIM1	-1.188466104625	8.62080902280702	-7.62428345296105	2.54877299021831e-10	6.39640069625187e-08	13.3737337698478
MKNK2	-1.001281020625	10.3823604017544	-7.61859596486111	2.60561447490638e-10	6.41083341786769e-08	13.3524299378156
CCNL1	-1.2930044755	9.90777643859649	-7.54670812757958	3.44351213406059e-10	8.30945966503698e-08	13.083115748801
PHC2	-0.83667575737501	10.0051085421053	-7.52725807267961	3.71337379829408e-10	8.79158762660266e-08	13.0102385906289
LGALS1	0.610174928624998	12.4455250578947	7.44943950081185	5.02204655085583e-10	1.16697481703961e-07	12.7186281708038
BTG2	-1.11811875325	9.51919288070175	-7.41298041254385	5.78512971649019e-10	1.31985104877307e-07	12.5819929715606
SLC19A2	-1.558110099	7.78902024736842	-7.40825362175172	5.89220286953688e-10	1.3202743144098e-07	12.5642784365235
NASP	-0.51588937525	8.20202003859649	-7.38976632242919	6.33036408622622e-10	1.38007110942014e-07	12.4949935310678
PART1	1.3708435155	6.00038213157895	7.38779227788352	6.37903445540069e-10	1.38007110942014e-07	12.4875953841943
SULF1	0.919242918124999	9.57766005964912	7.35139189856361	7.34664849691186e-10	1.56247025998729e-07	12.3511777818308
ATF3	-1.995988848875	9.04483530877193	-7.28726134762005	9.42202908695178e-10	1.97046034971785e-07	12.1108462088306
BAG3	-0.848201317625	9.87277995614035	-7.26704918200418	1.0190565661008e-09	2.09624947400539e-07	12.0351056782837
SLC5A3	1.22025002225	8.99070952807017	7.22402990510399	1.204128569302e-09	2.43700085283896e-07	11.8739134816808
TMEM230	0.707031738874996	10.1463878070175	7.21569053115118	1.24371604195675e-09	2.46845671781687e-07	11.8426684625258
OGN	2.009533702375	9.03860920350877	7.21253851463579	1.25901522107332e-09	2.46845671781687e-07	11.8308590747561
NFKB2	-1.013734323375	6.41034615789473	-7.20161406109476	1.3135100906843e-09	2.53568071044717e-07	11.789930389194
CDV3	-0.568514836375003	9.05546952807017	-7.19747068544798	1.33478965083929e-09	2.53771826344416e-07	11.7744075776974
FAM114A1	0.597244345249997	10.8875198070175	7.17814087015844	1.43870620225068e-09	2.69446051131963e-07	11.7019933574199
PDGFC	0.873826547500004	10.6519256298246	7.15278959950889	1.58734155099521e-09	2.92911202674823e-07	11.6070303103585
GRB10	-0.634165245625003	8.24624198596491	-7.14901547137335	1.61074444006323e-09	2.9292204686831e-07	11.5928937907315
IRAK3	-0.962129879875	6.72866621754386	-7.10566364830769	1.90559449054871e-09	3.41591423820075e-07	11.4305330815051
SPEN	-0.550526068000002	8.78770180175439	-7.08648928028695	2.05264975048039e-09	3.62769705197577e-07	11.3587340162065
SAT1	-0.599646954000002	11.7655386	-7.07836601568056	2.11831814234245e-09	3.69175778473793e-07	11.3283187102222
EFEMP2	0.655521513124997	9.91383851754386	7.06793942550844	2.20569004179914e-09	3.79136967732816e-07	11.2892815492875
CLK1	-0.870533532875003	8.78825575614035	-7.05897447748049	2.2836851824736e-09	3.87238941482145e-07	11.2557189169056
ETS2	-0.899006445875006	8.98923415087719	-7.05037542960632	2.36108302862881e-09	3.95024931243124e-07	11.2235280443339
ZFP36L2	-0.705035190875005	10.5181016140351	-7.04219740345398	2.4371196668257e-09	4.02381283938538e-07	11.1929150729197
AASS	-1.189511847	5.96550504736842	-7.03742388906815	2.48262717242697e-09	4.04571503371606e-07	11.1750471044797
ARID5B	-0.760865759625002	10.8216096368421	-7.02685729014968	2.58640204792385e-09	4.16079139709596e-07	11.1354969817919
ZMPSTE24	0.509793016749999	10.7340931403509	7.01995076814781	2.65656017778259e-09	4.18055035490419e-07	11.1096479862652
PPP1R15A	-1.236707759125	9.11993828070175	-7.01910149805184	2.66531740829084e-09	4.18055035490419e-07	11.1064695222841
SLCO4A1	-1.806903307625	7.35093453508772	-7.0079951342845	2.78252839837395e-09	4.31051436330819e-07	11.0649049569146
KLF4	-1.0301497615	11.1001280333333	-7.00113402381556	2.85749383418554e-09	4.34337864416612e-07	11.0392296889511
ZNF423	0.859367033	8.77278735964912	6.9997398727036	2.87297121027884e-09	4.34337864416612e-07	11.0340127467986
FKBP5	-2.9962362615	6.57152157368421	-6.95709639575582	3.38904022401862e-09	4.99327841462753e-07	10.8744695540973
RORA	-0.75330873825	6.6756625631579	-6.9562943740887	3.39958462468351e-09	4.99327841462753e-07	10.8714694996612
RBM39	-0.411155242250002	10.7018063403509	-6.9545799787883	3.42223417005075e-09	4.99327841462753e-07	10.8650566800031
FUCA1	1.005935794625	10.8871223807018	6.93197930597452	3.73528379006814e-09	5.38739551698563e-07	10.780526782582
NPAS2	-1.08885516425	6.01385929824561	-6.91447118420815	3.99730135118023e-09	5.69978833575108e-07	10.7150564190485
RTN1	1.14761828825	7.24188440175438	6.88335167987534	4.50908998195957e-09	6.35731023523918e-07	10.5987160463823
STC1	-1.20438904175	6.92876931403509	-6.870226470211	4.74408051648983e-09	6.61107238328061e-07	10.5496589716576
EML1	0.855784195249999	8.88433588596491	6.86516170449794	4.83799081868758e-09	6.61107238328061e-07	10.5307306924964
CFI	0.947983258749995	10.5621053877193	6.86467372280304	4.8471362708146e-09	6.61107238328061e-07	10.528907041168
PRSS23	0.996142324624993	10.2484812122807	6.85716801826523	4.98999558035859e-09	6.73273812283221e-07	10.5008585094049
LTC4S	1.851236190875	6.66266014912281	6.83116345494578	5.51821821103772e-09	7.36623426724482e-07	10.4036992795308
SPRY1	-0.967651199124999	9.04570021754386	-6.82259645517351	5.7041698674294e-09	7.53430773647411e-07	10.371697517773
PPIC	0.783303045124994	10.4052034859649	6.8165914592348	5.83822413784028e-09	7.62930675708418e-07	10.3492680405832
SLC3A2	-0.61190464475	8.93451036140351	-6.81397135250818	5.89769489510014e-09	7.62930675708418e-07	10.3394821073434
MAGED2	0.576475004250002	9.37141904210526	6.80684503916271	6.06252029722883e-09	7.7625004785334e-07	10.312867397635
EPYC	2.010967360375	6.15262145614035	6.76227203672512	7.20287014449585e-09	9.12945601748828e-07	10.1464558491563
ITGA5	-0.855014178624998	9.43208332807017	-6.75906816686835	7.29263355560147e-09	9.15079658556873e-07	10.134498152313
NXF1	-0.557035137374999	9.76133604736842	-6.75362426644394	7.44772072136361e-09	9.25287124868026e-07	10.1141812785464
GABARAPL2	0.364132348624993	11.4756224701754	6.75047041866198	7.53906782074112e-09	9.27453166810388e-07	10.1024116856054
NEDD9	-0.91988346175	7.54868106491228	-6.74233851209387	7.77978285141123e-09	9.47773934169982e-07	10.072067280189
SH3BP5	-0.546941895749999	10.2520459526316	-6.68208260834146	9.81895707121223e-09	1.18469493586126e-06	9.8473335997082
SSR4	0.622583164875	11.4949555052632	6.67515730110501	1.00850819903816e-08	1.20521532205055e-06	9.82151786585392
DPT	1.374681403	10.7581062350877	6.67144357481247	1.02307404132939e-08	1.21108802552841e-06	9.80767523622154
PFKFB3	-1.27945179525	9.2064427368421	-6.66891214028516	1.03312268594036e-08	1.21155359468969e-06	9.7982399800244
TNFAIP3	-1.17499486150001	8.93729898596491	-6.63826540757987	1.16286567327623e-08	1.35107763595094e-06	9.68404327568106
FAP	1.56267023737499	9.64185642631579	6.58177317309792	1.44601763609143e-08	1.66464488969498e-06	9.47369712507952
SFSWAP	-0.472532426625004	8.04250007368421	-6.57410789788696	1.48939215452559e-08	1.69899025045337e-06	9.44517224949064
THBS4	1.02480634725	12.3870499631579	6.57054476107931	1.50999313339868e-08	1.70504761129609e-06	9.43191408722231
DUSP1	-1.070788533125	11.7347463403509	-6.56851100267468	1.52187864572173e-08	1.70504761129609e-06	9.42434702103375
MXRA5	1.845546814375	10.522266477193	6.55324044075417	1.61414787592427e-08	1.77894932661788e-06	9.3675386374313
RPGR	-1.034454591125	6.64399845087719	-6.55291148998007	1.61619559479151e-08	1.77894932661788e-06	9.36631508100193
MGST3	0.464030737999998	11.3840239964912	6.54851117794527	1.64383753298038e-08	1.79364116207285e-06	9.34994854081879
LRRC17	1.49614092412499	8.65346646842105	6.54346320624312	1.67612807731252e-08	1.81310819949288e-06	9.33117480019756
NID2	1.374971655875	9.74287822807018	6.54108644710031	1.69154947258898e-08	1.81415066513218e-06	9.322336111071
IRS2	-1.032870653375	9.29775743508772	-6.53130743950216	1.75649997060856e-08	1.86784420603357e-06	9.28597426235914
LDLRAD4	0.570358887374997	7.54075285263158	6.52693149969892	1.7863625717526e-08	1.88363676893711e-06	9.26970521717143
SLC6A8	-0.810561304750005	7.5993172754386	-6.4904133445172	2.05611133520344e-08	2.13679042026427e-06	9.13399240188742
ARNTL	-1.2503810615	6.76458900877193	-6.4898594041329	2.06050080372949e-08	2.13679042026427e-06	9.13193456946936
SGCD	0.672460362124999	6.90269582280702	6.46328564395235	2.2823991613978e-08	2.34750366206718e-06	9.03324397054817
E2F3	-0.599928742125003	7.3908440631579	-6.45946534587253	2.31619707974893e-08	2.36289763875525e-06	9.01906061572067
ARPC5	0.514252612124997	11.0473146368421	6.44324331109402	2.46534740326956e-08	2.49477251743762e-06	8.95884735360205
FZD7	0.746343005624997	8.83804424210526	6.43662457102363	2.52891242087096e-08	2.5386234445671e-06	8.93428597280503
JUN	-1.430964850125	9.63264398421053	-6.42684005245619	2.62587950483976e-08	2.61504254180391e-06	8.89798341043221
DDX54	-0.481193249125003	7.81875851754386	-6.42226608272569	2.67246873926514e-08	2.64048328663771e-06	8.88101579616461
AKAP8	-0.354577187000006	8.47524803508772	-6.41487944393853	2.74944937851598e-08	2.69531959387645e-06	8.85361802402133
MCL1	-0.785376713625	10.0475824052632	-6.41111579481844	2.78951688053632e-08	2.71339983077285e-06	8.83966006076249
VKORC1	0.696571098749997	11.3587608789474	6.40711006833736	2.83279971857076e-08	2.73430545143276e-06	8.82480565352864
ANKH	1.420852615375	8.5818387877193	6.3994068349274	2.91792123866002e-08	2.78359592838435e-06	8.79624368660007
TNFSF11	1.3582576665	6.16003011578947	6.39848888080388	2.92823288609128e-08	2.78359592838435e-06	8.79284044814241
CHD1	-0.828517879375001	8.24350917543859	-6.38536799633735	3.07964703174916e-08	2.90551962063071e-06	8.74420389332308
GLUL	-0.843536057250004	11.4652032736842	-6.3808720175284	3.13330143656102e-08	2.9125518188755e-06	8.72754165734356
LOC728392	0.787247758749997	8.62606601403509	6.38085359124666	3.13352323516252e-08	2.9125518188755e-06	8.72747337265489
CRIP1	1.23240594749999	10.8814124631579	6.35745285492238	3.42818206714125e-08	3.16300210135944e-06	8.64077870054373
JMJD4	0.889030704874999	6.85615494912281	6.34057691026075	3.65762897108389e-08	3.3500677612526e-06	8.57828784412979
TCTA	0.546745267999997	8.99740524385965	6.32497210222062	3.88335269415085e-08	3.48464166590871e-06	8.52052746778781
NAP1L1	-0.435402626875005	10.7217979175439	-6.32496526959271	3.88345450056363e-08	3.48464166590871e-06	8.52050218218565
SIN3B	-0.446711127499999	7.68148154561403	-6.32466914973075	3.8878692479058e-08	3.48464166590871e-06	8.51940633148864
CEBPZ	-0.679457298125002	8.16101570877193	-6.31101154686808	4.0969999455304e-08	3.60582211883932e-06	8.46887269708663
SLC25A28	-0.615399456125003	8.50980491403509	-6.30854283760698	4.13597787667198e-08	3.60582211883932e-06	8.4597402845425
ANXA4	0.536547466874996	10.8953783105263	6.30842030228608	4.13792213427244e-08	3.60582211883932e-06	8.45928700904835
TMCO3	0.754260825249998	7.96015732982456	6.30841431890997	4.13801709525711e-08	3.60582211883932e-06	8.45926487573032
RAB20	-0.599620872875004	8.92497041403508	-6.30523191142249	4.18883267090242e-08	3.62492912789542e-06	8.44749320868738
ZNF331	-0.79309496075	8.67719459824561	-6.28434876681744	4.53802656165653e-08	3.90021625312782e-06	8.37027127326258
PVR	-0.544152886875	6.216749	-6.27611166827433	4.68358640689635e-08	3.99793484583234e-06	8.33982383501359
ZFP36L1	-0.608692345250001	9.36953774561404	-6.24356852992082	5.30546537850532e-08	4.49817429523546e-06	8.21959882320906
DDX24	-0.459702769125	9.80648166842105	-6.23954918463674	5.38775517277017e-08	4.53728536294766e-06	8.204757557171
DNAJC10	0.681348054875	7.78771188070175	6.23511997259549	5.47990562601825e-08	4.58412371968514e-06	8.18840481573361
QDPR	0.612062669499998	9.19254479824561	6.23231423913099	5.53908774141814e-08	4.6029452304182e-06	8.17804704729081
DYNLRB1	0.415787328750001	10.7584831052632	6.22757011328489	5.64060492781197e-08	4.65646780488056e-06	8.1605352973716
TBC1D8	-0.474786675375002	7.24563301052632	-6.22421511639274	5.71351052556796e-08	4.68582549508672e-06	8.14815259444303
SPSB1	-0.758461330250001	7.94669717192982	-6.2210097495191	5.7840387884484e-08	4.7128648517825e-06	8.13632325754489
KLF6	-0.891720134124999	9.13120864385965	-6.21483684992162	5.92230771225268e-08	4.79439465634494e-06	8.11354536925934
ITFG1	0.581074263124997	10.0142926701754	6.19760661166143	6.32586964287334e-08	5.07107462038353e-06	8.0499876379852
COL14A1	0.938015624125001	8.96798836666667	6.1968210855859	6.34490528690002e-08	5.07107462038353e-06	8.04709080496763
SDC4	-0.958623502875003	9.81400835789474	-6.18943785812231	6.52662655056142e-08	5.18264360379311e-06	8.01986649747419
LIPA	0.7949729955	11.1022466210526	6.18782106540259	6.56710498089819e-08	5.18264360379311e-06	8.01390566168815
ICMT	0.366745683249999	8.36206296140351	6.18319241677793	6.68437284252287e-08	5.24221940174856e-06	7.99684221576664
GMEB2	-0.369351614875004	8.5127569754386	-6.16259463957373	7.23195331574234e-08	5.63643168980962e-06	7.9209375199481
ARL1	0.380240162124997	8.80683037719298	6.15760338867423	7.37121202860481e-08	5.70950423055143e-06	7.90255143208412
NGFRAP1	0.770064171874997	11.9402893280702	6.15423456523356	7.46670589537937e-08	5.74798929909327e-06	7.890143407929
SRSF7	-0.640269579124999	9.4692840877193	-6.13500473447194	8.03579318216902e-08	6.11635992684336e-06	7.81934096048268
FAM172A	0.564924560249995	8.47035362631579	6.13477938936699	8.04271109283674e-08	6.11635992684336e-06	7.81851151198689
RND1	-1.484379441875	5.99482139298246	-6.13220977526879	8.12201548548679e-08	6.13946086216194e-06	7.8090537110577
ARL6IP5	0.504642846874999	11.7652841649123	6.11500424043618	8.67339143174797e-08	6.51698896320799e-06	7.74574625368071
UCP2	0.911387525624997	10.0702399947368	6.103712413273	9.05528729851501e-08	6.76343720367657e-06	7.70421705956684
PTGS1	0.706229309625002	8.93872816842105	6.08499765976109	9.72531877505551e-08	7.22090532481636e-06	7.63542120743033
GTPBP2	-0.683980852125	8.01940827368421	-6.08326706880801	9.78970901261115e-08	7.2259569817791e-06	7.62906164563792
PRPF3	-0.652249402875002	7.56369075263158	-6.07843117008452	9.97189022248152e-08	7.28716761067605e-06	7.6112926499371
