id	GSM5176138_con	GSM5176139_con	GSM5176140_con	GSM5176141_con	GSM5176142_con	GSM1332201_con	GSM1332202_con	GSM1332203_con	GSM1332204_con	GSM1332205_con	GSM1332206_con	GSM1332207_con	GSM1332208_con	GSM1332209_con	GSM1332210_con	GSM1337304_con	GSM1337305_con	GSM1337306_con	GSM1337307_con	GSM1337308_con	GSM1337309_con	GSM1337310_con	GSM1337311_con	GSM1337312_con	GSM1337313_con	GSM5176143_treat	GSM5176144_treat	GSM5176145_treat	GSM5176146_treat	GSM5176147_treat	GSM5176148_treat	GSM1332211_treat	GSM1332212_treat	GSM1332213_treat	GSM1332214_treat	GSM1332215_treat	GSM1332216_treat	GSM1332217_treat	GSM1332218_treat	GSM1332219_treat	GSM1332220_treat	GSM1337327_treat	GSM1337328_treat	GSM1337329_treat	GSM1337330_treat	GSM1337331_treat	GSM1337332_treat	GSM1337333_treat	GSM1337334_treat	GSM1337335_treat	GSM1337336_treat	GSM1339633_treat	GSM1339632_treat	GSM1339631_treat	GSM1339630_treat	GSM1339629_treat	GSM1339628_treat
GADD45B	11.1778156	11.0166614	10.7212922	10.7995721	10.7007252	11.136668	11.6050087	11.664694	11.2417628	11.339415	10.6343308	11.780551	11.26757	11.1177103	10.9299601	10.3666755	10.2267621	9.3586731	11.8058661	12.3964746	12.0602188	8.4225231	10.824503	11.0195219	10.8501799	8.8254315	8.5987051	8.0169702	8.5819945	8.4674438	8.4564468	9.4253491	8.4326428	8.9858074	9.599976	8.398338	8.3122991	8.469392	8.819626	8.1523284	7.0860798	9.1154185	8.5090447	8.2305447	9.4267242	8.7286363	9.4059156	8.4431678	8.9540464	8.3430172	7.522328	9.107298	10.9276778	8.6431794	8.2715495	8.7776864	9.0892779
SIK1	9.0865797	9.3434316	9.842784	9.4707352	10.6635318	9.1293124	10.5370527	9.744044	10.6405659	9.97614	10.2507862	10.520038	11.390763	10.3434153	9.5291311	10.2344076	7.5847264	9.37296	9.5611397	10.6191472	9.539892	7.3239144	9.9705678	9.7720934	11.0578648	8.2524587	7.9866783	7.2418886	8.4497036	8.0432216	7.9116417	8.1440186	7.0876682	7.3902058	8.136716	6.798248	7.2431947	6.917436	7.294088	7.0301821	7.3732776	7.3360831	6.4876546	7.425397	8.5232204	7.3776249	7.0029043	6.8677439	7.3758094	8.0247543	6.5465396	7.046899	8.774409	8.2471283	5.9610499	7.3762044	9.5205965
KDELR3	8.6231203	9.1283466	9.0184631	9.253213	9.0841022	8.8246969	8.0717848	8.911161	8.8943763	8.776973	9.2193823	8.754825	9.244175	8.701064	9.2515392	8.7894264	9.4065659	9.0534673	8.4266017	8.337325	8.4242737	10.0652982	9.3242478	9.3911358	9.3375009	9.9122851	10.059459	10.0073759	10.0105909	10.072566	9.8958716	10.3337219	10.1465662	10.2909425	10.042708	10.110486	9.9457155	10.161833	10.010442	9.733381	9.6166309	10.1202092	10.1285102	9.8105431	9.5624339	9.3411291	10.3796382	9.7915899	10.0662494	10.4648823	9.8446592	9.255729	9.7541586	10.5113669	9.9097493	10.1411673	9.7408969
FOSL2	8.293492	8.5745586	8.8037818	8.6940641	8.8567307	8.5790926	9.2282948	8.751862	8.9152758	9.010103	8.4176121	9.343824	9.532168	8.7805781	9.0843528	9.1267611	7.6816216	7.2252719	8.9626741	9.1267611	9.375241	7.4560813	7.7512479	7.7663311	9.9604156	6.6330184	6.6353865	6.5499817	7.1275826	6.6891149	6.8378997	6.5080843	6.6143673	6.6901815	7.390885	6.617711	6.9318543	6.952387	7.039565	6.8087576	6.8479118	6.5877517	6.7528126	7.6698299	7.3765491	7.0250826	7.7868163	6.4156777	7.4672809	7.653369	7.0894353	5.683222	7.3021673	8.1552226	7.5866769	8.2902262	7.4625156
PNRC1	10.395857	11.3901899	11.2962638	11.2683771	10.8181385	10.9258017	10.8924309	10.500943	11.5515064	11.566877	11.830155	11.385384	11.551506	11.0118042	10.4802106	10.9161163	10.6626109	11.5462788	10.9468854	11.5244989	11.3663412	10.567502	10.823253	11.2028297	11.0432789	9.3615361	10.0381775	9.7431252	9.6956829	9.9534779	9.956646	9.4201678	9.8699154	10.5864888	9.539383	10.222914	9.2924858	9.893139	9.651496	9.9454342	9.6702937	10.3052091	10.2678951	9.6011567	10.298402	10.0742329	9.4441038	9.2926874	9.9553938	10.2125977	10.7196045	10.5994	9.5793335	10.5032158	10.2254788	10.879516	9.4230186
NFIL3	10.1449484	11.2859454	10.5384485	9.9175164	10.6462351	11.0449671	11.8918707	11.765539	11.4194271	11.61743	12.0449413	11.16745	11.459563	11.8773884	11.3723278	11.0961162	9.6285877	10.3803062	10.308494	11.6176893	11.9884407	8.1206051	11.5822694	11.587146	12.2846339	9.0832974	9.2554001	8.3455124	9.2349509	9.4306072	9.3506273	9.0373786	8.1176422	8.0725557	10.324567	8.716638	8.9279689	8.829106	8.882393	7.8750241	8.1861605	9.6484169	8.3759642	8.8514791	9.3355809	9.3355809	9.6314185	9.1836121	8.9922091	8.7997118	8.3440486	9.73771	10.345559	8.4214226	8.1948827	9.2807895	9.6991762
B3GALNT1	5.3434589	5.7150858	6.401243	5.6569019	5.861273	6.436578	5.572878	5.354011	4.9871717	5.882124	6.2728509	6.081302	6.054034	5.6531164	5.5270653	6.4810182	5.5370982	5.4611082	5.2416128	5.3770868	6.2284625	6.3651658	6.1091892	6.1641657	6.172703	6.897717	6.2538462	6.9717697	6.8749037	6.9918813	6.8671629	6.6339912	7.3888622	6.7043471	6.637524	7.110467	6.9357469	6.938802	7.183126	6.8774421	6.4370472	6.4495463	6.6432834	7.298625	7.2926525	6.8619622	6.5916936	7.2226988	7.1277093	7.6578807	6.2308137	7.012629	7.1175029	7.1769986	6.7159574	6.3070003	6.6282602
CEBPD	11.6590078	11.3534375	11.799209	11.8799983	11.7017465	11.551252	11.9586899	12.253148	11.7302309	11.942734	12.2767728	12.177279	11.852269	12.1446363	11.8586912	11.2586317	11.3626401	12.3610721	10.8976086	11.9556505	12.2906012	10.2697297	10.9561929	10.7404557	11.7818371	10.110843	9.9955809	9.550662	10.5718721	10.4273445	10.1703222	9.9862789	9.9899153	10.3526176	9.923989	10.078618	9.7317534	10.765719	10.888156	9.8352708	9.5849607	10.1871361	10.1192793	10.5839692	10.8065973	10.4381546	11.0841668	10.7052602	11.0052185	10.3219756	9.1773655	10.37037	11.5193396	10.632171	9.7829375	10.8208122	10.292793
APOLD1	8.9649677	8.8260162	9.0800287	9.5216683	7.8646155	9.5839573	9.2233579	9.494289	10.2515989	10.130203	10.4981862	9.829913	10.677249	10.0168978	10.2170336	10.2395039	8.1002478	10.2401911	8.8466553	9.161392	10.3748806	7.5341687	9.3753232	9.4110217	10.9381364	7.3223564	6.3178562	7.8510616	8.2753524	7.8553042	9.019014	8.1319318	6.8433993	6.7562643	7.682257	4.793674	7.5876753	7.409322	7.62331	7.9774101	7.1490362	7.8921155	7.3352958	7.0841963	6.4727881	6.7935939	7.4735909	6.5363094	7.4439546	7.4484361	6.2234142	7.019588	8.032236	7.6425192	7.5145759	8.7408072	7.5988161
RHOB	12.0830728	13.299172	12.3709011	12.1362326	12.3444833	12.4906186	12.9846681	12.680973	12.849738	12.910012	13.2095762	12.689769	12.568499	13.0250663	12.9526457	11.5905754	11.7775218	12.6731829	11.3766166	13.3881253	13.4995904	11.6770221	12.6129478	12.7873537	12.5966867	10.9259949	11.120906	11.6691867	11.5349195	10.9952784	11.5977967	11.2250341	11.3327417	11.5220193	11.537731	10.938714	10.8118005	11.1858	11.27711	11.1615819	10.8405635	11.3781497	11.7390269	11.1075062	11.3209089	11.5517703	11.4645632	10.9733432	11.494835	11.1907799	11.483976	11.29204	12.1880824	11.682223	11.0589607	12.1426773	12.1327239
