CRG	FRG	cor	p	Regulation
LIPT1	ALDH3A2	0.566143815877533	4.43431153428859e-06	postive
MTF1	AMN	0.545329204034555	1.15183455700034e-05	postive
DLAT	ATF2	0.551116104476959	8.89027725251585e-06	postive
CDKN2A	ATF3	-0.507636819283107	5.56527400914411e-05	negative
DBT	ATG16L1	0.554129471984797	7.75376747483315e-06	postive
DLAT	ATG5	0.514146954507309	4.2959093812217e-05	postive
FDX1	BRD2	-0.576721730873199	2.66151056983089e-06	negative
PDHB	BRD2	-0.521197012220587	3.22616343804193e-05	negative
FDX1	BRD4	-0.507823163299696	5.52458961455764e-05	negative
MTF1	CD44	0.506284612163642	5.86886683843415e-05	postive
PDHB	CD44	-0.579941174581432	2.27041249465888e-06	negative
LIPT1	CDKN1A	-0.558246456239352	6.41821648100913e-06	negative
PDHB	CDKN1A	-0.608040164501009	5.26011182321514e-07	negative
CDKN2A	CDKN2A	0.999999999999998	0	postive
DLD	CDO1	0.502311539499548	6.85129562899519e-05	postive
MTF1	CHMP5	-0.523578037842223	2.92453628646479e-05	negative
DBT	CYB5R1	-0.518659759892492	3.57900933162636e-05	negative
LIPT1	DAZAP1	-0.551667420700337	8.67142130757517e-06	negative
PDHB	DAZAP1	-0.594410294727289	1.08789834286563e-06	negative
FDX1	DDR2	-0.598556133788055	8.75259435263432e-07	negative
DLAT	DLD	0.521858570050015	3.1395977557047e-05	postive
DLD	DLD	0.999999999999981	0	postive
FDX1	EGFR	-0.568320524317018	3.99790300097865e-06	negative
FDX1	EMC2	0.52933070197915	2.30002445972099e-05	postive
NFE2L2	ETV4	-0.502191138700129	6.88330105957448e-05	negative
MTF1	FURIN	0.566139408570952	4.43523850268094e-06	postive
PDHB	FURIN	-0.506046534154382	5.92387169611018e-05	negative
PDHB	FZD7	0.569573630485112	3.7651646289725e-06	postive
LIPT1	GABARAPL2	0.532516186847701	2.00975153714942e-05	postive
PDHB	GABARAPL2	0.651260048239665	4.12043282273066e-08	postive
DLAT	GCLC	0.516593204152144	3.89235577860789e-05	postive
LIPT1	GLRX5	0.565696417974961	4.52933664013035e-06	postive
PDHB	GLRX5	0.539824194056477	1.46712744483253e-05	postive
PDHB	GSTZ1	0.528692523982913	2.36265058330516e-05	postive
LIPT1	HIF1A	-0.64112251502635	7.76099851114698e-08	negative
DBT	HMGB1	0.524328456747338	2.83501465639068e-05	postive
LIPT1	HMOX1	-0.5180196606476	3.67348366004142e-05	negative
LIPT1	HSPA5	-0.554690734774424	7.55761301363527e-06	negative
LIPT1	IL1B	-0.559683943117754	6.00468252869733e-06	negative
LIPT1	IL6	-0.603780168650629	6.62541475961507e-07	negative
LIPT1	KDM6B	-0.676128829096271	7.84897748169732e-09	negative
PDHB	KDM6B	-0.612406284650005	4.13757878272032e-07	negative
PDHA1	LYRM1	0.500406960834106	7.37398016291923e-05	postive
PDHB	MEF2C	0.506079643404732	5.91619392873811e-05	postive
DBT	MEG3	0.501112505632753	7.17622272496318e-05	postive
MTF1	MTDH	0.587222314089803	1.57489259561248e-06	postive
GLS	MTF1	0.506397721390685	5.84289949145959e-05	postive
MTF1	MTF1	0.999999999999981	0	postive
PDHB	MTF1	-0.50226214111628	6.86441031458392e-05	negative
PDHB	NDRG1	-0.583513573723348	1.89953127642585e-06	negative
NFE2L2	NFE2L2	0.999999999999982	0	postive
LIPT1	OSBPL9	0.505485548341367	6.055361832399e-05	postive
MTF1	PARK7	-0.601405325277323	7.52404977920237e-07	negative
DBT	PARP6	0.691541553409359	2.58634909023148e-09	postive
PDHB	PARP6	-0.549481213382424	9.56981288226463e-06	negative
LIPT1	PEX2	0.574328388168418	2.99203375636891e-06	postive
DLAT	PGRMC1	0.572690747966535	3.23982898490735e-06	postive
PDHB	PGRMC1	0.562500393672664	5.26533552763016e-06	postive
LIPT1	PTGS2	-0.626889933915143	1.8170834115317e-07	negative
DLAT	RB1	0.529350197594009	2.29813569769392e-05	postive
LIPT1	RBMS1	-0.558475037745797	6.35073488819316e-06	negative
MTF1	RBMS1	0.685587918855263	4.00311430842072e-09	postive
LIPT1	RELA	-0.506589525410592	5.79910719709216e-05	negative
PDHB	RELA	-0.556243873111875	7.03858334972194e-06	negative
GLS	RNF113A	-0.638636718923073	9.0325646754914e-08	negative
MTF1	RNF113A	-0.537486655524742	1.62379269503767e-05	negative
FDX1	SCP2	0.553267348151439	8.06430269790518e-06	postive
PDHB	SCP2	0.627455925957688	1.75807492854451e-07	postive
PDHB	SLC25A28	-0.57865890306445	2.41926969052108e-06	negative
LIPT1	SLC39A14	-0.533019263414857	1.96713959108821e-05	negative
LIPT1	SMAD7	-0.555924945870598	7.14237949083484e-06	negative
LIPT1	SNX5	0.53881194534303	1.53316564640447e-05	postive
LIPT1	SOCS1	-0.622697836401932	2.31569274502453e-07	negative
MTF1	SREBF2	0.548186110627833	1.0142014236821e-05	postive
LIPT1	TBK1	-0.595676148339232	1.01833267188359e-06	negative
LIPT1	TFRC	-0.587689250228335	1.53791191079045e-06	negative
LIPT1	TNFAIP3	-0.567593711692873	4.13896328845743e-06	negative
NFE2L2	TTPA	0.517967037374191	3.68135198365539e-05	postive
FDX1	ULK1	-0.540732186062236	1.41014381767057e-05	negative
LIPT1	ZFP36	-0.551451518473168	8.75652491352994e-06	negative
