id	GSM5176138_Control	GSM5176139_Control	GSM5176140_Control	GSM5176141_Control	GSM5176142_Control	GSM1332201_Control	GSM1332202_Control	GSM1332203_Control	GSM1332204_Control	GSM1332205_Control	GSM1332206_Control	GSM1332207_Control	GSM1332208_Control	GSM1332209_Control	GSM1332210_Control	GSM1337304_Control	GSM1337305_Control	GSM1337306_Control	GSM1337307_Control	GSM1337308_Control	GSM1337309_Control	GSM1337310_Control	GSM1337311_Control	GSM1337312_Control	GSM1337313_Control	GSM5176143_Treat	GSM5176144_Treat	GSM5176145_Treat	GSM5176146_Treat	GSM5176147_Treat	GSM5176148_Treat	GSM1332211_Treat	GSM1332212_Treat	GSM1332213_Treat	GSM1332214_Treat	GSM1332215_Treat	GSM1332216_Treat	GSM1332217_Treat	GSM1332218_Treat	GSM1332219_Treat	GSM1332220_Treat	GSM1337327_Treat	GSM1337328_Treat	GSM1337329_Treat	GSM1337330_Treat	GSM1337331_Treat	GSM1337332_Treat	GSM1337333_Treat	GSM1337334_Treat	GSM1337335_Treat	GSM1337336_Treat	GSM1339633_Treat	GSM1339632_Treat	GSM1339631_Treat	GSM1339630_Treat	GSM1339629_Treat	GSM1339628_Treat
ALDH3A2	9.591424	9.75256	9.366624	9.263815	9.191174	9.427947	9.096737	9.255062	8.635415	8.848412	9.013317	8.205383	8.390005	8.859479	9.037885	8.318198	9.145821	9.576785	8.074214	8.516527	9.515313	9.268084	9.610055	9.655634	9.503254	8.752238	8.804471	9.472146	8.886852	8.688281	8.9546821	9.189659	9.625893	9.839603	9.629834	9.826136	10.012655	9.367517	9.5055	9.906432	9.861464	9.818077	9.393224	9.562368	9.515313	9.958762	9.140007	9.501707	9.265497	9.5173774	9.225987	9.520842	9.792009	9.602527	9.95931	9.854719	9.205134
AMN	7.282554	6.688914	6.019474	6.872805	5.646568	5.941544	7.238285	5.162302	7.324659	7.69581	6.700324	6.94942	7.152526	7.311896	6.132002	7.480953	6.653297	6.915584	7.247784	6.747328	7.07932	7.295962	8.232901	7.888298	8.050469	7.972409	7.986973	5.596422	6.820338	7.35424	7.5093388	4.981425	6.870151	6.637466	5.580487	7.012352	6.686471	7.844044	7.281744	7.026764	8.233139	6.777038	6.684766	6.951365	6.884682	5.908264	7.219346	6.535895	6.357335	6.462729	7.512981	6.117565	6.914194	7.287868	7.009695	6.460254	7.918142
ATF2	7.756947	7.575993	8.009545	7.865878	7.555822	8.649967	8.016157	7.668064	7.451545	7.503765	7.950058	7.697186	7.2971	7.60954	7.185521	7.908297	7.548086	8.185456	7.741431	8.225558	7.972514	7.578949	7.500346	7.43794	7.169036	7.055187	7.57371	7.542759	8.038969	7.958248	7.8603816	7.368513	7.719753	7.412942	7.930377	8.044818	7.658746	7.887929	7.601059	7.730222	7.058473	7.785936	7.637476	7.391494	7.55999	7.850223	7.491414	8.028258	7.388003	8.1376779	7.002269	7.974672	7.907424	7.790847	7.883743	7.910198	7.740873
ATF3	8.562676	10.769939	9.984473	8.516963	10.215584	9.86814	10.356382	10.538258	10.490325	11.949365	11.539129	10.982119	11.075171	9.979181	10.617038	10.150255	8.806297	8.391091	9.727542	10.830484	8.758463	7.246004	11.299525	11.476109	12.004247	9.521831	8.139748	7.831741	8.132051	8.249379	8.2038114	8.996393	8.253047	7.768776	9.869398	7.392844	8.087809	7.704264	7.793892	7.651721	7.640839	8.344187	7.887313	8.020234	8.439054	7.991269	7.53765	8.323815	8.341725	8.1609536	6.987319	7.626309	11.855793	6.933942	8.444676	7.506659	7.782406
ATG16L1	5.077732	4.86379	5.159731	5.673838	5.178041	4.611977	5.187259	5.130528	6.845846	6.376618	4.322672	5.633844	6.149104	3.707648	4.720244	5.687833	6.002111	5.494348	5.695851	4.161534	3.925502	5.3208	5.723343	5.768899	5.714809	5.839959	5.629182	3.268184	5.174274	5.4141	2.5078738	5.963053	4.476987	3.17003	5.422247	5.651841	3.635477	4.391095	2.851548	3.756999	4.812306	3.025361	4.318567	4.261974	5.677501	4.745828	4.244927	5.258028	3.538573	2.9821363	6.066029	5.266356	5.941286	5.567947	4.587248	4.708259	3.171935
ATG5	8.177678	8.188246	8.202061	7.979144	7.917513	8.44507	8.303102	8.145835	7.883417	8.015559	8.331686	8.369224	7.405309	7.907747	8.235232	7.764612	7.871604	7.820296	8.16799	8.237527	8.547559	7.949513	7.975586	8.198954	8.109995	8.430318	7.918929	8.241307	8.504956	8.332685	7.9674973	7.897192	8.250301	8.367848	8.163657	8.258156	8.323611	8.083127	8.215224	7.919766	8.006915	7.944753	8.125831	8.259992	8.59029	8.339571	8.468034	8.583866	8.237995	8.2232233	7.86824	8.354428	8.265329	8.263133	7.970329	8.018782	8.072247
BRD2	9.990473	10.189948	9.8654	10.003782	9.724538	9.389629	10.018773	10.624889	10.23653	10.715402	10.1002	10.170902	10.339285	10.114435	10.176814	9.872833	9.883478	9.408674	10.16859	9.913239	10.467022	10.375829	10.63467	10.720007	10.215691	9.716876	10.180314	9.615028	9.590413	9.055629	9.5286988	10.043609	9.658696	9.07189	9.284991	9.38499	9.413617	8.879233	9.451933	9.640136	10.093841	9.829725	9.553403	9.472939	9.288558	9.146481	9.413555	9.215307	9.202447	9.3419664	10.16954	9.309012	9.601651	9.930172	10.174579	9.846917	10.162123
BRD4	9.445926	8.768002	8.471832	8.833244	8.974148	8.217606	8.96674	8.55434	9.057091	10.067788	9.014154	9.615976	10.283464	9.537619	9.672263	8.838959	8.761402	8.613449	9.220283	9.352371	9.812553	9.807115	10.024065	10.034292	9.483878	8.88723	9.357785	8.541745	8.371235	8.336006	8.8784031	9.037482	8.442839	8.203193	8.086611	8.069126	8.117308	7.503614	9.045253	8.638875	8.930598	8.49102	8.486565	8.310712	7.935654	8.371954	8.933489	8.472392	8.139944	8.1920038	9.560467	9.116244	9.028315	9.652373	8.556078	9.324839	9.123696
CD44	10.633695	10.329	10.608309	10.51557	10.208	10.019122	11.023216	10.173145	10.535406	11.082686	10.237573	10.98079	11.038043	9.973019	10.056749	10.325777	10.49847	10.087014	11.666934	11.112878	9.859302	10.314196	10.332412	10.271858	10.55264	11.777306	10.119985	10.414836	10.489749	10.321779	10.5707325	9.994968	10.508541	9.649476	10.707662	10.42115	10.866712	10.504652	10.195132	10.378952	10.589197	10.431883	10.440928	10.319093	10.140679	10.342803	10.546984	9.765041	10.614241	10.2832197	10.433258	10.07383	10.085345	10.431687	10.622738	10.525001	10.583179
CDKN1A	9.599872	10.579252	10.27784	10.134931	10.701711	9.460664	10.886683	10.782749	11.266645	11.220013	11.01311	10.917717	11.524502	10.567802	10.264889	10.519307	8.96517	9.408067	11.841931	11.54282	9.909875	8.886947	10.64886	10.715299	11.506801	9.607717	8.776165	8.347871	9.454326	8.988882	8.7064532	8.680258	8.556802	8.50672	9.006386	9.120325	8.333456	9.385521	9.308189	9.00143	8.571511	9.156831	9.011532	9.124993	9.446347	8.081966	8.804468	8.913197	8.743877	9.4214752	9.149431	8.63404	8.990449	10.606046	8.780357	9.380041	9.583151
