id	GSM5176138_Control	GSM5176139_Control	GSM5176140_Control	GSM5176141_Control	GSM5176142_Control	GSM1332201_Control	GSM1332202_Control	GSM1332203_Control	GSM1332204_Control	GSM1332205_Control	GSM1332206_Control	GSM1332207_Control	GSM1332208_Control	GSM1332209_Control	GSM1332210_Control	GSM1337304_Control	GSM1337305_Control	GSM1337306_Control	GSM1337307_Control	GSM1337308_Control	GSM1337309_Control	GSM1337310_Control	GSM1337311_Control	GSM1337312_Control	GSM1337313_Control	GSM5176143_Treat	GSM5176144_Treat	GSM5176145_Treat	GSM5176146_Treat	GSM5176147_Treat	GSM5176148_Treat	GSM1332211_Treat	GSM1332212_Treat	GSM1332213_Treat	GSM1332214_Treat	GSM1332215_Treat	GSM1332216_Treat	GSM1332217_Treat	GSM1332218_Treat	GSM1332219_Treat	GSM1332220_Treat	GSM1337327_Treat	GSM1337328_Treat	GSM1337329_Treat	GSM1337330_Treat	GSM1337331_Treat	GSM1337332_Treat	GSM1337333_Treat	GSM1337334_Treat	GSM1337335_Treat	GSM1337336_Treat	GSM1339633_Treat	GSM1339632_Treat	GSM1339631_Treat	GSM1339630_Treat	GSM1339629_Treat	GSM1339628_Treat
ATP7A	7.0093032	7.0908083	7.3579823	7.4470822	7.4525429	6.8587987	6.9329659	7.695405	7.6618533	7.206114	7.303205	6.398726	7.708833	7.0559576	7.0844329	7.1152535	7.2756291	7.350001	6.6891461	6.7624169	7.5216111	7.5363565	7.1042958	7.7117936	7.6733616	6.7318345	6.9737641	7.3315451	6.9965801	7.4050645	7.4548034	7.1522478	7.0554782	7.1663898	7.2998	7.354106	6.9778787	6.840432	6.963183	6.9188222	7.6321394	7.5955063	7.3452548	7.4671119	6.9265086	7.1551976	7.049032	6.4682187	7.1765441	6.9186095	7.382572	7.464396	7.2540992	7.3968272	7.158993	6.7831618	6.9345798
ATP7B	6.0003561	6.8013165	7.0883736	6.5887823	6.5112771	6.5670673	6.8460614	7.07461	7.5567159	6.666862	7.4890419	6.60602	7.150461	6.7403958	7.4151116	6.744855	6.7829345	7.698535	6.8811026	6.7883655	6.5133781	7.0611719	6.0780885	5.6498106	6.8095921	7.7947187	6.4600649	6.8237638	7.2706908	6.7891057	6.9536565	6.5380642	6.4773206	6.0878415	6.482152	6.241005	7.4942122	6.140932	6.449927	6.6330503	7.2540626	7.0026556	6.9295155	7.2566138	6.3342794	7.1916898	6.3657542	6.6730277	7.4127781	7.0399109	5.8567621	6.892886	6.7136564	6.2462479	7.165732	6.9930843	6.6592622
CDKN2A	7.0212083	6.0541277	6.6496899	6.8203912	5.6185957	6.172912	5.9596063	6.674885	5.1246644	6.40306	6.6848249	6.690922	6.909652	6.5392247	6.8960558	5.9735368	6.4026764	6.0941926	6.6916862	6.4800017	7.0862355	6.6789571	6.2809128	6.0483466	6.090329	6.9914748	6.2941927	7.062697	6.9372185	6.5715644	7.0772592	6.4388155	6.6019502	6.7179812	6.217306	6.806447	6.8997028	6.921729	6.705999	6.9164396	7.0500749	6.5658519	6.5713239	6.7530711	7.1654508	6.491188	6.9696371	6.8717378	7.2518907	7.875986	6.8363512	6.697377	6.2457972	7.2746766	6.4037647	6.387912	6.9689929
DBT	8.9172394	8.1979355	8.5365145	9.0747014	8.8690865	8.7228178	8.6654815	8.688295	8.5672632	9.070492	8.8660637	8.63357	9.058488	8.5733742	8.7798162	9.1653206	8.7542798	8.856303	8.7297643	9.0680751	8.6291629	8.1869596	8.8947287	9.0305233	8.9662343	8.2509106	8.5775337	7.9640883	8.6489138	8.4986421	8.5745164	9.006632	8.3694442	8.2780253	8.753807	8.107906	7.9974981	7.98604	8.182084	7.9907268	9.5046553	8.3524213	8.4392194	7.692335	8.4327397	8.216817	7.7282653	8.4346642	8.072882	8.0809695	9.4431393	9.117796	8.83206	8.6150364	8.4098031	8.4230818	7.7504425
DLAT	7.7883612	7.376766	7.5193721	6.7333925	6.8988634	7.9465476	7.3854285	7.025868	7.0474536	7.741951	7.4947514	7.657067	6.163385	7.1994539	7.3892318	7.3753012	7.3615347	7.8810905	7.6265471	7.9844829	7.7392982	7.0917427	6.3402916	6.6493829	6.9275685	6.9469428	6.9573208	7.709644	7.6448281	7.5937995	7.2574611	6.7471388	7.5270203	7.5449573	7.435834	7.587319	7.6134873	7.573426	7.549831	7.526089	6.9376458	7.6419576	7.4177075	7.4657338	7.14519	7.5640923	7.8167142	7.3888428	7.4381205	7.574122	6.9167162	7.544928	7.7332485	7.1328192	7.2416844	6.9319523	7.2239354
DLD	9.6737121	9.2592541	9.6144746	9.4761108	9.757249	9.9339197	9.737653	9.278758	9.9047072	9.528079	9.8476539	9.56586	8.735989	9.865592	9.688781	9.1846974	9.5292889	9.8963564	9.0657073	9.6420082	9.9697544	8.6837302	9.0440742	9.569448	9.1846974	9.2028926	9.3006252	9.2837447	10.2238285	9.6498478	9.1414324	9.2503558	10.2557014	9.0702187	9.58236	9.970037	9.5787948	9.765393	9.557373	9.3432289	9.0288152	9.8888576	9.7095758	9.910063	9.5159571	9.7024812	9.8606461	9.7005718	9.9687368	9.8185307	9.6506581	9.541455	10.0193039	9.6081928	9.8846896	9.4949099	9.7060851
DLST	8.4192926	9.0534303	9.705629	9.5106751	8.9599387	8.0532356	9.2153259	10.109737	9.638024	9.079415	9.2512866	8.873396	9.706385	9.3483784	8.7413889	9.3870506	9.7347772	9.4913733	9.2682742	9.2932716	9.0457082	9.3575972	9.0495173	9.1271809	9.6246248	8.3296992	8.7489259	8.6740488	9.312307	9.2990689	8.8492076	8.9265394	9.2188909	8.8470843	8.964617	9.024289	8.5407252	8.958579	9.222335	9.2067049	8.304013	9.0626016	8.9305187	8.9454896	8.9066764	9.1802573	8.9876023	8.7587649	9.0694716	8.9838482	9.4336652	9.198698	9.157208	8.7340403	8.8369696	9.1133362	8.4073294
FDX1	7.7949565	8.3738568	8.7644402	8.2707443	8.300067	8.3528109	8.3543775	7.677639	8.1178166	8.331745	8.2780726	8.583128	7.741687	8.2756873	8.1951701	8.6580146	8.58774	8.4667726	8.7677833	9.2946064	8.2668851	8.3204873	8.3293045	8.2158098	7.9912768	8.496929	8.5320718	7.7911922	8.9943608	8.5523277	8.9878032	8.9030511	9.2403513	8.9944914	8.946121	8.774385	8.5012321	9.466784	8.995348	8.7012308	7.9019655	9.1027841	8.9790475	8.4625342	9.0623037	8.5302825	8.4918871	9.2164634	9.1656444	8.6021348	8.2523807	9.219341	8.2589353	7.6723377	8.4786363	8.6472948	8.6269648
GLS	7.9250059	8.0347641	7.8234058	7.6906121	7.8576634	8.1473802	8.0476863	7.834117	7.6615911	8.133292	7.8953595	7.956882	7.51374	7.6772758	8.1272958	8.2129313	8.0271204	7.9706788	8.3554518	8.0499724	8.1625605	8.1751548	8.1159804	8.1739536	8.1424939	8.1484931	8.0840778	8.4063594	8.3538173	8.2807871	8.2571963	8.3544801	8.4384345	7.478224	7.97184	7.881724	8.1343654	8.296447	8.196401	8.3518428	8.1940415	8.1779262	8.2249425	7.6678924	7.8093242	7.7944956	7.755002	7.1853106	7.9636325	8.1957936	8.6319734	8.014715	8.1082724	8.4206759	7.9884859	8.1727996	8.0691548
LIAS	5.5450738	6.5820784	6.8782364	6.8008089	6.08924	7.2227252	5.0558522	4.764575	4.1889122	5.164147	4.8701646	5.078092	4.112123	5.4141246	4.2679281	5.6582585	4.9221805	6.3928375	3.0050353	2.7914483	5.8068833	5.3372465	5.7511071	5.1483538	3.7335071	4.6819807	4.0578088	3.9349034	3.6831624	4.2243758	4.027394	5.0307832	4.7904672	3.8369132	5.371154	7.493144	3.5726247	4.015983	5.356105	4.8405363	4.7093716	2.493277	5.9944221	6.010536	6.6917253	6.6099909	5.9971259	4.5658506	5.9114474	5.7834972	4.2364079	3.354353	5.631215	6.2806321	3.4833872	5.0619322	5.8105375
LIPT1	7.9687189	7.7935511	8.1663016	8.8941913	7.5032151	8.0740842	8.0488215	8.657862	7.6567351	7.613755	8.2215721	7.145821	6.507532	7.5199267	7.0951794	7.8891191	7.5465376	7.8153588	6.9623189	7.0748157	8.5277751	8.4498912	7.9856753	7.3941594	7.4202257	7.3136207	7.6756326	7.7014237	8.32276	7.6852846	8.240405	8.4063741	8.0967439	8.8857085	8.820637	8.58725	8.3025695	7.371495	7.847135	7.911416	8.364805	7.7737424	8.1865194	8.3449076	9.0234205	8.7446958	8.2646736	8.9123471	8.1628763	8.4249018	8.493945	8.751886	7.9456729	8.0257948	8.1374277	8.6115291	7.9118665
MTF1	8.1232837	7.3636655	7.3981652	8.0109691	7.1219114	6.8695155	7.8835114	7.512106	7.3409865	8.096312	7.6292193	7.879574	7.828022	7.9561787	8.0038382	7.9247857	7.9286939	7.3608881	8.3678712	7.8232962	7.8890828	7.8673928	7.767599	7.9742906	8.0405899	8.3846586	7.8050328	7.5685604	7.8868312	7.884998	7.5218926	7.3962061	7.7489905	7.0142193	7.316315	7.222901	7.5270328	7.823808	8.083897	8.1577446	8.1790241	7.8119569	7.4375056	7.7353832	7.0203854	7.2809604	7.7816309	6.4707614	7.6589768	7.7645656	8.1449871	7.427837	7.9848204	7.8436087	7.8422254	7.9565183	7.9446395
NFE2L2	10.3313505	9.8024623	10.7236536	10.2527548	10.5503619	10.0379491	10.5369337	10.236692	10.6509702	10.544213	10.6123613	10.275161	10.004128	10.2640398	10.3152574	10.6642125	10.1913931	10.4499956	10.6147564	10.7443479	9.9581442	9.3613173	10.2926014	10.0381017	10.4866248	10.5370076	10.2362612	10.1848183	10.4463283	10.5470734	10.1470783	10.3272519	10.3937667	10.2181453	10.272717	10.554803	10.8049596	10.567981	10.309925	10.488264	10.7037614	10.6313113	10.3408958	10.1421952	10.4866248	10.4707366	10.0620688	10.5270429	10.9605286	10.7236987	10.1628853	10.69619	10.9844028	9.9622427	10.3335755	10.5693219	10.1525565
NLRP3	6.6458687	5.2233914	4.7491045	4.5269086	4.804444	4.0042938	4.2019339	3.907122	6.4761913	4.832975	4.3983591	4.373196	3.925006	4.2369377	4.3587656	4.7853933	4.788947	3.1231078	6.140516	5.9640186	3.683752	5.5273898	5.3685469	4.7656131	5.5273898	5.1932228	4.5446839	4.8152846	4.6700265	4.8117867	4.6183606	3.8707488	4.9656843	5.7664421	3.625179	4.239946	4.6228609	5.262515	5.427127	4.6932717	4.3434337	4.1056651	4.5223464	4.4674582	5.666351	5.5631476	5.3370378	4.0809408	2.4632062	5.0765063	4.8687795	4.39534	5.6783337	4.1492852	3.5355067	3.6691117	4.3269354
PDHA1	9.0997361	9.1139401	8.9744098	8.8748158	8.8288175	8.8976903	8.9332406	9.233256	9.2091351	8.600388	9.1093029	9.176397	8.878886	9.0004475	9.3930774	8.9017637	8.8775053	9.6803495	8.7170385	9.1265899	9.0402354	8.8136171	8.7845834	8.8559033	9.1010869	9.1706622	8.9883342	8.8514524	9.0275391	8.9905305	8.9374782	9.0266926	8.9952809	8.9259065	9.022189	8.923456	8.7685356	8.790657	8.826959	9.0595723	9.0860842	9.1829659	8.993155	9.132794	8.9947978	9.3101739	9.1739632	9.0257044	9.0541478	8.8493136	9.1256495	8.969457	8.938043	9.289446	8.8739717	9.2380814	9.1780352
PDHB	9.2490063	9.2488597	9.4909635	8.3527453	9.7379714	9.811126	9.3047097	9.599686	9.8848895	8.941116	10.0603444	9.309474	8.401966	9.6158046	9.3231918	9.4554719	9.7401429	9.5474521	7.8650672	8.7697482	9.6692038	9.9630608	9.3938559	9.4181927	9.4023961	9.6337354	10.0770156	9.8148968	9.6392134	10.2467595	9.6880016	9.5299926	9.944897	10.6056384	9.79529	9.985348	9.7795526	9.942755	9.629166	9.3589341	9.1030571	9.9756839	10.0051766	10.0444191	10.1098352	10.0282368	9.890805	10.0754626	9.6739852	9.8398145	9.4414252	10.03899	9.8696058	9.6963932	9.6807001	9.4704508	9.7055029
SLC31A1	6.7020215	7.7698955	8.0313647	7.6154392	7.6675488	7.9928714	7.1409515	7.287156	7.0805523	6.973598	6.9919938	7.063034	6.653107	6.7035015	6.875327	6.6316958	7.0861668	6.2876055	7.091996	7.5074929	7.6255632	7.8123399	7.180113	7.7571732	7.9378511	6.7894682	7.1579418	7.402652	7.8738497	7.5462559	7.2345554	7.5361467	7.7429309	8.038819	7.483559	7.351167	7.7525311	7.007749	7.406242	6.681391	6.8659554	7.3699303	7.8039195	6.9707372	7.3529972	6.4764112	7.6030574	7.8974082	7.1021028	7.2955723	7.5158892	7.735274	7.66078	7.0607404	6.7219341	6.7571376	7.1188797
