id	GSM5176138_Control	GSM5176139_Control	GSM5176140_Control	GSM5176141_Control	GSM5176142_Control	GSM1332201_Control	GSM1332202_Control	GSM1332203_Control	GSM1332204_Control	GSM1332205_Control	GSM1332206_Control	GSM1332207_Control	GSM1332208_Control	GSM1332209_Control	GSM1332210_Control	GSM1337304_Control	GSM1337305_Control	GSM1337306_Control	GSM1337307_Control	GSM1337308_Control	GSM1337309_Control	GSM1337310_Control	GSM1337311_Control	GSM1337312_Control	GSM1337313_Control	GSM5176143_Treat	GSM5176144_Treat	GSM5176145_Treat	GSM5176146_Treat	GSM5176147_Treat	GSM5176148_Treat	GSM1332211_Treat	GSM1332212_Treat	GSM1332213_Treat	GSM1332214_Treat	GSM1332215_Treat	GSM1332216_Treat	GSM1332217_Treat	GSM1332218_Treat	GSM1332219_Treat	GSM1332220_Treat	GSM1337327_Treat	GSM1337328_Treat	GSM1337329_Treat	GSM1337330_Treat	GSM1337331_Treat	GSM1337332_Treat	GSM1337333_Treat	GSM1337334_Treat	GSM1337335_Treat	GSM1337336_Treat	GSM1339633_Treat	GSM1339632_Treat	GSM1339631_Treat	GSM1339630_Treat	GSM1339629_Treat	GSM1339628_Treat
ABCC1	7.9880169	8.9514436	8.7180167	8.7656763	8.770221	8.620835	8.5942329	8.531382	8.5525586	8.855885	8.6146341	8.773716	8.535638	8.5396072	8.4176435	8.9410625	8.6462651	8.2374355	9.0696836	9.126227	8.3453191	8.970729	8.6161503	8.5397158	8.4900376	8.8671054	8.3685638	8.7651991	8.4909607	8.7090195	8.4102593	8.8180612	8.2489566	8.902734	8.951009	8.132621	8.4706367	8.25134	8.209734	8.4706367	8.2356188	8.5318633	8.4809167	8.3979169	7.981347	8.1762974	8.3768431	7.9323803	8.4879736	8.8637472	8.4335184	8.13674	8.7721628	8.5195314	8.4959032	8.4367951	8.4031044
ABCC5	8.7470673	8.6385166	8.6159811	8.400451	8.6523458	8.7813842	8.7600318	8.991043	8.332113	8.641344	8.386913	8.425229	8.488706	8.3771487	8.6689289	9.1227506	9.036123	8.9237269	8.2392748	8.2981864	8.7534624	8.6199383	9.4286288	9.4108034	9.5198801	9.4232864	9.0447331	9.0970738	8.4321812	9.0776163	8.1055954	9.155968	9.1244279	9.3476246	8.923269	8.700588	8.5355904	8.776527	9.195959	8.817955	9.1285466	8.9906351	8.8692893	8.333802	8.3738818	8.3482284	8.4762541	8.7881027	8.7661216	8.4470199	9.6832238	8.790722	8.9362426	8.7087941	9.0228735	8.4975043	8.4781744
ACADSB	5.7870879	5.4869637	3.3460444	3.6310912	5.5372417	5.4179915	5.3058259	5.680306	5.2486187	5.180235	5.6407687	2.520575	4.47618	5.4659324	5.1368761	2.7172643	4.5020096	4.5294264	4.7157374	4.6146552	5.887532	4.5091933	5.0013563	4.8293291	4.9293894	4.0265481	4.2167427	2.5723953	5.4153221	4.517664	5.7365939	5.6560385	4.6925895	4.8541767	5.795415	5.375029	5.6169031	3.127956	4.193929	3.4433293	5.5834419	4.9994461	5.1649064	5.4126065	5.3120757	5.2106792	5.4461638	5.4935853	4.147643	4.0293537	4.641273	3.865979	3.3926852	5.5701769	4.3689359	5.1791662	5.3554679
ACO1	9.7169997	9.5899135	9.8035089	9.2775848	9.850936	9.2319518	9.1963882	9.374657	9.4662103	9.478328	8.993886	10.082058	8.915441	9.1729873	10.0419397	9.845104	10.0479466	10.7002856	9.5915908	10.0698154	9.6085302	9.1411645	9.3790411	9.3997355	9.4269218	10.0944813	9.6866043	9.4885262	9.0848011	9.4649912	8.9172662	9.4633708	9.493076	10.0638832	9.366874	9.805024	9.4972122	9.906415	9.639038	9.5049473	10.0288385	9.6421566	9.467272	9.1396012	9.4954296	9.7405817	9.6987137	9.2360748	9.5525054	9.2312403	9.8074814	9.457163	9.6224197	9.4726238	9.1528116	9.5215907	9.7562143
ACSF2	5.7481082	7.4556535	7.2182075	7.580905	7.4339395	6.5233822	7.4591212	5.952265	7.0621744	7.133208	6.6508146	7.275287	7.409718	7.2691095	7.1367996	7.2029858	6.8664301	7.9816556	6.2127216	6.3505999	7.3689707	7.0832181	7.8053387	7.4038908	7.4457006	6.9167458	6.9962	7.4045375	6.6074758	7.0971221	7.09082	7.3161321	6.4019682	6.3030539	7.195294	7.087772	6.0929221	7.197125	7.591896	7.2464102	6.4755081	7.294651	7.0690745	5.1004734	7.240872	7.5667534	6.7546401	7.0784323	7.245622	6.9653524	7.4159805	7.38021	7.2290845	7.6917479	7.5292234	7.7247615	6.1155046
ACSL1	9.6792844	9.8734371	9.0882581	9.8119546	9.052011	11.3234115	9.9863504	9.788939	10.640717	9.603983	8.7529982	9.862814	8.407974	9.9182827	11.1772301	10.0606462	8.8661719	11.365837	11.1520765	11.4098791	10.7692001	8.4150106	8.592032	8.4314719	9.9492791	9.1671834	9.474601	8.9713006	10.0484331	9.6993391	9.8691431	8.6530546	8.9990751	10.5949998	9.558579	9.882932	9.1869431	9.38694	9.249585	8.5202469	8.7858281	9.7386691	9.082184	9.4252959	8.9967027	10.7798609	9.4957405	9.3943123	9.3273561	8.9128269	9.1322054	10.3362	9.2841787	10.3968072	9.9141827	10.2125414	8.495183
ACSL3	8.4019178	8.5518763	8.8197779	8.6293123	8.8610639	8.9046498	8.8776871	8.617453	9.0436026	8.765922	9.0899103	8.856814	8.364756	8.353707	8.8387477	8.518419	8.7631576	8.8952713	9.1887551	8.7818457	8.4704584	9.0535833	9.0376152	9.2270488	8.5577212	9.3571541	8.8471441	8.8928771	8.9335459	9.0891802	9.1478813	8.9809489	9.0238998	8.6329607	8.750228	8.883384	8.677127	8.784262	9.33641	9.2784595	8.9881546	9.1596952	9.007201	8.76342	8.5538497	8.8621066	8.8081446	8.5087907	9.1550996	9.0133411	8.6464294	9.086137	9.3621765	9.0116161	9.2249778	9.1759208	8.9776773
ACSL4	7.8973187	7.8978266	7.6750777	8.4734665	8.6426612	7.9133957	7.6067446	7.247253	7.6297598	7.650837	8.5319402	9.251852	7.883132	8.2336985	6.9966461	8.1861945	7.3554804	8.9522993	9.5705765	10.1064012	7.1961589	6.2345113	6.8176377	6.3957879	7.1577924	6.6029694	6.0523798	6.631277	7.6203838	7.5040166	7.4910224	7.6130036	6.9750628	7.6877949	6.364469	6.944282	7.6811618	7.431321	7.965839	6.7982255	6.7753707	7.5121937	7.5724648	6.8819005	6.5966809	7.4437732	7.6715265	7.1992215	7.8565846	7.4069459	6.9587227	8.371295	7.1907407	6.6133561	7.1161141	7.71709	7.0486278
ACVR1B	7.2947873	7.3978112	7.4259035	7.543982	7.2100167	7.6624504	7.5013281	7.854726	7.6220797	7.452683	7.3813497	7.467818	7.569856	7.3485581	7.3142994	7.3084683	7.4417613	7.8756987	7.8400578	7.8920719	7.3905899	6.6611339	6.8080591	6.7587682	7.0863584	6.9963377	7.1836534	6.6727531	6.6889029	7.1960272	6.8885616	6.9084845	7.0827226	7.0193698	7.155161	7.286086	7.0411457	6.612254	6.810885	6.780235	7.4610142	7.0569187	7.2347736	7.3166752	7.1693413	7.2967317	7.0216141	6.8873492	7.3417926	7.1173537	7.1394289	7.169612	7.2588687	6.6998457	7.0539117	7.5667556	7.2436201
ADAM23	6.4299588	6.9299071	5.7000834	6.9199911	6.118834	6.1063936	6.4546938	5.149669	6.286168	6.528243	7.0596153	6.554936	7.054273	6.3080697	6.7788652	7.3934477	6.63394	6.0095897	6.9542254	5.84525	6.109356	6.9115642	6.5810759	7.2392998	6.0194462	6.7501754	6.0756838	6.9987494	6.3788212	5.734287	5.6930418	6.8058099	7.1598161	6.339304	7.41523	5.916261	6.6061619	6.422419	6.393823	6.9160144	6.7297206	6.6457364	6.9194303	7.3883003	6.5707588	6.7494662	6.5746053	6.2785658	6.967839	6.3952184	6.2539232	7.113911	6.6478807	6.0661393	6.7353318	6.0185234	6.8599971
