id	Type
A1CF	FRG
A2M	FRG
A4GALT	FRG
A4GNT	FRG
AAAS	FRG
AACS	FRG
AADAC	FRG
AAGAB	FRG
AAK1	FRG
AAMDC	FRG
AAMP	FRG
AANAT	FRG
AAR2	FRG
AARS	FRG
AASDHPPT	FRG
AASS	FRG
AATF	FRG
AATK	FRG
ABAT	FRG
ABCA1	FRG
ABCA11P	FRG
ABCA12	FRG
ABCA2	FRG
ABCA3	FRG
ABCA4	FRG
ABCA5	FRG
ABCA6	FRG
ABCA7	FRG
ABCA8	FRG
ABCB1	FRG
ABCB11	FRG
ABCB4	FRG
ABCB6	FRG
ABCB7	FRG
ABCB8	FRG
ABCB9	FRG
ABCC1	FRG
ABCC10	FRG
ABCC2	FRG
ABCC3	FRG
ABCC4	FRG
ABCC5	FRG
ABCC8	FRG
ABCC9	FRG
ABCD1	FRG
ABCD2	FRG
ABCD3	FRG
ABCD4	FRG
ABCE1	FRG
ABCF1	FRG
ABCF2	FRG
ABCF3	FRG
ABCG1	FRG
ABCG2	FRG
ABCG4	FRG
ABCG5	FRG
ABHD10	FRG
ABHD11	FRG
ABHD17A	FRG
ABHD17B	FRG
ABHD2	FRG
ABHD3	FRG
ABHD4	FRG
ABHD5	FRG
ABHD6	FRG
ABHD8	FRG
ABI1	FRG
ABI2	FRG
ABI3BP	FRG
ABL1	FRG
ABL2	FRG
ABLIM1	FRG
ABLIM3	FRG
ABO	FRG
ABR	FRG
ABT1	FRG
ABTB2	FRG
AC003989.4	FRG
AC004692.5	FRG
AC004941.5	FRG
AC005838.2	FRG
AC007292.3	FRG
AC007389.3	FRG
AC012065.7	FRG
AC068039.4	FRG
AC074212.6	FRG
AC084219.3	FRG
ACAA1	FRG
ACAA2	FRG
ACACA	FRG
ACACB	FRG
ACAD10	FRG
ACAD8	FRG
ACADL	FRG
ACADM	FRG
ACADS	FRG
ACADSB	FRG
ACADVL	FRG
ACAN	FRG
ACAP1	FRG
ACAP2	FRG
ACAT1	FRG
ACAT2	FRG
ACBD3	FRG
ACBD4	FRG
ACD	FRG
ACE	FRG
ACE2	FRG
ACHE	FRG
ACIN1	FRG
ACKR1	FRG
ACKR2	FRG
ACKR3	FRG
ACKR4	FRG
