ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0071216	cellular response to biotic stimulus	8/40	264/18614	7.64702641381945e-08	0.000112659945628528	6.26724345437983e-05	HSPA5/IL1B/IL6/MEF2C/MTDH/RELA/TNFAIP3/ZFP36	8
BP	GO:0033138	positive regulation of peptidyl-serine phosphorylation	6/40	108/18614	1.08430795440794e-07	0.000112659945628528	6.26724345437983e-05	EGFR/IL6/PARK7/PTGS2/TBK1/TFRC	6
BP	GO:0050727	regulation of inflammatory response	9/40	414/18614	1.81293731003802e-07	0.000112659945628528	6.26724345437983e-05	BRD4/FURIN/IL1B/IL6/PARK7/PTGS2/RELA/TNFAIP3/ZFP36	9
BP	GO:0042594	response to starvation	7/40	207/18614	2.595422113318e-07	0.000112659945628528	6.26724345437983e-05	ATF3/CDKN1A/GABARAPL2/HSPA5/PEX2/ULK1/ZFP36	7
BP	GO:0002675	positive regulation of acute inflammatory response	4/40	28/18614	3.60558675826058e-07	0.000112659945628528	6.26724345437983e-05	IL1B/IL6/PARK7/PTGS2	4
BP	GO:0031331	positive regulation of cellular catabolic process	9/40	450/18614	3.66068921946047e-07	0.000112659945628528	6.26724345437983e-05	ATG16L1/FURIN/IL1B/IL6/MTDH/PARK7/TBK1/ULK1/ZFP36	9
BP	GO:0071222	cellular response to lipopolysaccharide	7/40	224/18614	4.42634532269645e-07	0.000112659945628528	6.26724345437983e-05	IL1B/IL6/MEF2C/MTDH/RELA/TNFAIP3/ZFP36	7
BP	GO:0051090	regulation of DNA-binding transcription factor activity	9/40	465/18614	4.81882009010147e-07	0.000112659945628528	6.26724345437983e-05	CDKN2A/DDR2/IL1B/IL6/MTDH/PARK7/RELA/TFRC/TNFAIP3	9
BP	GO:0033135	regulation of peptidyl-serine phosphorylation	6/40	143/18614	5.72772081030259e-07	0.000112659945628528	6.26724345437983e-05	EGFR/IL6/PARK7/PTGS2/TBK1/TFRC	6
BP	GO:0032496	response to lipopolysaccharide	8/40	345/18614	5.88761267331359e-07	0.000112659945628528	6.26724345437983e-05	IL1B/IL6/MEF2C/MTDH/PTGS2/RELA/TNFAIP3/ZFP36	8
BP	GO:0031667	response to nutrient levels	9/40	477/18614	5.96273585353304e-07	0.000112659945628528	6.26724345437983e-05	ATF3/CDKN1A/GABARAPL2/HSPA5/PEX2/PTGS2/TFRC/ULK1/ZFP36	9
BP	GO:0071219	cellular response to molecule of bacterial origin	7/40	237/18614	6.47161008876178e-07	0.000112659945628528	6.26724345437983e-05	IL1B/IL6/MEF2C/MTDH/RELA/TNFAIP3/ZFP36	7
BP	GO:0034614	cellular response to reactive oxygen species	6/40	152/18614	8.19701349568536e-07	0.000131719701480667	7.3275327119325e-05	DDR2/EGFR/IL6/PARK7/RELA/TNFAIP3	6
