ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa05163	Human cytomegalovirus infection	8/29	225/8464	5.83812457490235e-07	5.55839221328459e-05	3.08799567404699e-05	CDKN1A/CDKN2A/EGFR/IL1B/IL6/PTGS2/RELA/TBK1	8
hsa04657	IL-17 signaling pathway	6/29	94/8464	6.17599134809399e-07	5.55839221328459e-05	3.08799567404699e-05	IL1B/IL6/PTGS2/RELA/TBK1/TNFAIP3	6
hsa04621	NOD-like receptor signaling pathway	7/29	186/8464	2.29160236524738e-06	0.000137496141914843	7.63867455082461e-05	ATG16L1/GABARAPL2/IL1B/IL6/RELA/TBK1/TNFAIP3	7
hsa05022	Pathways of neurodegeneration - multiple diseases	9/29	476/8464	1.90018262269639e-05	0.000855082180213377	0.000475045655674098	FZD7/HSPA5/IL1B/IL6/PARK7/PTGS2/RELA/TBK1/ULK1	9
hsa04066	HIF-1 signaling pathway	5/29	109/8464	2.99863815015203e-05	0.00105593284154547	0.00058662935641415	CDKN1A/EGFR/IL6/RELA/TFRC	5
hsa04668	TNF signaling pathway	5/29	114/8464	3.7235290616461e-05	0.00105593284154547	0.00058662935641415	IL1B/IL6/PTGS2/RELA/TNFAIP3	5
hsa05167	Kaposi sarcoma-associated herpesvirus infection	6/29	194/8464	4.10640549489905e-05	0.00105593284154547	0.00058662935641415	CDKN1A/IL6/PTGS2/RELA/TBK1/ZFP36	6
hsa05162	Measles	5/29	139/8464	9.61011685447027e-05	0.00180386339784845	0.00100214633213803	IL1B/IL6/RELA/TBK1/TNFAIP3	5
hsa04137	Mitophagy - animal	4/29	72/8464	9.7349048112711e-05	0.00180386339784845	0.00100214633213803	GABARAPL2/RELA/TBK1/ULK1	4
hsa04936	Alcoholic liver disease	5/29	142/8464	0.000106334500182304	0.00180386339784845	0.00100214633213803	ALDH3A2/IL1B/IL6/RELA/TBK1	5
hsa04623	Cytosolic DNA-sensing pathway	4/29	75/8464	0.000114198126109136	0.00180386339784845	0.00100214633213803	IL1B/IL6/RELA/TBK1	4
hsa05212	Pancreatic cancer	4/29	76/8464	0.000120257559856563	0.00180386339784845	0.00100214633213803	CDKN1A/CDKN2A/EGFR/RELA	4
hsa01523	Antifolate resistance	3/29	30/8464	0.000137987028474265	0.00191058962502828	0.00106143868057127	IL1B/IL6/RELA	3
hsa05010	Alzheimer disease	7/29	384/8464	0.000245475980271441	0.0031561197463471	0.00175339985908173	FZD7/IL1B/IL6/PTGS2/RELA/SLC39A14/ULK1	7
hsa05219	Bladder cancer	3/29	41/8464	0.000353238814187297	0.00403369220111157	0.00224094011172865	CDKN1A/CDKN2A/EGFR	3
hsa04064	NF-kappa B signaling pathway	4/29	104/8464	0.000403369220111157	0.00403369220111157	0.00224094011172865	IL1B/PTGS2/RELA/TNFAIP3	4
hsa04620	Toll-like receptor signaling pathway	4/29	104/8464	0.000403369220111157	0.00403369220111157	0.00224094011172865	IL1B/IL6/RELA/TBK1	4
hsa04625	C-type lectin receptor signaling pathway	4/29	104/8464	0.000403369220111157	0.00403369220111157	0.00224094011172865	IL1B/IL6/PTGS2/RELA	4
hsa05169	Epstein-Barr virus infection	5/29	202/8464	0.000548600631136596	0.00519726913708354	0.00288737174282419	CDKN1A/IL6/RELA/TBK1/TNFAIP3	5
hsa05417	Lipid and atherosclerosis	5/29	215/8464	0.000728734073489377	0.00648828171539709	0.00360460095299838	HSPA5/IL1B/IL6/RELA/TBK1	5
hsa05165	Human papillomavirus infection	6/29	331/8464	0.000756966200129661	0.00648828171539709	0.00360460095299838	CDKN1A/EGFR/FZD7/PTGS2/RELA/TBK1	6
hsa05166	Human T-cell leukemia virus 1 infection	5/29	222/8464	0.000842457502117035	0.00689283410823029	0.00382935228235016	CDKN1A/CDKN2A/IL6/RELA/ZFP36	5
