ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
TNFa signaling via NFKB	TNFa signaling via NFKB	193	-0.770222585967527	-3.33438621702628	1e-10	2.5e-09	1.36842105263158e-09	934	tags=50%, list=7%, signal=47%	KLF10/ABCA1/ID2/ACKR3/CCL4/CXCL1/KDM6B/BTG3/CD69/PDE4B/SPHK1/JAG1/NFAT5/TGIF1/IRF1/SERPINE1/PHLDA1/SAT1/BMP2/SLC16A6/CD83/BTG1/KLF2/IER5/EGR1/HES1/PLK2/FOS/MXD1/SPSB1/BHLHE40/MCL1/TRIB1/ICAM1/CEBPB/IL1B/EDN1/KLF6/ETS2/IL15RA/EFNA1/GPR183/MAP3K8/IER2/SDC4/LDLR/DUSP5/NFKB2/KLF4/IRS2/IER3/JUNB/DUSP1/NR4A3/PTX3/DUSP4/BCL6/GCH1/GADD45A/BTG2/PNRC1/LIF/AREG/SOCS3/FOSL1/NFKBIA/TNFAIP3/NR4A1/RHOB/TIPARP/PPP1R15A/PFKFB3/CCNL1/CEBPD/NR4A2/JUN/KLF9/CDKN1A/ZFP36/PTGS2/NAMPT/DUSP2/MYC/FOSL2/VEGFA/IL6/CXCL2/ATF3/NFIL3/SLC2A3/MAFF/CXCL3/SIK1/GADD45B/CCL20/FOSB
Hypoxia 	Hypoxia 	184	-0.587702128118525	-2.53120081520978	1e-10	2.5e-09	1.36842105263158e-09	1330	tags=35%, list=11%, signal=32%	SLC2A1/ZNF292/SLC6A6/MT1E/GPC3/EGFR/DPYSL4/GYS1/ENO2/MXI1/DDIT3/GBE1/ACKR3/SAP30/WSB1/NDRG1/PDK1/SIAH2/HSPA5/KLHL24/SERPINE1/KDM3A/PGF/BTG1/JMJD6/HK2/CITED2/FOS/RORA/BHLHE40/STC2/PPARGC1A/FOXO3/ANKZF1/PCK1/KLF6/EFNA1/SDC4/ENO3/GLRX/IRS2/IER3/DUSP1/ANGPTL4/PNRC1/TNFAIP3/PIM1/STC1/TIPARP/PPP1R15A/PFKFB3/PLIN2/JUN/HAS1/CDKN1A/ZFP36/FOSL2/VEGFA/ADM/IL6/DDIT4/ATF3/NFIL3/SLC2A3/MAFF
MYC targets v2	MYC targets v2	54	-0.683673448094024	-2.41898819921073	5.34508756950618e-09	6.97607088278218e-08	3.81848090425972e-08	2077	tags=57%, list=17%, signal=48%	SUPV3L1/BYSL/FARSA/EXOSC5/DDX18/MYBBP1A/RCL1/NIP7/PA2G4/TCOF1/MAP3K6/TMEM97/WDR74/NOC4L/RRP12/NPM1/RRP9/MRTO4/NOP2/IPO4/NOLC1/HSPD1/NOP16/WDR43/PES1/PUS1/HK2/LAS1L/PPRC1/DUSP2/MYC
UV response up	UV response up	151	-0.506935348194244	-2.13508271452284	6.33183089421573e-09	6.97607088278218e-08	3.81848090425972e-08	778	tags=21%, list=6%, signal=20%	BTG3/MMP14/GRPEL1/BCL2L11/MSX1/FURIN/DNAJB1/IRF1/NXF1/PPIF/BMP2/BTG1/PRPF3/TFRC/ASNS/CHKA/FOS/DDX21/ICAM1/SLC6A8/RRAD/MAOA/JUNB/GCH1/BTG2/NFKBIA/NR4A1/RHOB/IL6/CXCL2/ATF3/FOSB
Inflammatory response	Inflammatory response	193	-0.474289841185772	-2.05325777007543	6.97607088278218e-09	6.97607088278218e-08	3.81848090425972e-08	1161	tags=26%, list=9%, signal=24%	GPC3/SLC28A2/CCL7/IL1A/KCNA3/ABCA1/IL10/GABBR1/CD69/SLC7A1/MMP14/BDKRB1/PDE4B/SPHK1/OSM/FPR1/IL18R1/IRF1/PVR/SERPINE1/CCL24/TNFRSF1B/VIP/P2RY2/IL1R1/EREG/BEST1/MXD1/ICAM1/IL1B/ITGA5/EDN1/KLF6/IL15RA/GPR183/RGS16/LDLR/GCH1/BTG2/SELE/LIF/NFKBIA/CDKN1A/RGS1/NAMPT/MYC/ADM/IL6/CXCL8/CCL20
P53 pathway	P53 pathway	188	-0.477392207725777	-2.06580486086479	2.27939564890711e-08	1.89949637408926e-07	1.03972433108044e-07	1899	tags=34%, list=15%, signal=29%	ADA/TAP1/TNFSF9/SESN1/BAIAP2/DEF6/HMOX1/SERPINB5/CCND3/ACVR1B/F2R/POM121/DNTTIP2/ALOX15B/TCHH/NOTCH1/PITPNC1/IL1A/TRIB3/STOM/DDIT3/RHBDF2/TM4SF1/RALGDS/SOCS1/PIDD1/ITGB4/NDRG1/TSPYL2/SPHK1/TOB1/OSGIN1/SAT1/BMP2/ZFP36L1/SLC3A2/CDK5R1/TXNIP/BTG1/PLK3/IER5/PLK2/FOS/TRAF4/MXD1/FOXO3/DCXR/UPP1/RRAD/RGS16/MKNK2/KLF4/INHBB/IER3/GADD45A/BTG2/LIF/PPP1R15A/ZBTB16/JUN/CDKN1A/SLC19A2/DDIT4/ATF3
Epithelial mesenchymal transition	Epithelial mesenchymal transition	189	0.462518648801468	2.0096635811743	3.26849921253399e-08	2.33464229466714e-07	1.27790946655464e-07	1288	tags=37%, list=10%, signal=34%	MXRA5/LRRC15/FAP/MMP1/NID2/COL1A1/MEST/LOXL1/SCG2/COL11A1/THY1/COL5A1/CDH11/TNFRSF11B/CAPG/FUCA1/BGN/COL3A1/COL5A2/GREM1/SPP1/COL1A2/PCOLCE/TNC/PTHLH/CADM1/VEGFC/COMP/SERPINH1/COL8A2/SGCB/GAS1/DPYSL3/VCAM1/SGCD/TIMP1/FBLN5/EFEMP2/SDC1/ECM2/VCAN/LGALS1/CRLF1/SGCG/WNT5A/ELN/GLIPR1/MMP3/CDH2/EMP3/NT5E/THBS2/RGS4/CXCL12/SFRP4/SPARC/HTRA1/EDIL3/COL16A1/GPX7/BASP1/CXCL6/FBN1/FMOD/IGFBP2/DST/SPOCK1/TGFBI/LOXL2/SFRP1
IL2 STAT5 signaling	IL2 STAT5 signaling	175	-0.475991552030668	-2.04738979595217	5.18261755432767e-08	3.23913597145479e-07	1.77300074226999e-07	1245	tags=29%, list=10%, signal=27%	POU2F1/ODC1/NCOA3/PTRH2/HIPK2/SLC1A5/NOP2/BCL2L1/MAPKAPK2/SPRY4/AMACR/IKZF4/PNP/ICOS/IL10/IGF1R/SOCS1/NDRG1/CISH/IL18R1/FURIN/PHLDA1/EMP1/BATF3/SOCS2/BMP2/TNFRSF1B/CD83/PUS1/HK2/IL13/MXD1/RORA/BHLHE40/BATF/KLF6/MAP3K8/ENO3/IL3RA/RGS16/GABARAPL1/LIF/IL1R2/PIM1/RHOB/PLIN2/MYC/NFIL3/SLC2A3/MAFF/GADD45B
Apoptosis 	Apoptosis 	155	-0.465865355435129	-1.9645167399473	1.28952376547064e-06	7.16402091928134e-06	3.92135881897505e-06	1566	tags=30%, list=12%, signal=27%	CDKN1B/AVPR1A/ISG20/RELA/F2R/DNAJA1/CASP4/CFLAR/IGFBP6/CDK2/IL1A/KRT18/EGR3/BIRC3/ENO2/BCL2L1/DDIT3/RARA/BTG3/CD69/WEE1/BCL2L11/BCL2L10/IRF1/TGFBR3/EMP1/SAT1/BMP2/TXNIP/CTH/EREG/MCL1/HMGB2/IL1B/NEDD9/PMAIP1/DNAJC3/IER3/GCH1/GADD45A/BTG2/RHOB/JUN/CDKN1A/IL6/ATF3/GADD45B
Mtorc1 signaling	Mtorc1 signaling	188	-0.419127697984507	-1.81367861018129	8.46639645534667e-06	4.23319822767333e-05	2.31711902988435e-05	1777	tags=24%, list=14%, signal=21%	ABCF2/PITPNB/CCT6A/ENO1/CFP/TBK1/NFKBIB/UBE2D3/HSPA9/UFM1/TMEM97/SLC2A1/SLC6A6/RRP9/TRIB3/SLC1A5/TOMM40/DDIT3/GBE1/PIK3R3/PHGDH/PNP/HSPD1/PDK1/HSPA5/SCD/TFRC/CTH/HK2/ASNS/EGLN3/INSIG1/BHLHE40/IFRD1/GLRX/LDLR/BTG2/STC1/PPP1R15A/MTHFD2/CDKN1A/NAMPT/SLC7A5/DDIT4/NFIL3/SLC2A3
