ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	348	0.487661453793532	2.27500688457864	1e-10	3.1685e-07	2.77157894736842e-07	1625	tags=32%, list=13%, signal=29%	WNT5B/OGN/MXRA5/LRRC15/NID2/DPT/COL1A1/LOXL1/COL11A1/COL5A1/MMP9/CDON/THBS4/COL8A1/SPON1/BGN/COL3A1/COL14A1/COL5A2/SULF1/GREM1/GPC5/COL1A2/SDC3/ANGPTL2/ASPN/PCOLCE/TNC/COMP/GDF10/TPSB2/THBS3/MFAP4/CLU/TPSAB1/SERPINH1/C1QA/CDH13/COL8A2/APOE/SCARA3/C1QB/TIMP1/FBLN5/ADAMTS3/KAZALD1/EFEMP2/ECM2/SBSPON/VCAN/LTBP2/CPA3/EGFL6/LTBP3/LGALS1/SERPINA5/MFAP2/OMD/WNT5A/ELN/S100A8/CTSS/MDK/CTSC/MBL2/ANGPT1/ITIH5/CDH2/LMAN1/ANXA4/VWA1/NDP/SERPINF1/S100A10/THBS2/LAMA4/GPC4/LTBP1/S100A4/CXCL12/SPARC/HTRA1/EFEMP1/EDIL3/COL16A1/THSD4/AEBP1/TGFB3/CMA1/FBN1/CSTB/FMOD/SEMA3B/DST/TGFBI/LOXL2/SFRP1/CTSH/LAMC3/IMPG1/PRELP/SRPX2/CTSD/COL21A1/ATRN/CBLN1/FGB/MMP2/HAPLN1/COL9A1/ACAN/LAMB3
GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE	GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE	440	0.462610827464331	2.21369124917943	1e-10	3.1685e-07	2.77157894736842e-07	1625	tags=30%, list=13%, signal=27%	WNT5B/EPYC/OGN/MXRA5/LRRC15/MMP1/LRRC17/NID2/DPT/COL1A1/MMP13/LOXL1/COL11A1/COL5A1/MMP9/CDON/TNFRSF11B/THBS4/COL8A1/SPON1/BGN/COL3A1/COL14A1/TRIL/COL5A2/SULF1/GREM1/GPC5/COL1A2/SDC3/ANGPTL2/ASPN/PCOLCE/TNC/OLFML2B/COMP/GDF10/TPSB2/THBS3/MFAP4/CLU/TPSAB1/SERPINH1/C1QA/CDH13/COL8A2/APOE/SCARA3/C1QB/TLR3/TIMP1/FBLN5/ADAMTS3/KAZALD1/EFEMP2/ECM2/ADAMTSL3/SBSPON/VCAN/LTBP2/CPA3/EGFL6/LTBP3/LGALS1/SERPINA5/MFAP2/KERA/OMD/WNT5A/ELN/S100A8/CTSS/MDK/CTSC/MBL2/MMP3/ANGPT1/ITIH5/CDH2/LMAN1/ANXA4/VWA1/NDP/SERPINF1/S100A10/THBS2/LAMA4/GPC4/LTBP1/S100A4/CXCL12/SPARC/HTRA1/EFEMP1/CD180/EDIL3/COL16A1/THSD4/AEBP1/TGFB3/CRISP3/CMA1/FBN1/CSTB/FMOD/SEMA3B/DST/HPSE/TGFBI/LOXL2/SFRP1/CTSH/LAMC3/DMBT1/IMPG1/PRELP/SRPX2/DSPP/CTSD/COL21A1/ATRN/CHAD/EMID1/CBLN1/FGB/DMP1/MMP2/HAPLN1/ADAMTSL2/COL9A1/LRRN3/ACAN/LAMB3
GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT	GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT	138	0.535203491522592	2.23075066114056	2.02967506329415e-10	3.6039295461366e-07	3.15246181406698e-07	1625	tags=38%, list=13%, signal=33%	OGN/MXRA5/NID2/DPT/COL1A1/COL11A1/COL5A1/COL8A1/SPON1/BGN/COL3A1/COL14A1/COL5A2/COL1A2/ASPN/PCOLCE/TNC/COMP/THBS3/MFAP4/COL8A2/FBLN5/EFEMP2/SBSPON/VCAN/LTBP2/MFAP2/ELN/CD4/VWA1/THBS2/LAMA4/LTBP1/SPARC/EFEMP1/EDIL3/COL16A1/THSD4/AEBP1/FBN1/FMOD/TGFBI/IMPG1/PRELP/SRPX2/DSPP/COL21A1/FGB/HAPLN1/COL9A1/ACAN/LAMB3
GOBP_NCRNA_METABOLIC_PROCESS	GOBP_NCRNA_METABOLIC_PROCESS	418	-0.395735192154008	-1.86869469149676	2.27484901129027e-10	3.6039295461366e-07	3.15246181406698e-07	2368	tags=28%, list=19%, signal=24%	RPL35A/NFATC4/RIPK1/HIF1A/TDRD12/TRMU/RRP7A/LRRC47/SPIN1/RBM7/PPARA/LIN28A/EXOSC7/BYSL/EXOSC2/PUS3/ETS1/DDX27/ANG/FARSA/THADA/SRF/EXOSC5/SRSF3/YTHDF2/UTP14A/DDX18/ZC3H7B/AGO3/MDN1/DIMT1/TRIT1/SOX9/ZNF143/YRDC/SMAD1/RCL1/SREBF1/NCL/TRMT1/ISG20/PA2G4/GEMIN4/RELA/TCOF1/ELL/BTBD18/DDX10/TRMT61A/WBP11/DUS1L/RIOK3/WDR74/GATA3/BMS1/NOC4L/POLR1E/EIF4A3/RRP12/FBL/EXOSC8/DDX3X/RSL1D1/NOL10/TSR1/ESF1/EGFR/RRP9/MRTO4/TUT1/PELO/ZCCHC8/NOP2/PPARD/NOLC1/RARA/BRIX1/CHD7/RC3H1/NAT10/NOP14/IL10/KRI1/TEAD1/DDX54/WDR18/RRP1/KLF5/WDR43/NSUN6/SNAPC1/FCF1/WDR46/POLR1B/INTS6/PES1/PUS7/BMP2/GTPBP4/PUS1/PELP1/DDX51/RRS1/LAS1L/EGR1/TOE1/FOS/GATA6/DDX21/QTRT1/USP36/FOXO3/ELL2/KLF4/FOSL1/JUN/MYC/IL6
GOCC_TRANSCRIPTION_REGULATOR_COMPLEX	GOCC_TRANSCRIPTION_REGULATOR_COMPLEX	414	-0.403057179402006	-1.9002377944541	3.67989509418936e-10	4.66389904237559e-07	4.07964790863182e-07	1812	tags=22%, list=14%, signal=20%	GATAD2A/NAA16/MED15/PITX2/SOX2/LDB1/ATF5/BEX1/CREBZF/NR5A2/EPAS1/SOX9/MTA1/BIN1/TAF2/SMAD1/GTF2F1/CCNH/MAFG/NFYA/CHD5/SFPQ/RELA/ASCL3/PDLIM1/TCF7L2/MYOG/TLE3/FOXF1/RELB/ALX4/POU2F1/ATF6/CDK2/MDM4/AATF/FOXF2/HIPK2/ATF4/MXI1/N4BP2L2/TAF1D/DDIT3/RARA/ANKRD1/TEAD4/TEAD1/TEAD3/ATXN7/TCF7/NFAT5/KLF5/HMGA1/MSX1/SNAPC1/SPEN/CORO2A/GMNN/MLXIPL/BATF3/E2F3/NAA15/ZFHX3/SOX17/TBX2/CEBPZ/JUND/FOS/MXD1/GATA6/CEBPB/FOXO3/BATF/NR5A1/TAF1C/ARID5A/KLF4/JUNB/NR4A3/NPAS2/FOSL1/NR4A1/ARNTL/ZBTB16/CEBPD/NR4A2/JUN/MYC/FOSL2/ATF3/NFIL3/MAFF
GOMF_TRANSCRIPTION_FACTOR_BINDING	GOMF_TRANSCRIPTION_FACTOR_BINDING	497	-0.385446483529754	-1.85731407474499	4.88906084350178e-10	5.1636630942118e-07	4.51680603541761e-07	2594	tags=29%, list=21%, signal=24%	CREBBP/VHL/TACC1/TLE1/MED1/FKBP4/TRIM24/IGHMBP2/TXLNG/DCAF13/THRAP3/GATA1/NFATC4/BCOR/HAND1/HIF1A/SNW1/PTPRN/IFI16/PBX2/TAF11/TP73/RAD23B/TP53BP2/PPARA/GSK3B/FOXL2/PAX2/PTMA/CEBPG/EGR2/ETS1/PIAS1/ZMYND8/PHF1/MEF2D/PER2/HEY1/SRF/DHX9/HSF1/PITX2/BAIAP2/SOX10/LDB1/PTPN2/HNRNPU/RUVBL2/ENO1/BEX1/NR5A2/EPAS1/SOX9/MTA1/CGGBP1/GTF2F1/NKX3-1/NRIP1/SREBF1/NCL/CRTC3/RELA/BAZ2A/DNAJA1/BTAF1/TCF7L2/GATA3/AKAP8/POLR1E/FBL/APBB1/DDX3X/NPM1/NCOA3/CTDP1/TWIST1/FOXF2/NOC2L/HIPK2/ATF4/PPARD/NOLC1/DDIT3/TFAM/RARA/ANKRD1/IKZF4/ID2/SETD6/HNRNPF/TEAD3/TCERG1/DDX54/CRY1/SETD1A/NFAT5/KLF5/HDAC11/ZBTB43/JUP/HMGA1/SPEN/TOB2/FOXO4/KDM3A/GMNN/MLXIPL/DUSP26/CCNT1/VGLL4/SOX17/TBX2/PPRC1/CITED2/HES1/JUND/HDAC7/FOS/RORA/GATA6/BHLHE40/TRIB1/HMGB2/CEBPB/PPARGC1A/FOXO3/NR5A1/ETS2/ARID5A/KLF4/GABARAPL1/JUNB/NR4A3/BCL6/NFKBIA/NR4A1/PIM1/ARNTL/CRY2/ZBTB16/NR4A2/JUN/MYC/KDM5D/SIK1
GOCC_NUCLEAR_SPECK	GOCC_NUCLEAR_SPECK	329	-0.41964284240648	-1.93984216775919	1.74409386811151e-09	1.57890326317466e-06	1.38111252774063e-06	3343	tags=42%, list=27%, signal=32%	DYRK1A/ZNF638/SF3A1/PRPF4/AAGAB/BRD1/REXO4/GRK5/LUC7L3/SF3A3/POU4F2/BCAS2/SF3B1/CXXC1/THOC6/PYHIN1/CACNB4/BCLAF1/TIMM50/HABP4/SGK1/CDK12/SEC14L3/APEX1/SRY/MECOM/SRPK1/PRPF6/TENM1/CCNL2/WTAP/PQBP1/BNIP3L/DDX39A/SYF2/PSPC1/HIPK1/PRKACA/WBP4/THRAP3/NFATC4/UNC45A/KAZN/HIF1A/SNW1/IFI16/RSRC1/DUSP10/DHX15/PACSIN2/TAP2/AFF2/RBM19/PIP5K1A/SRRM1/PIAS1/U2AF2/HP1BP3/SRSF3/RNPS1/PSME4/FAM76A/GATAD2A/DNAAF1/SOX2/WAC/SART3/FAM193B/SF3B2/AKAP8L/CDC25C/HNRNPU/SMNDC1/EPAS1/U2AF1/PABPN1/RBM10/PRPF40A/CACTIN/NRIP1/CHD5/SFPQ/THOC2/ELL/BAZ2A/PNISR/SRP54/RBBP6/JADE1/AKAP17A/SNRNP70/RBM25/THOC1/CBLL1/EIF4A3/APBB1/NPM1/PPIG/SREK1/TUT1/SMC5/RBM39/ATF4/YTHDC1/ZNF217/SLC34A1/ATXN2L/HIF3A/SRSF5/TCERG1/RBM15/KLF15/SETD1A/WRN/HSF4/SRSF11/SRSF4/ZNF395/NXT1/NXF1/FOXO4/BRD2/FNBP4/ITPKC/SNRPA1/SRSF7/PRPF3/PRKAA1/SRRM2/TOE1/DYRK3/USP36/FAM107A/GADD45A/CRY2/CCNL1/ZBTB16/NR4A2/NAMPT
GOMF_DNA_BINDING_TRANSCRIPTION_ACTIVATOR_ACTIVITY	GOMF_DNA_BINDING_TRANSCRIPTION_ACTIVATOR_ACTIVITY	376	-0.401014481770458	-1.86871953465073	2.55358781076805e-09	2.02276074460464e-06	1.76936755414534e-06	2397	tags=30%, list=19%, signal=25%	HINFP/GATA1/GCM1/ALX1/STAT6/ZNF639/HAND1/HIF1A/EHF/PBX2/NR2E1/ETV2/SATB2/RBPJL/IRF3/TP73/PROP1/PPARA/MLXIP/HEYL/FOXL2/CEBPG/PAX9/EGR2/MEOX1/ETS1/ELK4/MEF2D/SRF/KLF7/ELF3/HSF1/REL/SOX2/SOX10/ATF5/TFAP2B/IRF4/NR5A2/EPAS1/SOX9/ZNF143/SMAD1/HOXD10/ETV6/SREBF1/MAFG/ZNF76/RELA/MYOG/GATA3/ZNF292/PLSCR1/NEUROD6/FOXF1/ALX4/TBX19/GMEB2/ATF6/FOXO1/FOXF2/FOXD1/CSRNP3/EGR3/ATF4/DDIT3/KLF10/TEAD4/MZF1/ZNF580/NFIC/GMEB1/ELF1/KLF15/GLI1/NFAT5/KLF5/MSX1/IRF1/ZNF395/FOXO4/ZNF721/FOXD2/E2F3/NEUROG3/SOX17/KLF13/EBF2/RLF/EGR1/JUND/FOS/CEBPB/FOXO3/BATF/KLF6/NFKB2/KLF4/JUNB/FOXC2/NR4A3/FOSL1/NR4A1/ZBTB16/CEBPD/NR4A2/JUN/MYC/FOSL2/ATF3/MAFF/FOSB
GOBP_CELLULAR_RESPONSE_TO_HORMONE_STIMULUS	GOBP_CELLULAR_RESPONSE_TO_HORMONE_STIMULUS	491	-0.373032079433735	-1.79339789351159	3.7267163885122e-09	2.62402241711131e-06	2.29530859671406e-06	1912	tags=24%, list=15%, signal=21%	SPINK1/LONP1/OSBPL8/JAK1/RANGAP1/LPIN1/AGTR1/PXN/HSF1/GH2/PIK3R1/BAIAP2/SOX10/PTPN2/HNRNPU/SSTR2/NR5A2/OR51E2/NKX3-1/IRS1/SREBF1/NCL/UCP3/ADRA2A/CCND3/SOGA1/ASS1/RELA/FGF21/LEP/UFM1/STRN3/DNAJA1/ATP2B1/SAFB2/INSRR/CFLAR/MT3/AKAP8/NOTCH1/ACSL1/PHIP/FOXO1/NCOA3/SAFB/EIF4EBP2/MAP1B/SCNN1G/ATP1A1/RAMP2/GPR173/TRIB3/SSTR3/PPARD/DDR2/RPS6KB1/SLC34A1/RARA/SRSF5/PIK3R3/RHOQ/IGF1R/TFPI/SOCS1/ECHDC3/SORBS1/DDX54/CRY1/BCL2L11/AKT2/SH2B2/FER/FOXO4/KDM3A/SOCS2/PGF/SLC2A4/ZFP36L1/CGA/GRB10/PELP1/PRKAA1/WNT1/ZFP36L2/APOB/INSIG1/FOS/INSR/UGCG/GATA6/FAM107A/FOXO3/IL1B/EDN1/NR5A1/PCK1/ARID5A/SLC39A14/IRS2/INHBB/FOXC2/NR4A3/GDF15/SOCS3/NR4A1/STC1/ARNTL/CRY2/NR4A2/KLF9/PDK4/ZFP36/NAMPT/DDIT4/KDM5D/FOSB
GOBP_RIBOSOME_BIOGENESIS	GOBP_RIBOSOME_BIOGENESIS	225	-0.460462944250458	-2.04813075309633	4.41355604795498e-09	2.79687046758907e-06	2.44650380510852e-06	3042	tags=40%, list=24%, signal=31%	CUL4A/RRP15/NOL8/FASTKD2/EXOSC10/RPS25/GAR1/RBFA/DDX56/DDX52/ABCE1/NOL6/IMP4/TMA16/NUP88/RSL24D1/DCAF13/RPL35A/GNL2/GPATCH4/RRP7A/EXOSC7/BYSL/RAN/EXOSC2/DDX27/SPATA5L1/EXOSC5/YTHDF2/UTP14A/DDX18/MDN1/DIMT1/MYBBP1A/RCL1/NIP7/ISG20/PA2G4/GEMIN4/DDX10/URB2/WBP11/RIOK3/WDR74/BMS1/NOC4L/EIF4A3/RRP12/FBL/EXOSC8/DDX3X/NPM1/RSL1D1/NOL10/TSR1/ESF1/RRP9/AATF/LSG1/MRPS2/MRTO4/NOC2L/NOP2/NOLC1/BRIX1/CHD7/PAK1IP1/NAT10/NOP14/KRI1/PTEN/DDX54/WDR18/RRP1/NOP16/WDR43/FCF1/WDR46/PES1/GTPBP4/RRN3/PELP1/DDX51/RRS1/LAS1L/DDX21/USP36/GLUL/DDX31
