id	logFC	AveExpr	t	P.Value	adj.P.Val	B
GADD45B	-2.287219696375	9.69455224912281	-11.8106202535777	4.26084837823344e-17	5.34651254500732e-13	28.3614236083084
SIK1	-2.282868277375	8.53859070701754	-10.5176234103642	4.37895349259902e-15	2.20837162670919e-11	23.9381389046865
KDELR3	1.001648884	9.53485181403509	10.4665425656228	5.27981740526583e-15	2.20837162670919e-11	23.7589053771482
FOSL2	-1.655073999625	7.76276353333333	-10.3676620792867	7.59031775817895e-15	2.38108268074074e-11	23.4110313120944
PNRC1	-1.15417632675	10.4506429684211	-10.2455453951549	1.19013929157971e-14	2.95345681917193e-11	22.9797560978325
NFIL3	-2.07630048675	9.90588908947368	-10.1992066933876	1.41223628586481e-14	2.95345681917193e-11	22.8156315173567
B3GALNT1	1.038777153	6.42064131052632	10.1383081584329	1.76896502889459e-14	3.1645510139013e-11	22.5995483277309
HNRNPA1	-0.871397010375	9.0894993368421	-10.0729437599	2.25370250530332e-14	3.1645510139013e-11	22.3671311605269
CEBPD	-1.37393306575	10.9092100280702	-10.071029308467	2.26976084835127e-14	3.1645510139013e-11	22.3603163580659
APOLD1	-2.1658269245	8.32015727719298	-9.97879083788263	3.19700548673419e-14	4.01160248475407e-11	22.0314737088431
RHOB	-1.211791241	11.9026981614035	-9.91033350242404	4.12479219860057e-14	4.70526295527636e-11	21.7867811985953
KLF9	-1.481436200125	8.50243849122807	-9.83151943693336	5.53428598629008e-14	5.78701837966399e-11	21.5044126164801
ZFAND5	-1.052386759	10.5805769649123	-9.63834635966831	1.14051672149287e-13	1.10086183240711e-10	20.8094249079886
BCL6	-1.099712502	10.2053584947368	-9.56330079171795	1.51192573708682e-13	1.26722113796578e-10	20.5383474773192
MAFF	-2.193154955125	8.40173316491228	-9.56278718700059	1.51484834790299e-13	1.26722113796578e-10	20.5364902084461
NFKBIA	-1.173504304375	11.7220117859649	-9.4818923392387	2.05400959922425e-13	1.61085702819162e-10	20.2436212253131
YBX3	-0.693104443624998	10.7901839614035	-9.31585549122375	3.84443725068406e-13	2.83764697774021e-10	19.6404298930068
VEGFA	-1.730716769375	8.40518479298246	-9.2873192452643	4.2828055682633e-13	2.98559134836488e-10	19.5364876165855
MYC	-1.62346663012501	9.63707088947368	-9.10735199215334	8.47584062956002e-13	5.59762359051154e-10	18.8791885924045
CDKN1A	-1.520106524625	9.67234514736842	-9.01361784617164	1.21073969135968e-12	7.59618082359065e-10	18.5356712296288
TIPARP	-1.22992521675	9.74058251578947	-8.98233863068173	1.3639492686572e-12	8.14992163005262e-10	18.4208676934919
CEBPB	-0.831036214125008	12.3687895894737	-8.95268040342356	1.52719533695831e-12	8.71056685825128e-10	18.3119361643639
COPZ2	0.906534917749996	10.1923621596491	8.92600064903231	1.69077396513809e-12	9.22427465850117e-10	18.2138806343259
SCRG1	2.111461225125	10.3578253684211	8.52695871259512	7.79258199892096e-12	4.07422162176917e-09	16.7406097497859
KAL1	1.676522098625	9.04481808070175	8.49690974641687	8.74654333924193e-12	4.39006503283231e-09	16.6292022327468
JUND	-0.727084214875006	10.7931113385965	-8.35288994445058	1.52243183606735e-11	7.33383343758593e-09	16.0944448935542
GABARAPL1	-1.043985088875	8.8015636	-8.34357673164571	1.57804831698135e-11	7.33383343758593e-09	16.0598207224404
CBLB	-1.119234719125	8.17347051754386	-8.31448570627798	1.76525259629727e-11	7.91085342083503e-09	15.9516353082362
SLC2A3	-2.104163432375	7.82581091403509	-8.28935719010203	1.9448096964934e-11	8.41499036951698e-09	15.8581471924706
PRDX4	0.667905607624999	11.0611600596491	8.23097675713566	2.43596382284748e-11	1.01888246830301e-08	15.6408147608375
CX3CR1	2.00933634825	8.05682518421053	8.18281476312042	2.93360080578565e-11	1.18744590035479e-08	15.4613872930969
DDIT4	-1.94591440425	10.5404278736842	-8.16941229134786	3.08940460585145e-11	1.20136521264733e-08	15.4114355253319
NAP1L3	1.0723507015	8.14304068245614	8.16360457342585	3.15947178971645e-11	1.20136521264733e-08	15.3897870775624
STK24	-0.534966173125003	10.1102518333333	-8.13617959093666	3.5124944017227e-11	1.29631705155343e-08	15.2875374760249
ADM	-1.750126338375	10.1987802368421	-8.10431037519322	3.97272983837882e-11	1.42428040034221e-08	15.1686734868729
WNT5B	2.146545005	6.30375301754386	8.07537911098554	4.44271822192156e-11	1.54853411801866e-08	15.060727021678
ZFP36	-1.555734006375	11.2943460421053	-8.06252080816674	4.6691253909657e-11	1.5630308954166e-08	15.0127390104695
