"EdgeBetweenness","interaction","name","selected","shared interaction","shared name"
"46.0","mRNA","GABARAPL2 (mRNA) hsa-miR-935","false","mRNA","GABARAPL2 (mRNA) hsa-miR-935"
"40.0","mRNA","FZD7 (mRNA) hsa-miR-548c-5p","false","mRNA","FZD7 (mRNA) hsa-miR-548c-5p"
"40.0","mRNA","FZD7 (mRNA) hsa-miR-568","false","mRNA","FZD7 (mRNA) hsa-miR-568"
"33.0","mRNA","CDKN1A (mRNA) hsa-miR-345-5p","false","mRNA","CDKN1A (mRNA) hsa-miR-345-5p"
"28.0","mRNA","SLC39A14 (mRNA) hsa-miR-877-3p","false","mRNA","SLC39A14 (mRNA) hsa-miR-877-3p"
"46.0","mRNA","GABARAPL2 (mRNA) hsa-miR-3180-5p","false","mRNA","GABARAPL2 (mRNA) hsa-miR-3180-5p"
"28.0","mRNA","SLC39A14 (mRNA) hsa-miR-484","false","mRNA","SLC39A14 (mRNA) hsa-miR-484"
"33.0","mRNA","CDKN1A (mRNA) hsa-miR-3180-3p","false","mRNA","CDKN1A (mRNA) hsa-miR-3180-3p"
"33.0","mRNA","CDKN1A (mRNA) hsa-miR-939-5p","false","mRNA","CDKN1A (mRNA) hsa-miR-939-5p"
"28.0","mRNA","SLC39A14 (mRNA) hsa-miR-200c-3p","false","mRNA","SLC39A14 (mRNA) hsa-miR-200c-3p"
"28.0","mRNA","SLC39A14 (mRNA) hsa-miR-338-3p","false","mRNA","SLC39A14 (mRNA) hsa-miR-338-3p"
"28.0","mRNA","SLC39A14 (mRNA) hsa-miR-551b-5p","false","mRNA","SLC39A14 (mRNA) hsa-miR-551b-5p"
"40.0","mRNA","FZD7 (mRNA) hsa-miR-524-5p","false","mRNA","FZD7 (mRNA) hsa-miR-524-5p"
"40.0","mRNA","FZD7 (mRNA) hsa-miR-562","false","mRNA","FZD7 (mRNA) hsa-miR-562"
"33.0","mRNA","CDKN1A (mRNA) hsa-let-7a-5p","false","mRNA","CDKN1A (mRNA) hsa-let-7a-5p"
"40.0","mRNA","FZD7 (mRNA) hsa-miR-513a-3p","false","mRNA","FZD7 (mRNA) hsa-miR-513a-3p"
"28.0","mRNA","SLC39A14 (mRNA) hsa-miR-3145-3p","false","mRNA","SLC39A14 (mRNA) hsa-miR-3145-3p"
"28.0","mRNA","SLC39A14 (mRNA) hsa-miR-1275","false","mRNA","SLC39A14 (mRNA) hsa-miR-1275"
"28.0","mRNA","SLC39A14 (mRNA) hsa-miR-130a-5p","false","mRNA","SLC39A14 (mRNA) hsa-miR-130a-5p"
"46.0","mRNA","GABARAPL2 (mRNA) hsa-miR-145-5p","false","mRNA","GABARAPL2 (mRNA) hsa-miR-145-5p"
"28.0","mRNA","SLC39A14 (mRNA) hsa-miR-2116-3p","false","mRNA","SLC39A14 (mRNA) hsa-miR-2116-3p"
"28.0","mRNA","SLC39A14 (mRNA) hsa-miR-502-5p","false","mRNA","SLC39A14 (mRNA) hsa-miR-502-5p"
"28.0","mRNA","SLC39A14 (mRNA) hsa-miR-335-3p","false","mRNA","SLC39A14 (mRNA) hsa-miR-335-3p"
"28.0","mRNA","SLC39A14 (mRNA) hsa-miR-200b-5p","false","mRNA","SLC39A14 (mRNA) hsa-miR-200b-5p"
"40.0","mRNA","FZD7 (mRNA) hsa-miR-548c-3p","false","mRNA","FZD7 (mRNA) hsa-miR-548c-3p"
"40.0","mRNA","FZD7 (mRNA) hsa-miR-548b-5p","false","mRNA","FZD7 (mRNA) hsa-miR-548b-5p"
"33.0","mRNA","CDKN1A (mRNA) hsa-miR-3125","false","mRNA","CDKN1A (mRNA) hsa-miR-3125"
"40.0","mRNA","FZD7 (mRNA) hsa-miR-559","false","mRNA","FZD7 (mRNA) hsa-miR-559"
"33.0","mRNA","CDKN1A (mRNA) hsa-miR-149-3p","false","mRNA","CDKN1A (mRNA) hsa-miR-149-3p"
"33.0","mRNA","CDKN1A (mRNA) hsa-let-7e-5p","false","mRNA","CDKN1A (mRNA) hsa-let-7e-5p"
"40.0","mRNA","FZD7 (mRNA) hsa-miR-608","false","mRNA","FZD7 (mRNA) hsa-miR-608"
"28.0","mRNA","SLC39A14 (mRNA) hsa-miR-548b-3p","false","mRNA","SLC39A14 (mRNA) hsa-miR-548b-3p"
"33.0","mRNA","CDKN1A (mRNA) hsa-miR-20b-5p","false","mRNA","CDKN1A (mRNA) hsa-miR-20b-5p"
"28.0","mRNA","SLC39A14 (mRNA) hsa-miR-1226-3p","false","mRNA","SLC39A14 (mRNA) hsa-miR-1226-3p"
"33.0","mRNA","CDKN1A (mRNA) hsa-miR-505-5p","false","mRNA","CDKN1A (mRNA) hsa-miR-505-5p"
"28.0","mRNA","SLC39A14 (mRNA) hsa-miR-576-5p","false","mRNA","SLC39A14 (mRNA) hsa-miR-576-5p"
"33.0","mRNA","CDKN1A (mRNA) hsa-let-7i-5p","false","mRNA","CDKN1A (mRNA) hsa-let-7i-5p"
"28.0","mRNA","SLC39A14 (mRNA) hsa-miR-1236-3p","false","mRNA","SLC39A14 (mRNA) hsa-miR-1236-3p"
"28.0","mRNA","SLC39A14 (mRNA) hsa-miR-16-2-3p","false","mRNA","SLC39A14 (mRNA) hsa-miR-16-2-3p"
"33.0","mRNA","CDKN1A (mRNA) hsa-miR-2277-3p","false","mRNA","CDKN1A (mRNA) hsa-miR-2277-3p"
"33.0","mRNA","CDKN1A (mRNA) hsa-miR-4310","false","mRNA","CDKN1A (mRNA) hsa-miR-4310"
"33.0","mRNA","CDKN1A (mRNA) hsa-miR-423-5p","false","mRNA","CDKN1A (mRNA) hsa-miR-423-5p"
"28.0","mRNA","SLC39A14 (mRNA) hsa-miR-150-5p","false","mRNA","SLC39A14 (mRNA) hsa-miR-150-5p"
"28.0","mRNA","SLC39A14 (mRNA) hsa-miR-4264","false","mRNA","SLC39A14 (mRNA) hsa-miR-4264"
"28.0","mRNA","SLC39A14 (mRNA) hsa-miR-626","false","mRNA","SLC39A14 (mRNA) hsa-miR-626"
"33.0","mRNA","CDKN1A (mRNA) hsa-miR-1207-3p","false","mRNA","CDKN1A (mRNA) hsa-miR-1207-3p"
"33.0","mRNA","CDKN1A (mRNA) hsa-miR-1255b-5p","false","mRNA","CDKN1A (mRNA) hsa-miR-1255b-5p"
"28.0","mRNA","SLC39A14 (mRNA) hsa-miR-429","false","mRNA","SLC39A14 (mRNA) hsa-miR-429"
"33.0","mRNA","CDKN1A (mRNA) hsa-miR-4286","false","mRNA","CDKN1A (mRNA) hsa-miR-4286"
"28.0","mRNA","SLC39A14 (mRNA) hsa-miR-548c-3p","false","mRNA","SLC39A14 (mRNA) hsa-miR-548c-3p"
"28.0","mRNA","SLC39A14 (mRNA) hsa-miR-1299","false","mRNA","SLC39A14 (mRNA) hsa-miR-1299"
"40.0","mRNA","FZD7 (mRNA) hsa-miR-584-5p","false","mRNA","FZD7 (mRNA) hsa-miR-584-5p"
"28.0","mRNA","SLC39A14 (mRNA) hsa-miR-192-3p","false","mRNA","SLC39A14 (mRNA) hsa-miR-192-3p"
"28.0","mRNA","SLC39A14 (mRNA) hsa-miR-129-5p","false","mRNA","SLC39A14 (mRNA) hsa-miR-129-5p"
"28.0","mRNA","SLC39A14 (mRNA) hsa-miR-200a-5p","false","mRNA","SLC39A14 (mRNA) hsa-miR-200a-5p"
"40.0","mRNA","FZD7 (mRNA) hsa-miR-548h-5p","false","mRNA","FZD7 (mRNA) hsa-miR-548h-5p"
"46.0","mRNA","GABARAPL2 (mRNA) hsa-miR-4254","false","mRNA","GABARAPL2 (mRNA) hsa-miR-4254"
"33.0","mRNA","CDKN1A (mRNA) hsa-miR-3150a-3p","false","mRNA","CDKN1A (mRNA) hsa-miR-3150a-3p"
"33.0","mRNA","CDKN1A (mRNA) hsa-miR-4283","false","mRNA","CDKN1A (mRNA) hsa-miR-4283"
"28.0","mRNA","SLC39A14 (mRNA) hsa-miR-200b-3p","false","mRNA","SLC39A14 (mRNA) hsa-miR-200b-3p"
"40.0","mRNA","FZD7 (mRNA) hsa-miR-548d-5p","false","mRNA","FZD7 (mRNA) hsa-miR-548d-5p"
"28.0","mRNA","SLC39A14 (mRNA) hsa-miR-509-3-5p","false","mRNA","SLC39A14 (mRNA) hsa-miR-509-3-5p"
"28.0","mRNA","SLC39A14 (mRNA) hsa-miR-130b-5p","false","mRNA","SLC39A14 (mRNA) hsa-miR-130b-5p"
"33.0","mRNA","CDKN1A (mRNA) hsa-miR-298","false","mRNA","CDKN1A (mRNA) hsa-miR-298"
"33.0","mRNA","CDKN1A (mRNA) hsa-let-7f-5p","false","mRNA","CDKN1A (mRNA) hsa-let-7f-5p"
"28.0","mRNA","SLC39A14 (mRNA) hsa-miR-31-5p","false","mRNA","SLC39A14 (mRNA) hsa-miR-31-5p"
"28.0","mRNA","SLC39A14 (mRNA) hsa-miR-9-5p","false","mRNA","SLC39A14 (mRNA) hsa-miR-9-5p"
"33.0","mRNA","CDKN1A (mRNA) hsa-miR-455-3p","false","mRNA","CDKN1A (mRNA) hsa-miR-455-3p"
"46.0","mRNA","GABARAPL2 (mRNA) hsa-miR-323b-3p","false","mRNA","GABARAPL2 (mRNA) hsa-miR-323b-3p"
"46.0","mRNA","GABARAPL2 (mRNA) hsa-miR-105-5p","false","mRNA","GABARAPL2 (mRNA) hsa-miR-105-5p"
"33.0","mRNA","CDKN1A (mRNA) hsa-miR-4329","false","mRNA","CDKN1A (mRNA) hsa-miR-4329"
"40.0","mRNA","FZD7 (mRNA) hsa-miR-142-5p","false","mRNA","FZD7 (mRNA) hsa-miR-142-5p"
"28.0","mRNA","SLC39A14 (mRNA) hsa-miR-622","false","mRNA","SLC39A14 (mRNA) hsa-miR-622"
"40.0","mRNA","FZD7 (mRNA) hsa-miR-548w","false","mRNA","FZD7 (mRNA) hsa-miR-548w"
"28.0","mRNA","SLC39A14 (mRNA) hsa-miR-186-3p","false","mRNA","SLC39A14 (mRNA) hsa-miR-186-3p"
