"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","Indegree","IsSingleNode","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress"
"1.0","0.0","1.0","0.0","1","20","0","false","GABARAPL2","1.45","20","0","false","0","GABARAPL2","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-935","20.0","0","0","false","0","hsa-miR-935","0"
"1.0","0.0","1.0","0.0","1","37","0","false","FZD7","1.2162162162162162","37","0","false","0","FZD7","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-548c-5p","37.0","0","0","false","0","hsa-miR-548c-5p","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-568","37.0","0","0","false","0","hsa-miR-568","0"
"1.0","0.0","1.0","0.0","1","38","0","false","CDKN1A","1.4210526315789473","38","0","false","0","CDKN1A","0"
"0.0","0.0","0.0","0.0","0","2","2","false","hsa-miR-345-5p","19.5","0","0","false","0","hsa-miR-345-5p","0"
"1.0","0.0","1.0","0.0","1","55","0","false","SLC39A14","1.5636363636363637","55","0","false","0","SLC39A14","0"
"0.0","0.0","0.0","0.0","0","2","2","false","hsa-miR-877-3p","28.0","0","0","false","0","hsa-miR-877-3p","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-3180-5p","20.0","0","0","false","0","hsa-miR-3180-5p","0"
"0.0","0.0","0.0","0.0","0","2","2","false","hsa-miR-484","28.0","0","0","false","0","hsa-miR-484","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-3180-3p","38.0","0","0","false","0","hsa-miR-3180-3p","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-939-5p","38.0","0","0","false","0","hsa-miR-939-5p","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-200c-3p","55.0","0","0","false","0","hsa-miR-200c-3p","0"
"0.0","0.0","0.0","0.0","0","2","2","false","hsa-miR-338-3p","28.0","0","0","false","0","hsa-miR-338-3p","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-551b-5p","55.0","0","0","false","0","hsa-miR-551b-5p","0"
"0.0","0.0","0.0","0.0","0","2","2","false","hsa-miR-524-5p","46.0","0","0","false","0","hsa-miR-524-5p","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-562","37.0","0","0","false","0","hsa-miR-562","0"
"0.0","0.0","0.0","0.0","0","2","2","false","hsa-let-7a-5p","19.5","0","0","false","0","hsa-let-7a-5p","0"
"0.0","0.0","0.0","0.0","0","4","4","false","hsa-miR-513a-3p","31.0","0","1","false","0","hsa-miR-513a-3p","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-3145-3p","55.0","0","0","false","0","hsa-miR-3145-3p","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-1275","55.0","0","0","false","0","hsa-miR-1275","0"
"0.0","0.0","0.0","0.0","0","2","2","false","hsa-miR-130a-5p","28.0","0","0","false","0","hsa-miR-130a-5p","0"
"0.0","0.0","0.0","0.0","0","2","2","false","hsa-miR-145-5p","11.0","0","0","false","0","hsa-miR-145-5p","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-2116-3p","55.0","0","0","false","0","hsa-miR-2116-3p","0"
"0.0","0.0","0.0","0.0","0","2","2","false","hsa-miR-502-5p","28.0","0","0","false","0","hsa-miR-502-5p","0"
"0.0","0.0","0.0","0.0","0","2","2","false","hsa-miR-335-3p","28.0","0","0","false","0","hsa-miR-335-3p","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-200b-5p","55.0","0","0","false","0","hsa-miR-200b-5p","0"
"0.0","0.0","0.0","0.0","0","2","2","false","hsa-miR-548c-3p","46.0","0","0","false","0","hsa-miR-548c-3p","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-548b-5p","37.0","0","0","false","0","hsa-miR-548b-5p","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-3125","38.0","0","0","false","0","hsa-miR-3125","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-559","37.0","0","0","false","0","hsa-miR-559","0"
"0.0","0.0","0.0","0.0","0","2","2","false","hsa-miR-149-3p","21.0","0","0","false","0","hsa-miR-149-3p","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-let-7e-5p","38.0","0","0","false","0","hsa-let-7e-5p","0"
"0.0","0.0","0.0","0.0","0","2","2","false","hsa-miR-608","37.5","0","0","false","0","hsa-miR-608","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-548b-3p","55.0","0","0","false","0","hsa-miR-548b-3p","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-20b-5p","38.0","0","0","false","0","hsa-miR-20b-5p","0"
"0.0","0.0","0.0","0.0","0","2","2","false","hsa-miR-1226-3p","28.0","0","0","false","0","hsa-miR-1226-3p","0"
"0.0","0.0","0.0","0.0","0","2","2","false","hsa-miR-505-5p","19.5","0","0","false","0","hsa-miR-505-5p","0"
"0.0","0.0","0.0","0.0","0","2","2","false","hsa-miR-576-5p","28.0","0","0","false","0","hsa-miR-576-5p","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-let-7i-5p","38.0","0","0","false","0","hsa-let-7i-5p","0"
"0.0","0.0","0.0","0.0","0","2","2","false","hsa-miR-1236-3p","28.0","0","0","false","0","hsa-miR-1236-3p","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-16-2-3p","55.0","0","0","false","0","hsa-miR-16-2-3p","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-2277-3p","38.0","0","0","false","0","hsa-miR-2277-3p","0"
"0.0","0.0","0.0","0.0","0","2","2","false","hsa-miR-4310","46.5","0","0","false","0","hsa-miR-4310","0"
"0.0","0.0","0.0","0.0","0","2","2","false","hsa-miR-423-5p","21.0","0","0","false","0","hsa-miR-423-5p","0"
"0.0","0.0","0.0","0.0","0","2","2","false","hsa-miR-150-5p","28.0","0","0","false","0","hsa-miR-150-5p","0"
"0.0","0.0","0.0","0.0","0","2","2","false","hsa-miR-4264","37.5","0","0","false","0","hsa-miR-4264","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-626","55.0","0","0","false","0","hsa-miR-626","0"
"0.0","0.0","0.0","0.0","0","2","2","false","hsa-miR-1207-3p","20.0","0","0","false","0","hsa-miR-1207-3p","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-1255b-5p","38.0","0","0","false","0","hsa-miR-1255b-5p","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-429","55.0","0","0","false","0","hsa-miR-429","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-4286","38.0","0","0","false","0","hsa-miR-4286","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-1299","55.0","0","0","false","0","hsa-miR-1299","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-584-5p","37.0","0","0","false","0","hsa-miR-584-5p","0"
"0.0","0.0","0.0","0.0","0","2","2","false","hsa-miR-192-3p","28.0","0","0","false","0","hsa-miR-192-3p","0"
"0.0","0.0","0.0","0.0","0","2","2","false","hsa-miR-129-5p","28.0","0","0","false","0","hsa-miR-129-5p","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-200a-5p","55.0","0","0","false","0","hsa-miR-200a-5p","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-548h-5p","37.0","0","0","false","0","hsa-miR-548h-5p","0"
