ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
CYTOKINE CYTOKINE RECEPTOR INTERACTION	CYTOKINE CYTOKINE RECEPTOR INTERACTION	230	-0.485248238880714	-1.88544221656968	4.53025648315876e-08	8.29036936418053e-06	7.15303655235594e-06	1831	tags=37%, list=15%, signal=33%	INHBA/TNFSF8/CCL1/IL18/IL12RB1/TNFRSF12A/TNFRSF13B/GH1/CCR1/TNFRSF11A/CCL24/IL11/TNFRSF14/VEGFC/CSF2RB/CXCR6/XCL1/IL4R/IL2/AMHR2/TNFSF4/BMPR1B/CXCL5/IL15/CXCR5/CCL17/LTA/TNFSF11/CCR2/LTB/FLT4/IFNB1/IFNW1/TNFSF18/TNFRSF10C/CCL27/CXCR4/IL6/CCL13/PRL/TNFRSF4/CCL19/IL2RG/TNFSF14/IL18RAP/CCL21/IL21/CNTF/IL1B/CXCL10/CCR6/IL15RA/CXCL6/CCR8/IL24/CCL2/CXCL9/IL13/IL25/CSF2/CCL23/IL3RA/OSM/CCL4/CSF3R/CXCR3/IL7R/IL7/CCL5/CD27/CXCL2/IL1R2/CCL18/IL17B/IL10/XCR1/CXCR1/CCL20/CXCL1/CD40LG/CXCL8/IL21R/CXCL3/TNFRSF17/IL26/CXCL13
CHEMOKINE SIGNALING PATHWAY	CHEMOKINE SIGNALING PATHWAY	165	-0.478985233644977	-1.80836496660399	8.54366863036454e-06	0.000781745679678355	0.00067450015502878	2428	tags=38%, list=19%, signal=31%	HRAS/ITK/CSK/RASGRP2/CCR7/WAS/NRAS/PRKACG/KRAS/GNG7/GNG10/PTK2B/VAV3/CCL1/NFKBIB/CCR1/CCL24/ARRB2/CXCR6/XCL1/LYN/GRB2/CXCL5/CXCR5/PRKCZ/CCL17/CCR2/HCK/CCL27/PRKCB/CXCR4/GRK6/CCL13/CCL19/CCL21/RAC2/CXCL10/CHUK/CCR6/CXCL6/GRK1/CCR8/NCF1/FGR/CCL2/CXCL9/CCL23/CCL4/CXCR3/PAK1/CCL5/CXCL2/GNG13/CCL18/ADCY8/PIK3CG/XCR1/CXCR1/CCL20/CXCL1/CXCL8/CXCL3/CXCL13
PRIMARY IMMUNODEFICIENCY	PRIMARY IMMUNODEFICIENCY	33	-0.682977973571598	-1.99516968248179	8.45262905503814e-05	0.00386707779267995	0.00333656410067295	2136	tags=55%, list=17%, signal=45%	TAP2/AIRE/TAP1/TNFRSF13B/CD3E/CIITA/CD4/IGLL1/PTPRC/IL2RG/BTK/CD19/ZAP70/CD3D/IL7R/LCK/CD79A/CD40LG
NOD LIKE RECEPTOR SIGNALING PATHWAY	NOD LIKE RECEPTOR SIGNALING PATHWAY	54	-0.610279464813549	-1.95640242177322	8.29846741618285e-05	0.00386707779267995	0.00333656410067295	1031	tags=28%, list=8%, signal=26%	TNFAIP3/IL6/CCL13/IL1B/CHUK/MAPK13/CASP5/NOD2/CCL2/BIRC3/TAB1/CCL5/CXCL2/CXCL1/CXCL8
INTESTINAL IMMUNE NETWORK FOR IGA PRODUCTION	INTESTINAL IMMUNE NETWORK FOR IGA PRODUCTION	41	-0.61933014971238	-1.87357650760828	0.000317820769037608	0.0116322401467765	0.0100364453380297	2342	tags=59%, list=19%, signal=48%	PIGR/MAP3K14/HLA-DMA/CD80/HLA-DPA1/CD28/TNFRSF13B/IL2/HLA-DRA/IL15/CD86/HLA-DOA/HLA-DQB1/CCL27/CXCR4/IL6/IL15RA/ITGA4/IL10/HLA-DQA1/CD40LG/HLA-DOB/ITGB7/TNFRSF17
B CELL RECEPTOR SIGNALING PATHWAY	B CELL RECEPTOR SIGNALING PATHWAY	71	-0.542274898300679	-1.81070965420918	0.00041169220060644	0.0125566121184964	0.0108340052791168	2280	tags=38%, list=18%, signal=31%	HRAS/MAP2K2/FOS/NRAS/KRAS/VAV3/PLCG2/RAC3/NFKBIB/DAPP1/PTPN6/LYN/NFKBIE/GRB2/CD79B/RASGRP3/CD22/PRKCB/LILRB3/RAC2/CHUK/BTK/CD19/CR2/PIK3CG/CD79A/CD72
TYPE I DIABETES MELLITUS	TYPE I DIABETES MELLITUS	39	-0.61149585492736	-1.83406320965254	0.000831297426725241	0.0217324898701027	0.0187510697757573	2213	tags=49%, list=18%, signal=40%	HLA-DMA/CD80/PTPRN/HLA-DPA1/CD28/IL2/HLA-DRA/CD86/HLA-DOA/LTA/HLA-DQB1/PRF1/GAD2/GAD1/INS/IL1B/GZMB/HLA-DQA1/HLA-DOB
CARDIAC MUSCLE CONTRACTION	CARDIAC MUSCLE CONTRACTION	61	0.53539808782816	1.77791324501406	0.00115588917697179	0.0237591047676176	0.0204996589884535	1733	tags=28%, list=14%, signal=24%	TNNC1/MYH6/CACNG5/ATP1A2/TPM3/CACNB4/ACTC1/CACNB3/MYL2/CACNA2D1/TPM2/SLC8A1/CACNA1D/COX6A2/ATP1B2/MYH7/CACNB2
HYPERTROPHIC CARDIOMYOPATHY HCM	HYPERTROPHIC CARDIOMYOPATHY HCM	75	0.48730302579627	1.66140762880632	0.00116848056234185	0.0237591047676176	0.0204996589884535	1746	tags=35%, list=14%, signal=30%	TNNC1/MYH6/ITGA1/CACNG5/TPM3/TTN/ITGA7/CACNB4/ACTC1/PRKAA2/CACNB3/LAMA2/MYL2/CACNA2D1/DES/PRKAA1/PRKAB2/TPM2/SLC8A1/CACNA1D/ITGB4/TGFB2/ITGA8/MYH7/CACNB2/DMD
FATTY ACID METABOLISM	FATTY ACID METABOLISM	38	0.59701999235817	1.80501518757702	0.00132231497294336	0.0241983640048636	0.0208786574675268	3679	tags=58%, list=29%, signal=41%	ACADL/ADH1B/ADH1C/EHHADH/ADH1A/ALDH3A2/ECI1/ACSL1/HADH/ADH5/ACADSB/ALDH7A1/ECI2/ACAT1/ADH6/ACADVL/HADHA/ACADS/CYP4A11/ECHS1/ACAA2/ALDH2
T CELL RECEPTOR SIGNALING PATHWAY	T CELL RECEPTOR SIGNALING PATHWAY	103	-0.46817073208194	-1.63819440450308	0.00151960659696104	0.0252807279312609	0.0218125348846082	2428	tags=37%, list=19%, signal=30%	HRAS/ITK/MAP3K14/MAP2K2/FOS/NRAS/KRAS/VAV3/LAT/MAP3K8/CTLA4/CD28/NFKBIB/CD3E/PTPN6/IL2/LCP2/NFKBIE/GRB2/CD4/PTPRC/CD3G/CBL/PAK6/MAP2K7/CHUK/MAPK13/TEC/ZAP70/CD3D/CD247/RASGRP1/CSF2/PAK1/IL10/LCK/PIK3CG/CD40LG
LEISHMANIA INFECTION	LEISHMANIA INFECTION	67	-0.512166412877517	-1.70005757073032	0.00179481401842027	0.0273709137809092	0.0236159739265826	2509	tags=43%, list=20%, signal=35%	FCGR2A/HLA-DMB/STAT1/FCGR2C/IRAK1/NCF2/FOS/HLA-DMA/NCF4/HLA-DPA1/NFKBIB/PTPN6/ITGB2/HLA-DRA/HLA-DOA/CYBA/FCGR3B/TLR2/HLA-DQB1/CR1/PRKCB/IL1B/MAPK13/ITGA4/NCF1/TAB1/IL10/HLA-DQA1/HLA-DOB
VALINE LEUCINE AND ISOLEUCINE DEGRADATION	VALINE LEUCINE AND ISOLEUCINE DEGRADATION	40	0.556296745713075	1.70736574035442	0.00258446697454841	0.0363813427955661	0.0313902871402641	3838	tags=65%, list=31%, signal=45%	EHHADH/AOX1/ALDH6A1/ALDH3A2/MCCC1/OXCT2/BCAT2/HADH/BCAT1/ACADSB/ALDH7A1/ACAT1/ABAT/BCKDHB/PCCA/HADHA/HMGCL/ACADS/HMGCS2/HIBCH/BCKDHA/ECHS1/MCCC2/ACAA2/ALDH2/OXCT1
ADIPOCYTOKINE SIGNALING PATHWAY	ADIPOCYTOKINE SIGNALING PATHWAY	61	0.508728490864408	1.68935067678864	0.00315714378258602	0.041268379443803	0.0356068847660078	1565	tags=23%, list=12%, signal=20%	LEP/PCK1/ADIPOQ/CD36/ACACB/PRKAA2/PRKAA1/NPY/PRKAB2/IRS2/AKT2/MAPK8/ACSL1/AKT3
CELL ADHESION MOLECULES CAMS	CELL ADHESION MOLECULES CAMS	115	-0.43072283942604	-1.54149102366789	0.00391077710480122	0.0477114806785749	0.0411660747873813	1811	tags=29%, list=14%, signal=25%	CLDN7/HLA-DPA1/CTLA4/CD28/ITGB2/NCAM2/HLA-DRA/CD86/HLA-DOA/CD2/CD4/SIGLEC1/HLA-DQB1/SELPLG/CNTNAP2/PTPRC/CD22/CD6/SPN/CLDN17/ITGA4/CDH3/CLDN16/CD226/NLGN4X/PDCD1LG2/SDC1/SELE/ITGAL/HLA-DQA1/CD40LG/HLA-DOB/ITGB7
HISTIDINE METABOLISM	HISTIDINE METABOLISM	23	0.617399878517303	1.6506594882809	0.00691820175144616	0.0791269325321655	0.068271727810324	2076	tags=39%, list=17%, signal=33%	MAOA/ASPA/ALDH3A2/DDC/ALDH3B2/ALDH1A3/HDC/METTL2B/ALDH7A1
PROPANOATE METABOLISM	PROPANOATE METABOLISM	27	0.597693011789595	1.67037703641953	0.00829814982697042	0.0834579698101702	0.0720086020795256	3833	tags=67%, list=31%, signal=46%	EHHADH/ACACB/ACACA/ALDH6A1/ALDH3A2/ACSS3/MLYCD/ALDH7A1/ACAT1/ABAT/PCCA/HADHA/HIBCH/ECHS1/SUCLG1/ALDH2/SUCLG2/SUCLA2
DRUG METABOLISM CYTOCHROME P450	DRUG METABOLISM CYTOCHROME P450	53	0.488161038788284	1.57184986364246	0.00866503511690292	0.0834579698101702	0.0720086020795256	2789	tags=45%, list=22%, signal=35%	UGT2A3/MAOA/ADH1B/ADH1C/AOX1/ADH1A/GSTT1/GSTT2/GSTM2/CYP2C18/ALDH3B2/FMO2/CYP2A13/ALDH1A3/ADH5/GSTM3/GSTA1/CYP3A43/GSTM5/UGT2B28/GSTM1/FMO5/GSTA4/ADH6
NATURAL KILLER CELL MEDIATED CYTOTOXICITY	NATURAL KILLER CELL MEDIATED CYTOTOXICITY	119	-0.407222427482901	-1.46380611236787	0.00798997925795149	0.0834579698101702	0.0720086020795256	2303	tags=30%, list=18%, signal=25%	ICAM1/IFNA4/MAP2K2/KLRD1/NRAS/KRAS/PTK2B/VAV3/IFNAR2/KIR2DL2/PLCG2/LAT/ULBP1/RAC3/PTPN6/ITGB2/FCER1G/LCP2/GRB2/FCGR3B/PRF1/IFNB1/TNFRSF10C/PRKCB/CD48/RAC2/ZAP70/CD247/CSF2/PAK1/GZMB/LCK/PIK3CG/ULBP2/ITGAL/KLRC3
HEMATOPOIETIC CELL LINEAGE	HEMATOPOIETIC CELL LINEAGE	82	-0.451344056646157	-1.53885248219664	0.00989255119318084	0.0905168434176047	0.0780990883672171	1657	tags=37%, list=13%, signal=32%	CD3E/IL11/IL4R/HLA-DRA/CD2/ANPEP/CD4/CD1D/CR1/CD22/CD3G/IL6/CD37/IL1B/ITGA4/TFRC/CD19/CD3D/CR2/CSF2/IL3RA/CSF3R/IL7R/CD38/IL7/MS4A1/GYPA/IL1R2/CD7/CD33
DILATED CARDIOMYOPATHY	DILATED CARDIOMYOPATHY	81	0.436969089806775	1.50705259151187	0.0108990292874692	0.0906601072548575	0.0782226982354249	1746	tags=31%, list=14%, signal=27%	TNNC1/MYH6/ITGA1/CACNG5/TPM3/TTN/ITGA7/PLN/CACNB4/ACTC1/CACNB3/LAMA2/MYL2/CACNA2D1/DES/PRKX/TPM2/SLC8A1/CACNA1D/ITGB4/TGFB2/ITGA8/MYH7/CACNB2/DMD
ADHERENS JUNCTION	ADHERENS JUNCTION	66	0.44484765642177	1.48644461958173	0.0107609076950645	0.0906601072548575	0.0782226982354249	2600	tags=38%, list=21%, signal=30%	LMO7/WASL/FER/SORBS1/WASF3/ACTN3/EGFR/PTPRB/PARD3/PTPRF/TCF7L1/TCF7L2/INSR/IGF1R/CSNK2A2/FYN/ACTN4/TGFBR1/CDH1/PTPRM/WASF1/MET/MAPK3/BAIAP2/SMAD2
GRAFT VERSUS HOST DISEASE	GRAFT VERSUS HOST DISEASE	35	-0.540776927741383	-1.58092034731934	0.0129543314854288	0.10091347918477	0.0870694384683087	2275	tags=49%, list=18%, signal=40%	KLRD1/HLA-DMA/CD80/KIR2DL2/HLA-DPA1/CD28/IL2/HLA-DRA/CD86/HLA-DOA/HLA-DQB1/PRF1/IL6/IL1B/GZMB/HLA-DQA1/HLA-DOB
TOLL LIKE RECEPTOR SIGNALING PATHWAY	TOLL LIKE RECEPTOR SIGNALING PATHWAY	95	-0.420831756204138	-1.475525182273	0.0132345546471829	0.10091347918477	0.0870694384683087	2509	tags=34%, list=20%, signal=27%	STAT1/IRAK1/IKBKE/IRF5/IFNA4/MAP2K2/FOS/TLR1/CD80/IFNAR2/LBP/MAP3K8/TICAM1/LY96/CD86/TLR2/IFNB1/IL6/IL1B/MAP2K7/CXCL10/CHUK/MAPK13/IRF7/CXCL9/TAB1/SPP1/TLR8/CCL4/CCL5/PIK3CG/CXCL8
