ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
CYTOKINE CYTOKINE RECEPTOR INTERACTION	CYTOKINE CYTOKINE RECEPTOR INTERACTION	230	0.453975377726988	1.68648272034173	1.42214436363521e-05	0.00260252418545243	0.00244010032918462	1561	tags=31%, list=12%, signal=28%	CXCL2/CXCL3/CXCL5/IL26/CXCL8/BMPR1B/CXCL13/CCL11/IL6/IL20RA/CCL8/TNFRSF17/CCL2/CLCF1/CD40LG/CXCL14/IL12A/CRLF2/CCR9/PRLR/CXCR1/IFNA10/FLT3LG/CXCL10/IL12RB2/CCL4/IL1B/CXCR3/GH2/CCL25/IL1R2/IL4/CXCL9/IL7/CCL13/IL19/CD70/PPBP/IL3/IL23A/IFNA5/CCL7/INHBA/PF4V1/CCL17/IL5/IL10/IL18RAP/FLT3/TNFSF14/CCL18/TNFRSF12A/CXCR6/IL17B/IL24/CCL5/BMP7/TNFSF9/PDGFA/IL15/CCR5/EDAR/CCR3/IL1A/TNFRSF9/TNFRSF10D/IL7R/IFNB1/IL22/XCL1/CXCL11
PORPHYRIN AND CHLOROPHYLL METABOLISM	PORPHYRIN AND CHLOROPHYLL METABOLISM	24	0.77347188851912	2.00272700890982	3.99707779247483e-05	0.00365732618011447	0.00342907200091262	473	tags=17%, list=4%, signal=16%	UGT2A3/UGT2B4/UGT2B28/UGT2B17
ASCORBATE AND ALDARATE METABOLISM	ASCORBATE AND ALDARATE METABOLISM	11	0.844472719781503	1.8454164001894	0.000603975775994765	0.0255725179080606	0.0239765339028696	473	tags=36%, list=4%, signal=35%	UGT2A3/UGT2B4/UGT2B28/UGT2B17
STEROID HORMONE BIOSYNTHESIS	STEROID HORMONE BIOSYNTHESIS	39	0.648042825786842	1.84174367700906	0.000444705409627367	0.0255725179080606	0.0239765339028696	1038	tags=31%, list=8%, signal=28%	UGT2A3/CYP7A1/UGT2B4/HSD3B1/UGT2B28/CYP7B1/HSD3B2/CYP1A1/UGT2B17/HSD17B6/SULT2B1/HSD17B1
PENTOSE AND GLUCURONATE INTERCONVERSIONS	PENTOSE AND GLUCURONATE INTERCONVERSIONS	13	0.816882773154287	1.81717581324681	0.000838443210100348	0.0255725179080606	0.0239765339028696	473	tags=31%, list=4%, signal=30%	UGT2A3/UGT2B4/UGT2B28/UGT2B17
DRUG METABOLISM OTHER ENZYMES	DRUG METABOLISM OTHER ENZYMES	32	0.653840731315964	1.81323016653913	0.000835261262433933	0.0255725179080606	0.0239765339028696	473	tags=16%, list=4%, signal=15%	UGT2A3/UGT2B4/UPB1/UGT2B28/UGT2B17
STARCH AND SUCROSE METABOLISM	STARCH AND SUCROSE METABOLISM	29	0.672431981617414	1.82288058089588	0.00118492696484995	0.0309773763667915	0.0290440744767732	473	tags=21%, list=4%, signal=20%	UGT2A3/SI/UGT2B4/MGAM/UGT2B28/UGT2B17
NOD LIKE RECEPTOR SIGNALING PATHWAY	NOD LIKE RECEPTOR SIGNALING PATHWAY	54	0.564194510025	1.71496617988796	0.00268299398373611	0.0613734873779635	0.057543160440656	1386	tags=28%, list=11%, signal=25%	CXCL2/CXCL8/CCL11/IL6/CCL8/CCL2/IL1B/CCL13/CCL7/BIRC3/MEFV/MAPK12/CCL5/TNFAIP3/RIPK2
AXON GUIDANCE	AXON GUIDANCE	111	-0.387475512003871	-1.38174867226672	0.0115285677680329	0.234414211283336	0.219784391367177	3313	tags=36%, list=26%, signal=27%	PAK6/RHOD/SEMA3C/SEMA5A/NTN1/EFNB1/RASA1/PAK1/SLIT2/PAK3/UNC5B/MET/EPHB6/EPHA3/EFNA3/PLXNB3/RAC3/PLXNB2/GNAI2/SEMA3A/SEMA4G/MAPK3/PLXNB1/ABL1/EFNA2/HRAS/SEMA4D/SEMA6A/EPHA4/EFNA1/PLXNA3/L1CAM/SEMA3G/UNC5C/DCC/RND1/SEMA3E/SEMA6C/SEMA3B/EPHA7
PANTOTHENATE AND COA BIOSYNTHESIS	PANTOTHENATE AND COA BIOSYNTHESIS	14	0.717214230050478	1.61520738433885	0.0133476318720832	0.244261663259122	0.229017262647322	327	tags=21%, list=3%, signal=21%	UPB1/VNN2/VNN1
