ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
PENTOSE AND GLUCURONATE INTERCONVERSIONS	PENTOSE AND GLUCURONATE INTERCONVERSIONS	13	-0.824176578358786	-1.95233535756219	0.000302746523785944	0.0554026138528278	0.0513075687679337	703	tags=38%, list=6%, signal=36%	DCXR/XYLB/UGT2A3/UGT2B28/UGT2B4
PANTOTHENATE AND COA BIOSYNTHESIS	PANTOTHENATE AND COA BIOSYNTHESIS	14	-0.767579638171995	-1.85823692949439	0.00217489496064877	0.176998630353949	0.163915901564486	1769	tags=50%, list=14%, signal=43%	PPCDC/BCAT2/VNN1/PPCS/DPYS/VNN2/UPB1
DRUG METABOLISM OTHER ENZYMES	DRUG METABOLISM OTHER ENZYMES	32	-0.581085203324298	-1.67615784394182	0.00331323840612599	0.176998630353949	0.163915901564486	543	tags=22%, list=4%, signal=21%	UPP1/DPYS/UGT2A3/UGT2B28/TK1/UPB1/UGT2B4
PPAR SIGNALING PATHWAY	PPAR SIGNALING PATHWAY	61	-0.487546245023357	-1.60446000822461	0.0038688225213978	0.176998630353949	0.163915901564486	2281	tags=34%, list=18%, signal=28%	CD36/ACADM/ACOX1/FABP3/OLR1/ACOX2/ACADL/GK/LPL/RXRG/FABP1/FABP4/UCP1/PLIN1/CYP27A1/MMP1/PCK1/ADIPOQ/GK2/SLC27A6/CYP7A1
STEROID HORMONE BIOSYNTHESIS	STEROID HORMONE BIOSYNTHESIS	39	-0.547762415067318	-1.66670786072284	0.0055335806171127	0.188634115921	0.174691358431297	589	tags=18%, list=5%, signal=17%	HSD17B1/UGT2A3/UGT2B28/HSD11B2/HSD3B1/UGT2B4/CYP7A1
HYPERTROPHIC CARDIOMYOPATHY HCM	HYPERTROPHIC CARDIOMYOPATHY HCM	75	-0.463529025955624	-1.57457403615832	0.00618472511216393	0.188634115921	0.174691358431297	1497	tags=25%, list=12%, signal=22%	ACTC1/SGCB/MYL3/CACNB4/DES/CACNA2D3/MYL2/MYBPC3/SGCG/CACNG4/TTN/PRKAA2/ITGA4/SGCA/CACNG2/CACNG1/ITGA1/TNNC1/MYH6
REGULATION OF AUTOPHAGY	REGULATION OF AUTOPHAGY	29	-0.586281014123699	-1.66512437255	0.00900326244741618	0.205949628484645	0.190727007109738	600	tags=21%, list=5%, signal=20%	PIK3R4/PRKAA2/IFNA10/IFNA2/IFNA8/IFNA1
AUTOIMMUNE THYROID DISEASE	AUTOIMMUNE THYROID DISEASE	46	-0.509458939342388	-1.58463019037227	0.00817734165575175	0.205949628484645	0.190727007109738	707	tags=22%, list=6%, signal=21%	IL5/IFNA10/TSHR/HLA-DOB/PRF1/HLA-DQB1/IFNA2/GZMB/IFNA8/IFNA1
ASCORBATE AND ALDARATE METABOLISM	ASCORBATE AND ALDARATE METABOLISM	11	-0.734536927710885	-1.6437413392101	0.0133841667209927	0.210193298549542	0.19465700929811	529	tags=45%, list=4%, signal=44%	ALDH7A1/ALDH1B1/UGT2A3/UGT2B28/UGT2B4
RENAL CELL CARCINOMA	RENAL CELL CARCINOMA	64	0.458532827218686	1.54639918565264	0.0115937266723855	0.210193298549542	0.19465700929811	3094	tags=36%, list=25%, signal=27%	PIK3CG/AKT2/RAPGEF1/PAK6/FLCN/PGF/PAK3/PIK3R1/HRAS/GRB2/GAB1/VEGFA/ARNT2/VHL/PIK3R2/KRAS/VEGFB/JUN/MAP2K2/EPAS1/TGFB3/CDC42/SLC2A1
