ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
LONG TERM DEPRESSION	LONG TERM DEPRESSION	60	-0.552735551444745	-1.78160806394673	0.000527907387225869	0.0966070518623341	0.0911334857947816	1498	tags=27%, list=12%, signal=24%	PLA2G3/ITPR1/GRM5/GNAI1/PLA2G5/PLA2G1B/PPP1R17/PLCB4/PRKG2/PLA2G2E/CRH/GNA13/GRID2/RYR1/GRIA2/GUCY1A2
LINOLEIC ACID METABOLISM	LINOLEIC ACID METABOLISM	22	-0.707091318893201	-1.83219091486155	0.00144707339435459	0.126839809903829	0.119653315066022	1569	tags=50%, list=13%, signal=44%	CYP2C9/PLA2G3/CYP2C18/CYP3A43/PLA2G5/CYP2C8/PLA2G1B/CYP2C19/PLA2G2E/ALOX15/CYP2J2
ARACHIDONIC ACID METABOLISM	ARACHIDONIC ACID METABOLISM	46	-0.546426671529749	-1.65270652466065	0.00270733435104851	0.126839809903829	0.119653315066022	1569	tags=37%, list=13%, signal=32%	CYP2B6/CYP2C9/PLA2G3/CYP2C18/HPGDS/PLA2G5/CYP2C8/CBR1/PLA2G1B/CYP4F2/CYP2C19/PLA2G2E/GPX2/ALOX15B/ALOX15/ALOX12/CYP2J2
DRUG METABOLISM CYTOCHROME P450	DRUG METABOLISM CYTOCHROME P450	53	-0.526490697352747	-1.64010114340728	0.00307110481553923	0.126839809903829	0.119653315066022	1865	tags=47%, list=15%, signal=40%	GSTA4/CYP2B6/GSTM4/GSTM1/CYP2C9/FMO5/CYP2C18/GSTM3/CYP2A6/CYP3A43/GSTT2/GSTM2/ADH1A/CYP2C8/GSTT1/ADH1B/CYP2C19/UGT2A3/AOX1/GSTM5/UGT2B28/MAOA/ALDH3A1/ADH6/UGT2B4
NEUROACTIVE LIGAND RECEPTOR INTERACTION	NEUROACTIVE LIGAND RECEPTOR INTERACTION	240	-0.349991566147412	-1.38543150371538	0.00346556857660734	0.126839809903829	0.119653315066022	1487	tags=28%, list=12%, signal=25%	PRL/HRH4/GABRB2/HTR2C/GABRR2/PRSS3/P2RY1/GZMA/GRM5/P2RY4/TAAR5/HRH3/TSHB/OPRK1/GALR3/FSHB/GRIK3/MCHR1/F2RL3/CALCRL/ADRA1A/GABRB3/HTR1E/GRM6/P2RX1/NPFFR1/ADRA2B/BRS3/FPR2/CYSLTR2/CHRNB1/AVPR1B/VIPR1/NPY2R/GABRA6/GLRB/TAAR2/GABRA2/AGTR2/AVPR1A/DRD3/GABRG3/NPY1R/MC4R/PTH2R/HTR1A/P2RY14/HCRTR1/NMBR/LHCGR/GRID2/VIPR2/F2RL2/GABRA3/GRIA2/SSTR1/MC5R/CHRNA1/CHRNA9/GPR50/GLRA2/GRIN2A/GABRG2/CHRM3/CHRM4/MTNR1A
CHEMOKINE SIGNALING PATHWAY	CHEMOKINE SIGNALING PATHWAY	165	0.410165506802073	1.44950976513047	0.0045506914103166	0.138796088014656	0.130932173910864	1551	tags=18%, list=12%, signal=16%	CXCL3/CCL20/GNGT1/ADCY8/AKT2/CXCL13/VAV2/CXCL2/CXCL8/CCL21/CCR7/CCR6/PRKACG/WASL/CCL17/NFKBIB/GNG13/FGR/GRK1/CHUK/STAT2/CXCR5/GNG7/RAC2/GSK3B/CCL23/CCL5/PF4/PTK2B/CCL22
METABOLISM OF XENOBIOTICS BY CYTOCHROME P450	METABOLISM OF XENOBIOTICS BY CYTOCHROME P450	48	-0.528777648302287	-1.6171586673622	0.00743251171633115	0.151838354738194	0.143235491383744	1906	tags=46%, list=15%, signal=39%	CYP2F1/GSTA4/CYP2B6/GSTM4/GSTM1/CYP2C9/CYP2C18/GSTM3/CYP3A43/GSTT2/GSTM2/ADH1A/CYP2C8/GSTT1/ADH1B/CYP2C19/UGT2A3/GSTM5/UGT2B28/ALDH3A1/ADH6/UGT2B4
B CELL RECEPTOR SIGNALING PATHWAY	B CELL RECEPTOR SIGNALING PATHWAY	71	0.50197437117914	1.57441385315424	0.00740434730050327	0.151838354738194	0.143235491383744	3144	tags=38%, list=25%, signal=29%	CR2/AKT2/VAV2/CD79A/CD22/NFKBIB/DAPP1/CHUK/RAC2/GSK3B/CD79B/CD72/RASGRP3/LILRB3/PRKCB/PTPN6/MAP2K2/PLCG2/PIK3CG/IKBKB/NFKBIE/GRB2/PIK3R1/KRAS/VAV3/NFAT5/SYK
OLFACTORY TRANSDUCTION	OLFACTORY TRANSDUCTION	64	-0.472860582388832	-1.53686776059394	0.0074674600690915	0.151838354738194	0.143235491383744	2345	tags=47%, list=19%, signal=38%	CLCA1/OR1D2/CNGA3/OR7A17/OR3A1/CAMK2B/GNAL/GUCY2D/OR10H1/OR12D2/GUCA1A/CLCA2/OR2B2/CALML5/OR10J1/OR10H2/OR12D3/OR1D5/PDE1C/OR2J2/CAMK2A/OR1G1/OR7A5/OR2J3/PRKG2/CLCA4/OR1A1/OR1A2/OR6A2/OR5I1
CARDIAC MUSCLE CONTRACTION	CARDIAC MUSCLE CONTRACTION	61	-0.465695322035799	-1.50677232248932	0.0115099040259288	0.178192792205187	0.168096738117059	1063	tags=16%, list=8%, signal=15%	COX6A2/FXYD2/MYH7/TPM3/MYL3/ACTC1/RYR2/MYL2/CACNA1S/TNNC1
