ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
PENTOSE AND GLUCURONATE INTERCONVERSIONS	PENTOSE AND GLUCURONATE INTERCONVERSIONS	13	-0.865787460430798	-2.0864035541533	2.27451302192984e-05	0.0020811794150658	0.00190340826572023	469	tags=31%, list=4%, signal=30%	DCXR/UGT2B4/UGT2A3/UGT2B17
ASCORBATE AND ALDARATE METABOLISM	ASCORBATE AND ALDARATE METABOLISM	11	-0.877751363023055	-2.05925832273301	2.06200475188265e-05	0.0020811794150658	0.00190340826572023	18	tags=36%, list=0%, signal=36%	ALDH1B1/UGT2B4/UGT2A3/UGT2B17
PORPHYRIN AND CHLOROPHYLL METABOLISM	PORPHYRIN AND CHLOROPHYLL METABOLISM	24	-0.689205477902713	-1.88696570773527	0.000676653358998285	0.0412758548988954	0.0377501347651675	18	tags=29%, list=0%, signal=29%	UROD/BLVRB/ALAS1/BLVRA/UGT2B4/UGT2A3/UGT2B17
METABOLISM OF XENOBIOTICS BY CYTOCHROME P450	METABOLISM OF XENOBIOTICS BY CYTOCHROME P450	48	-0.566891008782298	-1.77451293944774	0.00110516713840939	0.0505613965822295	0.0462425197387086	1140	tags=19%, list=9%, signal=17%	AKR1C4/CYP3A43/GSTA3/CYP2B6/GSTT1/GSTZ1/UGT2B4/UGT2A3/UGT2B17
STEROID HORMONE BIOSYNTHESIS	STEROID HORMONE BIOSYNTHESIS	39	-0.577815163087752	-1.76022590327297	0.00351989810695234	0.0997260854451394	0.0912076363864087	1140	tags=33%, list=9%, signal=30%	HSD17B8/HSD3B2/AKR1C4/CYP3A43/SRD5A1/HSD11B2/SRD5A3/HSD17B1/HSD3B1/UGT2B4/CYP7A1/UGT2A3/UGT2B17
PYRIMIDINE METABOLISM	PYRIMIDINE METABOLISM	76	-0.46501870461014	-1.60076181130289	0.00335523145912944	0.0997260854451394	0.0912076363864087	3866	tags=49%, list=31%, signal=34%	POLR3C/POLR2A/NME4/ENTPD3/POLR3B/UPB1/UMPS/POLR2D/NT5C2/NME7/CANT1/POLR1E/POLR2L/POLA2/DHODH/POLR2I/POLR2J/POLR2K/ENTPD6/POLR3D/NT5C/DPYD/TYMP/POLD4/UPP1/PRIM1/DPYS/POLR3K/POLD1/NME3/POLE2/DTYMK/DCK/TK1/PRIM2/NT5M/NUDT2
CYTOKINE CYTOKINE RECEPTOR INTERACTION	CYTOKINE CYTOKINE RECEPTOR INTERACTION	230	-0.352051124411291	-1.40063369482492	0.00381465900609823	0.0997260854451394	0.0912076363864087	1297	tags=22%, list=10%, signal=20%	BMPR1B/CCL7/TNFSF11/CCL19/CXCL11/CXCL9/TNFSF8/GH2/CXCL1/IFNA4/IL12RB1/IL17RB/PRLR/IL18RAP/CCR3/IFNA1/CCL21/IL3/CCL23/CCR7/PRL/CNTF/CCL18/XCR1/IL15RA/CCL13/IL10/IL15/GH1/CCL24/IL20RA/IL1RAP/IL23A/IL21R/IFNB1/CXCR6/CCR6/IL7/IL18/CD27/TNFRSF4/CCL1/CCL17/CXCL6/IL12RB2/IL1R2/IL26/IL24/TNFRSF17/CXCL13
OXIDATIVE PHOSPHORYLATION	OXIDATIVE PHOSPHORYLATION	82	-0.431314418737309	-1.4996709261291	0.00764761416384191	0.174939173997884	0.159996138427745	4067	tags=54%, list=32%, signal=37%	ATP6AP1/NDUFV2/NDUFS4/NDUFS3/TCIRG1/NDUFB8/NDUFB3/UQCR11/NDUFS6/NDUFS1/NDUFA8/NDUFB4/COX7A2/UQCRC2/COX8A/ATP6V1C1/ATP6V0B/COX10/COX7B/PPA2/ATP6V1H/NDUFB5/ATP6V0A4/UQCRQ/UQCRC1/COX5B/LHPP/UQCR10/SDHD/COX6A1/NDUFA2/NDUFA6/SDHB/NDUFA4L2/NDUFB6/COX11/NDUFB1/NDUFA1/NDUFB7/COX5A/NDUFS7/NDUFA3/ATP12A/NDUFA7
PHOSPHATIDYLINOSITOL SIGNALING SYSTEM	PHOSPHATIDYLINOSITOL SIGNALING SYSTEM	70	0.44495198572447	1.53582660170577	0.0104271727678659	0.212019179613274	0.193908826911191	2509	tags=29%, list=20%, signal=23%	DGKB/DGKE/PIK3CG/ITPKA/DGKG/PIK3R2/PIK3R1/CALML5/ITPKB/CALML3/PLCE1/SYNJ2/INPP4B/DGKD/PIP4K2B/PLCB2/PIK3C2B/INPPL1/PLCB4/PIK3CA
TYPE II DIABETES MELLITUS	TYPE II DIABETES MELLITUS	43	0.508763014343804	1.59090527094631	0.0141543306458288	0.259024250818668	0.236898797124925	1127	tags=35%, list=9%, signal=32%	PIK3CG/CACNA1E/SLC2A4/CACNA1B/ADIPOQ/PKLR/SLC2A2/IRS4/INSR/PIK3R2/CACNA1D/PRKCE/CACNA1C/TNF/PIK3R1
FRUCTOSE AND MANNOSE METABOLISM	FRUCTOSE AND MANNOSE METABOLISM	30	-0.563375376009256	-1.59820692876882	0.0163933050179095	0.272724983479766	0.24942923424379	2899	tags=37%, list=23%, signal=28%	MTMR6/SORD/HK2/MPI/GMDS/FBP1/AKR1B10/PFKFB4/HK3/MTMR7/FBP2
PROSTATE CANCER	PROSTATE CANCER	85	0.411878569721947	1.47098634708603	0.01885182064575	0.275401768417063	0.251877372322767	3963	tags=51%, list=32%, signal=35%	SRD5A2/PIK3CG/INSRR/AKT2/EGF/IGF1R/EGFR/E2F2/PDGFA/PIK3R2/PIK3R1/AR/CREB1/GSK3B/FGFR1/CREB3L2/CREB3L1/TCF7L1/PDGFD/IKBKB/PDGFB/PDGFRB/INS/HSP90AB1/PIK3CA/CCND1/SOS1/E2F3/ARAF/NFKBIA/TCF7/PDPK1/NKX3-1/HRAS/HSP90AA1/E2F1/GRB2/PIK3R3/FOXO1/TCF7L2/CASP9/IGF1/PIK3R5
ADHERENS JUNCTION	ADHERENS JUNCTION	66	0.431826794579719	1.46406574708832	0.0204289996988212	0.275401768417063	0.251877372322767	2787	tags=33%, list=22%, signal=26%	FER/LMO7/WASL/IGF1R/EGFR/PTPRB/INSR/CDH1/CTNNA2/SRC/SORBS1/SNAI1/FGFR1/FARP2/PARD3/TCF7L1/ACTN4/MET/PTPRM/VCL/IQGAP1/ACTN3
DRUG METABOLISM CYTOCHROME P450	DRUG METABOLISM CYTOCHROME P450	53	-0.453408537460615	-1.45760304030308	0.0220806407571226	0.275401768417063	0.251877372322767	1124	tags=17%, list=9%, signal=16%	CYP3A43/FMO3/GSTA3/CYP2B6/GSTT1/GSTZ1/UGT2B4/UGT2A3/UGT2B17
REGULATION OF ACTIN CYTOSKELETON	REGULATION OF ACTIN CYTOSKELETON	192	0.333915626148563	1.32588515634716	0.0225739154440216	0.275401768417063	0.251877372322767	2814	tags=32%, list=22%, signal=25%	TMSB4Y/PIK3CG/INSRR/WASL/CHRM3/MYLK3/ARHGEF4/EGF/SCIN/FGF9/EGFR/MRAS/FGF8/VAV2/PDGFA/FGF16/ITGB8/PIK3R2/APC/MYLK/PIK3R1/BDKRB2/ITGA7/ITGB4/ITGA5/FGF1/DIAPH2/CHRM2/MYH10/ITGB3/FGFR1/ARHGEF6/ITGA10/ITGA8/PDGFD/FGF21/PIP4K2B/APC2/MOS/FGF6/ACTN4/PDGFB/ROCK2/PDGFRB/TIAM1/DOCK1/PAK3/INS/FGD1/MYL7/PIK3CA/CHRM5/RDX/ARHGAP35/SOS1/ENAH/FGFR4/VCL/IQGAP1/FGF12/ACTN3/ITGAV
PANTOTHENATE AND COA BIOSYNTHESIS	PANTOTHENATE AND COA BIOSYNTHESIS	14	-0.649771053869622	-1.59457783168364	0.0260797775989052	0.298287456287478	0.272808199883284	2095	tags=50%, list=17%, signal=42%	BCAT2/DPYD/PPCS/DPYS/VNN1/PPCDC/VNN2
