ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
PENTOSE AND GLUCURONATE INTERCONVERSIONS	PENTOSE AND GLUCURONATE INTERCONVERSIONS	13	-0.714271921214107	-1.68117500009578	0.00829659455489813	0.314573896404352	0.307607491450905	1547	tags=38%, list=12%, signal=34%	UGT2B28/RPE/UGT2A3/UGT2B4/UGT2B17
STARCH AND SUCROSE METABOLISM	STARCH AND SUCROSE METABOLISM	29	-0.584271323565262	-1.6242492509217	0.00829709307372233	0.314573896404352	0.307607491450905	576	tags=21%, list=5%, signal=20%	UGT2A3/UGT2B4/MGAM/SI/GYS2/UGT2B17
ASCORBATE AND ALDARATE METABOLISM	ASCORBATE AND ALDARATE METABOLISM	11	-0.732596269488689	-1.62167310878932	0.0085949152023047	0.314573896404352	0.307607491450905	576	tags=45%, list=5%, signal=43%	ALDH7A1/UGT2B28/UGT2A3/UGT2B4/UGT2B17
RIG I LIKE RECEPTOR SIGNALING PATHWAY	RIG I LIKE RECEPTOR SIGNALING PATHWAY	64	0.469694503269584	1.53551530131069	0.00802449864008874	0.314573896404352	0.307607491450905	869	tags=16%, list=7%, signal=15%	IFNA8/DDX3Y/TRIM25/IFNW1/IFNA21/NFKBIB/RNF125/IFNA2/IFNA4/MAPK13
NEUROACTIVE LIGAND RECEPTOR INTERACTION	NEUROACTIVE LIGAND RECEPTOR INTERACTION	240	-0.349914623434618	-1.41374098629773	0.00319755302256091	0.314573896404352	0.307607491450905	1806	tags=29%, list=14%, signal=25%	GRIA3/S1PR1/CHRM5/CHRNB4/GRM5/ADRB1/P2RX5/OXTR/AVPR2/SSTR4/GALR3/ADRB2/LPAR6/DRD3/HTR1F/MTNR1B/MC4R/MLNR/P2RY6/VIPR2/AVPR1A/LEP/GABRA6/HTR7/GRM3/ADRA1A/GRIA4/GABRG3/PRLR/CALCRL/THRB/CHRNA9/ADRA2A/CHRNA1/OPRD1/GABRA3/GLRA1/OPRM1/FSHR/P2RX1/CHRNA10/TSHR/GLRA3/CTSG/F2RL3/CHRM3/P2RX2/P2RY14/PLG/PTGDR/GLRA2/GRIN2C/AGTR2/PTH2R/ADRB3/GRIA2/HCRTR2/CYSLTR1/HTR1D/GPR50/F2RL2/HTR1E/CHRM4/LHCGR/HTR1B/GABRB3/NPY1R/NMBR/MTNR1A/P2RY10
REGULATION OF AUTOPHAGY	REGULATION OF AUTOPHAGY	29	0.564635793720134	1.58764823227555	0.0164822675093667	0.502709159035685	0.491576399402166	732	tags=17%, list=6%, signal=16%	IFNA8/INS/IFNA21/IFNA2/IFNA4
ALDOSTERONE REGULATED SODIUM REABSORPTION	ALDOSTERONE REGULATED SODIUM REABSORPTION	39	0.536240017955608	1.60960266864919	0.0224411158757807	0.510460251046025	0.499155839389268	2994	tags=51%, list=24%, signal=39%	INS/SLC9A3R2/SCNN1A/HSD11B2/NEDD4L/ATP1A2/PIK3CG/PRKCG/MAPK3/SCNN1B/SCNN1G/ATP1A1/PIK3R5/PIK3R2/ATP1B2/NR3C2/INSR/IGF1/PIK3R1/PRKCA
NICOTINATE AND NICOTINAMIDE METABOLISM	NICOTINATE AND NICOTINAMIDE METABOLISM	16	-0.63647991190397	-1.56232533819261	0.031323980295722	0.510460251046025	0.499155839389268	1032	tags=25%, list=8%, signal=23%	NMNAT2/QPRT/NT5M/NADSYN1
PORPHYRIN AND CHLOROPHYLL METABOLISM	PORPHYRIN AND CHLOROPHYLL METABOLISM	24	-0.578293271137433	-1.55659940238505	0.0205868021667832	0.510460251046025	0.499155839389268	2031	tags=29%, list=16%, signal=24%	BLVRA/UROD/CPOX/UGT2B28/UGT2A3/UGT2B4/UGT2B17
DRUG METABOLISM OTHER ENZYMES	DRUG METABOLISM OTHER ENZYMES	32	-0.530526453204911	-1.52148923832977	0.0399009645316435	0.510460251046025	0.499155839389268	893	tags=25%, list=7%, signal=23%	DPYS/UGT2B28/NAT2/CDA/UPB1/UGT2A3/UGT2B4/UGT2B17
PROGESTERONE MEDIATED OOCYTE MATURATION	PROGESTERONE MEDIATED OOCYTE MATURATION	73	0.415985523866536	1.39788880599081	0.0407252628999447	0.510460251046025	0.499155839389268	2078	tags=27%, list=17%, signal=23%	INS/AKT2/PIK3CG/MAPK13/CCNA1/MAPK3/FZR1/PGR/CPEB1/RPS6KA2/AKT1/GNAI2/PDE3A/ADCY6/PIK3R5/RPS6KA6/PIK3R2/PRKACA/ADCY1/ADCY3
