ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
DRUG METABOLISM OTHER ENZYMES	DRUG METABOLISM OTHER ENZYMES	32	-0.675005971642501	-1.95396469220177	0.000201030808735587	0.0222000733700013	0.0199206870619511	1684	tags=41%, list=13%, signal=35%	CDA/DPYD/NAT2/CYP2A6/CYP3A43/UPB1/XDH/CYP3A4/UCKL1/CYP3A5/DPYS/UGT2A3/UGT2B4
OLFACTORY TRANSDUCTION	OLFACTORY TRANSDUCTION	64	-0.557130180683018	-1.87694547151879	0.00024262375267761	0.0222000733700013	0.0199206870619511	1862	tags=39%, list=15%, signal=33%	CAMK2B/OR2H1/OR1G1/PDE1C/OR2B6/CNGA3/OR7A5/OR51E2/OR2B2/OR6A2/PRKX/OR1D2/PRKG2/OR2J2/OR12D3/OR5I1/OR1A1/GUCA1A/PRKG1/PRKACG/CAMK2A/OR2J3/OR2W1/OR1D5/CLCA4
ASCORBATE AND ALDARATE METABOLISM	ASCORBATE AND ALDARATE METABOLISM	11	-0.831424020020093	-1.87866162576168	0.000602194570343572	0.0329915687776473	0.0296041687047051	25	tags=36%, list=0%, signal=36%	UGT2B17/ALDH2/UGT2A3/UGT2B4
PENTOSE AND GLUCURONATE INTERCONVERSIONS	PENTOSE AND GLUCURONATE INTERCONVERSIONS	13	-0.785426406333494	-1.85395039146345	0.000758637477507986	0.0329915687776473	0.0296041687047051	25	tags=23%, list=0%, signal=23%	UGT2B17/UGT2A3/UGT2B4
HEDGEHOG SIGNALING PATHWAY	HEDGEHOG SIGNALING PATHWAY	44	-0.566336949085243	-1.76253047555026	0.000901408982995828	0.0329915687776473	0.0296041687047051	2201	tags=43%, list=18%, signal=36%	WNT8B/BMP6/PRKACA/WNT5B/WNT6/WNT16/WNT5A/BMP7/BMP8B/GLI3/PRKX/LRP2/BMP8A/PRKACG/WNT7B/SHH/WNT2/PTCH2/WNT1
HEMATOPOIETIC CELL LINEAGE	HEMATOPOIETIC CELL LINEAGE	82	0.506808414350123	1.64260661675397	0.00128381228487643	0.039156274688731	0.0351359151650391	1739	tags=32%, list=14%, signal=27%	CD1C/IL1R2/IL3RA/TPO/MS4A1/CD7/GYPA/CD33/ITGA4/CD1E/FLT3LG/CD3D/ITGA1/IL7R/FCGR1A/CD1D/CSF2RA/IL7/CD3G/CR1/MME/FLT3/KIT/IL11/GP9/EPO
NEUROACTIVE LIGAND RECEPTOR INTERACTION	NEUROACTIVE LIGAND RECEPTOR INTERACTION	240	-0.339689717816921	-1.38830165127876	0.0022837963361306	0.0597049613588428	0.0535747711934397	2149	tags=35%, list=17%, signal=30%	HRH3/HRH4/VIPR1/LPAR1/HTR6/AGTR2/MLNR/BDKRB2/CHRNA6/GNRHR/GRIN2D/CALCRL/HTR1D/GABRA2/S1PR2/GRM6/HRH1/GHRHR/CHRNB3/GABBR1/GABBR2/BRS3/FSHR/DRD2/P2RX7/GABRP/GRM3/PRL/ADRA2B/CALCR/ADRA1A/HTR1E/C5AR1/MCHR1/HTR1A/MC5R/F2R/GLRA2/GABRB2/CHRNA1/AVPR1B/TSHB/GIPR/GRIA4/GRIN2A/TAAR2/CHRNA3/CHRNA5/GABRG3/GABRB1/OXTR/GABRB3/NPY1R/CHRM2/CHRNA9/F2/ADCYAP1R1/MAS1/P2RX2/VIPR2/CHRND/ADRB3/NPFFR1/GRIA1/LPAR4/PRLR/OPRK1/HRH2/NMBR/HTR4/HTR1B/GRIK3/LHCGR/CYSLTR1/GRID2/OPRD1/CHRM3/CGA/MTNR1A/SSTR1/F2RL3/GABRG2/GRIA2/GRM5
RIBOSOME	RIBOSOME	67	0.52204445328197	1.65282484142165	0.00335888964069251	0.0682974226940811	0.0612850039705301	5397	tags=69%, list=43%, signal=39%	RPLP2/RPS8/RPL10L/RPS4Y1/RPL3L/RPS9/MRPL13/RPS5/RPL8/RPL35A/RPL36/RPL14/RPL38/RPL23A/RPS27L/RPL27A/RPS3/RPL35/RPL3/RPLP1/RPL36AL/RPL19/RPS21/RPS19/RPS16/RPS7/RPS27A/RPL29/RPS17/RPL37/RPL26L1/RPL10A/RPS29/RPL12/RPL22/RPS24/RPL30/RPS15A/RPL7/RPS10/RPL39/RPL6/UBA52/RPS15/RPL24/RPL15
CYTOKINE CYTOKINE RECEPTOR INTERACTION	CYTOKINE CYTOKINE RECEPTOR INTERACTION	230	0.392787185612894	1.45972462952201	0.00325275678013885	0.0682974226940811	0.0612850039705301	2219	tags=32%, list=18%, signal=27%	TNFRSF17/IFNA8/IL2/CCL20/IL1R2/IFNA1/IL26/IL3RA/IL23A/CCL19/TPO/CXCL3/CCR10/TNFRSF4/LTB/CD27/CXCR5/CXCL8/CCL23/CCR6/CCL22/LEP/CCL13/FLT4/IL18R1/FLT3LG/CCL5/NGFR/IL18RAP/CCR2/IL7R/OSM/CCL7/TNFRSF10C/CD70/CCL2/XCL1/CSF2RA/CXCR6/IL7/IL21R/CXCL1/CX3CR1/CCL17/FLT3/PPBP/IL2RG/IL12RB1/CXCL2/IFNA2/XCR1/CXCL5/IL15RA/IL19/KIT/CCL21/IL11/CCL1/CXCL9/EPO/IFNW1/FAS/IFNAR2/IL12RB2/VEGFB/IL25/CCR7/VEGFC/TNFRSF13B/INHBB/CCL8/LTBR/IL21/CNTFR
LONG TERM POTENTIATION	LONG TERM POTENTIATION	64	-0.493644609453333	-1.6630655569892	0.00430783590445869	0.078833397051594	0.0707392001153216	3668	tags=48%, list=29%, signal=34%	RPS6KA6/RAF1/PPP1R12A/GNAQ/GRIN2B/RPS6KA3/PPP1CB/EP300/PPP3CB/CREBBP/PLCB4/PPP3CA/RAP1A/GRIN2C/PLCB1/ADCY1/PRKACA/RPS6KA2/GRIN2D/CAMK2B/ITPR2/PRKCA/GRIN2A/PRKX/CAMK4/GRIA1/PRKACG/CHP2/CAMK2A/GRIA2/GRM5
