ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
OLFACTORY TRANSDUCTION	OLFACTORY TRANSDUCTION	64	-0.571140973205369	-1.93482065185112	2.69139465128469e-05	0.00492525221185099	0.00470285802224483	1979	tags=45%, list=16%, signal=38%	GUCY2D/CAMK2G/OR2S2/PDE1C/OR7E24/CAMK2B/OR7A17/OR3A1/OR2F2/CALM1/OR2W1/OR1D2/PRKX/PRKG1/CLCA2/CAMK2A/OR52A1/OR12D2/OR12D3/OR11A1/OR2B2/OR6A2/OR1D5/OR1E1/OR10H2/OR1A1/OR2B6/OR5I1/OR7A10
ARACHIDONIC ACID METABOLISM	ARACHIDONIC ACID METABOLISM	46	-0.550102985230012	-1.74330686113293	0.00175812211679835	0.0810567335595823	0.0773967084894488	1493	tags=28%, list=12%, signal=25%	CYP2C9/GGT5/PTGIS/LTC4S/CYP4F2/ALOX12/CYP2J2/ALOX15/ALOX15B/PLA2G2F/CYP4F3/GPX5/PTGS2
SPLICEOSOME	SPLICEOSOME	100	0.464076642314901	1.67423509025089	0.000913331165896259	0.0810567335595823	0.0773967084894488	4138	tags=51%, list=33%, signal=34%	USP39/SNRPA1/XAB2/DHX8/RBM17/MAGOHB/WBP11/NCBP1/BCAS2/LSM4/SNRPC/PRPF6/SNRPG/HSPA6/SF3B2/LSM5/PRPF38B/NCBP2/BUD31/U2AF1/SNRPD1/TCERG1/TXNL4A/PQBP1/ACIN1/THOC1/LSM7/U2AF2/SNRPB/PRPF31/LSM6/PRPF4/SRSF5/SRSF3/SRSF8/SRSF10/RBM22/PPIE/SRSF7/SNRPF/HNRNPA1/LSM8/HNRNPK/LSM3/SRSF1/RBM8A/HNRNPM/PPIH/LSM2/CDC40/SNRPE
ECM RECEPTOR INTERACTION	ECM RECEPTOR INTERACTION	79	-0.475584238582266	-1.6662945582911	0.00177173188108377	0.0810567335595823	0.0773967084894488	3231	tags=62%, list=26%, signal=46%	ITGB1/ITGA5/COL1A2/ITGA3/COL3A1/ITGB3/COL6A1/LAMA5/DAG1/LAMA4/COL11A2/COL6A2/ITGAV/THBS4/ITGB4/COL5A2/LAMC2/LAMC1/SDC4/LAMA3/COL4A2/LAMA2/THBS2/COL4A6/HSPG2/COMP/THBS3/ITGB8/LAMB2/COL5A1/COL5A3/SV2B/RELN/LAMB1/COL4A1/TNXB/COL4A4/VWF/GP1BA/COL2A1/COL1A1/TNR/GP6/COL11A1/ITGA2/GP5/CD36/ITGA1/ITGA8
FOCAL ADHESION	FOCAL ADHESION	187	-0.376922769948177	-1.49690795067882	0.00289326868474305	0.088244694884663	0.0842601055556748	3640	tags=47%, list=29%, signal=34%	COL1A2/SOS2/AKT3/SRC/ITGA3/MAPK8/PIK3R3/COL3A1/ITGB3/CDC42/MET/COL6A1/RASGRF1/LAMA5/PDGFC/VAV2/ACTN1/PTK2/PIP5K1C/LAMA4/CTNNB1/COL11A2/COL6A2/PIK3CA/ITGAV/ACTN4/ELK1/MAPK10/IGF1/PIK3R1/THBS4/FLNB/GSK3B/ITGB4/BIRC3/COL5A2/LAMC2/LAMC1/PARVA/ARHGAP5/LAMA3/COL4A2/PAK6/VCL/PPP1R12A/LAMA2/THBS2/COL4A6/AKT2/KDR/COMP/THBS3/ITGB8/LAMB2/COL5A1/COL5A3/EGFR/RELN/LAMB1/ACTN2/PDPK1/COL4A1/ROCK2/ACTN3/TNXB/COL4A4/PIK3R2/VWF/PDGFA/COL2A1/COL1A1/PDGFRB/FLNC/TNR/PDGFD/JUN/PAK3/COL11A1/ITGA2/MYLK/IGF1R/ITGA1/PRKCG/ITGA8/SHC2/EGF/MYLPF/MYL2
NEUROACTIVE LIGAND RECEPTOR INTERACTION	NEUROACTIVE LIGAND RECEPTOR INTERACTION	240	-0.351000160447319	-1.44323125193725	0.00243101637849053	0.088244694884663	0.0842601055556748	1730	tags=32%, list=14%, signal=29%	CRHR2/CHRM5/CALCRL/ADRA1D/CHRNA6/CCKAR/GRM3/HTR2B/GABRR1/GHRHR/HTR1A/GLRA3/CALCR/P2RX6/GRIN1/CHRNA9/DRD5/GRM6/CHRND/PRLR/AGTR1/S1PR2/P2RY13/GPR50/GABRA1/OXTR/GNRHR/BRS3/EDNRA/TSHB/HTR2C/P2RY2/HCRTR2/BDKRB2/GABRQ/MC5R/GLRA2/PRSS2/HTR1F/GRIN2A/MC4R/GH2/GABRB3/TACR3/GRIK4/GABRA5/HRH4/F2RL1/GLRA1/SSTR1/SSTR4/GRIN2B/GABRG2/GRPR/VIPR2/HTR4/CHRNA10/OPRK1/CHRM3/P2RX2/GRIA2/GRIK1/APLNR/CHRNA1/NPY1R/CYSLTR2/ADCYAP1R1/CHRM2/P2RY1/LPAR4/PTGDR/PTH2R/CYSLTR1/AGTR2/NMBR/MCHR1/GRID2/GRM5
LONG TERM DEPRESSION	LONG TERM DEPRESSION	60	-0.468410374852392	-1.55851119455293	0.00438577027542485	0.114656565771821	0.109479378303838	2320	tags=33%, list=18%, signal=27%	PLA2G2D/PRKG2/IGF1/PLA2G1B/PLA2G2E/PLCB4/NOS1/GNA13/GNAO1/PPP1R17/CRH/PRKG1/IGF1R/PRKCG/PLA2G2F/GRIA2/GUCY1A2/GRID2/GRM5/RYR1
TIGHT JUNCTION	TIGHT JUNCTION	114	-0.401895282859959	-1.48131894580713	0.00574958162438429	0.131521679657791	0.12558296705892	2106	tags=27%, list=17%, signal=23%	JAM3/PRKCE/CLDN10/AKT2/ASH1L/PPP2R2B/PRKCZ/PRKCI/F11R/PRKCQ/ACTN2/PARD6B/ACTN3/JAM2/MYH7B/MYH10/CLDN16/CLDN14/OCLN/MYH11/CLDN11/PRKCG/MYH13/MYH2/MYH8/MYH1/MYLPF/CLDN8/MYH7/MYL2/MYH4
RENIN ANGIOTENSIN SYSTEM	RENIN ANGIOTENSIN SYSTEM	16	-0.670408562195915	-1.68792221632388	0.011701426166274	0.237928998714238	0.227185584046957	1837	tags=50%, list=15%, signal=43%	ACE/CTSG/MME/AGTR1/CMA1/ENPEP/AGTR2/LNPEP
AMINO SUGAR AND NUCLEOTIDE SUGAR METABOLISM	AMINO SUGAR AND NUCLEOTIDE SUGAR METABOLISM	36	0.535026317144786	1.59700145790071	0.0136919935699996	0.250563482330992	0.239249571854729	2511	tags=31%, list=20%, signal=25%	RENBP/HK3/GALK1/NPL/GMDS/GNPDA1/GMPPA/HK2/PMM2/NANS/GCK
PYRIMIDINE METABOLISM	PYRIMIDINE METABOLISM	76	0.42403089618946	1.46769785227133	0.0208445520691372	0.279656978896551	0.267029384508642	2396	tags=32%, list=19%, signal=26%	NUDT2/CDA/ENTPD6/NT5M/POLA2/DTYMK/PRIM1/POLD4/DCK/UPP1/NME3/POLR3F/TYMP/POLR2A/TXNRD2/POLD1/POLR3K/POLR2K/CAD/TK1/POLR2I/POLR3D/ENTPD5/POLR2J
TGF BETA SIGNALING PATHWAY	TGF BETA SIGNALING PATHWAY	78	-0.417061190771811	-1.45685311860076	0.0213945229756924	0.279656978896551	0.267029384508642	2559	tags=31%, list=20%, signal=25%	INHBC/SMAD5/BMP2/THBS4/IFNG/BMP5/ID4/FST/THBS2/COMP/THBS3/TGFB3/SMAD6/ROCK2/ACVR2A/INHBA/BMP7/BMP8B/SMAD1/TNF/INHBB/RBL1/INHBE/PITX2
CARDIAC MUSCLE CONTRACTION	CARDIAC MUSCLE CONTRACTION	61	-0.43567997777712	-1.45510929505948	0.0208295386636745	0.279656978896551	0.267029384508642	1704	tags=23%, list=14%, signal=20%	RYR2/CACNB1/ATP1A2/CACNA2D1/ACTC1/CACNA1D/ATP1B2/CACNB4/COX6A2/TPM3/MYH7/CACNG5/MYL2/TNNC1
