ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
PPAR SIGNALING PATHWAY	PPAR SIGNALING PATHWAY	61	-0.5978033943701	-1.94815059854729	3.29612091480878e-05	0.00603190127410007	0.00537788149258275	1296	tags=31%, list=10%, signal=28%	SCD/ACOX2/HMGCS2/SLC27A5/SORBS1/FABP2/LPL/PPARG/EHHADH/SLC27A6/FABP4/CYP7A1/APOA2/CD36/UCP1/ADIPOQ/ACADL/PLIN1/PCK1
FATTY ACID METABOLISM	FATTY ACID METABOLISM	38	-0.634647584478164	-1.88904588785956	0.00048779258989526	0.0446330219754163	0.0397936060177712	1686	tags=34%, list=13%, signal=30%	ALDH3A2/HADH/ADH5/ECI2/ADH1A/EHHADH/ADH6/ADH7/ACADSB/ECI1/ACADL/ADH1B/ADH1C
TYROSINE METABOLISM	TYROSINE METABOLISM	37	-0.602648809067824	-1.77527886531476	0.00200920118212863	0.0735367632659079	0.0655634069957764	1571	tags=41%, list=13%, signal=36%	ADH5/TYRP1/FAH/HGD/ADH1A/AOC3/ADH6/ADH7/AOX1/MAOA/DDC/TPO/ADH1B/HPD/ADH1C
CHEMOKINE SIGNALING PATHWAY	CHEMOKINE SIGNALING PATHWAY	165	0.394813247248763	1.53515530000136	0.0018314109791488	0.0735367632659079	0.0655634069957764	2064	tags=25%, list=16%, signal=22%	CXCL3/CXCL13/CCL20/CXCL8/CCL21/CCR8/CXCL1/CXCL2/CXCL6/CCL7/CCL18/CXCR5/GRK1/FGR/CCL1/CCL17/PF4/WASL/GNG13/NFKBIB/PRKACG/CCR6/CCL5/CCL4/PAK1/GRK6/PRKCB/CCL22/CCR7/CCL16/CXCR6/CHUK/CXCL9/ADCY7/CCL19/PLCB3/PRKCD/AKT1/PIK3CB/RAC2/VAV3/KRAS
CYTOKINE CYTOKINE RECEPTOR INTERACTION	CYTOKINE CYTOKINE RECEPTOR INTERACTION	230	0.367131972389577	1.48392218745049	0.00162104576315786	0.0735367632659079	0.0655634069957764	1794	tags=25%, list=14%, signal=22%	IL24/CXCL3/CXCL13/CCL20/CXCL8/IL21R/TNFRSF10D/CCL21/CCR8/IL3RA/TNFRSF4/CXCL1/CXCL2/IL10/CXCL6/IL17B/CCL7/IFNA21/IFNB1/CSF2/CCL18/CXCR5/CD27/CCL1/CCL17/PF4/IL18RAP/TNFSF11/IFNA7/CSF3R/OSMR/KDR/LTA/CCR6/IL2/EPO/CCL5/FLT3/INHBA/IL15RA/FLT4/CCL4/CSF3/IL26/CCL22/CCR7/LIF/IL3/TNFSF18/IL23A/CCL16/PRL/CXCR6/CSF2RB/CXCL9/LTB/IL18R1/CCL19
RETINOL METABOLISM	RETINOL METABOLISM	38	-0.586261250619251	-1.74502264213975	0.0030710968875717	0.0936684550709369	0.0835122837848446	1622	tags=39%, list=13%, signal=34%	UGT2B15/ADH5/DHRS3/RPE65/ADH1A/UGT2B4/UGT2B28/CYP3A5/ADH6/ADH7/ALDH1A1/CYP2C18/CYP2A13/ADH1B/ADH1C
GLYCOSAMINOGLYCAN BIOSYNTHESIS HEPARAN SULFATE	GLYCOSAMINOGLYCAN BIOSYNTHESIS HEPARAN SULFATE	21	0.632740473373902	1.70637544274786	0.00481024781936261	0.125753621563337	0.11211855819567	1125	tags=29%, list=9%, signal=26%	HS3ST3A1/B3GAT1/XYLT2/NDST1/EXTL1/B3GAT3
GLYCOSAMINOGLYCAN DEGRADATION	GLYCOSAMINOGLYCAN DEGRADATION	20	0.664973041229672	1.76736677885015	0.00637908485889839	0.129708058797601	0.11564422843617	119	tags=15%, list=1%, signal=15%	HS3ST3A1/HYAL3/HPSE2
RIBOSOME	RIBOSOME	67	-0.489942687807641	-1.61849525013494	0.00597233261143599	0.129708058797601	0.11564422843617	5380	tags=84%, list=43%, signal=48%	RPS12/RPS15A/RPS18/RPL3/RPS27A/RPL30/RPL19/RPS29/RPL9/RPS23/RPS10/RPL35/RPL27/RPS4X/RPL7/RPL23A/RPL32/RPS16/RPL34/RPS28/RPL37A/RPL6/RPL12/RPL8/RPS7/FAU/RPL37/RPL24/RPL22/RPS6/RPL26L1/RPS27L/UBA52/RPL38/RPL15/RPS25/RPL29/RPL18/RPL41/RPS3/RPL14/RPL10A/RPL11/RPL31/RPS9/RPS21/RPS8/RPL36/RPL35A/RPL36AL/RPLP2/RSL24D1/RPL10L/RPL27A/RPL3L/RPS11
O GLYCAN BIOSYNTHESIS	O GLYCAN BIOSYNTHESIS	18	0.673871084799871	1.72707688583371	0.0088249566284951	0.146815187546782	0.1308964858772	2953	tags=56%, list=24%, signal=43%	ST3GAL1/GCNT3/GALNT14/GALNT3/GALNT7/GALNT2/B4GALT5/C1GALT1/GALNT1/GALNT10
FOCAL ADHESION	FOCAL ADHESION	187	0.360141604096316	1.41495809689714	0.0087010186147345	0.146815187546782	0.1308964858772	3133	tags=33%, list=25%, signal=25%	ITGB7/COL11A1/RAPGEF1/SPP1/PAK6/RAC3/COL5A3/ITGA4/MYL10/LAMB3/RELN/KDR/COL5A1/THBS1/TNN/MYLPF/COL5A2/TNC/FLT4/PAK1/PRKCA/LAMC2/PRKCB/COL2A1/ACTN1/COL1A1/THBS2/MAPK8/PRKCG/ACTN2/LAMB1/AKT1/PIK3CB/CHAD/RAC2/VAV3/FLT1/PPP1CA/COL6A3/COL4A2/COL6A2/ITGAV/PIK3R3/ITGA2B/ITGA1/PIP5K1C/MYL2/COL1A2/LAMC1/CCND1/SHC3/BCL2/COL4A1/ARHGAP35/PAK3/ZYX/MAPK3/PDGFRB/VAV2/LAMB2/COL6A1
