ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
FOCAL ADHESION	FOCAL ADHESION	187	0.486056844954468	1.85594687733452	3.29638830056706e-06	0.000603239059003773	0.000569060717150525	2843	tags=37%, list=23%, signal=29%	MYLK3/ITGB7/COL11A1/PIK3CG/VAV2/LAMA3/LAMA1/SRC/IBSP/MYLPF/ITGA4/FLT4/PRKCG/COL5A1/ITGA1/COL1A1/THBS1/MYL2/RELN/TNN/ITGB4/COL5A2/CAV3/PDGFRB/ITGA3/ITGA2B/TNC/THBS3/LAMB1/FLNC/COL4A2/COL6A1/COL5A3/COL6A2/PIK3R2/PRKCB/THBS2/SPP1/PIK3R3/FLT1/LAMB2/GSK3B/COL1A2/IGF1/ACTN1/ITGA5/ZYX/ITGA8/ITGA10/LAMC1/FLNB/KDR/COL4A1/ROCK2/MYL7/PRKCA/PARVA/FLNA/RAC2/GRB2/EGFR/SHC2/RAPGEF1/COMP/COL3A1/PIP5K1C/ACTN2/SOS1/VWF/ITGB3
ECM RECEPTOR INTERACTION	ECM RECEPTOR INTERACTION	79	0.591044846785196	2.02127815646849	9.80892398230867e-06	0.000897516544381244	0.000846665017420328	3077	tags=58%, list=25%, signal=44%	ITGB7/COL11A1/LAMA3/LAMA1/IBSP/SDC1/ITGA4/COL5A1/ITGA1/COL1A1/THBS1/RELN/TNN/ITGB4/COL5A2/ITGA3/ITGA2B/TNC/THBS3/LAMB1/COL4A2/COL6A1/SV2A/HSPG2/COL5A3/COL6A2/THBS2/SPP1/HMMR/SDC3/LAMB2/COL1A2/ITGA5/ITGA8/ITGA10/LAMC1/COL4A1/CD36/AGRN/COMP/COL3A1/VWF/ITGB3/LAMC3/LAMA5/LAMA2
LINOLEIC ACID METABOLISM	LINOLEIC ACID METABOLISM	22	-0.709470816398033	-1.94757668051077	0.000483551128818888	0.0294966188579522	0.027825398289929	2277	tags=59%, list=18%, signal=48%	CYP3A43/CYP2C9/AKR1B10/PLA2G4A/PLA2G12A/CYP2E1/PLA2G2E/CYP3A5/ALOX15/CYP2C18/CYP2J2/CYP2C8/PLA2G3
NEUROACTIVE LIGAND RECEPTOR INTERACTION	NEUROACTIVE LIGAND RECEPTOR INTERACTION	240	-0.357196057429186	-1.46837368193833	0.00117695905161145	0.0538458766112239	0.0507950748590205	2299	tags=35%, list=18%, signal=29%	F2RL3/CHRNA4/PLG/HTR2A/P2RY2/LPAR6/AVPR2/AGTR1/CHRNB2/PRL/PTGER4/GABRB1/P2RY14/GNRHR/VIPR2/GABRR1/LEP/GHR/GALR3/TSHB/LHCGR/DRD1/VIPR1/CHRNA5/PRLR/OPRD1/NPY2R/ADRA1D/NTSR1/F2/OXTR/THRB/OPRK1/BDKRB1/GLP2R/TACR3/MC4R/NPY1R/NTSR2/CHRNA3/MC5R/CALCR/GRM1/HRH3/EDNRB/NPFFR1/GRIN2D/CHRNB3/NPY5R/OPRM1/CSH1/AVPR1B/ADCYAP1R1/TAAR2/CGA/GRM5/ADRB1/HTR1A/P2RX1/FSHB/FSHR/NMBR/HTR1D/P2RX5/CHRNA1/LPAR3/GRIK3/GRIA2/CHRNA9/GRIN2C/GABRA2/GABRG2/GRIA4/GABRB2/CHRNG/HTR1B/S1PR5/F2RL2/GABRA6/GRID2/GLRA2/TRHR/MTNR1A
ARACHIDONIC ACID METABOLISM	ARACHIDONIC ACID METABOLISM	46	-0.547187149265782	-1.76568956718703	0.00217883954037957	0.0586412893195973	0.0553187888893527	1741	tags=48%, list=14%, signal=41%	CBR3/ALOX5/GPX4/HPGDS/CYP2C9/CYP4F2/PLA2G4A/CBR1/PLA2G12A/CYP2E1/PLA2G2E/ALOX12B/ALOX15/GPX5/CYP2B6/CYP2C18/CYP2J2/CYP4F3/ALOX12/CYP2C8/GPX2/PLA2G3
OXIDATIVE PHOSPHORYLATION	OXIDATIVE PHOSPHORYLATION	82	-0.471704140477123	-1.67421355116939	0.00186596124836147	0.0586412893195973	0.0553187888893527	4139	tags=65%, list=33%, signal=44%	PPA2/NDUFV2/NDUFB8/NDUFA10/ATP6V0D1/COX4I1/PPA1/UQCRC1/NDUFA8/COX7C/UQCRB/ATP6V0E1/ATP6V0E2/ATP6V1C1/NDUFS6/NDUFB7/ATP6V0A2/NDUFB5/COX15/NDUFB4/COX8A/NDUFAB1/ATP6V1G2/COX7A2/ATP12A/NDUFA2/COX6A1/NDUFA4/NDUFS4/ATP6V1G1/NDUFC1/ATP6V0B/COX5A/UQCR10/ATP6V1H/NDUFA3/NDUFB6/NDUFS3/NDUFA5/NDUFB1/COX10/NDUFS7/COX5B/SDHB/UQCR11/COX11/NDUFA6/ATP4B/SDHD/ATP6V0A4/NDUFA7/ATP4A/ATP6V1B1
REGULATION OF ACTIN CYTOSKELETON	REGULATION OF ACTIN CYTOSKELETON	192	0.398482028820118	1.52731924988336	0.00224310942752558	0.0586412893195973	0.0553187888893527	2844	tags=31%, list=23%, signal=24%	MYLK3/ITGB7/PIK3CG/VAV2/INS/ITGAL/MYLPF/ITGA4/ITGA1/FGF9/LIMK1/FGF22/TMSB4Y/FGF3/MYL2/CHRM5/ITGB4/F2R/FGFR4/PDGFRB/ITGA3/ITGA2B/FGF7/PIK3R2/WASL/ARHGEF6/FGF6/PIK3R3/CHRM2/APC/NCKAP1L/SLC9A1/IQGAP1/ACTN1/ITGA5/CSK/ITGA8/RDX/ITGA10/MRAS/ROCK2/MYL7/FGF21/LIMK2/FGD1/FGF8/PIP4K2A/PIKFYVE/ENAH/RAC2/EGFR/CHRM4/INSRR/NRAS/PIP5K1C/ACTN2/SOS1/ITGB3/MYH9
CYTOKINE CYTOKINE RECEPTOR INTERACTION	CYTOKINE CYTOKINE RECEPTOR INTERACTION	230	-0.34119789720386	-1.39634414927665	0.0041569206061746	0.0950895588662439	0.0897019709753465	2092	tags=28%, list=17%, signal=24%	FLT3LG/CXCL1/CRLF2/PRL/CX3CL1/CCL13/CTF1/CD40LG/IFNA4/CNTF/LEP/IL12A/TNFRSF25/IFNAR1/GHR/PF4V1/CXCL5/CCR4/ACVR2B/BMP2/IL1RAP/PRLR/BMPR1A/CSF3R/CCR7/IFNA14/CCL27/IL10RB/LIFR/LTB/IL15RA/CCL17/INHBC/CXCL14/TNFSF15/CCR6/CCL23/TNFSF9/CCL1/IFNA10/IL6/CCR3/CCL16/IL18R1/CSF2/CXCR3/IL10/BMPR1B/IL12RB2/CLCF1/IL13/IL7/CCL24/IL18/IFNB1/XCR1/CXCR1/IL26/AMHR2/CCL11/IL2/IL24/TNFSF18/IL11/CCL20
RENIN ANGIOTENSIN SYSTEM	RENIN ANGIOTENSIN SYSTEM	16	0.696329130008516	1.67842782052608	0.00571758557420825	0.116257573342234	0.109670647271363	1300	tags=38%, list=10%, signal=34%	ENPEP/ACE/MME/THOP1/LNPEP/REN
PROSTATE CANCER	PROSTATE CANCER	85	0.436472314010108	1.51087480852251	0.0119378502485698	0.218462659548827	0.206084993764784	4651	tags=49%, list=37%, signal=31%	PIK3CG/INS/SRD5A2/PDGFRB/LEF1/CREB3L1/E2F2/PIK3R2/CCNE2/HSP90B1/PIK3R3/TCF7/KLK3/GSK3B/IGF1/CREB3L2/GRB2/EGFR/INSRR/NRAS/SOS1/HSP90AB1/BCL2/CDK2/TGFA/CCND1/ARAF/TCF7L1/AKT2/PDGFD/FGFR1/MAPK1/EP300/FGFR2/CREB1/CTNNB1/CCNE1/PIK3R5/HSP90AA1/NFKB1/IKBKG/HRAS
