ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
CYTOKINE CYTOKINE RECEPTOR INTERACTION	CYTOKINE CYTOKINE RECEPTOR INTERACTION	230	-0.407878147143885	-1.58321198353587	3.53426846527709e-05	0.00646771129145708	0.00628727758559819	1780	tags=30%, list=14%, signal=26%	ACVR2A/IL6/CCL19/CCL2/TNFSF10/CSF3R/CCL8/CD27/CCR4/CXCL14/IL18R1/TNFRSF10C/IFNA16/IFNA4/IFNA21/CCL23/IFNA5/IFNG/PRLR/IL23A/GH2/CXCL5/NGFR/IL10/TPO/LIFR/IL13/INHBC/FLT3LG/GDF5/CXCR6/IL2RA/IL21/AMHR2/TNFSF9/TNFSF18/CCR3/CNTF/TNFSF4/CXCR3/IFNB1/CCL18/EPO/CXCL1/TNF/CCR6/CCL7/CCL1/IL24/CD40LG/IL12RB2/IFNA8/CXCL6/PPBP/IL7/CCL13/IL11/GH1/CXCR1/CCL11/CXCL11/IL2/PF4V1/TNFRSF17/IL25/CXCL13/IL1R2/IL26
RETINOL METABOLISM	RETINOL METABOLISM	38	-0.59512119370225	-1.80097767997592	0.000755246953940521	0.0510752965450045	0.0496504176940222	1891	tags=47%, list=15%, signal=40%	ADH6/ADH1C/CYP26B1/ADH1B/CYP3A43/DGAT1/ADH7/CYP2C18/CYP2C8/PNPLA4/CYP2C19/ADH1A/CYP2B6/CYP1A1/RPE65/UGT2B17/UGT2B28/UGT2A3
METABOLISM OF XENOBIOTICS BY CYTOCHROME P450	METABOLISM OF XENOBIOTICS BY CYTOCHROME P450	48	-0.57030178408901	-1.78393038609285	0.000837299943360729	0.0510752965450045	0.0496504176940222	2676	tags=52%, list=21%, signal=41%	GSTM5/GSTT1/ADH5/GSTM4/CYP2C9/GSTA1/MGST2/CYP2F1/ADH6/ADH1C/GSTA3/ADH1B/CYP3A43/ADH7/CYP2C18/CYP2C8/CYP2C19/ADH1A/AKR1C4/CYP2B6/CYP1A1/UGT2B17/UGT2B28/UGT2A3/ALDH3A1
DRUG METABOLISM CYTOCHROME P450	DRUG METABOLISM CYTOCHROME P450	53	-0.528767360385543	-1.68184495803438	0.00217418779806673	0.0994690917615527	0.0966941415455991	2844	tags=47%, list=23%, signal=37%	GSTM5/FMO4/GSTT1/ADH5/GSTM4/CYP2C9/GSTA1/MGST2/ADH6/ADH1C/GSTA3/ADH1B/CYP3A43/ADH7/CYP2C18/CYP2C8/FMO1/CYP2C19/ADH1A/CYP2B6/UGT2B17/AOX1/UGT2B28/UGT2A3/ALDH3A1
STEROID HORMONE BIOSYNTHESIS	STEROID HORMONE BIOSYNTHESIS	39	-0.562346879315502	-1.7033535379296	0.00373784557288981	0.136805147967767	0.132988610909132	1500	tags=38%, list=12%, signal=34%	HSD11B1/CYP3A43/CYP17A1/HSD3B2/AKR1C4/CYP1A1/UGT2B17/HSD17B1/CYP7B1/HSD11B2/UGT2B28/HSD17B6/UGT2A3/CYP7A1/HSD3B1
HYPERTROPHIC CARDIOMYOPATHY HCM	HYPERTROPHIC CARDIOMYOPATHY HCM	75	-0.454699431414046	-1.53082615615199	0.00586826639042709	0.178982124908026	0.173988950874066	1444	tags=33%, list=12%, signal=30%	DMD/CACNA2D1/CACNA1F/IL6/PRKAG1/LAMA2/TNNT2/TNNI3/CACNA2D2/CACNG2/PRKAA2/ITGA9/TPM3/SGCA/TTN/CACNA2D3/DES/TNF/CACNA1S/ACTC1/MYH7/MYL3/SGCG/MYL2/TNNC1
TYROSINE METABOLISM	TYROSINE METABOLISM	37	-0.548179035093172	-1.6380822614802	0.00771565060323588	0.181252163506098	0.176195660814096	1947	tags=41%, list=16%, signal=34%	GOT1/ADH6/ADH1C/TRMT11/ADH1B/ADH7/TPO/TAT/ADH1A/TYRP1/DBH/TYR/AOX1/PNMT/ALDH3A1
DILATED CARDIOMYOPATHY	DILATED CARDIOMYOPATHY	81	-0.440408853565606	-1.49902646934604	0.00792359184726111	0.181252163506098	0.176195660814096	1444	tags=25%, list=12%, signal=22%	LAMA2/TNNT2/TNNI3/CACNA2D2/CACNG2/ITGA9/PLN/TPM3/SGCA/TTN/CACNA2D3/DES/TNF/CACNA1S/ACTC1/MYH7/MYL3/SGCG/MYL2/TNNC1
GLYCOLYSIS GLUCONEOGENESIS	GLYCOLYSIS GLUCONEOGENESIS	54	-0.48290587206922	-1.55179353373585	0.012519594203741	0.254565082142734	0.247463324027161	3668	tags=46%, list=29%, signal=33%	ALDOC/TPI1/HK1/DLD/PFKM/HK2/ALDOB/DLAT/ADH5/BPGM/PDHA2/ADH6/ADH1C/PCK1/PGAM2/ALDH1B1/PGK2/ADH1B/ADH7/GCK/ADH1A/ENO3/LDHAL6B/FBP2/ALDH3A1
CARDIAC MUSCLE CONTRACTION	CARDIAC MUSCLE CONTRACTION	61	-0.471757480229023	-1.54141343207224	0.0146002716789945	0.2671849717256	0.259731148815798	1418	tags=21%, list=11%, signal=19%	TNNT2/TNNI3/CACNA2D2/CACNG2/TPM3/CACNA2D3/SLC9A1/CACNA1S/ACTC1/MYH7/MYL3/MYL2/TNNC1
