ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
T CELL RECEPTOR SIGNALING PATHWAY	T CELL RECEPTOR SIGNALING PATHWAY	103	0.49768042768668	1.81442562304548	4.79586155511183e-05	0.00438821332292733	0.00413958576335969	2096	tags=30%, list=17%, signal=25%	PIK3CG/RASGRP1/CD40LG/PAK6/ZAP70/IL10/LCK/MAP2K7/CSF2/TEC/NFAT5/JUN/CTLA4/PAK3/PAK1/FOS/CHUK/MAPK13/PTPRC/CD4/KRAS/ITK/GRAP2/CDC42/IFNG/NFATC3/CD3D/AKT2/GRB2/CD247/IL4
CYTOKINE CYTOKINE RECEPTOR INTERACTION	CYTOKINE CYTOKINE RECEPTOR INTERACTION	230	0.404567654328072	1.65781413329012	3.88666127887055e-05	0.00438821332292733	0.00413958576335969	2445	tags=37%, list=19%, signal=30%	CXCL3/CXCL13/CXCL8/IL9/IL26/IFNA21/IL25/CCR8/IL21R/IL6/CXCL2/IL1A/CD40LG/CCL18/INHBA/CCL4/IL1B/CXCL1/IL7R/IL10/CSF3R/CCL7/CSF2/CRLF2/IFNW1/IL13/TNFSF4/CXCL6/CXCL9/CCL22/PRL/CXCL10/CXCR4/CCL5/IL17B/CXCR1/FLT3/TNFSF15/CD27/CCL25/IFNA10/CCL20/GDF5/LTA/IL2RG/TNFRSF17/IL5RA/CCR6/BMP7/CXCL5/IL24/IL4R/CSF3/IFNA7/LIF/PF4/CCL27/IFNG/IL11/EGF/AMHR2/FLT1/IL3RA/CCR4/IL17RA/CCR1/ACVR2A/CLCF1/CXCL11/LTB/IL19/IL4/TGFBR1/KDR/CSF2RB/TNFRSF12A/OSM/GH2/TNFSF18/IFNA4/INHBE/IL6R/PLEKHO2/TNFRSF25/CCR9
CHEMOKINE SIGNALING PATHWAY	CHEMOKINE SIGNALING PATHWAY	165	0.433548608004338	1.70603567174975	9.25906254961172e-05	0.00564802815526315	0.00532802195837306	1861	tags=25%, list=15%, signal=21%	CXCL3/CXCL13/PIK3CG/GNG13/CXCL8/CCR8/CXCL2/CCL18/CCL4/CXCL1/CCL7/GRK1/CXCL6/CXCL9/CCL22/CXCL10/ADCY8/CXCR4/CCL5/PRKCB/CXCR1/PRKCZ/PAK1/CCL25/CCL20/NCF1/FGR/CHUK/CCR6/CXCL5/PRKACG/KRAS/PF4/CCL27/ITK/HCK/CDC42/AKT2/CCR4/LYN/GRB2
B CELL RECEPTOR SIGNALING PATHWAY	B CELL RECEPTOR SIGNALING PATHWAY	71	0.51058145443366	1.76598336965017	0.000344205803579713	0.0157474155137719	0.0148551978387034	4262	tags=59%, list=34%, signal=39%	PIK3CG/RASGRP3/CR2/CD19/NFAT5/JUN/PRKCB/DAPP1/FOS/CHUK/CD79A/KRAS/CD22/NFATC3/AKT2/LYN/GRB2/CHP2/LILRB3/SYK/BTK/PPP3CA/VAV3/NFKBIA/PPP3R1/NRAS/IKBKG/PIK3CD/PTPN6/GSK3B/NFKB1/IKBKB/SOS1/BLNK/FCGR2B/PIK3R5/PLCG2/RAC2/CD72/HRAS/RAC1/MAP2K1
PRIMARY IMMUNODEFICIENCY	PRIMARY IMMUNODEFICIENCY	33	0.61581830368793	1.82328574384139	0.00140402949466208	0.0513874795046321	0.0484759657104381	1938	tags=48%, list=15%, signal=41%	RAG2/CD40LG/ZAP70/IL7R/LCK/RFXAP/CD19/IL2RG/PTPRC/CD79A/CD4/DCLRE1C/RAG1/CD3D/AICDA/TAP2
LEISHMANIA INFECTION	LEISHMANIA INFECTION	67	0.496078645891557	1.69158020415327	0.00210643315712134	0.0636329772912525	0.0600276576115353	3703	tags=49%, list=30%, signal=35%	HLA-DQA1/IL1A/IL1B/PTGS2/IL10/JUN/PRKCB/FOS/NCF1/MAPK13/HLA-DOA/HLA-DRA/IFNG/ITGB2/FCGR1A/TAB1/IL4/ITGAM/NCF2/CR1/HLA-DRB4/FCGR3B/HLA-DOB/NFKBIA/NOS2/CYBA/HLA-DPB1/PTPN6/TLR2/HLA-DPA1/NFKB1/HLA-DMB/IRAK1
LEUKOCYTE TRANSENDOTHELIAL MIGRATION	LEUKOCYTE TRANSENDOTHELIAL MIGRATION	105	0.434276431603951	1.59198872789027	0.00243404831168725	0.0636329772912525	0.0600276576115353	2215	tags=27%, list=18%, signal=22%	PIK3CG/MYLPF/CLDN16/MYL2/CLDN8/ITGAL/CTNNA2/CLDN7/NOX3/CXCR4/PRKCB/RAPGEF4/ACTN2/NCF1/CLDN3/OCLN/CLDN18/MAPK13/CLDN14/F11R/ITK/CDC42/CTNNB1/ITGB2/TXK/CYBB/ARHGAP5/ITGAM
TOLL LIKE RECEPTOR SIGNALING PATHWAY	TOLL LIKE RECEPTOR SIGNALING PATHWAY	95	0.443962451320545	1.5881591585258	0.00291815680302772	0.0667528368692591	0.062970752065335	1117	tags=20%, list=9%, signal=18%	PIK3CG/CXCL8/IFNA21/IL6/TLR8/CCL4/IL1B/MAP2K7/JUN/CXCL9/CXCL10/CCL5/CD80/IFNA10/SPP1/FOS/TLR6/CHUK/MAPK13
CELL ADHESION MOLECULES CAMS	CELL ADHESION MOLECULES CAMS	115	0.396694289251605	1.4684287107583	0.00589196056110351	0.119803198075771	0.113015383862102	1667	tags=28%, list=13%, signal=24%	HLA-DQA1/CD40LG/CLDN16/CLDN8/ITGB7/ITGAL/CDH3/CLDN7/SDC1/CTLA4/ITGA9/CD80/SPN/MAG/SELPLG/SELE/CLDN3/OCLN/CLDN18/PTPRC/CNTN2/CLDN14/CD4/NFASC/SIGLEC1/F11R/ITGB8/HLA-DOA/CD226/CD22/HLA-DRA/SDC3
HISTIDINE METABOLISM	HISTIDINE METABOLISM	23	-0.607801928420793	-1.66986139329333	0.00705958716857254	0.129190445184877	0.121870767962726	2538	tags=52%, list=20%, signal=42%	MAOB/LCMT1/ALDH1B1/TRMT11/ALDH3A2/HEMK1/ALDH7A1/ASPA/HDC/ALDH3B2/DDC/MAOA
