ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
INTESTINAL IMMUNE NETWORK FOR IGA PRODUCTION	INTESTINAL IMMUNE NETWORK FOR IGA PRODUCTION	41	-0.638023358262758	-1.84212790193265	0.000359707136202732	0.0658264059250999	0.0598249763368754	1312	tags=44%, list=10%, signal=39%	CD86/HLA-DOA/CCL25/ITGA4/TNFRSF13B/IL2/CCR9/IL10/CCL27/IL6/IL15RA/ICOS/CD40LG/HLA-DOB/ITGB7/HLA-DQA1/TNFRSF17/HLA-DRB4
CHEMOKINE SIGNALING PATHWAY	CHEMOKINE SIGNALING PATHWAY	165	-0.436218227153627	-1.59194823391888	0.000970820900937456	0.0888301124357773	0.0807314222884832	1450	tags=21%, list=12%, signal=19%	PRKCB/PF4/GNG11/CCL23/CCL25/AKT2/CCL7/CHUK/SHC2/CCR7/ADCY8/CXCR2/CCL2/CCR9/CXCL9/CCL27/CCR6/RAC2/CXCR5/CXCL5/CCL8/PRKCZ/CCL4/XCR1/GNG13/ITK/CXCL2/CCL5/CXCL8/XCL1/PIK3CG/GRK1/CXCL13/CXCL3/GNGT1
PRIMARY IMMUNODEFICIENCY	PRIMARY IMMUNODEFICIENCY	33	-0.638466392327209	-1.78509331332226	0.00212235675019696	0.129463761762014	0.117660479484603	2182	tags=48%, list=17%, signal=40%	TAP1/RAG1/ADA/PTPRC/TNFRSF13B/BLNK/ZAP70/IL2RG/CD3D/ICOS/IL7R/CD40LG/RFXAP/LCK/CD79A/RAG2
NOD LIKE RECEPTOR SIGNALING PATHWAY	NOD LIKE RECEPTOR SIGNALING PATHWAY	54	-0.541913564555526	-1.66478971535792	0.00380588085550384	0.17034235890081	0.154812152466655	2215	tags=39%, list=18%, signal=32%	BIRC2/CCL13/NLRP1/CASP1/RIPK2/PYCARD/HSP90B1/CARD8/TNFAIP3/NAIP/CCL7/CHUK/CCL2/IL6/CCL8/CASP5/MAPK12/MEFV/CXCL2/CCL5/CXCL8
RIBOSOME	RIBOSOME	67	-0.507594626152659	-1.60813553985244	0.00465416281149754	0.17034235890081	0.154812152466655	5531	tags=69%, list=44%, signal=39%	RPS25/RPL29/RPL15/RPS27A/RPS10/RPS24/RPL3/RPL9/RPL12/RPL22/RPL6/RPL31/RPL27/MRPL13/RPL36/RPL7/RPLP0/RPS18/RPL36AL/RPS23/RPL24/RPS28/RPS16/RPS19/RPLP1/RPS21/RPL10A/RPL39/RPL14/RPS5/RPS7/RPS3/RPL19/RPS9/RPL37/RPL34/RPL23A/RPS27L/RPL37A/RPL38/RPL26L1/RPS8/RPL10L/RPL27A/RPS11/RPLP2
HISTIDINE METABOLISM	HISTIDINE METABOLISM	23	0.618139672883868	1.65427105552944	0.0106911825912088	0.183422480104812	0.166699751835262	1447	tags=35%, list=12%, signal=31%	MAOA/ALDH3A1/DDC/METTL2B/AOC1/ALDH1A3/ALDH2/HAL
DRUG METABOLISM CYTOCHROME P450	DRUG METABOLISM CYTOCHROME P450	53	0.504303653013207	1.6012962155148	0.00821553614996594	0.183422480104812	0.166699751835262	2906	tags=47%, list=23%, signal=36%	GSTA3/MAOA/ALDH3A1/GSTT1/UGT2A3/CYP2C8/ALDH1A3/ADH1A/UGT2B28/CYP2A13/CYP2B6/ADH6/GSTZ1/GSTM5/UGT2B4/AOX1/CYP2C19/CYP2C18/ADH1B/FMO4/FMO5/CYP3A43/CYP2A7/MAOB/CYP3A5
HYPERTROPHIC CARDIOMYOPATHY HCM	HYPERTROPHIC CARDIOMYOPATHY HCM	75	0.457298660705554	1.57172860226588	0.00987423740495139	0.183422480104812	0.166699751835262	1467	tags=25%, list=12%, signal=23%	TNNC1/SGCG/SGCA/TTN/PRKAA2/DES/MYL2/MYL3/LAMA2/MYBPC3/ACTC1/ITGA3/MYH7/TNF/CACNA1S/TPM3/ACE/PRKAG1/TPM2
COMPLEMENT AND COAGULATION CASCADES	COMPLEMENT AND COAGULATION CASCADES	66	0.469029550024985	1.56417911847891	0.00860197224626453	0.183422480104812	0.166699751835262	1917	tags=35%, list=15%, signal=30%	C9/F10/C7/KNG1/FGA/BDKRB1/C5/FGG/C3/SERPINF2/CPB2/C8G/BDKRB2/CFD/F2/C6/F11/F8/SERPING1/C4BPA/F3/MASP2/C5AR1
DILATED CARDIOMYOPATHY	DILATED CARDIOMYOPATHY	81	0.430914588066694	1.50157748812246	0.00788073048279003	0.183422480104812	0.166699751835262	2183	tags=31%, list=17%, signal=26%	TNNC1/SGCG/SGCA/TTN/DES/MYL2/MYL3/LAMA2/MYBPC3/ACTC1/ADCY2/ITGA3/MYH7/TNF/CACNA1S/PRKACG/TPM3/TPM2/ADCY6/ITGB4/PLN/ITGA2B/CACNG2/SGCD/CACNB1
CYTOKINE CYTOKINE RECEPTOR INTERACTION	CYTOKINE CYTOKINE RECEPTOR INTERACTION	230	-0.362926070971934	-1.36554680612839	0.0110253949789778	0.183422480104812	0.166699751835262	2188	tags=31%, list=17%, signal=26%	FAS/CXCL6/KITLG/ACVR2B/CCR2/CCL13/IL12RB1/GH1/CCL17/FASLG/CXCR6/IL19/PDGFA/CSF2RA/EDAR/TNFRSF14/IFNAR2/TNFRSF8/IFNA10/PF4/TNFRSF10B/TNFSF11/IL21/CD27/CCL23/CCL25/INHBB/CLCF1/TNFRSF13B/IL1A/CRLF2/IL2/IL23A/CCL7/CCR7/LTB/ACVRL1/CXCR2/CD70/CCL2/CCR9/IL10/CXCL9/IL2RG/CCL27/CCR6/CSF3/IL20RA/IL6/IL15RA/CXCR5/IL7R/CD40LG/CXCL5/LEP/IL3/GH2/CCL8/CCL4/XCR1/IL9/FLT3/CXCL2/CCL5/IL21R/CXCL8/XCL1/IL1R2/CXCL13/CXCL3/IFNA1/TNFRSF17
ARGININE AND PROLINE METABOLISM	ARGININE AND PROLINE METABOLISM	43	0.525426062807014	1.6216831382696	0.0136666822138909	0.20696663688759	0.188097374910781	3170	tags=37%, list=25%, signal=28%	CKM/MAOA/AOC1/NOS3/GOT1/ALDH2/PRODH2/ASS1/GATM/CKB/OTC/ALDH3A2/SRM/MAOB/ALDH7A1/CKMT2
ASTHMA	ASTHMA	26	-0.602777080832525	-1.60953178185287	0.0156169977363826	0.20696663688759	0.188097374910781	846	tags=31%, list=7%, signal=29%	IL10/RNASE3/CD40LG/IL3/IL9/HLA-DOB/HLA-DQA1/HLA-DRB4
ALLOGRAFT REJECTION	ALLOGRAFT REJECTION	33	-0.566609943369825	-1.58418929066045	0.016964478433409	0.20696663688759	0.188097374910781	1869	tags=30%, list=15%, signal=26%	FASLG/CD86/HLA-DOA/IL2/IL10/CD40LG/GZMB/HLA-DOB/HLA-DQA1/HLA-DRB4
