ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
PANTOTHENATE AND COA BIOSYNTHESIS	PANTOTHENATE AND COA BIOSYNTHESIS	14	0.689122596996882	1.61538410361021	0.010706580561712	0.42702182916533	0.410196407653783	2133	tags=43%, list=17%, signal=36%	VNN2/UPB1/PPCS/BCAT2/VNN1/BCAT1
LONG TERM POTENTIATION	LONG TERM POTENTIATION	64	-0.463550096665219	-1.58451638445885	0.011563647849099	0.42702182916533	0.410196407653783	2367	tags=31%, list=19%, signal=25%	MAP2K2/RPS6KA2/ITPR3/GRIN2C/PRKACA/ITPR2/RPS6KA1/PRKACG/GRIN1/ADCY1/HRAS/PRKCB/PPP1R1A/RAPGEF3/CAMK4/CACNA1C/CALML5/GRIN2D/ADCY8/GRIA2
STEROID HORMONE BIOSYNTHESIS	STEROID HORMONE BIOSYNTHESIS	39	0.506659190545267	1.53325371970801	0.0138238246567624	0.42702182916533	0.410196407653783	1925	tags=36%, list=15%, signal=30%	CYP7A1/HSD3B1/UGT2A3/CYP1A1/HSD17B6/SRD5A3/UGT2B17/HSD11B2/AKR1C3/AKR1C4/CYP11B1/SRD5A1/AKR1C1/CYP3A43
SPLICEOSOME	SPLICEOSOME	100	0.415116169721959	1.50462452207963	0.0140007157103387	0.42702182916533	0.410196407653783	4031	tags=40%, list=32%, signal=27%	RBM17/DHX8/MAGOHB/HSPA1L/USP39/SNRNP40/PRPF18/SNRPC/NCBP1/WBP11/RBM22/PRPF6/DDX23/U2AF1/PRPF4/CDC40/SNRNP27/CDC5L/THOC1/HNRNPM/DDX46/PPIH/SRSF10/SNRPD1/RBM8A/LSM5/NCBP2/PRPF19/SNRPD3/SNRPF/CRNKL1/SYF2/TRA2B/HSPA2/PRPF31/DHX38/SNRPG/SNRPB2/BCAS2/SRSF1
PEROXISOME	PEROXISOME	69	0.437246100514826	1.47935508713383	0.0122155174224608	0.42702182916533	0.410196407653783	2618	tags=29%, list=21%, signal=23%	EPHX2/DDO/AGXT/PECR/PEX13/BAAT/PHYH/SLC25A17/PAOX/ACSL1/ABCD3/MLYCD/DECR2/MPV17/PEX3/ACOX1/PEX2/ACSL5/EHHADH/CAT
CALCIUM SIGNALING PATHWAY	CALCIUM SIGNALING PATHWAY	162	-0.361768230527141	-1.40636477338363	0.0085949152023047	0.42702182916533	0.410196407653783	2302	tags=27%, list=18%, signal=22%	PLCD1/ITPR3/GRIN2C/PRKACA/ITPR2/CCKBR/PRKACG/PTGER1/ADCY2/GRIN1/ADCY1/DRD5/ATP2A1/ATP2A3/ADRB1/PHKA1/TNNC2/GNA14/CACNA1G/PRKCB/CCKAR/ADRA1D/NOS3/CHRM3/RYR3/CACNA1B/CAMK4/BDKRB1/ITPKA/TACR3/PTK2B/CACNA1C/MYLK3/CALML5/TRHR/GRIN2D/ADCY8/LTB4R2/P2RX3/TNNC1/HRH2/P2RX5/RYR2/CACNA1S
NICOTINATE AND NICOTINAMIDE METABOLISM	NICOTINATE AND NICOTINAMIDE METABOLISM	16	0.63261335516076	1.54748162635662	0.0336379755177562	0.439696394267813	0.422371572290623	1672	tags=44%, list=13%, signal=38%	NADSYN1/AOX1/BST1/NNT/NT5M/QPRT/NT5E
PRIMARY BILE ACID BIOSYNTHESIS	PRIMARY BILE ACID BIOSYNTHESIS	14	0.65570434192918	1.53704779851441	0.0250321421321119	0.439696394267813	0.422371572290623	1762	tags=43%, list=14%, signal=37%	CYP7A1/CYP39A1/AKR1C4/BAAT/CH25H/CYP27A1
NOTCH SIGNALING PATHWAY	NOTCH SIGNALING PATHWAY	38	-0.481897280894811	-1.45231818579897	0.0302664304008877	0.439696394267813	0.422371572290623	3968	tags=61%, list=32%, signal=42%	MAML1/MFNG/NCSTN/CIR1/RFNG/CTBP2/ADAM17/RBPJ/DVL1/DTX3/CREBBP/DTX4/NOTCH4/DVL3/PTCRA/DLL3/NOTCH3/JAG2/NOTCH1/NCOR2/KAT2A/LFNG/RBPJL
B CELL RECEPTOR SIGNALING PATHWAY	B CELL RECEPTOR SIGNALING PATHWAY	71	-0.409811241706747	-1.41991750217959	0.0323970753739499	0.439696394267813	0.422371572290623	2804	tags=34%, list=22%, signal=26%	PIK3R1/BTK/BLNK/MAP2K2/PIK3R2/PTPN6/RAC2/PIK3R5/NFATC4/GRB2/CD79B/CD19/INPP5D/HRAS/LILRB3/CHUK/NFKBIB/PRKCB/CD72/NFATC3/CD22/CR2/PIK3CG/CD79A
