ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
JAK STAT SIGNALING PATHWAY	JAK STAT SIGNALING PATHWAY	138	0.44820628217019	1.67358717507754	0.000168715246521344	0.0308748901134059	0.0296583643884888	1386	tags=24%, list=11%, signal=22%	IFNB1/LIF/CLCF1/IL6/CSF3/CSF2/IL24/IL10/IL12RB2/IL2/SOCS7/OSM/EPO/TPO/IL11/IL26/CSF3R/IFNA2/IFNA10/IL9/IL3RA/IL13RA2/IL23A/CRLF2/MYC/SOCS3/PIK3CG/IL5RA/SOCS1/IL7/IL3/IL9R/OSMR
CYTOKINE CYTOKINE RECEPTOR INTERACTION	CYTOKINE CYTOKINE RECEPTOR INTERACTION	230	0.374668853853556	1.48578606068159	0.00079305243872868	0.0725642981436742	0.0697051354040471	1522	tags=27%, list=12%, signal=25%	CXCL1/CCL20/INHBA/IFNB1/CXCL8/LIF/CLCF1/IL6/CCL16/CSF3/CSF2/CXCL6/IL24/IL10/IL12RB2/IL2/CCL7/CCL1/CXCL2/LTA/OSM/NGFR/EPO/IL18R1/TPO/IL11/IL17A/KDR/IL26/CSF3R/IFNA2/CCL2/IFNA10/IL9/IL1R2/IL3RA/BMP2/CCR4/CCR3/IL23A/CCL27/CRLF2/TNFRSF10C/GDF5/IL25/CXCR1/PF4/TNF/FLT1/TNFSF9/TNFSF14/IL5RA/TNFRSF11B/IL7/IL1R1/IL3/IL9R/TNFSF4/OSMR/CCL18/VEGFB/CSF1/PRLR
CALCIUM SIGNALING PATHWAY	CALCIUM SIGNALING PATHWAY	162	0.398794633603989	1.53586293778934	0.00150278107967084	0.0916696458599214	0.0880576983526424	1702	tags=23%, list=14%, signal=21%	TNNC1/CALML5/HRH2/RYR1/NTSR1/NOS3/SLC8A2/LTB4R2/PHKA1/TACR3/GRIN2D/PTGER1/BDKRB1/HTR5A/ADRA1D/CHRM2/GRIN2A/BDKRB2/ITPR3/PRKACG/GRM5/OXTR/ATP2A1/PTGFR/PTK2B/CAMK4/ATP2B2/CAMK2A/AVPR1B/PLCB3/HTR4/CACNA1S/RYR3/CACNA1H/P2RX1/CACNA1F/PRKCG/NOS2
DRUG METABOLISM OTHER ENZYMES	DRUG METABOLISM OTHER ENZYMES	32	-0.617511526747018	-1.73450320260931	0.00413402127170718	0.189131473180604	0.181679355888184	579	tags=22%, list=5%, signal=21%	DPYS/UPP1/NAT2/TK1/CDA/UPB1/UGT2B4
DNA REPLICATION	DNA REPLICATION	34	-0.570874939271107	-1.6258829183695	0.00616104944116538	0.225494409546653	0.216609527720972	2958	tags=47%, list=24%, signal=36%	RNASEH2A/MCM2/MCM5/POLD3/FEN1/POLE/RFC4/LIG1/RPA4/PCNA/POLD4/POLA2/PRIM1/POLE2/RFC5/PRIM2
NOD LIKE RECEPTOR SIGNALING PATHWAY	NOD LIKE RECEPTOR SIGNALING PATHWAY	54	0.488352186140278	1.55286468337513	0.0084404553730523	0.257433888878095	0.247290534613988	1648	tags=24%, list=13%, signal=21%	CXCL1/CXCL8/IL6/CCL7/CXCL2/CCL2/BIRC3/MAPK8/TNF/CASP5/TNFAIP3/IL1B/NFKBIB
PPAR SIGNALING PATHWAY	PPAR SIGNALING PATHWAY	61	-0.498650278057084	-1.58429209014791	0.00994738666733603	0.260053108588928	0.249806552397762	1329	tags=25%, list=11%, signal=22%	PPARG/EHHADH/GK2/HMGCS2/LPL/SLC27A5/ACADL/UCP1/FABP4/ADIPOQ/APOA2/FABP1/CYP7A1/PLIN1/SLC27A6
PYRIMIDINE METABOLISM	PYRIMIDINE METABOLISM	76	-0.451345489625489	-1.48866206706128	0.0115925037834282	0.26517852404592	0.254730017346383	2634	tags=25%, list=21%, signal=20%	POLD3/POLR3C/POLE/POLR2I/DUT/POLD4/POLA2/POLR1E/PRIM1/NME3/POLE2/NUDT2/DPYS/UPP1/NT5M/TK1/CDA/UPB1/PRIM2
AMINOACYL TRNA BIOSYNTHESIS	AMINOACYL TRNA BIOSYNTHESIS	12	-0.703404211786445	-1.57391950618207	0.0239755235695295	0.313394343801706	0.301046047827926	2371	tags=50%, list=19%, signal=41%	FARSA/WARS2/CARS2/SARS2/YARS2/RARS2
PRIMARY BILE ACID BIOSYNTHESIS	PRIMARY BILE ACID BIOSYNTHESIS	14	-0.673105892278059	-1.55466729582011	0.0212318980383431	0.313394343801706	0.301046047827926	952	tags=43%, list=8%, signal=40%	BAAT/AKR1C4/SLC27A5/CYP46A1/CYP7A1/CYP39A1
PRIMARY IMMUNODEFICIENCY	PRIMARY IMMUNODEFICIENCY	33	-0.539728496592527	-1.52239165969638	0.0226635732266508	0.313394343801706	0.301046047827926	1762	tags=36%, list=14%, signal=31%	CD79A/IL2RG/RFX5/ZAP70/RFXAP/BLNK/CIITA/LCK/CD40LG/AIRE/RAG2/ICOS
PHOSPHATIDYLINOSITOL SIGNALING SYSTEM	PHOSPHATIDYLINOSITOL SIGNALING SYSTEM	70	0.444857426937916	1.47826597785447	0.0191675168096935	0.313394343801706	0.301046047827926	3051	tags=34%, list=24%, signal=26%	CALML5/PIK3C2G/DGKH/DGKE/ITPR3/INPP4B/PIK3CG/PLCB3/DGKG/PRKCG/PIK3C2A/PIK3CA/PRKCA/OCRL/PIP5K1C/INPP4A/CALM1/PIP4K2C/PRKCB/IMPA2/IMPA1/PIP5K1A/ITPKA/DGKA
ERBB SIGNALING PATHWAY	ERBB SIGNALING PATHWAY	81	0.405519138425517	1.38746635361883	0.022234361414327	0.313394343801706	0.301046047827926	2359	tags=26%, list=19%, signal=21%	EREG/NRG2/MAPK8/SHC3/SRC/MYC/PIK3CG/CAMK2A/ABL2/ELK1/BTC/RPS6KB1/HBEGF/PRKCG/JUN/GSK3B/MTOR/CDKN1A/PIK3CA/PRKCA/PAK6
NEUROACTIVE LIGAND RECEPTOR INTERACTION	NEUROACTIVE LIGAND RECEPTOR INTERACTION	240	0.322938008152784	1.28409910309741	0.0190936022774462	0.313394343801706	0.301046047827926	1642	tags=25%, list=13%, signal=23%	GRIA2/HRH2/GABRG2/NTSR1/GIPR/SSTR3/GRIK3/LTB4R2/GABRA2/GABRD/GABRB2/HTR1A/TACR3/CHRNA1/CGA/CHRNG/GRIN2D/CHRNB4/PTGER1/MC5R/LPAR4/BDKRB1/HTR5A/ADRA1D/CHRM2/CHRND/S1PR5/HRH3/GRIN2A/BDKRB2/GNRHR/GABRA6/GABRP/GRIK1/GRIK4/DRD4/MC3R/GLRB/SSTR2/GRM5/OXTR/PTGFR/GPR50/GLP2R/TSHB/HRH4/GALR1/OPRK1/C5AR1/AVPR1B/HTR4/VIPR2/GABRR1/OPRM1/GABRB1/PRLR/ADORA3/OPRD1/P2RX1/GABRA4/PTGER2
HEMATOPOIETIC CELL LINEAGE	HEMATOPOIETIC CELL LINEAGE	82	0.409519952049116	1.40348805572752	0.0306487072151197	0.37391422802446	0.35918134069649	2249	tags=37%, list=18%, signal=30%	HLA-DRB4/IL6/GYPA/CSF3/CSF2/EPO/TPO/IL11/CSF3R/IL1R2/IL3RA/TNF/CD55/IL5RA/IL7/IL1R1/CD8A/CR1/IL3/IL9R/TFRC/ITGA2B/CSF1/IL1B/CD34/IL7R/ITGB3/FLT3/IL5/ANPEP
BUTANOATE METABOLISM	BUTANOATE METABOLISM	32	-0.538758049094892	-1.51329573799109	0.034119311977965	0.390239630747975	0.374863493442116	3153	tags=56%, list=25%, signal=42%	ALDH3A2/ALDH7A1/ACAT2/ECHS1/HMGCL/HADH/BDH2/PDHA2/AKR1B10/ACSM5/ACSM3/EHHADH/GAD2/HMGCS2/L2HGDH/BDH1/ALDH5A1/ACSM1
