ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
PORPHYRIN AND CHLOROPHYLL METABOLISM	PORPHYRIN AND CHLOROPHYLL METABOLISM	24	0.684262291446447	1.88861104027548	0.0010257363880128	0.0480884685956524	0.0434276075324557	1783	tags=33%, list=14%, signal=29%	UGT2B4/UGT2B17/ALAS2/UGT2A3/CPOX/BLVRB/UGT2B15/BLVRA
PENTOSE AND GLUCURONATE INTERCONVERSIONS	PENTOSE AND GLUCURONATE INTERCONVERSIONS	13	0.778407520200676	1.85271830651224	0.000854723660781908	0.0480884685956524	0.0434276075324557	1420	tags=46%, list=11%, signal=41%	UGT2B4/UGT2B17/UGT2A3/XYLB/DCXR/UGT2B15
METABOLISM OF XENOBIOTICS BY CYTOCHROME P450	METABOLISM OF XENOBIOTICS BY CYTOCHROME P450	48	0.566332352023969	1.8248958252067	0.00131389258458067	0.0480884685956524	0.0434276075324557	1660	tags=25%, list=13%, signal=22%	UGT2B4/GSTT1/CYP2F1/UGT2B17/GSTZ1/UGT2A3/CYP2C8/CYP3A43/CYP2C18/CYP1A2/UGT2B15/AKR1C3
REGULATION OF ACTIN CYTOSKELETON	REGULATION OF ACTIN CYTOSKELETON	192	-0.392035764586741	-1.53202895541681	0.00101423675474061	0.0480884685956524	0.0434276075324557	2126	tags=23%, list=17%, signal=19%	PIK3R3/CSK/FGF12/ITGB3/FGD1/EGFR/BDKRB1/NCKAP1L/MYL2/BDKRB2/ARAF/ITGB8/FGF5/CHRM5/ITGA9/HRAS/FGF4/PIK3R2/WASL/RAC2/ITGB4/FGF23/FGF14/CHRM2/FGF3/EGF/ITGAL/MRAS/ITGAX/INSRR/FGF21/LIMK1/MYL10/ARHGEF4/VAV2/TMSB4Y/INS/APC2/PIK3CG/MYLPF/MYLK3/ITGB7/FGF8/DIAPH3
FOCAL ADHESION	FOCAL ADHESION	187	-0.388606294528551	-1.5185308389336	0.00125233359601909	0.0480884685956524	0.0434276075324557	3608	tags=43%, list=29%, signal=31%	ITGA7/COL1A2/ITGA4/TLN1/COL11A2/MET/MYL7/IGF1R/TLN2/ITGA6/PPP1CA/ITGA5/FLNA/MYLK/BCL2/VAV3/VWF/THBS2/ZYX/FLNB/COL4A1/ACTN1/COL6A3/THBS3/LAMA5/PIP5K1C/IBSP/LAMC1/PDGFRB/COL6A1/COL5A2/PDGFB/LAMB1/COL4A6/TNC/PIK3R3/VEGFB/ITGB3/EGFR/COL6A2/COL5A1/VEGFA/MYL2/ITGB8/PRKCB/COL5A3/GSK3B/FLNC/GRB2/COL4A2/TNR/RELN/ITGA9/LAMB2/HRAS/PIK3R2/TNN/RAC2/SPP1/KDR/FLT1/COL1A1/LAMA1/PGF/ITGB4/LAMB3/TNXB/EGF/VEGFC/FLT4/LAMA3/COL11A1/BIRC3/MYL10/SRC/RAPGEF1/VAV2/PIK3CG/MYLPF/MYLK3/ITGB7
DRUG METABOLISM CYTOCHROME P450	DRUG METABOLISM CYTOCHROME P450	53	0.523331282606285	1.71446172908447	0.00208492404294941	0.0635901833099571	0.0574268552180803	1420	tags=25%, list=11%, signal=22%	UGT2B4/GSTT1/UGT2B17/GSTZ1/UGT2A3/CYP2C8/CYP2D6/CYP3A43/AOX1/FMO1/CYP2C18/CYP1A2/UGT2B15
LINOLEIC ACID METABOLISM	LINOLEIC ACID METABOLISM	22	0.639407323461573	1.7280113465205	0.00417556084744913	0.076412763508319	0.0690066371631066	1338	tags=36%, list=11%, signal=33%	PLA2G2E/PLA2G3/PLA2G1B/CYP2C8/CYP3A43/PLA2G4A/CYP2C18/CYP1A2
RETINOL METABOLISM	RETINOL METABOLISM	38	0.555976142383633	1.7029832114537	0.00312727676296687	0.076412763508319	0.0690066371631066	2450	tags=42%, list=20%, signal=34%	UGT2B4/UGT2B17/UGT2A3/RPE65/DGAT1/CYP2C8/CYP3A43/RDH16/CYP2C18/CYP1A2/UGT2B15/CYP2B6/DHRS9/CYP26B1/RETSAT/ADH1B
ARACHIDONIC ACID METABOLISM	ARACHIDONIC ACID METABOLISM	46	0.517789513147914	1.65873564304885	0.00416352007486287	0.076412763508319	0.0690066371631066	2031	tags=33%, list=16%, signal=27%	ALOX12/PLA2G2E/PLA2G3/PLA2G1B/CYP2C8/ALOX12B/GPX2/PLA2G4A/CBR1/CYP2C18/CYP4F3/AKR1C3/CYP2U1/CYP2B6/CYP4F2
CALCIUM SIGNALING PATHWAY	CALCIUM SIGNALING PATHWAY	162	-0.391218269245297	-1.4912789511822	0.00362375705852232	0.076412763508319	0.0690066371631066	2147	tags=31%, list=17%, signal=26%	EDNRA/NOS2/PLCE1/ITPR3/ADCY1/EGFR/PLCG2/BDKRB1/PTGFR/DRD5/DRD1/CCKBR/BDKRB2/CALML5/PRKCB/TNNC2/CHRM5/ITPKB/PRKACA/LHCGR/CAMK4/HRH2/PLCD1/TNNC1/PDE1B/PTGER1/PTK2B/GNA14/CACNA1C/RYR2/CCKAR/CHRM2/CACNA1B/SLC8A1/SLC25A31/CACNA1S/GRIN1/TACR2/ADRB1/ADRA1B/HTR5A/NOS3/ATP2A3/TACR3/ATP2A1/ADCY8/ITPKA/P2RX5/MYLK3/LTB4R2
