ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
PHENYLALANINE METABOLISM	PHENYLALANINE METABOLISM	15	0.733529243573598	1.74932219417127	0.0052080758749296	0.551615855136651	0.545745913623837	1094	tags=33%, list=9%, signal=30%	HPD/ALDH3A1/DDC/TAT/MAOA
MATURITY ONSET DIABETES OF THE YOUNG	MATURITY ONSET DIABETES OF THE YOUNG	22	0.616529605625771	1.60068162598087	0.0150714714518211	0.551615855136651	0.545745913623837	1564	tags=41%, list=12%, signal=36%	NKX2-2/INS/ONECUT1/SLC2A2/NKX6-1/HNF4G/MNX1/PAX4/PDX1
TYROSINE METABOLISM	TYROSINE METABOLISM	37	0.546266933134335	1.58710988487982	0.0101810377801849	0.551615855136651	0.545745913623837	1863	tags=30%, list=15%, signal=25%	TPO/HPD/ALDH3A1/DDC/TH/TAT/ADH1A/MAOA/ADH1C/ADH1B/DBH
CELL ADHESION MOLECULES CAMS	CELL ADHESION MOLECULES CAMS	115	0.400145596148217	1.41545963445302	0.0127008725862411	0.551615855136651	0.545745913623837	2710	tags=37%, list=22%, signal=30%	CLDN4/CDH2/L1CAM/SPN/NRXN2/NLGN1/HLA-DOB/PDCD1LG2/CLDN15/MAG/CD40LG/CD28/CDH1/HLA-DQA1/CDH3/CLDN16/NLGN3/NRXN3/SELL/MADCAM1/ITGA9/CLDN18/ICAM1/MPZ/CD226/CD6/CD8A/CNTNAP1/VCAN/HLA-G/HLA-F/SDC4/CDH5/CD22/SDC3/SIGLEC1/NRXN1/CNTNAP2/CNTN1/CD40/CLDN10/GLG1/SDC1
CYTOKINE CYTOKINE RECEPTOR INTERACTION	CYTOKINE CYTOKINE RECEPTOR INTERACTION	230	0.349504215415837	1.3446956640671	0.0133847186289258	0.551615855136651	0.545745913623837	1705	tags=25%, list=14%, signal=22%	TNFRSF17/TPO/IL1R2/CCL20/IL2/IL25/IFNA1/IL26/NGFR/CXCL1/TNFSF14/IL11/OSM/TNFRSF10C/PF4V1/CCR10/XCR1/CCL19/LTA/IL3RA/LIF/CSF3/CCR3/PPBP/IFNA8/IL7R/IFNW1/IL18R1/LTB/CD40LG/FLT4/CCL23/LIFR/CCL27/TNFRSF1B/IL21/EPO/CCL21/CCL16/CNTFR/IL13/CXCR1/IL2RG/IL6/VEGFB/IFNB1/CLCF1/CD70/IL19/VEGFC/IL11RA/IL9R/TNFRSF13B/EDA2R/FLT3LG/CCR2/IFNA16/IL12RB1
HEMATOPOIETIC CELL LINEAGE	HEMATOPOIETIC CELL LINEAGE	82	0.434944924163877	1.46362155664913	0.0206763837324629	0.581541174158929	0.575352786628334	2235	tags=38%, list=18%, signal=31%	CD1C/TPO/IL1R2/IL11/IL3RA/GYPA/CSF3/CR2/IL7R/MME/MS4A1/EPO/CR1/CD3G/IL6/CD1D/ITGA3/IL11RA/IL9R/FCGR1A/CD33/FLT3LG/CSF3R/CSF1/CD36/IL2RA/CD8A/KIT/ITGA2B/FCER2/ITGB3
INTESTINAL IMMUNE NETWORK FOR IGA PRODUCTION	INTESTINAL IMMUNE NETWORK FOR IGA PRODUCTION	41	0.491540921464958	1.45187862876674	0.0254225649905543	0.581541174158929	0.575352786628334	1592	tags=27%, list=13%, signal=24%	TNFRSF17/IL2/CCR10/HLA-DOB/CD40LG/CD28/HLA-DQA1/CCL27/IL6/MADCAM1/TNFRSF13B
JAK STAT SIGNALING PATHWAY	JAK STAT SIGNALING PATHWAY	138	0.376980101967953	1.36523562507056	0.022565754777053	0.581541174158929	0.575352786628334	1899	tags=25%, list=15%, signal=21%	TPO/IL2/AKT2/IFNA1/IL26/IL11/OSM/CBL/IL3RA/LIF/CSF3/IFNA8/IL7R/IFNW1/LIFR/PIK3CG/CSH1/IL13RA2/IL21/EPO/CNTFR/IL13/IL2RG/IL6/IFNB1/CLCF1/IL19/IL11RA/IL9R/IFNA16/IL12RB1/SPRY1/CSF3R/PIK3R2
BETA ALANINE METABOLISM	BETA ALANINE METABOLISM	21	-0.577224129042378	-1.51779315131219	0.0480454768973507	0.780788745387454	0.772480093221985	348	tags=33%, list=3%, signal=32%	AOC3/GAD2/DPYD/MLYCD/DPYS/EHHADH/UPB1
HISTIDINE METABOLISM	HISTIDINE METABOLISM	23	0.555903267854227	1.4573458950079	0.048689138576779	0.780788745387454	0.772480093221985	3221	tags=43%, list=26%, signal=32%	ALDH3A1/DDC/MAOA/ASPA/FTCD/AOC1/ALDH3B1/HAL/ALDH9A1/ALDH7A1
NEUROACTIVE LIGAND RECEPTOR INTERACTION	NEUROACTIVE LIGAND RECEPTOR INTERACTION	240	0.326600715044072	1.26303496300009	0.0496688741721854	0.780788745387454	0.772480093221985	2164	tags=35%, list=17%, signal=29%	GALR2/CHRNG/LTB4R2/SSTR5/HCRTR1/GRIK2/GABRD/GALR1/GRIN2C/GABRP/S1PR4/PTGER1/F2RL2/PTGFR/F2RL1/BDKRB1/CHRNB2/HTR7/GRIK1/TRHR/CHRNA4/HRH2/NTSR1/HTR5A/GCGR/HTR1A/LTB4R/GRIK4/GRM8/P2RY2/GHSR/GLP1R/CSH1/ADORA3/SSTR2/ADRA1D/SSTR3/CHRNE/S1PR5/TACR3/GRIN1/FPR2/CHRNB4/PTGIR/GABRA3/GALR3/LPAR3/NMUR1/HRH3/GABRB2/GRM1/MC3R/GRM2/MCHR1/FPR1/MC5R/BDKRB2/GIPR/GRIK5/HCRTR2/CGA/MTNR1B/FSHB/CCKAR/LPAR4/CNR1/FPR3/DRD5/HTR2B/NPBWR2/GRIN2B/GLRB/TBXA2R/PTGER2/ADORA2B/P2RX1/HRH4/HTR2A/MC1R/ADRA1B/P2RY13/EDNRB/GNRHR
