ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
CYTOKINE CYTOKINE RECEPTOR INTERACTION	CYTOKINE CYTOKINE RECEPTOR INTERACTION	230	-0.431656173489591	-1.66515250384862	5.08667634975438e-05	0.00930861772005051	0.0085670338522179	1964	tags=30%, list=16%, signal=25%	BMP7/IL11/CCR3/TNFRSF8/IFNA5/GDF5/FLT3/FLT1/IL1B/PDGFB/TNFSF9/CSF3/TNFSF4/BMP2/GH1/IL21/IL5/CCL4/IL17B/CXCR1/IFNA2/IL10/LIF/ACVR2A/TPO/CXCL14/CXCL9/IL2/IL12B/CCL27/KDR/EDAR/VEGFC/BMPR1B/IFNB1/CSF2/CCL1/IL7R/IL21R/CCR5/TNFSF14/CXCL13/MPL/TNFRSF9/IL4/TNF/IL3/CXCL6/CCL16/INHBB/CCL11/IL25/CXCR3/CCR4/INHBE/CXCL5/EGF/IL20RA/IL6/CXCL1/IFNA10/IL17A/CCL7/CXCL2/CCL20/IFNA8/CXCL3/CXCL8
ASCORBATE AND ALDARATE METABOLISM	ASCORBATE AND ALDARATE METABOLISM	11	0.80046326840361	1.76823869332003	0.000840273187621436	0.0768849966673614	0.0707598473786472	1024	tags=45%, list=8%, signal=42%	UGT2A3/UGT2B4/UGT2B15/ALDH7A1/UGT2B17
DRUG METABOLISM CYTOCHROME P450	DRUG METABOLISM CYTOCHROME P450	53	0.528741922892759	1.70965463247395	0.00134945538615263	0.0823167785553105	0.0757588988717267	2460	tags=43%, list=20%, signal=35%	UGT2A3/GSTT1/UGT2B4/UGT2B15/MAOA/GSTZ1/CYP2D6/ADH1B/ADH1A/CYP2C8/GSTM1/UGT2B17/GSTM2/FMO3/GSTM3/FMO2/AOX1/MGST2/GSTM4/GSTM5/FMO5/ALDH3A1/CYP3A43
CHEMOKINE SIGNALING PATHWAY	CHEMOKINE SIGNALING PATHWAY	165	-0.413496214029594	-1.51761700476902	0.00377098353829634	0.172522496877058	0.158778254244056	1573	tags=20%, list=13%, signal=18%	TIAM2/GRK1/ITK/ADCY1/CCL4/CXCR1/NCF1/SHC3/CXCL14/GSK3B/FGR/CXCL9/CCL27/CCL1/CCR5/PRKACG/CXCL13/GNGT1/ADCY8/VAV2/CXCL6/CCL16/CCL11/CXCR3/CCR4/CXCL5/CXCL1/GNG13/CCL7/CXCL2/CCL20/CXCL3/CXCL8
PENTOSE AND GLUCURONATE INTERCONVERSIONS	PENTOSE AND GLUCURONATE INTERCONVERSIONS	13	0.724829427033253	1.6728939705966	0.00964917964560196	0.239756187992705	0.22065568063752	1024	tags=38%, list=8%, signal=35%	UGT2A3/UGT2B4/DCXR/UGT2B15/UGT2B17
PORPHYRIN AND CHLOROPHYLL METABOLISM	PORPHYRIN AND CHLOROPHYLL METABOLISM	24	0.60290857667272	1.64624754438798	0.0119394415848324	0.239756187992705	0.22065568063752	2157	tags=33%, list=17%, signal=28%	UGT2A3/UGT2B4/UGT2B15/UGT2B17/CP/COX15/BLVRB/BLVRA
DRUG METABOLISM OTHER ENZYMES	DRUG METABOLISM OTHER ENZYMES	32	0.547293483127326	1.60648482702721	0.0122121934532027	0.239756187992705	0.22065568063752	1121	tags=22%, list=9%, signal=20%	UGT2A3/UGT2B4/UGT2B15/NAT2/CDA/UGT2B17/DPYS
RETINOL METABOLISM	RETINOL METABOLISM	38	0.521667211549181	1.57849843972414	0.0131014310378527	0.239756187992705	0.22065568063752	1137	tags=26%, list=9%, signal=24%	UGT2A3/UGT2B4/PNPLA4/UGT2B15/ALDH1A1/ADH1B/ADH1A/CYP2C8/UGT2B17/RPE65
ECM RECEPTOR INTERACTION	ECM RECEPTOR INTERACTION	79	-0.457919293480713	-1.53342408173908	0.00786673793486909	0.239756187992705	0.22065568063752	3264	tags=58%, list=26%, signal=43%	COL5A3/LAMA4/HMMR/ITGB1/LAMC1/COL3A1/FN1/THBS3/SDC4/COL11A1/COL6A3/COL1A2/ITGAV/HSPG2/LAMA5/LAMB1/DAG1/LAMB2/COL6A2/COL5A2/TNN/COL4A2/COL11A2/COL6A1/ITGB3/COL5A1/TNXB/COL4A1/GP5/TNC/GP1BA/SV2B/LAMA3/TNR/COL2A1/ITGB8/COL1A1/THBS2/ITGA9/LAMC2/SPP1/LAMB3/GP6/LAMB4/RELN/ITGB7
OLFACTORY TRANSDUCTION	OLFACTORY TRANSDUCTION	64	-0.471824032849674	-1.52894608943197	0.01113873501893	0.239756187992705	0.22065568063752	2576	tags=45%, list=21%, signal=36%	CAMK2B/OR10H2/OR7E24/PRKACA/ADCY3/OR1A2/OR3A3/OR10H3/OR2B2/OR1D2/OR5I1/OR2F1/OR1D5/OR2B6/CALM1/GUCA1A/OR3A1/OR12D3/OR7A10/GUCA1B/PRKACG/OR52A1/OR7A17/OR2H1/CALML5/CNGA3/OR1E1/OR11A1/CNGB1
PYRUVATE METABOLISM	PYRUVATE METABOLISM	33	0.518235592396041	1.54177289253432	0.0193514971950828	0.240056043175029	0.220931647443225	4431	tags=61%, list=35%, signal=39%	PCK1/PDHA2/ALDH7A1/ACYP1/ALDH3A2/DLAT/LDHB/ACAT1/PC/ACACB/ME2/ACAT2/DLD/MDH1/GLO1/ALDH2/ALDH9A1/AKR1B1/HAGH/PCK2
SNARE INTERACTIONS IN VESICULAR TRANSPORT	SNARE INTERACTIONS IN VESICULAR TRANSPORT	33	0.516794705892422	1.53748619400358	0.0196767248504122	0.240056043175029	0.220931647443225	3552	tags=45%, list=28%, signal=33%	STX11/VAMP1/USE1/BNIP1/STX7/SNAP23/SNAP29/VAMP8/STX8/BET1/VTI1B/GOSR2/STX10/STX3/VAMP3
NOD LIKE RECEPTOR SIGNALING PATHWAY	NOD LIKE RECEPTOR SIGNALING PATHWAY	54	-0.488700567313412	-1.53292217956299	0.0167846429729842	0.240056043175029	0.220931647443225	734	tags=15%, list=6%, signal=14%	MAPK8/TNF/CCL11/IL6/CXCL1/CCL7/CXCL2/CXCL8
CITRATE CYCLE TCA CYCLE	CITRATE CYCLE TCA CYCLE	30	0.52749179406109	1.51692074972719	0.0184472082702154	0.240056043175029	0.220931647443225	4692	tags=60%, list=37%, signal=38%	PCK1/PDHA2/OGDHL/ACO2/SDHB/DLAT/IDH1/PC/SDHD/SUCLG1/DLD/MDH1/SDHA/PCK2/IDH3A/DLST/SUCLA2/SDHC
FOCAL ADHESION	FOCAL ADHESION	187	-0.365062553161082	-1.3677196610257	0.0148881848041126	0.240056043175029	0.220931647443225	3264	tags=41%, list=26%, signal=31%	COL5A3/PDGFD/LAMA4/CTNNB1/ITGB1/LAMC1/PIP5K1C/PDGFRB/COL3A1/FN1/THBS3/ZYX/CCND2/FLNB/PPP1CC/PIK3CB/PDGFRA/DIAPH1/COL11A1/ACTN1/ELK1/COL6A3/COL1A2/ITGAV/BCL2/EGFR/ROCK2/LAMA5/PAK4/LAMB1/LAMB2/COL6A2/COL5A2/TNN/COL4A2/VASP/COL11A2/JUN/TLN2/FLT1/COL6A1/ITGB3/COL5A1/IGF1R/PDGFB/BIRC3/TNXB/MYLPF/COL4A1/MYL10/TNC/VCL/LAMA3/TNR/MYL2/ACTN2/COL2A1/ITGB8/COL1A1/THBS2/PGF/SHC3/GSK3B/ITGA9/LAMC2/KDR/VEGFC/RAPGEF1/SPP1/LAMB3/MAPK8/MYLK3/VAV2/LAMB4/RELN/EGF/ITGB7
SPHINGOLIPID METABOLISM	SPHINGOLIPID METABOLISM	24	-0.573216557906346	-1.513482086269	0.027065281295251	0.309559154814434	0.284897697844748	1670	tags=42%, list=13%, signal=36%	GLA/SPTLC2/SMPD2/ARSA/UGT8/UGCG/NEU3/B4GALT6/GAL3ST1/NEU2
PRIMARY BILE ACID BIOSYNTHESIS	PRIMARY BILE ACID BIOSYNTHESIS	14	0.642647667366038	1.50682196519435	0.0377509157557352	0.346989911198533	0.319346481402159	1217	tags=50%, list=10%, signal=45%	CYP7A1/CYP39A1/CYP46A1/AMACR/ACOX2/CYP27A1/SLC27A5
BLADDER CANCER	BLADDER CANCER	39	-0.508990986810907	-1.48925594777898	0.0367156497443341	0.346989911198533	0.319346481402159	1138	tags=18%, list=9%, signal=16%	PGF/CDH1/MYC/VEGFC/EGF/MMP1/CXCL8
AUTOIMMUNE THYROID DISEASE	AUTOIMMUNE THYROID DISEASE	46	-0.491850476268105	-1.48740982569812	0.0330226198072447	0.346989911198533	0.319346481402159	1323	tags=26%, list=11%, signal=23%	IL5/CGA/IFNA2/IL10/TPO/IL2/TSHB/IL4/TG/IFNA10/HLA-DRB4/IFNA8
BUTANOATE METABOLISM	BUTANOATE METABOLISM	32	0.503202163554436	1.4770624273803	0.0379223946665063	0.346989911198533	0.319346481402159	3659	tags=56%, list=29%, signal=40%	ACSM1/PDHA2/ALDH5A1/EHHADH/ALDH7A1/L2HGDH/ALDH3A2/ACSM5/GAD2/ACAT1/ACSM3/HADHA/OXCT1/AKR1B10/HADH/ACAT2/HMGCS2/BDH2
HISTIDINE METABOLISM	HISTIDINE METABOLISM	23	0.550154019911499	1.47239374479782	0.0480974121197177	0.385273835566493	0.354580464139424	2661	tags=43%, list=21%, signal=34%	MAOA/ASPA/HDC/ALDH7A1/HNMT/TRMT11/HEMK1/ALDH3A2/ALDH3A1/MAOB
METABOLISM OF XENOBIOTICS BY CYTOCHROME P450	METABOLISM OF XENOBIOTICS BY CYTOCHROME P450	48	0.453604448532339	1.43473818404086	0.0484223946340401	0.385273835566493	0.354580464139424	1074	tags=23%, list=9%, signal=21%	UGT2A3/GSTT1/UGT2B4/UGT2B15/GSTZ1/ADH1B/ADH1A/CYP2C8/GSTM1/UGT2B17/GSTM2
HEMATOPOIETIC CELL LINEAGE	HEMATOPOIETIC CELL LINEAGE	82	-0.412630501884586	-1.38701719380168	0.0459363957597173	0.385273835566493	0.354580464139424	1964	tags=32%, list=16%, signal=27%	IL11/FLT3/ITGB3/IL1B/CR2/GP5/CSF3/CD1A/GP1BA/FCER2/IL5/CD3D/ANPEP/CD5/TPO/CSF2/IL7R/TFRC/FCGR1A/IL4/DNTT/TNF/IL3/IL6/GYPA/HLA-DRB4
