ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
CYTOKINE CYTOKINE RECEPTOR INTERACTION	CYTOKINE CYTOKINE RECEPTOR INTERACTION	230	0.399069824985996	1.65250836310343	7.31926900533848e-05	0.0133942622797694	0.0118649202823382	2022	tags=36%, list=16%, signal=30%	CCL20/IL26/CXCL8/CXCL1/CCR8/CXCR1/IL6/IL17A/CSF2/INHBA/CCL18/LIF/IL10/PF4V1/IL7/IFNW1/IL1B/CLCF1/CXCL6/XCR1/BMPR1B/TNFSF14/PRL/CSF3R/CRLF2/IFNB1/IL7R/GH2/CXCL5/CCL24/CSF3/CCL7/IFNA10/CCL21/TNFSF4/LTA/CCL2/PRLR/AMHR2/KDR/CCL4/IL21/CD40LG/TNFSF18/CXCL2/IL25/CCR1/PPBP/CXCL10/IL9/CCL16/IL13/INHBC/IL11/TNFSF9/IL2RA/IL4/CXCL13/IL19/IL4R/TNFRSF10D/CXCR2/IL10RA/TNFRSF12A/TNF/TNFRSF1B/IL17B/IFNA14/BMP7/CSF1R/CSF2RB/IL18R1/IL24/CCL11/CCL8/CCL19/ACVR2A/PLEKHO2/PDGFB/IL5RA/INHBE/TNFSF15
ASTHMA	ASTHMA	26	0.659233841043877	1.85437288162974	0.000879713899172408	0.0321975287097101	0.0285212506258002	1962	tags=62%, list=16%, signal=52%	HLA-DRB4/IL10/HLA-DQA1/EPX/RNASE3/CD40LG/IL9/FCER1G/IL13/IL4/HLA-DRA/TNF/PRG2/CCL11/HLA-DMA/HLA-DPA1
ADIPOCYTOKINE SIGNALING PATHWAY	ADIPOCYTOKINE SIGNALING PATHWAY	61	-0.549728047238231	-1.81103486120591	0.000614522941391369	0.0321975287097101	0.0285212506258002	986	tags=18%, list=8%, signal=17%	IRS1/PRKAA1/SLC2A4/ACACB/CD36/AKT2/ADIPOQ/PCK1/PPARGC1A/PRKAA2/LEP
PPAR SIGNALING PATHWAY	PPAR SIGNALING PATHWAY	61	-0.543594200638723	-1.79082739665902	0.000754747743125663	0.0321975287097101	0.0285212506258002	834	tags=30%, list=7%, signal=28%	HMGCS2/PPARG/GK2/APOA2/SORBS1/PDPK1/CYP27A1/SCD/LPL/CD36/EHHADH/FABP4/CYP7A1/ADIPOQ/PCK1/ACADL/SLC27A6/PLIN1
LEISHMANIA INFECTION	LEISHMANIA INFECTION	67	0.499903013876086	1.73819318393957	0.000783236106103641	0.0321975287097101	0.0285212506258002	2975	tags=48%, list=24%, signal=37%	HLA-DRB4/IL10/NCF1/HLA-DQA1/IL1B/MAPK13/PTGS2/PRKCB/ITGA4/TLR2/IL4/HLA-DRA/ITGAM/TNF/FCGR3B/CR1/NCF2/HLA-DMA/HLA-DPA1/PTPN6/NOS2/IFNG/ITGB2/ELK1/IL12B/HLA-DMB/MYD88/HLA-DOA/MARCKSL1/NFKBIB/FCGR2A/TGFB3
FATTY ACID METABOLISM	FATTY ACID METABOLISM	38	-0.612501111580529	-1.84267130192217	0.00110469050706093	0.0336930604653585	0.0298460242258568	1628	tags=29%, list=13%, signal=25%	ALDH3A2/ACAA2/ACSL1/HADH/ECI1/ADH1A/EHHADH/ACADSB/ACADL/ADH1B/ADH1C
VALINE LEUCINE AND ISOLEUCINE DEGRADATION	VALINE LEUCINE AND ISOLEUCINE DEGRADATION	40	-0.587247609836145	-1.79558201428056	0.00139923964093586	0.0365801220416089	0.0324034443164094	2833	tags=50%, list=23%, signal=39%	PCCB/HIBCH/ACAA1/ALDH7A1/AUH/ACADS/PCCA/ALDH6A1/BCKDHA/BCAT1/ALDH3A2/ACAA2/MCCC1/BCKDHB/HADH/BCAT2/HMGCS2/AOX1/EHHADH/ACADSB
TYROSINE METABOLISM	TYROSINE METABOLISM	37	-0.601766844810634	-1.80087831656663	0.00308284065378933	0.058342056811082	0.0516806255329688	1393	tags=38%, list=11%, signal=34%	FAH/HEMK1/ALDH3A1/ALDH3B2/MAOA/AOX1/GSTZ1/PNMT/HPD/DDC/ADH1A/TPO/ADH1B/ADH1C
HYPERTROPHIC CARDIOMYOPATHY HCM	HYPERTROPHIC CARDIOMYOPATHY HCM	75	-0.474507059896853	-1.6198941056307	0.00350689958973717	0.058342056811082	0.0516806255329688	2271	tags=39%, list=18%, signal=32%	CACNB4/PRKAB1/MYL2/PRKAB2/ACE/SLC8A1/TGFB2/TPM2/TPM3/ITGB4/TNNT2/ITGA1/SGCA/SGCB/TTN/CACNB2/CACNA2D1/LAMA2/PRKAA1/DES/ITGA7/CACNG5/MYL3/CACNB3/TNNI3/CACNG2/TNNC1/MYH6/PRKAA2
CHEMOKINE SIGNALING PATHWAY	CHEMOKINE SIGNALING PATHWAY	165	0.3706478802603	1.4729110503777	0.00333623336180754	0.058342056811082	0.0516806255329688	1925	tags=25%, list=15%, signal=22%	CCL20/CXCL8/CXCL1/CCR8/CXCR1/PIK3CG/CCL18/NCF1/PF4V1/GNG13/CXCL6/XCR1/FGR/CXCL5/CCL24/ADCY8/CCL7/CCL21/GNG3/CCL2/CHUK/CCL4/CXCL2/CCR1/PPBP/CXCL10/PRKCB/CCL16/HCK/SHC3/CXCL13/PRKACG/CXCR2/ADCY1/DOCK2/KRAS/PAK1/GNG4/ARRB2/CCL11/CCL8/CCL19
