ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
FOCAL ADHESION	FOCAL ADHESION	187	0.430174186052726	1.69504367385191	8.25511509454071e-05	0.0151068606230095	0.0134688719963559	2762	tags=36%, list=22%, signal=28%	ITGB7/SPP1/MYLPF/PRKCG/COL11A1/RAPGEF1/PIK3CG/TNC/COL1A1/RELN/ACTN2/COL5A1/ACTN1/COL5A3/COL5A2/RAC3/VAV2/CHAD/ITGA3/SHC3/LAMB3/THBS2/VEGFB/LAMB4/COL6A1/TNN/COL11A2/PAK6/ITGAV/AKT2/COL6A3/BCL2/MAPK8/CDC42/COL6A2/KDR/PXN/THBS1/LAMB1/AKT1/THBS3/COL4A1/ZYX/PRKCA/LAMA3/PDGFB/COL1A2/VCL/COL4A2/LAMC2/GSK3B/PDGFRB/ITGA10/PIP5K1C/MYLK3/ITGB1/LAMB2/FLNA/PGF/ITGB3/ITGA5/PAK1/COL3A1/RASGRF1/ARHGAP35/PIK3R1/CCND1
PATHWAYS IN CANCER	PATHWAYS IN CANCER	303	0.371027110545095	1.52689044413118	0.000346157400904313	0.0316734021827446	0.0282391563895623	2762	tags=32%, list=22%, signal=25%	CXCL8/FGF3/FGF8/APC2/PTGS2/SHH/MMP9/PRKCG/SPI1/E2F2/WNT4/PIK3CG/GLI1/WNT2B/FGFR3/CDKN2B/WNT10B/IL6/NFKB2/WNT7B/RAC3/CSF3R/WNT8B/ITGA3/GLI2/CCNA1/SMO/LAMB3/BMP2/MMP1/FGF21/FGF16/VEGFB/LAMB4/NKX3-1/TRAF4/FZD5/BCL2L1/FZD9/BRCA2/EP300/ITGAV/WNT1/AKT2/GLI3/CTNNA3/FZD1/RALA/BCL2/MAPK8/CCNE1/CDC42/E2F1/FGF2/CDH1/NTRK1/TGFB1/TRAF1/LAMB1/AKT1/COL4A1/PRKCA/DVL3/LAMA3/PDGFB/PTCH1/FGF9/RXRB/COL4A2/LAMC2/WNT5A/GSK3B/TRAF2/PDGFRB/TPM3/TRAF3/STK4/ITGB1/TP53/LAMB2/HIF1A/FGF4/FGFR2/FGF22/NFKBIA/PGF/KRAS/NRAS/RAD51/EPAS1/RARB/WNT16/WNT2/PML/PIK3R1/CCND1
PORPHYRIN AND CHLOROPHYLL METABOLISM	PORPHYRIN AND CHLOROPHYLL METABOLISM	24	-0.684615296030458	-1.88750374321778	0.000906252781279395	0.0552814196580431	0.049287431964318	2145	tags=42%, list=17%, signal=35%	UROS/BLVRA/UGT2B15/UROD/UGT2B28/CP/BLVRB/UGT2A3/UGT2B17/UGT2B4
DRUG METABOLISM OTHER ENZYMES	DRUG METABOLISM OTHER ENZYMES	32	-0.61334115129576	-1.8055234313291	0.00350896396325071	0.107708655054639	0.0960301497467301	560	tags=19%, list=4%, signal=18%	CDA/NAT2/UGT2A3/UGT2B17/DPYS/UGT2B4
PRIMARY BILE ACID BIOSYNTHESIS	PRIMARY BILE ACID BIOSYNTHESIS	14	-0.737585682262871	-1.76673047465618	0.00301559726018897	0.107708655054639	0.0960301497467301	2075	tags=50%, list=17%, signal=42%	AKR1C4/AMACR/ACOX2/CYP46A1/SLC27A5/CYP7A1/CYP39A1
ECM RECEPTOR INTERACTION	ECM RECEPTOR INTERACTION	79	0.457854475300104	1.60650516848826	0.00353143131326685	0.107708655054639	0.0960301497467301	2560	tags=49%, list=20%, signal=40%	ITGB7/SPP1/COL11A1/TNC/COL1A1/RELN/COL5A1/COL5A3/COL5A2/CHAD/ITGA3/LAMB3/THBS2/LAMB4/COL6A1/GP9/TNN/COL11A2/ITGAV/COL6A3/COL6A2/THBS1/LAMB1/HSPG2/THBS3/CD44/COL4A1/AGRN/HMMR/LAMA3/COL1A2/COL4A2/LAMC2/ITGA10/ITGB1/LAMB2/SV2A/ITGB3/ITGA5
FATTY ACID METABOLISM	FATTY ACID METABOLISM	38	-0.567554526801566	-1.72378660494286	0.00494040443303456	0.129156287320761	0.115152283777497	3379	tags=53%, list=27%, signal=39%	HADH/ADH5/ALDH2/ALDH9A1/ACAT1/GCDH/ACADVL/CPT2/ECI2/ALDH7A1/ACSL4/ACADS/ACADL/ACOX3/ALDH3A2/ADH6/ACADSB/ADH1C/ECI1/EHHADH
REGULATION OF ACTIN CYTOSKELETON	REGULATION OF ACTIN CYTOSKELETON	192	0.357743906420085	1.41522213245572	0.00755578847054466	0.153634365567741	0.136976282214552	4335	tags=53%, list=35%, signal=35%	FGF3/FGF8/ITGB7/APC2/INS/ITGAX/MRAS/MYLPF/INSRR/PIK3CG/LIMK1/FGFR3/CHRM2/ACTN2/CHRM4/ACTN1/RAC3/VAV2/ITGA3/FGF21/FGF16/GIT1/MYH9/EZR/WASL/PAK6/ITGAV/CDC42/FGF2/PXN/FGD1/PDGFB/NCKAP1/FGF9/VCL/ARHGEF4/ARHGEF12/PDGFRB/ITGA10/PIP5K1C/MYLK3/ITGB1/FGF4/FGFR2/FGF22/IQGAP1/ITGB3/KRAS/ITGA5/NRAS/PAK1/MSN/LIMK2/ARHGAP35/PIK3R1/FGFR1/RDX/MYH14/ABI2/PIK3CB/APC/ITGA2/PDGFD/PPP1R12A/MAP2K1/FN1/SSH1/SOS1/CFL1/PDGFA/ARPC4/ITGB8/PFN1/PIK3R3/EGFR/DIAPH1/DOCK1/GNA13/ACTN4/ITGA4/ROCK2/SCIN/ACTB/PIP5K1A/PIK3R5/MYL12A/ENAH/PDGFC/FGF17/FGFR4/ACTN3/ITGA2B/WAS/MYL10/PIK3R2/BAIAP2/PIKFYVE/ROCK1/DIAPH2/ITGB2/TIAM1
NEUROACTIVE LIGAND RECEPTOR INTERACTION	NEUROACTIVE LIGAND RECEPTOR INTERACTION	240	-0.351529557706103	-1.40274111018633	0.00682116785046864	0.153634365567741	0.136976282214552	1839	tags=25%, list=15%, signal=22%	LPAR3/CHRNE/ADORA3/ADRB2/CHRNA10/MC4R/BDKRB1/GRIN2C/GHRHR/CHRNB1/GABRD/AGTR2/GHR/GRIA3/ADRA1A/F2R/GALR3/GABRB2/P2RX2/PRLR/CYSLTR2/GRM1/F2RL3/PTGFR/P2RY13/GABRA6/AVPR2/GALR1/P2RX1/OPRM1/GZMA/P2RY14/CHRNB4/TRHR/HTR1D/VIPR1/GH2/GRIK4/CHRNA1/NMBR/F2/ADRB3/MLNR/ADRB1/CHRM3/HCRTR2/HTR2B/FSHB/GRIA2/HTR1E/CTSG/GLRA2/HTR1B/LEP/DRD1/NPY1R/GABRB3/F2RL2/P2RY10/MTNR1A
ASCORBATE AND ALDARATE METABOLISM	ASCORBATE AND ALDARATE METABOLISM	11	-0.767418133120842	-1.76128782935777	0.00858328189405291	0.157074058661168	0.140043020376653	2088	tags=64%, list=17%, signal=53%	ALDH7A1/UGT2B15/ALDH3A2/UGT2B28/UGT2A3/UGT2B17/UGT2B4
