ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
FOCAL ADHESION	FOCAL ADHESION	187	0.522536848353037	1.98497013016425	1.20345330074021e-08	2.20231954035458e-06	1.96352906962876e-06	2089	tags=29%, list=17%, signal=24%	ITGB7/COL11A1/MYL2/MYLPF/LAMA3/JUN/THBS1/COL5A3/RELN/BIRC3/COL1A1/IBSP/PIK3CG/LAMB1/COL5A1/THBS2/COL2A1/SPP1/FLT4/RAC3/LAMC2/ACTN2/COL5A2/CHAD/TNC/PRKCG/PAK6/SRC/ACTN1/FLT1/MYL7/THBS3/KDR/COL6A3/MYLK/PDGFRB/PAK3/COL4A2/FLNC/LAMC1/COL6A1/COL4A1/COL1A2/PGF/PPP1R12A/ITGA8/COL6A2/LAMA2/BCL2/LAMA5/PRKCB/RAC2/GSK3B/IGF1R
ECM RECEPTOR INTERACTION	ECM RECEPTOR INTERACTION	79	0.596582177429014	2.02700704254849	2.55341503153048e-06	0.000233637475385039	0.000208304910466961	1924	tags=41%, list=15%, signal=35%	ITGB7/COL11A1/LAMA3/SDC1/THBS1/COL5A3/RELN/COL1A1/IBSP/LAMB1/COL5A1/THBS2/COL2A1/SPP1/LAMC2/COL5A2/CHAD/TNC/GP5/THBS3/COL6A3/HMMR/COL4A2/LAMC1/COL6A1/COL4A1/COL1A2/ITGA8/COL6A2/SV2A/LAMA2/LAMA5
PEROXISOME	PEROXISOME	69	-0.557812303415694	-1.93746547504099	5.9284237789165e-05	0.00361633850513907	0.00322423047625283	3547	tags=61%, list=28%, signal=44%	SCP2/ABCD1/ACOX1/ACSL5/ACAA1/PMVK/PEX3/PHYH/MPV17/CRAT/PXMP4/EPHX2/HMGCL/CROT/AGPS/PIPOX/AMACR/ACOT8/BAAT/NOS2/ECI2/XDH/PEX6/PEX2/ACSL1/PEX7/PEX16/ACOX3/CAT/PXMP2/PEX1/ABCD2/ECH1/PEX10/PEX19/ACOX2/ACSL4/PEX11A/DDO/AGXT/HAO1/PECR
PPAR SIGNALING PATHWAY	PPAR SIGNALING PATHWAY	61	-0.501685412472709	-1.68871269420635	0.00154937727340047	0.0708840102580716	0.0631982835202824	2271	tags=43%, list=18%, signal=35%	ACSL1/ACOX3/FABP3/ACADM/PCK2/NR1H3/ME1/ACOX2/CYP27A1/SLC27A5/PPARG/MMP1/FABP4/ANGPTL4/ACSL4/CD36/SCD/LPL/OLR1/ACADL/ADIPOQ/SLC27A6/UCP1/HMGCS2/PLIN1/PCK1
HISTIDINE METABOLISM	HISTIDINE METABOLISM	23	-0.651754615727597	-1.81263123056503	0.0023958581914389	0.0876884098066638	0.0781806357206378	2263	tags=52%, list=18%, signal=43%	MAOB/TRMT11/ALDH3B1/HDC/ALDH1A3/ALDH3A2/HNMT/ALDH2/METTL2B/DDC/HAL/MAOA
VALINE LEUCINE AND ISOLEUCINE DEGRADATION	VALINE LEUCINE AND ISOLEUCINE DEGRADATION	40	-0.528439605888852	-1.63872932853453	0.00494622412641345	0.12930843073338	0.115287930766028	2966	tags=57%, list=24%, signal=44%	ACAA1/ALDH1B1/HMGCL/BCKDHA/ACAT1/ACAD8/BCKDHB/HIBCH/MCCC1/ALDH6A1/MCCC2/ACADM/ECHS1/HADH/ABAT/IVD/ACAA2/ALDH3A2/BCAT2/ALDH2/BCAT1/AOX1/HMGCS2
NEUROACTIVE LIGAND RECEPTOR INTERACTION	NEUROACTIVE LIGAND RECEPTOR INTERACTION	240	-0.339001221432668	-1.37465729712625	0.0044469461526055	0.12930843073338	0.115287930766028	2029	tags=30%, list=16%, signal=26%	CHRM4/GRM8/GHRHR/GABBR2/GABRR2/GABRA2/CHRM3/GRIA1/GABRA5/GABRA4/ADRA1D/ADCYAP1R1/HTR1D/FSHR/HTR2B/GABRA1/TACR3/HTR1F/BDKRB1/CGA/NPY2R/CHRNB2/HCRTR2/GHR/GABRG2/TSHB/CTSG/TAAR2/GNRHR/CHRNB4/HTR1E/P2RX7/P2RY1/SSTR5/CHRNB1/FPR3/THRB/GH2/CHRNA3/OPRK1/GRIN2C/CALCR/NPFFR1/DRD3/GRM5/CHRNA1/ADORA3/P2RY14/FSHB/GRM1/GRIK4/HRH4/ADRB1/S1PR5/GRID2/AVPR1B/GRM3/LEP/GABRB1/GABRB2/SCTR/VIPR1/NPY1R/GLRA2/NMBR/TRHR/P2RY2/GRIK3/HTR1B/F2/MTNR1A/F2RL2
FATTY ACID METABOLISM	FATTY ACID METABOLISM	38	-0.534549960515131	-1.63619108725715	0.00605954227390636	0.138612029515608	0.123582770059932	3542	tags=58%, list=28%, signal=42%	ACOX1/ACSL5/ACAA1/GCDH/ALDH1B1/CPT2/ACAT1/ECI2/ACSL1/ACOX3/ACADM/ECHS1/HADH/ACAA2/ALDH3A2/ALDH2/ACSL4/ADH1B/ADH1A/ECI1/ADH1C/ACADL
CYTOKINE CYTOKINE RECEPTOR INTERACTION	CYTOKINE CYTOKINE RECEPTOR INTERACTION	230	0.354865743908467	1.38420108661888	0.0072870683633126	0.148170390054023	0.132104748106837	2285	tags=32%, list=18%, signal=26%	CXCL13/CXCL3/CXCL2/CXCL8/IL21R/TNFRSF10D/IL6/CXCL5/INHBA/CCL21/CCL5/CCL4/CXCR5/TNFRSF17/CD40LG/BMPR1B/IL1B/CXCL9/IL1A/TNFSF4/CD27/CXCL1/FLT4/LIF/IL17B/IL9/IL7R/CCL18/CCL2/TNFRSF12A/IL26/LTA/XCL1/FLT1/CCR6/IL19/KDR/CXCR6/PF4/IL3RA/PDGFRB/LTB/CCL8/IL1R2/CXCR4/IFNA21/IL3/IFNA2/CXCR3/CXCR1/IFNW1/IL23A/IL18RAP/FLT3/CCL20/CXCR2/CCL7/IL25/IFNA10/IL1R1/IL2RG/FAS/IL15RA/CLCF1/CXCL10/ACVR2A/EPO/IL4R/IFNAR2/IL5RA/TNFRSF10B/BMP2/VEGFA
PYRUVATE METABOLISM	PYRUVATE METABOLISM	33	-0.528164492053154	-1.56904536584618	0.0130345229044378	0.174724335222331	0.155779533847922	3294	tags=48%, list=26%, signal=36%	ALDH1B1/ME3/GRHPR/ACACB/DLAT/PKLR/HAGH/ACAT1/PCK2/ME1/LDHC/ALDH3A2/ALDH2/ME2/PC/PCK1
