ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
CYTOKINE CYTOKINE RECEPTOR INTERACTION	CYTOKINE CYTOKINE RECEPTOR INTERACTION	230	-0.443273867265921	-1.68484563875156	9.7568695758763e-06	0.00178550713238536	0.00164326224435811	1783	tags=35%, list=14%, signal=30%	IL1B/IL15RA/CCL21/TNFRSF11A/IFNA14/IL2RG/IL23A/IFNA16/IL10RA/IFNW1/CSF3/CXCR2/CXCR4/CCR8/IL22RA1/IFNA17/CXCL1/IL1R2/IL11RA/IL6R/XCL1/LTB/IFNB1/CNTF/BMPR1B/CCL2/IL11/CCL7/CCL24/CCL11/CXCL8/CXCL2/CXCR6/IL3/CXCL5/CCR10/CSF3R/GH2/CXCL10/IL10/NGFR/IL12A/CCL5/PRLR/TNFSF15/FLT3/CLCF1/KIT/CCL1/CCL4/IL6/CXCL13/CCL18/TNFSF18/IL13/CCL8/PF4/CCL27/IL7R/CCL17/PF4V1/IL25/PRL/CXCR1/LIF/TNFSF14/IL19/CD27/IL18/CD40LG/IFNA10/CRLF2/PPBP/XCR1/IL7/IFNA8/CCL20/IL24/IL26/TNFRSF17
CHEMOKINE SIGNALING PATHWAY	CHEMOKINE SIGNALING PATHWAY	165	-0.467111305665025	-1.72270140112893	7.00878352370305e-05	0.00641303692418829	0.00590213349364467	2094	tags=33%, list=17%, signal=28%	PIK3CD/CCR9/GRB2/CX3CL1/FGR/VAV1/CCR5/ADCY1/CCL21/DOCK2/HCK/CXCR2/CDC42/AKT2/PIK3R5/CXCR4/PRKCB/CCR8/CXCL1/XCL1/RAC2/CCL2/CCL7/CCL24/CCL11/CXCL8/CXCL2/GNG7/CXCR6/CXCL5/GNG13/CCR10/PRKACG/CXCL10/CCL5/PIK3CG/GNG3/CCL1/CCL4/CHUK/CXCL13/CCL18/CCL8/PF4/CCL27/CCL17/PAK1/PF4V1/GRK1/NCF1/CXCR1/PRKCZ/PPBP/XCR1/CCL20
NOD LIKE RECEPTOR SIGNALING PATHWAY	NOD LIKE RECEPTOR SIGNALING PATHWAY	54	-0.542309661899219	-1.71334338864597	0.00174754122592974	0.106600014781714	0.0981075775960557	1517	tags=33%, list=12%, signal=29%	IL1B/MAPK12/CXCL1/CCL2/CCL7/CCL11/CXCL8/CXCL2/MEFV/CCL5/NOD2/CHUK/IL6/MAPK13/CCL8/BIRC3/CASP5/IL18
STARCH AND SUCROSE METABOLISM	STARCH AND SUCROSE METABOLISM	29	-0.602451930112062	-1.6651052335804	0.00482268845964243	0.162316675444916	0.149385493650771	1062	tags=34%, list=8%, signal=32%	G6PC2/HK3/UGT2B17/UGT2B28/PYGM/UGT2A3/GYS2/GCK/UGT2B4/SI
HEMATOPOIETIC CELL LINEAGE	HEMATOPOIETIC CELL LINEAGE	82	-0.462399729091641	-1.5505290375276	0.00620883457986017	0.162316675444916	0.149385493650771	1957	tags=39%, list=16%, signal=33%	IL4R/CD3E/ITGAM/IL1B/FCER2/CD22/CSF3/MS4A1/CD7/IL1R2/IL11RA/IL6R/IL11/CD33/ITGA1/GYPA/IL3/CD3G/CSF3R/CD37/CD19/FLT3/KIT/CD2/IL6/IL7R/CD1E/CD8A/CD5/CD3D/IL7/HLA-DRB4
JAK STAT SIGNALING PATHWAY	JAK STAT SIGNALING PATHWAY	138	-0.419477915369076	-1.51660672158443	0.0040776417810039	0.162316675444916	0.149385493650771	2094	tags=40%, list=17%, signal=34%	IL9R/IFNG/CSF2RA/CISH/PIK3CD/BCL2L1/STAM/GRB2/IFNA4/IL4R/SPRY2/PTPN6/STAT4/IL15RA/IFNA14/IL2RG/IL23A/IFNA16/IL10RA/IFNW1/SOCS7/CSF3/SOCS3/AKT2/PIK3R5/IL22RA1/IFNA17/IL11RA/IL6R/IL13RA2/IFNB1/CNTF/IL11/IL3/CBL/CSF3R/GH2/IL10/IL12A/PRLR/CLCF1/PIK3CG/IL6/IL13/CSH1/IL7R/PRL/LIF/IL19/IFNA10/CRLF2/IL7/IFNA8/IL24/IL26
NEUROACTIVE LIGAND RECEPTOR INTERACTION	NEUROACTIVE LIGAND RECEPTOR INTERACTION	240	-0.357469459376735	-1.36842455510295	0.00592999361744241	0.162316675444916	0.149385493650771	1658	tags=29%, list=13%, signal=25%	NPY2R/PTGDR/SCTR/GLRA3/P2RX7/GRM1/ADORA3/ADRB3/ADRA2B/GABBR2/AVPR1B/HRH3/PTGER4/GRM6/GNRHR/P2RY6/FPR1/OPRL1/F2RL2/DRD2/ADRA1D/MTNR1A/NMBR/GHRHR/CHRM4/GABRB3/MC3R/CHRNA9/BDKRB1/GRIK1/GRPR/GABRG2/GABRR1/HTR1B/PRSS2/GH2/ADCYAP1R1/GABRA2/CTSG/PRLR/GRIK2/GZMA/TACR3/CSH1/CALCR/GLRA2/GRID2/MC4R/VIPR2/MCHR1/TSHR/PRL/GABRA5/AGTR2/ADRB1/GCGR/CHRNA3/GABRA6/CHRNG/FSHB/F2RL3/CYSLTR2/TRHR/GRIA3/AVPR2/CHRM3/CHRNA1/GLP2R/P2RX5
ASCORBATE AND ALDARATE METABOLISM	ASCORBATE AND ALDARATE METABOLISM	11	-0.76058445508764	-1.67773024275505	0.00881849400166697	0.177618276425595	0.163468071487461	843	tags=36%, list=7%, signal=34%	UGT2B17/UGT2B28/UGT2A3/UGT2B4
TOLL LIKE RECEPTOR SIGNALING PATHWAY	TOLL LIKE RECEPTOR SIGNALING PATHWAY	95	-0.439653906538568	-1.50505928158374	0.00970591674456802	0.177618276425595	0.163468071487461	2154	tags=31%, list=17%, signal=25%	MAP2K7/PIK3CD/IFNA4/IL1B/IFNA14/JUN/IFNA16/IRF7/MAPK12/AKT2/PIK3R5/LY96/IFNA17/MAP3K8/LBP/IFNB1/CXCL8/CXCL10/IL12A/TLR7/CCL5/FOS/PIK3CG/CCL4/CHUK/IL6/MAPK13/IFNA10/IFNA8
T CELL RECEPTOR SIGNALING PATHWAY	T CELL RECEPTOR SIGNALING PATHWAY	103	-0.431571317400161	-1.49103757429899	0.00804920630057107	0.177618276425595	0.163468071487461	2154	tags=34%, list=17%, signal=28%	MAP2K7/PIK3CD/GRB2/VAV1/PTPN6/CD3E/PRKCQ/PTPRC/JUN/NFKBIE/MAPK12/CDC42/AKT2/PIK3R5/LAT/GRAP2/MAP3K8/BCL10/CBL/CD3G/PAK3/IL10/FOS/PIK3CG/CHUK/MAPK13/CD247/PAK1/CD8A/CD28/CD40LG/CD3D/RASGRP1/ZAP70/LCK
CYTOSOLIC DNA SENSING PATHWAY	CYTOSOLIC DNA SENSING PATHWAY	46	-0.52040622333613	-1.57917202210807	0.0117341271695576	0.191808971938353	0.176528245672341	2045	tags=41%, list=16%, signal=35%	AIM2/POLR3K/IFNA4/IL1B/IFNA14/IFNA16/IRF7/IFNA17/IFNB1/CXCL10/CCL5/CCL4/CHUK/IL6/IL33/ZBP1/IL18/IFNA10/IFNA8
LEISHMANIA INFECTION	LEISHMANIA INFECTION	67	-0.465752803021117	-1.50965866485245	0.0125776375041543	0.191808971938353	0.176528245672341	1929	tags=25%, list=15%, signal=22%	PTPN6/CYBA/ITGAM/IL1B/JUN/MAPK12/PRKCB/HLA-DPB1/NOS2/IL10/IL12A/FOS/MAPK13/HLA-DQA1/NCF1/HLA-DOB/HLA-DRB4
PORPHYRIN AND CHLOROPHYLL METABOLISM	PORPHYRIN AND CHLOROPHYLL METABOLISM	24	-0.620212728612698	-1.65925248323954	0.0181477282227644	0.223270741323588	0.205483569811757	1749	tags=42%, list=14%, signal=36%	UROD/BLVRB/ALAS1/HMOX1/UROS/UGT2B17/UGT2B28/ALAS2/UGT2A3/UGT2B4
ASTHMA	ASTHMA	26	-0.590234849449508	-1.61317164387868	0.0201116792382718	0.223270741323588	0.205483569811757	1066	tags=46%, list=8%, signal=42%	HLA-DPB1/CCL11/IL3/EPX/IL10/MS4A2/FCER1A/IL13/HLA-DQA1/CD40LG/HLA-DOB/HLA-DRB4
PENTOSE AND GLUCURONATE INTERCONVERSIONS	PENTOSE AND GLUCURONATE INTERCONVERSIONS	13	-0.694889412136967	-1.61165847851668	0.0176424585665886	0.223270741323588	0.205483569811757	843	tags=38%, list=7%, signal=36%	DCXR/UGT2B17/UGT2B28/UGT2A3/UGT2B4
PRIMARY IMMUNODEFICIENCY	PRIMARY IMMUNODEFICIENCY	33	-0.545239644601467	-1.54684934607053	0.0254809255567912	0.223270741323588	0.205483569811757	2085	tags=45%, list=17%, signal=38%	BTK/CIITA/CD3E/TAP1/IL2RG/PTPRC/CD19/CD79A/IL7R/CD8A/CD40LG/CD3D/ZAP70/LCK/RAG2
ALLOGRAFT REJECTION	ALLOGRAFT REJECTION	33	-0.544998407175945	-1.54616495351468	0.0254809255567912	0.223270741323588	0.205483569811757	1066	tags=27%, list=8%, signal=25%	HLA-DPB1/IL10/IL12A/HLA-DQA1/CD28/CD40LG/GZMB/HLA-DOB/HLA-DRB4
STEROID HORMONE BIOSYNTHESIS	STEROID HORMONE BIOSYNTHESIS	39	-0.513446513611841	-1.52026073301981	0.0221588414340358	0.223270741323588	0.205483569811757	1061	tags=26%, list=8%, signal=24%	CYP7B1/CYP17A1/UGT2B17/UGT2B28/HSD17B1/HSD3B1/UGT2A3/HSD11B2/CYP7A1/UGT2B4
VIRAL MYOCARDITIS	VIRAL MYOCARDITIS	65	-0.467255642299348	-1.51650405525617	0.0186648217675395	0.223270741323588	0.205483569811757	1170	tags=23%, list=9%, signal=21%	RAC2/ITGAL/MYH7/HLA-DPB1/MYH3/SGCA/HLA-DQA1/MYH2/CXADR/CD28/CD40LG/HLA-DOB/MYH7B/MYH4/HLA-DRB4
TYPE I DIABETES MELLITUS	TYPE I DIABETES MELLITUS	39	-0.506930584286285	-1.50096775657502	0.0258284123894283	0.223270741323588	0.205483569811757	1319	tags=33%, list=11%, signal=30%	PRF1/IFNG/FASLG/IL1B/GAD2/HLA-DPB1/IL12A/HLA-DQA1/GAD1/CD28/GZMB/HLA-DOB/HLA-DRB4
RIBOSOME	RIBOSOME	67	-0.451606058467288	-1.46380439332341	0.0223228651312224	0.223270741323588	0.205483569811757	338	tags=7%, list=3%, signal=7%	RPL27A/RPS11/RPLP2/RPS4Y1/RPL3L
SYSTEMIC LUPUS ERYTHEMATOSUS	SYSTEMIC LUPUS ERYTHEMATOSUS	49	-0.473139503939329	-1.45089493223064	0.0268412913066608	0.223270741323588	0.205483569811757	1339	tags=47%, list=11%, signal=42%	C2/HLA-DQB1/HLA-DOA/HLA-DMA/HLA-DMB/GRIN2A/TRIM21/FCGR2B/ACTN2/ACTN3/IFNG/C1QB/C8B/HLA-DPB1/IL10/CTSG/C8A/HLA-DQA1/CD28/CD40LG/ELANE/HLA-DOB/HLA-DRB4
INTESTINAL IMMUNE NETWORK FOR IGA PRODUCTION	INTESTINAL IMMUNE NETWORK FOR IGA PRODUCTION	41	-0.483604214625478	-1.44714845749114	0.03287056923218	0.261535398673432	0.240699820464476	1066	tags=27%, list=8%, signal=25%	HLA-DPB1/CCR10/IL10/IL6/HLA-DQA1/CCL27/CD28/CD40LG/HLA-DOB/HLA-DRB4/TNFRSF17
