ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
TYROSINE METABOLISM	TYROSINE METABOLISM	37	-0.606994704358148	-1.8025778325884	0.00101765806221531	0.0757088710940688	0.0705483872144903	1022	tags=38%, list=8%, signal=35%	AOC2/ADH5/FAH/MAOB/AOC3/ADH1A/HGD/DDC/TYRP1/TPO/MAOA/GSTZ1/ADH1B/ADH1C
B CELL RECEPTOR SIGNALING PATHWAY	B CELL RECEPTOR SIGNALING PATHWAY	71	0.528686954192851	1.77364939680506	0.000815838076491255	0.0757088710940688	0.0705483872144903	3130	tags=39%, list=25%, signal=30%	PIK3CG/RASGRP3/CD72/FOS/JUN/LILRB3/SYK/PIK3R2/NFATC3/CHP2/VAV3/NFKBIA/GRB2/GSK3B/INPP5D/PIK3R5/VAV2/NFATC1/PIK3R3/PTPN6/RAC3/NFKB1/BLNK/PPP3CA/KRAS/CD79B/PRKCB/VAV1
FOCAL ADHESION	FOCAL ADHESION	187	0.403411895374458	1.55316824810908	0.001241129034329	0.0757088710940688	0.0705483872144903	2733	tags=32%, list=22%, signal=25%	MYLPF/PIK3CG/MYL2/PRKCG/SPP1/SRC/JUN/RAPGEF1/LAMA3/LAMC2/COL11A1/RELN/ACTN2/LAMC3/COL2A1/BIRC3/ITGB7/COL1A1/PIK3R2/TNC/COL5A2/COL5A1/HGF/THBS2/ITGB8/COMP/KDR/IGF1R/LAMB1/THBS3/IGF1/FLNC/TNXB/VAV3/VEGFC/PDGFRB/COL5A3/PDGFA/SHC2/ITGB3/GRB2/GSK3B/PIK3R5/PGF/PPP1R12A/VAV2/COL6A3/VCL/PAK6/PXN/TLN1/COL6A2/COL4A1/PIK3R3/ZYX/ACTN1/RAC3/COL4A2/PIP5K1C/PRKCA
FATTY ACID METABOLISM	FATTY ACID METABOLISM	38	-0.574978748682919	-1.71417100931973	0.00522197067450024	0.13137967547769	0.122424546605613	2501	tags=42%, list=20%, signal=34%	ACSL5/ECHS1/ALDH1B1/ECI2/ALDH7A1/ALDH3A2/ADH5/ACAA2/HADH/ACADM/ECI1/ACSL1/ADH1A/ACADL/ADH1B/ADH1C
EPITHELIAL CELL SIGNALING IN HELICOBACTER PYLORI INFECTION	EPITHELIAL CELL SIGNALING IN HELICOBACTER PYLORI INFECTION	62	0.503106482318224	1.64393270021152	0.00381996832015906	0.13137967547769	0.122424546605613	489	tags=11%, list=4%, signal=11%	CXCL8/CXCL1/CXCR1/CXCR2/SRC/JUN/ATP6V1B1
PPAR SIGNALING PATHWAY	PPAR SIGNALING PATHWAY	61	-0.487163185610141	-1.59323381889645	0.00526370288264009	0.13137967547769	0.122424546605613	1409	tags=30%, list=11%, signal=26%	CD36/ACADM/LPL/PPARG/SCD/ACSL1/RXRG/SORBS1/GK2/FABP1/ACOX2/SLC27A5/PCK1/SLC27A6/FABP4/ACADL/ADIPOQ/PLIN1
ADIPOCYTOKINE SIGNALING PATHWAY	ADIPOCYTOKINE SIGNALING PATHWAY	61	-0.480801784048429	-1.57242929096192	0.00624826475324978	0.13137967547769	0.122424546605613	1409	tags=20%, list=11%, signal=18%	CD36/ACSL1/RXRG/AKT2/PRKAA1/ACACB/NPY/PCK1/SLC2A4/PRKAA2/ADIPOQ/LEP
PROSTATE CANCER	PROSTATE CANCER	85	0.44942136865984	1.56053402208122	0.00646129551529625	0.13137967547769	0.122424546605613	2803	tags=26%, list=22%, signal=20%	PIK3CG/E2F2/CCNE1/INS/INSRR/CREB3L1/PIK3R2/KLK3/IGF1R/IGF1/NFKBIA/PDGFRB/PDGFA/GRB2/GSK3B/PIK3R5/CREB3L2/FGFR2/NKX3-1/PIK3R3/FOXO1/NFKB1
PATHWAYS IN CANCER	PATHWAYS IN CANCER	303	0.339589955547001	1.37233577048253	0.00518796746659597	0.13137967547769	0.122424546605613	1972	tags=18%, list=16%, signal=16%	CXCL8/PIK3CG/PTGS2/SHH/E2F2/IL6/FOS/PRKCG/CSF3R/CCNE1/MMP1/WNT1/JUN/LAMA3/FGF22/LAMC2/WNT5A/GLI1/FGF8/RAD51/LAMC3/MMP9/BMP4/TRAF2/BIRC3/TPM3/SPI1/NTRK1/NFKB2/WNT2B/GLI3/FGF3/WNT7B/PIK3R2/KLK3/APC2/SMO/HGF/CCNA1/IGF1R/CTNNA3/LAMB1/FZD5/IGF1/CSF1R/RALGDS/BIRC5/VEGFC/NFKBIA/PDGFRB/TRAF3/PDGFA/TGFB1/WNT4/GRB2/GSK3B
HISTIDINE METABOLISM	HISTIDINE METABOLISM	23	-0.630788461953968	-1.69944831417718	0.00986245161215946	0.150402387085432	0.140150628172792	3521	tags=70%, list=28%, signal=50%	TRMT11/LCMT1/HAL/LCMT2/HNMT/ALDH1A3/HEMK1/ALDH1B1/FTCD/ALDH7A1/ALDH3A2/MAOB/DDC/ASPA/HDC/MAOA
