ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
IMMUNOGLOBULIN COMPLEX	IMMUNOGLOBULIN COMPLEX	15	0.915760027790399	2.16590131791299	1.45559070152383e-07	0.000903339589365688	0.000890668289258738	829	tags=87%, list=7%, signal=81%	IGHM/IGLV1-44/IGLC1/IGLV6-57/IGHD/CD79A/IGKC/LIME1/IGLL1/IGLL5/CD79B/TRBC1/IGHG1
REGULATION OF LYMPHOCYTE ACTIVATION	REGULATION OF LYMPHOCYTE ACTIVATION	371	0.420508697643708	1.66602116441135	6.53351924557445e-07	0.00202735102190175	0.00199891301971181	2245	tags=27%, list=18%, signal=23%	IGHM/PDE5A/IGLC1/RAG2/PGLYRP1/EBI3/RASGRP1/IGHD/CCL21/IGKC/HLA-DOB/MZB1/ZBTB7B/SIT1/HHLA2/HLA-DQB1/IFNA2/PRDM1/LCK/IGLL1/IGLL5/IGFBP2/LEF1/CHRNB2/CDKN1A/IFNB1/CCL19/GLMN/SOX12/SPINK5/PCK1/TNFSF14/TRBC1/NOD2/IGHG1/CD22/RHOH/TNFRSF1B/ZAP70/LEP/CD40LG/CLCF1/RARA/AGER/DHPS/MYB/EFNB1/SAMSN1/LAX1/SOX13/MMP14/CCL5/INHBA/ARG1/CD19/MDK/CAMK4/IL12RB1/PLA2G2D/CD1D/TOX/SIRPB1/PDCD1LG2/TNFSF4/ZNF335/RUNX3/IRF4/RAC2/CORO1A/CCL2/TICAM1/ICOS/CD27/TNFRSF13B/VTCN1/IL23A/SRC/ADAM8/CRTAM/AP1G1/RNF41/DCAF15/BCL2/CLPTM1/IHH/XCL1/ABL1/IL1RL2/CD6/IL6/TWSG1/TNFSF11/GPR183/TGFB1/FOXP3/MAD1L1/CD55/LRRC32/TBX21/SUPT6H
ADAPTIVE IMMUNE RESPONSE	ADAPTIVE IMMUNE RESPONSE	371	0.395944875978542	1.56870130633872	9.97381274918282e-06	0.0179295415284964	0.0176780407593923	2251	tags=29%, list=18%, signal=25%	IGHM/TRAT1/IFNA1/IGLV1-44/IGLC1/TNFRSF17/IGLV6-57/EBI3/CR2/IGHD/IL18R1/CD8A/CD79A/IGKC/CD7/LIME1/HLA-DOB/ZBTB7B/SIT1/TRAF2/HLA-DQB1/IFNA2/ARID5A/IFNW1/PRDM1/IGLL1/IGLL5/CXCL13/LAMP3/LEF1/CD1C/LTA/IFNB1/RAP1GAP2/SLC22A13/CCL19/GZMM/CD79B/C7/PTK2B/BACH2/CX3CR1/TRPM4/LILRA1/TRBC1/NOD2/IGHG1/C8A/ENTPD7/LILRA3/TNFRSF1B/RNF125/ZAP70/CD40LG/CLCF1/PRF1/AGER/LILRB3/SAMSN1/LAX1/BTNL8/PDCD1/ARG1/CD19/CAMK4/IL12RB1/IL9R/SLAMF7/CD1D/UNC93B1/BTN3A3/CADM1/FUT7/IFNA10/PDCD1LG2/TNFSF4/ICAM1/TREM2/IRF4/OTUD7B/RELB/CD27/IL21R/TNFRSF13B/SUSD4/VTCN1/IL23A/BATF/CRTAM/HMHB1/C3/IL13RA2/LAT2/XCL1/CD6/IL6/HPX/GPR183/TCIRG1/TNFRSF11A/TFEB/TGFB1/FOXP3/CD55/TAP2/TBX21/SUPT6H/NOTCH1
B CELL RECEPTOR SIGNALING PATHWAY	B CELL RECEPTOR SIGNALING PATHWAY	52	0.661397869382785	2.05329212560058	1.15562626674163e-05	0.0179295415284964	0.0176780407593923	1009	tags=31%, list=8%, signal=28%	IGHM/IGLC1/IGHD/CD79A/IGKC/LIME1/MS4A1/STAP1/LCK/IGLL1/IGLL5/CD79B/TRBC1/IGHG1/CD22/BAX
EXTERNAL ENCAPSULATING STRUCTURE ORGANIZATION	EXTERNAL ENCAPSULATING STRUCTURE ORGANIZATION	242	0.432694425900321	1.65141843975921	2.65488348353471e-05	0.024103812861002	0.0237657045238063	2251	tags=38%, list=18%, signal=32%	IMPG1/ADAMTSL2/TGM1/CPB2/MYF5/ELANE/MMP1/DMP1/APLP1/ANTXR1/VWA1/COL10A1/COL8A1/ELN/MIA/RAMP2/SPINK5/GREM1/PTX3/EMILIN1/IBSP/TPSAB1/MMP13/COL17A1/MMP3/COL5A3/TIE1/SPINT1/COL11A1/ERCC2/IMPG2/COL9A3/GAS2/MMP28/TNFRSF1B/TLL2/MMP9/BMP2/MMP15/LOX/LOXL2/GPM6B/CREB3L1/COMP/FAP/MMP14/SERPINH1/FKBP10/PDPN/FOXC1/LAMB3/FERMT1/MYH11/PBXIP1/SPOCK2/COL4A1/COL13A1/COL19A1/MMP7/LCP1/COL4A5/PLG/FGFR4/SOX9/LTBP3/ADAM8/LOXL1/HAS2/TCF15/LRP1/MFAP4/COL1A1/COL4A2/TNFRSF11B/POMT1/IHH/ABL1/COL14A1/C6orf15/AEBP1/IL6/COL5A2/FURIN/NID2/ADAMTS7/TGFB1/HAS1/OLFML2B/COL5A1/COL18A1/LAMB1/NOTCH1
MONONUCLEAR CELL DIFFERENTIATION	MONONUCLEAR CELL DIFFERENTIATION	356	0.391402463865664	1.54636595020847	3.0781850052001e-05	0.024103812861002	0.0237657045238063	2057	tags=25%, list=16%, signal=22%	IFNA1/RAG2/PGLYRP1/RASGRP1/CR2/IL18R1/CD8A/CD79A/ST3GAL1/BCL11B/ZBTB7B/MS4A1/GPR18/IFNA2/IFNW1/PRDM1/LCK/CD3G/LEF1/IFNB1/CCL19/SOX12/CD79B/LY6D/KIT/SPINK5/PCK1/PTK2B/ITFG2/WNT1/CLEC4E/WNT4/ENTPD7/DHRS2/ITGA4/RHOH/LFNG/BAX/ZAP70/SPI1/LEP/CD40LG/CLCF1/RARA/CD3D/AGER/IL11/MYB/SOX13/MMP14/INHBA/CD19/DOCK10/MDK/CAMK4/IL12RB1/PLA2G2D/CD1D/TOX/FUT7/PRTN3/IFNA10/TNFSF4/TREM2/RUNX3/PDE1B/IRF4/MYH9/RELB/KDELR1/EZH2/CD27/IL23A/CSF2/BATF/KAT7/ADAM8/CRTAM/RNF41/BCL2/CLPTM1/IHH/ABL1/IL1RL2/ACIN1/PTGER4/IL6/GPR183/TCIRG1
G PROTEIN COUPLED RECEPTOR ACTIVITY	G PROTEIN COUPLED RECEPTOR ACTIVITY	336	-0.400762647195433	-1.56143169937594	3.55716544132833e-05	0.024103812861002	0.0237657045238063	1849	tags=32%, list=15%, signal=28%	TAS2R1/OR2B2/PPARG/AVPR1B/OR7A5/MC2R/CCR5/TAS2R16/S1PR1/CCR1/GABBR2/OR12D2/TM2D1/F2R/HTR6/OR2C1/HRH4/GPR21/LPAR4/HTR2C/P2RY6/ADRA2B/MAS1/OR5I1/NPY2R/LPAR2/OR52A1/CCR6/OR1A1/TAS2R9/CRHR2/OR51E2/OXTR/VIPR2/GPR68/GRPR/GPR20/TAS2R14/DRD3/CRHR1/GPR22/NPY6R/GRIK3/GPR6/ACKR2/OR12D3/P2RY2/GPR12/PTH2R/ADRA1A/F2RL2/FSHR/CXCR1/ADRA1B/OR7E24/GPR143/TAS2R7/OR7C1/ACKR4/SCTR/GPR75/NPY1R/HTR4/HTR1E/OR2B6/OR7A17/BRS3/TAS2R8/RRH/NPFFR1/RHO/CYSLTR2/C5AR2/OR6A2/OR2F2/S1PR2/CCR9/ADRB1/GPR87/CHRM5/MC5R/P2RY1/GPR17/ADRB3/OR2F1/OPRK1/HTR1B/HTR1F/OR2W1/GPR25/P2RY14/AGTR2/HCRTR2/OR2J2/GRM5/OR2J3/OR7A10/CYSLTR1/P2RY10/GRM3/SSTR1/NMBR/MTNR1A/OR1D5/TAS2R10/GPR37
IMMUNOGLOBULIN RECEPTOR BINDING	IMMUNOGLOBULIN RECEPTOR BINDING	11	0.890557556602416	1.98735322489675	3.9318040331008e-05	0.024103812861002	0.0237657045238063	829	tags=73%, list=7%, signal=68%	IGHM/IGLC1/IGHD/IGKC/IGLL1/IGLL5/TRBC1/IGHG1
ENDOPLASMIC RETICULUM LUMEN	ENDOPLASMIC RETICULUM LUMEN	247	0.42717982258303	1.63018919705057	4.25254863074846e-05	0.024103812861002	0.0237657045238063	2244	tags=32%, list=18%, signal=26%	SCG3/MATN3/WNT7A/EBI3/CYP2W1/TMEM132A/MZB1/CDH2/MEPE/COL7A1/DMP1/VWA1/COL10A1/COL8A1/SPP1/GCG/AFP/WNT7B/FGF23/WNT1/ARSD/COL17A1/APOL1/MSLN/COL5A3/IGFBP3/CASQ2/WNT4/COL11A1/COL9A3/PTGS2/FOXRED2/SLC27A2/MFGE8/SCG2/AMBN/TNC/SERPINH1/H6PD/FKBP10/LTBP1/VCAN/AHSG/UGGT2/CLN6/CP/COL4A1/COL13A1/COL19A1/NUCB1/IL23A/COL4A5/WNT5A/MAPK3/CNPY3/C3/COL1A1/RCN3/COL4A2/ARSF/IGFBP1/CTSZ/COL14A1/SIL1/EDEM2/IL6/COL5A2/ALG12/GPC3/ADAMTS7/IGFBP4/HYOU1/APOA1/COL5A1/PLAUR/COL18A1/WNT5B/LAMB1
T CELL ACTIVATION	T CELL ACTIVATION	407	0.389325902240672	1.56068314679951	4.5946428201922e-05	0.024103812861002	0.0237657045238063	2057	tags=25%, list=16%, signal=22%	PDE5A/IFNA1/RAG2/EBI3/RASGRP1/IL18R1/CD8A/CCL21/CD7/HLA-DOB/ITGAL/BCL11B/ZBTB7B/SIT1/HHLA2/GPR18/HLA-DQB1/IFNA2/IFNW1/PRDM1/LCK/CD3G/IGFBP2/LEF1/CD1C/IFNB1/CCL19/GLMN/SOX12/KIT/SPINK5/PCK1/WNT1/TNFSF14/NKG7/CLEC4E/WNT4/NOD2/ENTPD7/RHOH/LFNG/BAX/TNFRSF1B/ZAP70/TREML2/SPI1/LEP/CD40LG/RARA/CD3D/AGER/DHPS/MYB/EFNB1/LAX1/SOX13/CCL5/ARG1/MDK/CAMK4/IL12RB1/SLAMF7/PLA2G2D/CD1D/TOX/SIRPB1/CADM1/FUT7/IFNA10/PDCD1LG2/TNFSF4/ICAM1/RUNX3/IRF4/RAC2/MYH9/CORO1A/CCL2/RELB/KDELR1/ICOS/CD27/LCP1/VTCN1/IL23A/BATF/SRC/ADAM8/CRTAM/GJA1/BCL2/CLPTM1/IHH/XCL1/ABL1/IL1RL2/CD6/PTGER4/IL6/TWSG1/TNFSF11/GPR183/TCIRG1
