ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
CONTRACTILE FIBER	CONTRACTILE FIBER	190	0.529260497074158	2.12818268545607	9.47181518114521e-10	5.87820850141872e-06	5.76584286237503e-06	1601	tags=28%, list=13%, signal=25%	TNNC1/CSRP3/KLHL41/TNNI1/MYH1/ACTA1/TNNT1/MYOT/TNNI2/SYNPO2L/HRC/SMPX/ANKRD1/RYR1/MYOZ2/MYH2/MYH7/ANKRD2/TNNC2/MYH4/MYBPC1/NEB/MYL1/MYL2/SCN3B/TTN/IDO1/ITGB1BP2/TMOD2/FBP2/CASQ2/TCAP/MTM1/MYH8/LDB3/TPM3/MYOM2/MYLPF/ACTN2/MYH6/ANK3/SCN8A/MYOZ1/MYL7/PDLIM2/PPP1R12B/MYL9/PDLIM7/ANK2/GJA1/SORBS2/MYH3/CASQ1/NOS1AP
MUSCLE CONTRACTION	MUSCLE CONTRACTION	288	0.45385345410304	1.89967774909809	6.63049376760898e-09	2.05744221608906e-05	2.01811291884646e-05	1765	tags=27%, list=14%, signal=24%	TNNC1/CSRP3/KLHL41/TNNI1/MYH1/ACTA1/TNNT1/MYOT/MYBPC2/CHRM2/TNNI2/HRC/SMPX/SLC9A1/PDE5A/RYR1/CHRND/MYH2/MYH7/UTS2/NMU/ANKRD2/TNNC2/MYH4/MYBPC1/SCN7A/MYBPH/MYL1/GJC1/MYL2/TRDN/SCN3B/CACNA1G/TTN/HTR1D/TMOD2/KCNE4/PDE4D/GDNF/CASQ2/TCAP/P2RX2/PTGS2/MYH8/CTNNA3/TPM3/MYOM2/EDN3/MYLPF/ACTN2/NOS1/MYH6/CACNA2D1/GALR2/HTR2B/OXTR/ADRA1B/SNTB1/PPP1R12B/MYL9/KCNA1/ATP8A2/ANK2/CALCRL/SULF1/APBB2/GJA1/PRKG1/SMTN/MYH3/CASQ1/NOS1AP/PIK3CA/DSG2/PLN/DTNA/GAMT/CACNB2
MUSCLE SYSTEM PROCESS	MUSCLE SYSTEM PROCESS	360	0.413959645467999	1.76660662901052	5.89414244990338e-08	0.000121930160147001	0.000119599388729092	1765	tags=26%, list=14%, signal=23%	TNNC1/CSRP3/KLHL41/TNNI1/MYH1/ACTA1/TNNT1/MYOT/MYBPC2/CHRM2/TNNI2/HRC/SMPX/MSTN/SLC9A1/PDE5A/RYR1/MYOZ2/CHRND/MYH2/MYH7/UTS2/NMU/ANKRD2/TNNC2/MYH4/MYBPC1/SCN7A/MYBPH/MYL1/GJC1/MYL2/TRDN/SCN3B/CACNA1G/TTN/HTR1D/KLF15/TMOD2/KCNE4/PDE4D/GDNF/CASQ2/TCAP/P2RX2/PTGS2/P2RY1/MYH8/CTNNA3/TPM3/MYOM2/EDN3/PRKCA/MYLPF/ACTN2/NOS1/MYH6/CACNA2D1/GALR2/HTR2B/OXTR/RGS4/MYOZ1/ADRA1B/SNTB1/PPP1R12B/CTDP1/MYL9/KCNA1/ATP8A2/IGFBP5/ANK2/CALCRL/SULF1/APBB2/GJA1/SORBS2/MEF2A/PRKG1/SMTN/MYH3/CASQ1/NOS1AP/PIK3CA/SLN/NR4A3/DSG2/NOS3/PLN/DTNA/GAMT/CACNB2
STRIATED MUSCLE THIN FILAMENT	STRIATED MUSCLE THIN FILAMENT	17	0.839476213324355	2.12839461326992	3.33917225825885e-06	0.00518072575868861	0.00508169293934499	796	tags=47%, list=6%, signal=44%	TNNC1/TNNI1/ACTA1/TNNT1/TNNI2/TNNC2/TMOD2/TPM3
MUSCLE STRUCTURE DEVELOPMENT	MUSCLE STRUCTURE DEVELOPMENT	480	0.353189320663759	1.5459233526262	6.28757768428961e-06	0.00780414142174026	0.00765496036805196	2322	tags=26%, list=19%, signal=22%	TNNC1/CSRP3/KLHL41/TNNI1/WNT1/ACTA1/TNNT1/SYNPO2L/ANKRD1/MSTN/WT1/SLC9A1/RYR1/MYOZ2/CHRND/BDNF/EREG/HOXA2/EVC/MYH7/FBXO40/SOSTDC1/ANKRD2/NEB/MYL2/TTN/WNT2/ITGB1BP2/TMOD2/FOXL2/EGR3/MYLK3/CNTF/ZFHX3/TCAP/WNT5B/MTM1/P2RX2/GDF3/FZD7/LDB3/MYOM2/SGCG/BHLHE41/BMP4/ELN/RBFOX1/RAMP2/MYLPF/BARX2/ACTN2/NOS1/MMP14/EGR2/MYH6/PAX7/RGS4/MYOZ1/PDLIM2/EGR1/IGFBP3/CTDP1/FOXN2/MECP2/MYL9/PDLIM7/IGFBP5/FOS/PLCB1/ANK2/ARID5B/CXADR/ATF3/FOXC1/GJA1/SORBS2/MEF2A/PIEZO1/HLF/NFATC3/TGFBR1/SMTN/MYH3/PDGFRB/CASQ1/CHD7/RCAN1/COL11A1/HEG1/SIX1/CENPF/NR1D2/APLNR/PPARA/ALX4/PPARD/CACNA1H/ACVR1/PDGFRA/CDH2/ANKRD17/AKAP6/SEMA4C/HAND1/PDLIM5/STRA6/CCNT2/TWIST1/COMP/RGS2/RARA/SGCD/PLEC/IGF1/PLD3/TEAD4/EHD2/EP300/IL18/KIT/HIRA/PPP3CA/SVIL/FGFR2
STRIATED MUSCLE CONTRACTION	STRIATED MUSCLE CONTRACTION	144	0.47575014263724	1.83683333271869	8.95145581641391e-06	0.00925878913277746	0.00908180157654766	1765	tags=28%, list=14%, signal=24%	TNNC1/CSRP3/KLHL41/TNNI1/TNNT1/TNNI2/HRC/SMPX/SLC9A1/PDE5A/CHRND/MYH7/TNNC2/MYBPH/GJC1/MYL2/SCN3B/CACNA1G/TTN/KCNE4/PDE4D/CASQ2/TCAP/MYH8/CTNNA3/NOS1/MYH6/CACNA2D1/ADRA1B/ATP8A2/ANK2/GJA1/MYH3/CASQ1/NOS1AP/PIK3CA/DSG2/PLN/DTNA/CACNB2
MYOFILAMENT	MYOFILAMENT	20	0.794085276662217	2.07688863207233	1.22342505234338e-05	0.0104790940706949	0.0102787796208811	796	tags=40%, list=6%, signal=38%	TNNC1/TNNI1/ACTA1/TNNT1/TNNI2/TNNC2/TMOD2/TPM3
CELLULAR COMPONENT ASSEMBLY INVOLVED IN MORPHOGENESIS	CELLULAR COMPONENT ASSEMBLY INVOLVED IN MORPHOGENESIS	92	0.544348620299906	1.98919085209185	1.35083391178794e-05	0.0104790940706949	0.0102787796208811	1748	tags=34%, list=14%, signal=29%	CSRP3/KLHL41/ACTA1/TNNT1/SYNPO2L/SOX30/ANKRD1/SPINK2/MYOZ2/PHLDB1/NEB/MYL2/TTN/TMOD2/MYLK3/TCAP/UGT8/LDB3/MYOM2/ACTN2/MYH6/MYOZ1/MYL9/CNTN1/ANK2/MEF2A/MYH3/PDGFRB/CASQ1/CLASP2/EPB41L3
STRIATED MUSCLE CELL DEVELOPMENT	STRIATED MUSCLE CELL DEVELOPMENT	58	0.602204085119952	2.00127889983503	2.13321654545281e-05	0.0147097132012002	0.0144285278156183	1583	tags=40%, list=13%, signal=35%	CSRP3/KLHL41/ACTA1/TNNT1/SYNPO2L/ANKRD1/MYOZ2/NEB/MYL2/TTN/TMOD2/MYLK3/TCAP/LDB3/MYOM2/ACTN2/MYH6/MYOZ1/MYL9/MEF2A/MYH3/PDGFRB/CASQ1
MULTICELLULAR ORGANISMAL MOVEMENT	MULTICELLULAR ORGANISMAL MOVEMENT	45	0.634589650858918	1.98059604625121	2.71819963472693e-05	0.0168691469331154	0.0165466826185535	776	tags=22%, list=6%, signal=21%	TNNC1/TNNI1/TNNT1/TNNI2/CHRND/MYH7/TNNC2/ASCL1/TCAP/MYH8
