ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
MUSCLE CONTRACTION	MUSCLE CONTRACTION	288	-0.492601902068643	-1.9476607623124	7.91094188084904e-10	3.97883463002236e-06	3.78669896857972e-06	1033	tags=25%, list=8%, signal=23%	KCND3/P2RX2/ACTA2/MYH13/UTS2/AGT/PPP1R12B/CASQ1/KCNJ8/SCN2B/UCN/TPM3/RYR2/MYLK/KCNB2/TRPM4/MYH8/TBX2/PDE5A/EDNRA/TRDN/MYH11/KCNA5/KCNJ3/TPM2/CASQ2/SCN3B/TNF/TNNC2/CNN1/TTN/ACTN2/CHGA/TNNT2/NPPA/STC1/HRC/TACR2/CACNA1S/COMP/KLHL41/PIK3CG/ANKRD2/CHRNG/MYH3/CHRNA1/CACNA1C/EDN3/CKMT2/ATP2A1/GLRA1/RYR1/MYH2/TNNI1/NMU/HCN4/PTGS2/KCNN2/MYBPC1/TCAP/SCN7A/MYLPF/TNNT1/MYBPC2/TNNI2/ACTA1/SMPX/MYL2/MYL1/CSRP3/TNNC1
MUSCLE SYSTEM PROCESS	MUSCLE SYSTEM PROCESS	360	-0.472406364056725	-1.88531997989884	1.28225415082899e-09	3.97883463002236e-06	3.78669896857972e-06	2356	tags=32%, list=19%, signal=27%	ADRA2B/PDE4B/JARID2/LMNA/MTOR/PABPN1/GSTM2/CHRM2/FGF13/RGS2/NR4A1/HEY2/ADRA2A/ADA/CHRND/TPM1/EDN1/FOXO3/CLCN1/TNFRSF1B/CTTN/CACNA1G/PLCE1/TRPC3/SSTR2/EDN2/CACNB2/LMOD1/GNAO1/CD38/KLF15/AKAP13/F2R/KCND3/P2RX2/ACTA2/MYH13/UTS2/MYOZ1/AKAP6/AGT/PPP1R12B/CASQ1/NOTCH1/KCNJ8/IL1B/SCN2B/UCN/RGS4/IGF1/TPM3/RYR2/MYLK/KCNB2/TRPM4/SLN/MYH8/TBX2/PDE5A/EDNRA/TRDN/MYH11/KCNA5/KCNJ3/TPM2/CASQ2/SCN3B/TNF/TNNC2/CNN1/TTN/ACTN2/PDE9A/CHGA/TNNT2/NPPA/STC1/HRC/TACR2/CACNA1S/COMP/KLHL41/PIK3CG/ANKRD2/CHRNG/MYH3/CHRNA1/CACNA1C/EDN3/CKMT2/NOS3/ATP2A1/GLRA1/RYR1/MYH2/TNNI1/NMU/HCN4/PTGS2/KCNN2/MYBPC1/TCAP/SCN7A/MYLPF/TNNT1/MYOZ2/MYBPC2/TNNI2/ACTA1/SMPX/MYL2/EZH2/MYL1/CSRP3/TNNC1
CONTRACTILE FIBER	CONTRACTILE FIBER	190	-0.542350728707692	-2.04947320580837	2.410082101666e-09	4.9856565076464e-06	4.74490199033261e-06	1885	tags=31%, list=15%, signal=27%	MYH15/MTMR12/ACTN1/LDB3/LMOD1/SYNE1/PDLIM3/ANK1/FHOD3/ACTA2/MYH13/MYOZ1/CSRP2/PPP1R12B/CASQ1/FBP2/ACTC1/KCNJ8/TPM3/RYR2/PLEC/MYH8/RYR3/MYH11/KCNA5/SYNE2/TPM2/CASQ2/SCN3B/TNNC2/TTN/NEB/ABCC9/ACTN2/TNNT2/FLNC/HRC/CACNA1S/KLHL41/ANKRD2/MYH3/CACNA1C/RYR1/MYH2/TNNI1/KCNN2/MYBPC1/TCAP/MYLPF/SYNPO2L/TNNT1/MYOZ2/TNNI2/ACTA1/SMPX/MYL2/MYL1/CSRP3/TNNC1
STRIATED MUSCLE CONTRACTION	STRIATED MUSCLE CONTRACTION	144	-0.554150826028862	-2.01853375631486	1.61016569857781e-07	0.000249817208134347	0.000237753677229476	1209	tags=25%, list=10%, signal=23%	CASQ1/KCNJ8/SCN2B/UCN/RYR2/TRPM4/MYH8/PDE5A/KCNA5/KCNJ3/CASQ2/SCN3B/TNF/TNNC2/TTN/CHGA/TNNT2/NPPA/STC1/HRC/KLHL41/PIK3CG/MYH3/CHRNA1/CACNA1C/ATP2A1/TNNI1/HCN4/KCNN2/TCAP/TNNT1/TNNI2/SMPX/MYL2/CSRP3/TNNC1
SKELETAL MUSCLE ADAPTATION	SKELETAL MUSCLE ADAPTATION	20	-0.836919595830333	-2.09864168619023	1.5000699634799e-06	0.00186188683867125	0.00177197738212331	163	tags=25%, list=1%, signal=25%	TNNI1/TNNT1/MYOZ2/ACTA1/TNNC1
REGULATION OF SYSTEM PROCESS	REGULATION OF SYSTEM PROCESS	454	-0.397343397231875	-1.6226525787263	1.83443309078573e-06	0.00189741529356937	0.00180579018814013	1391	tags=26%, list=11%, signal=24%	EDN1/SCT/FOXO3/ADRB1/FGB/TNFRSF1B/SPTBN4/CTTN/CACNA1G/PLCE1/MYRF/TRPC3/SSTR2/EDN2/NKX3-1/CACNB2/CD38/NPVF/JAM2/FAAH/F2R/CORO2B/KCND3/HCRT/S100A1/SCN11A/AKAP6/AGT/PPP1R12B/CASQ1/DLG4/CASR/NOTCH1/S1PR2/CBLN1/GRIN1/HOPX/SCN2B/UCN/RGS4/IGF1/SRC/TENM4/PRKCZ/F2RL1/CRH/RYR2/KCNB2/TRPM4/HTR2C/SLN/CUX2/TBX2/PDE5A/HRH2/EDNRA/TRDN/KCNA5/KCNJ3/NPPB/CASQ2/SCN3B/TNF/TNNC2/CNN1/POPDC2/OR51E2/ABCC9/SMR3B/PDE9A/CHGA/TNNT2/NLGN4X/SMR3A/NPPA/INHBA/NPHS1/IL10/STC1/HRC/TACR2/AVP/RETN/FOXL2/KLK8/NPTX2/TPPP/PIK3CG/APOA2/ASIC2/CACNA1C/EDN3/NOS3/RELN/APOA1/ATP2A1/ATP2A3/GRIN2D/GLRA1/CYSLTR1/SHANK1/TNNI1/NMU/HCN4/TH/PTGS2/MC3R/KCNN2/AGTR2/NEUROD1/ACE/TNNT1/TNNI2/TLX3/MYL2/CSRP3/TNNC1
CARDIAC MUSCLE CONTRACTION	CARDIAC MUSCLE CONTRACTION	115	-0.560293523454157	-1.98915407567055	2.49869316003051e-06	0.00221526996444991	0.00210829583773402	1209	tags=23%, list=10%, signal=21%	KCNJ8/SCN2B/UCN/RYR2/TRPM4/PDE5A/KCNA5/KCNJ3/CASQ2/SCN3B/TTN/CHGA/TNNT2/NPPA/STC1/HRC/PIK3CG/CACNA1C/ATP2A1/TNNI1/HCN4/KCNN2/TCAP/TNNI2/MYL2/CSRP3/TNNC1
MUSCLE TISSUE DEVELOPMENT	MUSCLE TISSUE DEVELOPMENT	321	-0.421307192974797	-1.67754841999056	6.64759419111184e-06	0.0046216945958805	0.00439851559229362	1558	tags=22%, list=12%, signal=20%	TP73/FHOD3/TLL2/LEF1/P2RX2/MSC/PIM1/MYOZ1/CSRP2/AKAP6/AGT/BTG2/POPDC3/SHH/CASQ1/NOTCH1/ACTC1/XK/CENPF/HOPX/PDGFRB/FOS/POU4F1/RGS4/IGF1/TENM4/SMAD1/RYR2/PLEC/MYLK/TBX2/EDNRA/MYH11/NPPB/POPDC2/TTN/NEB/TCF21/ATF3/MEOX2/EGR1/ACTN2/HAND1/TNNT2/ITGA8/NPPA/NPHS1/WNT5A/MYF6/FOXL2/SIK1/KLHL41/COL11A1/FGF9/IHH/CHRNA1/RBFOX1/HOXD10/FGF20/RYR1/TNNI1/HCN4/COL19A1/TCAP/MYLPF/MYOZ2/ACTA1/MYL2/FGF8/TFAP2B/CSRP3/TNNC1
STRUCTURAL CONSTITUENT OF MUSCLE	STRUCTURAL CONSTITUENT OF MUSCLE	40	-0.705468855061317	-2.07882925609983	6.70242529212448e-06	0.0046216945958805	0.00439851559229362	994	tags=38%, list=8%, signal=35%	PLEC/MYH8/MYH11/TPM2/TTN/NEB/ACTN2/ANKRD2/MYBPC1/TCAP/MYLPF/MYBPC2/MYL2/MYL1/CSRP3
POSITIVE REGULATION OF SMALL GTPASE MEDIATED SIGNAL TRANSDUCTION	POSITIVE REGULATION OF SMALL GTPASE MEDIATED SIGNAL TRANSDUCTION	54	-0.648423395207616	-2.00621001467675	9.589880506485e-06	0.00542558109754643	0.0051635828719801	1727	tags=48%, list=14%, signal=42%	GPR4/F11R/GPR20/MAP4K4/RASGRF1/RASGRP1/AKAP13/F2R/NGF/F2RL3/NOTCH1/TGM2/PDGFRB/IGF1/SRC/F2RL1/LPAR4/PIK3CG/ADCYAP1R1/RELN/APOA1/P2RY10/EPO/NTRK1/SYNPO2L/GPR18
HEART PROCESS	HEART PROCESS	213	-0.467451739014802	-1.79656316541214	9.61672447196436e-06	0.00542558109754643	0.0051635828719801	1252	tags=21%, list=10%, signal=19%	ACTC1/KCNJ8/HOPX/SCN2B/UCN/RGS4/SRC/RYR2/TRPM4/TBX2/PDE5A/EDNRA/TRDN/KCNA5/KCNJ3/CASQ2/SCN3B/TNF/POPDC2/TTN/ABCC9/CHGA/TNNT2/NPPA/STC1/HRC/PIK3CG/CACNA1C/EDN3/NOS3/ATP2A1/ATP2A3/TNNI1/HCN4/TH/MC3R/KCNN2/AGTR2/TCAP/ACE/TNNI2/MYL2/CSRP3/TNNC1
MUSCLE ORGAN DEVELOPMENT	MUSCLE ORGAN DEVELOPMENT	256	-0.435187410449371	-1.70259181684894	2.5392279116926e-05	0.0131320403499702	0.0124979015899186	2188	tags=29%, list=17%, signal=25%	NR4A1/HEY2/BMP2/LAMA5/CHRND/TPM1/ADARB1/XBP1/ARNTL/NR2F2/ELN/ENG/USP19/SIRT2/TAGLN/SFMBT1/MAPK12/LRP2/TLL2/LEF1/EGR3/P2RX2/MSC/MYOZ1/BASP1/BTG2/POPDC3/SHH/CASQ1/NOTCH1/ACTC1/XK/CENPF/FOS/POU4F1/IGF1/ZFHX3/FZD2/RYR2/PLEC/MYLK/EDNRA/POPDC2/TTN/NEB/TCF21/ATF3/MEOX2/EGR1/HAND1/TNNT2/CHD2/NPHS1/WNT5A/MYF6/FOXL2/KLHL41/ANKRD2/COL11A1/MYH3/CHRNA1/RBFOX1/HOXD10/RYR1/TNNI1/LIF/COL19A1/TCAP/MYLPF/MYOZ2/ACTA1/MYL2/FGF8/CSRP3/TNNC1
