ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
CONTRACTILE FIBER	CONTRACTILE FIBER	190	0.5161556733561	2.03873130821622	1.02134352591723e-09	6.33845792184231e-06	6.26674885533844e-06	1322	tags=25%, list=11%, signal=22%	MYH1/CSRP3/TNNI2/TCAP/TNNI1/ANKRD1/TNNC1/TNNT1/MYLPF/MYH2/SMPX/DES/ACTA1/PGM5/TMOD2/MYOT/JPH2/KLHL41/MYL1/NEB/SLC4A1/TMOD1/MYOD1/MYH7/TTN/TNNC2/CASQ2/AKAP4/FBP2/MYOZ1/MYH13/CASQ1/MYBPC1/MYL3/MYL2/NRAP/ACTN2/MYH6/SYNPO/PDLIM7/MTM1/OBSCN/MYOZ2/PYROXD1/MYH8/ACTN3/LDB3
B CELL RECEPTOR SIGNALING PATHWAY	B CELL RECEPTOR SIGNALING PATHWAY	52	-0.695360207412034	-2.10739074317775	6.4867152246706e-07	0.00152545785704567	0.00150819984882528	1037	tags=46%, list=8%, signal=43%	CD79B/LIME1/PLCL2/BLK/BAX/BANK1/BLNK/ITK/SYK/CD38/CD19/TRBC1/IGLL1/IGLL5/MS4A1/BMX/IGKC/CD79A/LCK/IGLC1/STAP1/IGHM/IGHG1/IGHD
IMMUNOGLOBULIN COMPLEX	IMMUNOGLOBULIN COMPLEX	15	-0.896118083428391	-2.09279365894709	7.68483749236601e-07	0.00152545785704567	0.00150819984882528	541	tags=80%, list=4%, signal=77%	SYK/TRBC1/IGLL1/IGLL5/IGKC/CD79A/IGLC1/IGLV1-44/IGHM/IGHG1/IGHD/IGLV6-57
CELLULAR COMPONENT ASSEMBLY INVOLVED IN MORPHOGENESIS	CELLULAR COMPONENT ASSEMBLY INVOLVED IN MORPHOGENESIS	92	0.568669532037323	1.99962589990002	9.83214861131593e-07	0.00152545785704567	0.00150819984882528	1322	tags=29%, list=11%, signal=26%	CSRP3/TCAP/ANKRD1/TNNT1/ACTA1/PGM5/TMOD2/KLHL41/NKX2-5/PHLDB1/NEB/ACTL7A/TMOD1/SPACA1/TTN/TLR2/MYOZ1/CASQ1/MYL2/NRAP/UGT8/ACTN2/MYH6/OBSCN/MYOZ2/EPB41L3/LDB3
ACTOMYOSIN STRUCTURE ORGANIZATION	ACTOMYOSIN STRUCTURE ORGANIZATION	166	0.483904026727499	1.87872527312455	1.87055918305189e-06	0.00232173805800401	0.00229547146905462	1430	tags=23%, list=11%, signal=21%	CSRP3/TCAP/ANKRD1/TNNT1/ACTA1/PGM5/TMOD2/PHACTR1/KLHL41/NKX2-5/ARHGEF5/NEB/TMOD1/EPB41L4A/TTN/APOA1/MYOC/MYOZ1/CASQ1/ARHGAP6/MYL2/SERPINF2/NRAP/ACTN2/MYH14/MYH6/OBSCN/CDC42BPB/KCTD13/MYOZ2/FHOD1/RGCC/EPB41/EPB41L3/TGFBR1/MTOR/LDB3/WNT11/PPFIA1
ANTIGEN BINDING	ANTIGEN BINDING	63	-0.658621298726114	-2.0765643153357	3.28317697767679e-06	0.00291438605931481	0.0028814146479207	1915	tags=35%, list=15%, signal=30%	KLRD1/CD1B/IL7R/MFAP4/SLAMF1/FCN1/ITGA4/CD48/CD1E/TRBC1/IGLL1/IGLL5/FCN3/CD1C/IGKC/IGLC1/IGLV1-44/IGHM/IGHG1/IGHD/HLA-DQA1/IGLV6-57
MUSCLE CONTRACTION	MUSCLE CONTRACTION	288	0.402082574482546	1.65197906953532	3.2872546592336e-06	0.00291438605931481	0.0028814146479207	1480	tags=23%, list=12%, signal=20%	MYH1/CSRP3/MYBPC2/TNNI2/TCAP/TNNI1/TNNC1/TNNT1/MYLPF/MYH2/PTGS2/SMPX/DES/ACTA1/TMOD2/MYOT/CHRNB4/SGCA/KLHL41/NKX2-5/MYL1/P2RX3/KCNB2/TMOD1/DSC2/TNF/MYH7/CHRND/PDE4D/ATP2A1/OXTR/TTN/TNNC2/CASQ2/CHRM2/SCNN1B/SNTB1/MYH13/KCNIP2/PKP2/CASQ1/MYBPC1/MYL3/DOCK5/MYL2/CTNNA3/BDKRB2/ACTN2/MYH14/MYH6/CHRNB2/TRPV4/RGS2/MYH8/MTOR/MYBPH/ACTN3/CHRNA1/KCND3/SCN10A/SSTR2/PIK3CG/DMPK/FGF12/EHD3
ANTIGEN RECEPTOR MEDIATED SIGNALING PATHWAY	ANTIGEN RECEPTOR MEDIATED SIGNALING PATHWAY	146	-0.521857414797416	-1.87934521959641	4.29043182625918e-06	0.00332830248922056	0.0032906483046401	2070	tags=29%, list=16%, signal=25%	IKBKB/CD79B/LIME1/PLCL2/BLK/BAX/BANK1/LAX1/PTPRJ/THY1/BTNL8/BLNK/DGKZ/CD28/BTN3A1/CACNB3/BTN3A3/GATA3/ITK/SYK/BTN3A2/CCR7/CD38/CD247/ZAP70/CD19/TRBC1/IGLL1/ERMAP/IGLL5/MS4A1/BMX/SH2D1A/IGKC/CD79A/LCK/IGLC1/STAP1/IGHM/IGHG1/TRAT1/IGHD/UBASH3A
ACTIN CYTOSKELETON	ACTIN CYTOSKELETON	387	0.372143836400229	1.58584200936262	5.57347134282912e-06	0.0038432181281775	0.0037997385330235	1443	tags=18%, list=11%, signal=17%	MYH1/ARC/TNNI2/MYH7B/TNNI1/APC2/TNNC1/TNNT1/MYLPF/MYH2/SPTBN2/ACTA1/PGM5/TMOD2/MYOT/MYL1/CORIN/ARHGEF5/NEB/ACTL7B/ACTL7A/TMOD1/MYH7/HAP1/GDPD2/DGKH/PLS1/CDH1/TNNC2/ABCB4/PSTPIP2/MYOZ1/MYH13/SPTB/ARHGAP6/FGR/MYL3/MYL2/STX1A/MYO16/ADAM8/SCNN1D/CCIN/ACTN2/MYH14/MYH6/SYNPO/PDLIM7/TRPV4/HSPB7/CDC42BPB/RND1/MYOZ2/FHOD1/VASP/ARSJ/POTEKP/COBL/KLHL2/MYH8/BAIAP2/MYO7A/ACTN3/MYO1D/EFR3B/LDB3/MYO1A/SPPL2B/EZR/ABL2
IMMUNE RESPONSE REGULATING CELL SURFACE RECEPTOR SIGNALING PATHWAY	IMMUNE RESPONSE REGULATING CELL SURFACE RECEPTOR SIGNALING PATHWAY	215	-0.466941710371362	-1.75831904054224	1.49230360762205e-05	0.00926123618890243	0.00915646076718834	2070	tags=27%, list=16%, signal=23%	IKBKB/CD79B/LIME1/PLCL2/BLK/BAX/KLRD1/CLEC4E/BANK1/LAX1/PAK3/PTPRJ/THY1/PAK1/BTNL8/BLNK/DGKZ/CR1/FCN1/CD28/BTN3A1/KIT/MAP2K7/CACNB3/BTN3A3/NCR3/GATA3/ITK/SYK/BTN3A2/CCR7/CD24/CD38/CD247/ZAP70/CD19/TRBC1/KLRC4/IGLL1/VAV2/ERMAP/IGLL5/MS4A1/FFAR2/BMX/SH2D1A/IGKC/MBL2/CR2/CD79A/LCK/IGLC1/STAP1/IGHM/IGHG1/KLRC3/TRAT1/IGHD/UBASH3A
