ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
NEUROACTIVE LIGAND RECEPTOR INTERACTION	NEUROACTIVE LIGAND RECEPTOR INTERACTION	240	-0.399443697911815	-1.52364535683589	0.000698565133867907	0.121486239680229	0.119494661980553	1795	tags=33%, list=14%, signal=29%	GABRA3/AVPR1B/MC2R/PRLR/CHRNB1/S1PR1/GABBR2/F2R/GABRA2/P2RX6/HTR6/PRL/GABRR2/HRH4/GRIA4/LPAR4/HTR2C/THRB/P2RY6/GRIA1/ADRA2B/MAS1/NPY2R/LPAR2/CHRNA4/CGA/PRSS3/CRHR2/OXTR/VIPR2/GRPR/DRD3/CHRNA10/GRIN2A/CRHR1/P2RX7/GABRR1/GRIK3/GLRA3/CHRNA2/P2RY2/PTH2R/ADRA1A/F2RL2/FSHR/ADRA1B/FSHB/GH1/SCTR/NPY1R/HTR4/HTR1E/BRS3/NPFFR1/CYSLTR2/S1PR2/ADRB1/PRSS2/CHRNA9/CHRM5/MC5R/P2RY1/ADRB3/OPRK1/HTR1B/HTR1F/P2RY14/AGTR2/HCRTR2/GRM5/CYSLTR1/GRID2/P2RY10/GRM3/SSTR1/NMBR/GLRA2/GABRB3/MTNR1A/GH2
OLFACTORY TRANSDUCTION	OLFACTORY TRANSDUCTION	64	-0.54177743305958	-1.72352996585505	0.00133700544692463	0.121486239680229	0.119494661980553	1827	tags=42%, list=15%, signal=36%	OR2B2/OR7A5/OR12D2/OR2C1/CNGB1/CLCA1/OR5I1/OR52A1/OR1A1/OR51E2/CALML3/GUCY2D/OR12D3/PDE1C/OR7E24/OR7C1/OR2B6/OR7A17/OR6A2/OR2F2/OR2F1/PDC/OR2W1/OR2J2/OR2J3/OR7A10/OR1D5
AXON GUIDANCE	AXON GUIDANCE	111	0.468816199674322	1.62268818310411	0.00199157769967589	0.121486239680229	0.119494661980553	1980	tags=31%, list=16%, signal=26%	RND1/CDK5/L1CAM/SEMA4D/NTN3/EFNA3/EPHA3/NFATC3/EPHA4/DCC/EFNA1/EFNB1/RAC3/SEMA3D/SEMA3B/UNC5B/SEMA6C/EPHB3/PAK1/CXCR4/LIMK1/EFNA2/NFATC4/RAC2/GNAI2/PAK3/PLXNC1/PLXNB3/SEMA3A/MAPK3/PLXNB2/SEMA6A/ROBO1/ABL1
ARRHYTHMOGENIC RIGHT VENTRICULAR CARDIOMYOPATHY ARVC	ARRHYTHMOGENIC RIGHT VENTRICULAR CARDIOMYOPATHY ARVC	67	0.480771939541078	1.52837187465465	0.00716210009332189	0.260418490618233	0.256149335034327	1560	tags=27%, list=12%, signal=24%	SGCA/ITGB7/CDH2/JUP/CTNNA2/LEF1/CACNA1C/ITGA4/DES/ITGA7/ITGB4/CACNA1F/CACNG1/ACTN3/CACNB2/LAMA2/CACNA2D3/CACNA1S
PHOSPHATIDYLINOSITOL SIGNALING SYSTEM	PHOSPHATIDYLINOSITOL SIGNALING SYSTEM	70	0.482310620942549	1.55791436193498	0.00779327864256575	0.260418490618233	0.256149335034327	2620	tags=29%, list=21%, signal=23%	ITPKA/PRKCG/INPP4B/DGKE/DGKH/PLCB3/CALML5/DGKG/PIP5K1C/PRKCA/ITPR3/OCRL/DGKQ/PIK3R2/PIK3R3/INPP5B/PLCG1/CDS1/PLCD1/INPP5J
B CELL RECEPTOR SIGNALING PATHWAY	B CELL RECEPTOR SIGNALING PATHWAY	71	0.473559473898131	1.53388277706312	0.00853831116781091	0.260418490618233	0.256149335034327	2146	tags=23%, list=17%, signal=19%	CD72/CR2/CD79A/CD79B/CD22/NFATC3/NFKBIB/LILRB3/RAC3/CD19/VAV2/NFATC4/RAC2/MAPK3/PIK3R2/PIK3R3
FOCAL ADHESION	FOCAL ADHESION	187	0.374549165808496	1.39496140347878	0.0107644007001699	0.281412189733012	0.276798875147225	3724	tags=41%, list=30%, signal=29%	BIRC3/MYLPF/ITGB7/PRKCG/KDR/SPP1/IBSP/COL5A3/COL11A1/MYL7/ITGA4/ITGA7/ITGB4/RAPGEF1/ACTN3/RAC3/COMP/TNC/VEGFC/PAK1/LAMB3/VAV2/LAMA2/PIP5K1C/PRKCA/RAC2/CHAD/COL4A1/VEGFB/PAK3/SRC/MAPK3/COL1A1/COL4A2/BCL2/PIK3R2/COL5A2/HGF/PIK3R3/ITGAV/COL5A1/VEGFA/LAMB1/MYL2/TLN1/FLT1/ZYX/PDGFB/PDGFRB/ITGA3/TNR/JUN/COL6A1/ARHGAP5/COL6A2/PXN/COL4A6/PARVB/PIK3CA/MAPK8/COL6A3/THBS2/MET/XIAP/ITGB3/IGF1/THBS1/MYLK/FLNA/MYL10/SHC1/FLT4/THBS4/VAV3/PDGFRA/FLNC
GLYCOSAMINOGLYCAN DEGRADATION	GLYCOSAMINOGLYCAN DEGRADATION	20	0.605709692120873	1.53016264612974	0.0236594952080977	0.541210952885234	0.532338642182198	480	tags=15%, list=4%, signal=14%	HS3ST3A1/HYAL3/HYAL4
GLYCOSPHINGOLIPID BIOSYNTHESIS LACTO AND NEOLACTO SERIES	GLYCOSPHINGOLIPID BIOSYNTHESIS LACTO AND NEOLACTO SERIES	23	-0.601549284111027	-1.53826535492951	0.0304523864125867	0.613158271635151	0.603106496690312	1209	tags=39%, list=10%, signal=35%	B3GNT4/FUT6/FUT1/FUT2/B3GALT1/GCNT2/B3GALT5/FUT9/B3GALT2
GLYCOSAMINOGLYCAN BIOSYNTHESIS CHONDROITIN SULFATE	GLYCOSAMINOGLYCAN BIOSYNTHESIS CHONDROITIN SULFATE	17	0.630834977389667	1.54638010365685	0.0335059164827951	0.613158271635151	0.603106496690312	2300	tags=41%, list=18%, signal=34%	B3GAT1/CHST7/CHPF/XYLT2/CHST3/CHST15/B3GAT3
PROXIMAL TUBULE BICARBONATE RECLAMATION	PROXIMAL TUBULE BICARBONATE RECLAMATION	21	0.584557088188004	1.49215791854693	0.0478011472275335	0.676501360117179	0.66541117388575	641	tags=24%, list=5%, signal=23%	GLS2/ATP1B4/SLC9A3/CA2/PCK1
PRIMARY IMMUNODEFICIENCY	PRIMARY IMMUNODEFICIENCY	33	0.525172268298512	1.46564685995691	0.0496031746031746	0.676501360117179	0.66541117388575	1674	tags=36%, list=13%, signal=32%	RAG2/CD8A/CD79A/RFXAP/LCK/IGLL1/ZAP70/CD40LG/CD3D/CD19/ICOS/TNFRSF13B
