ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
ECM RECEPTOR INTERACTION	ECM RECEPTOR INTERACTION	79	-0.563845562829529	-1.8989774233051	2.3388154867816e-05	0.00220795439287277	0.0020193543196248	3497	tags=65%, list=28%, signal=47%	LAMC1/COL3A1/COL4A1/COL1A2/COL6A1/CD44/HSPG2/DAG1/TNC/ITGA2/COL6A3/TNXB/GP1BA/LAMA2/TNR/ITGB8/LAMB2/SDC4/SV2A/TNN/COL4A2/ITGA9/GP5/GP6/COL6A2/COL5A3/HMMR/LAMA5/COL4A4/COL2A1/COL4A6/COL5A2/ITGA5/CHAD/VWF/THBS3/THBS2/LAMB1/SV2C/COL5A1/ITGB4/LAMA1/COL1A1/ITGA8/COMP/LAMC2/SDC1/COL11A1/LAMA3/RELN/ITGB7
FOCAL ADHESION	FOCAL ADHESION	187	-0.46241041858535	-1.7386316994934	2.41306491024347e-05	0.00220795439287277	0.0020193543196248	3503	tags=45%, list=28%, signal=33%	BCL2/LAMC1/COL3A1/COL4A1/COL1A2/COL6A1/PPP1R12A/VCL/CAV3/FLNA/TNC/ITGA2/CTNNB1/PIK3R5/ZYX/PARVA/COL6A3/TNXB/LAMA2/TNR/ITGB8/PDPK1/LAMB2/CDC42/FLT1/MYL5/TNN/COL4A2/PDGFD/ITGA9/GRB2/COL6A2/COL5A3/PIK3R3/LAMA5/KDR/COL4A4/COL2A1/COL4A6/COL5A2/PIP5K1C/PDGFA/ELK1/ITGA5/CHAD/VWF/ACTN1/RASGRF1/THBS3/THBS2/LAMB1/PGF/PIK3R2/PRKCB/COL5A1/ITGB4/PAK3/PDGFRB/LAMA1/IGF1/SRC/PAK6/GSK3B/MYLK/COL1A1/IGF1R/FLT4/PRKCG/ACTN2/SHC2/FLNC/JUN/ITGA8/COMP/LAMC2/PIK3CG/EGF/COL11A1/LAMA3/RELN/BIRC3/ITGB7/MYLPF/MYL2
CALCIUM SIGNALING PATHWAY	CALCIUM SIGNALING PATHWAY	162	-0.432224236725267	-1.60616398979045	0.000841326509584888	0.0513209170846782	0.0469371631663148	1927	tags=28%, list=15%, signal=24%	PLCG1/CACNA1G/LHCGR/PLCE1/ADCY1/PTGFR/CD38/PTGER1/ADCY3/F2R/GNA14/P2RX2/PRKCB/CHRM5/GRIN1/PDGFRB/GRM5/RYR2/MYLK/HTR2C/RYR3/PRKACG/HRH2/EDNRA/CCKBR/GRPR/TNNC2/CALML5/PRKCG/CCKAR/CYSLTR2/TACR2/CACNA1S/SLC25A31/ITPKA/CACNA1C/NOS3/ATP2A1/CACNA1B/ATP2A3/GRIN2D/CYSLTR1/LTB4R2/P2RX5/RYR1/TNNC1
PATHWAYS IN CANCER	PATHWAYS IN CANCER	303	-0.357283343710081	-1.40862681887072	0.00212505103660318	0.0972210849245954	0.088916609163133	2539	tags=27%, list=20%, signal=22%	CTNNA3/TRAF3/COL4A2/FGF4/RALGDS/TCF7L1/MECOM/NFKBIA/FAS/RAD51/MTOR/TGFB3/GRB2/SMO/FGF13/PIK3R3/BMP2/LAMA5/COL4A4/CBL/TRAF1/COL4A6/PDGFA/RUNX1T1/GLI1/PLCG1/TCF7/NKX3-1/LAMB1/PGF/FLT3/VHL/FGFR3/FGF17/PIK3R2/MYC/LEF1/BIRC5/ARNT2/PRKCB/WNT1/SHH/CDKN2B/WNT8B/PDGFRB/GLI3/FOS/CSF3R/LAMA1/IGF1/CXCL8/DCC/TPM3/FGF21/FZD2/GSK3B/WNT4/TRAF2/APC2/IGF1R/FGF18/CDK6/CCNE1/NFKB2/PRKCG/MMP1/JUN/WNT5A/LAMC2/PIK3CG/EGF/FGF9/WNT7B/E2F2/LAMA3/BIRC3/FGF20/NTRK1/IL6/PTGS2/CTNNA2/FGF8
ANTIGEN PROCESSING AND PRESENTATION	ANTIGEN PROCESSING AND PRESENTATION	73	0.463374712465642	1.57233490588897	0.00398574423552166	0.144607196369537	0.132255071744357	829	tags=14%, list=7%, signal=13%	HLA-DQA1/IFNA2/IFNA8/RFXAP/IFNA1/KIR3DL1/KLRC4/IFNA4/KIR2DS4/KIR2DL1
CYTOKINE CYTOKINE RECEPTOR INTERACTION	CYTOKINE CYTOKINE RECEPTOR INTERACTION	230	-0.366178321872266	-1.42000862603327	0.00474121955309958	0.144607196369537	0.132255071744357	2021	tags=29%, list=16%, signal=25%	TNFRSF17/CCL4/PDGFA/TNFRSF1B/TNFRSF10D/IFNB1/IL18R1/CCL7/IL5RA/FLT3/TNFRSF8/TNFRSF12A/CCL19/IL3RA/CCR4/IL17B/IL2RG/CXCL6/ACVR2A/CXCR1/PRL/TNFSF4/TNFRSF9/IL1B/CCR5/TNFRSF13B/PDGFRB/CCL2/CSF3R/PF4/CXCL8/IL19/LTB/TNF/CCR9/FLT4/PF4V1/INHBA/IL10/IFNA10/LTA/TNFSF14/CLCF1/CCL18/EGF/CXCL14/CRLF2/IL1R2/CXCR5/PRLR/IL17A/IL13/PPBP/CXCR2/EPO/IL7R/CXCL2/IL24/IL25/CD40LG/CXCL1/CCL21/CXCL5/IL6/LIF/IL26/CXCL13
CITRATE CYCLE TCA CYCLE	CITRATE CYCLE TCA CYCLE	30	0.583680825959411	1.65900204865544	0.00639205327267603	0.15486309685415	0.141634928960655	3153	tags=53%, list=25%, signal=40%	PCK1/DLAT/IDH1/OGDHL/SDHD/PC/SUCLA2/PDHB/SUCLG2/ACO2/PCK2/IDH3A/OGDH/SDHB/DLD/SUCLG1
HYPERTROPHIC CARDIOMYOPATHY HCM	HYPERTROPHIC CARDIOMYOPATHY HCM	75	-0.469307179732795	-1.56627587007114	0.00704686825728562	0.15486309685415	0.141634928960655	1330	tags=24%, list=11%, signal=22%	ITGB4/ACTC1/IGF1/TPM3/RYR2/TPM2/TNF/TTN/TNNT2/CACNA2D3/ITGA8/CACNA1S/CACNA1C/ITGB7/IL6/ACE/MYL2/TNNC1
RIG I LIKE RECEPTOR SIGNALING PATHWAY	RIG I LIKE RECEPTOR SIGNALING PATHWAY	64	0.470149852767058	1.5532568355187	0.00793034240650396	0.15486309685415	0.141634928960655	848	tags=17%, list=7%, signal=16%	IFNA2/IFNA8/IFNA1/DHX58/DDX3Y/MAP3K1/IFIH1/IFNA4/IL12B/PIN1/TBKBP1
AUTOIMMUNE THYROID DISEASE	AUTOIMMUNE THYROID DISEASE	46	0.511124561768369	1.57041135050927	0.00846246430896993	0.15486309685415	0.141634928960655	742	tags=20%, list=6%, signal=18%	HLA-DQA1/IFNA2/IFNA8/IFNA1/TPO/IL5/IL2/CTLA4/IFNA4
PEROXISOME	PEROXISOME	69	0.439827486319076	1.46797254719947	0.0113949834465828	0.168130429573989	0.153768986495624	2089	tags=28%, list=17%, signal=23%	AMACR/DDO/PEX11A/PECR/HAO1/ACSL1/ACOX2/SLC25A17/PEX19/ACSL4/CROT/AGXT/IDH1/PEX13/ABCD3/PEX1/CAT/ACOX3/ACOX1
PYRUVATE METABOLISM	PYRUVATE METABOLISM	33	0.539893250500135	1.57012075722992	0.0116257814535591	0.168130429573989	0.153768986495624	4600	tags=61%, list=37%, signal=38%	PCK1/PKLR/ACACA/ACACB/DLAT/ACYP1/PC/PDHB/ALDH1B1/PCK2/DLD/ME1/ALDH3A2/LDHC/ACAT1/ALDH7A1/ACAT2/ME2/ALDH2/LDHAL6B
BUTANOATE METABOLISM	BUTANOATE METABOLISM	32	0.549767339011807	1.59158094858274	0.0119436917183708	0.168130429573989	0.153768986495624	2234	tags=34%, list=18%, signal=28%	L2HGDH/AKR1B10/ACSM1/ALDH5A1/ACSM5/ACSM3/GAD2/HADH/HMGCS2/PDHB/ALDH1B1
SPLICEOSOME	SPLICEOSOME	100	0.403484172403174	1.43175669782611	0.0133712545603714	0.174781398896284	0.159851840233012	4745	tags=51%, list=38%, signal=32%	USP39/DHX8/WBP11/LSM5/MAGOHB/PRPF6/TCERG1/RBM17/THOC1/SRSF8/NCBP1/RBM22/PRPF38B/U2SURP/SNRPA1/DDX23/PPIH/NCBP2/U2AF1/SNRPC/CDC40/SNRNP27/CRNKL1/SNRPG/RBM8A/SNRPD1/LSM4/XAB2/LSM7/SRSF1/PRPF18/PRPF31/SNRPB2/SF3B2/CDC5L/DHX15/SRSF10/SMNDC1/SNRPE/HNRNPA1/HNRNPA3/PRPF4/PRPF19/HNRNPM/TXNL4A/BCAS2/DHX38/LSM6/ACIN1/SNW1/BUD31
SMALL CELL LUNG CANCER	SMALL CELL LUNG CANCER	84	-0.43092379258915	-1.45884117277568	0.0154249542209395	0.183407646246081	0.167741246782438	3739	tags=43%, list=30%, signal=30%	RELA/RXRA/PIK3CA/BCL2/E2F1/LAMC1/COL4A1/PIAS4/ITGA2/PIK3R5/RARB/LAMA2/NOS2/LAMB2/TRAF3/COL4A2/NFKBIA/PIK3R3/LAMA5/COL4A4/TRAF1/COL4A6/LAMB1/PIK3R2/MYC/CDKN2B/LAMA1/TRAF2/CDK6/CCNE1/LAMC2/PIK3CG/E2F2/LAMA3/BIRC3/PTGS2
HEMATOPOIETIC CELL LINEAGE	HEMATOPOIETIC CELL LINEAGE	82	-0.43998983752453	-1.47827580922625	0.0162736539483329	0.183407646246081	0.167741246782438	1892	tags=34%, list=15%, signal=29%	ANPEP/ITGA5/CD8A/IL5RA/CD38/CD34/FLT3/IL3RA/CD3E/CD1E/CD1A/CR1/IL1B/CSF3R/GYPA/CD3D/MS4A1/TNF/CD7/CR2/FCER2/CD1C/CD5/IL1R2/HLA-DRB4/EPO/IL7R/IL6
PPAR SIGNALING PATHWAY	PPAR SIGNALING PATHWAY	61	0.443295278648073	1.45339477310991	0.0170378687769584	0.183407646246081	0.167741246782438	2105	tags=39%, list=17%, signal=33%	UCP1/ADIPOQ/PLIN1/PCK1/GK2/SLC27A6/FABP4/SCD/FABP1/LPL/ACADM/ACSL1/PPARD/CYP27A1/SORBS1/ACOX2/PPARG/ACSL4/APOC3/HMGCS2/SLC27A5/ACOX3/ACOX1/GK
FRUCTOSE AND MANNOSE METABOLISM	FRUCTOSE AND MANNOSE METABOLISM	30	0.530981667256645	1.50921468480534	0.0248824088162422	0.236313683016448	0.216128131145328	2516	tags=30%, list=20%, signal=24%	AKR1B10/PFKFB3/PFKFB1/HK2/KHK/HK3/MTMR6/FBP1/GMPPA
