ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
PRIMARY IMMUNODEFICIENCY	PRIMARY IMMUNODEFICIENCY	33	-0.688580593583214	-1.90914444611026	0.000170352091892335	0.0311744328162973	0.0303047405576891	987	tags=42%, list=8%, signal=39%	CD3E/IL7R/BLNK/IL2RG/CD40LG/ZAP70/ICOS/CD19/RAG1/IGLL1/CD3D/CD79A/LCK/RAG2
CYTOKINE CYTOKINE RECEPTOR INTERACTION	CYTOKINE CYTOKINE RECEPTOR INTERACTION	230	0.349535803610613	1.39475336135767	0.0023191290401188	0.21220030717087	0.206280425147409	1588	tags=24%, list=13%, signal=21%	CXCL3/CCL20/CSF2/CXCL8/IFNA2/IL5/CCL25/GDF5/CXCL1/INHBA/IL24/IL10/TNFRSF10D/CRLF2/EGF/IL7/IL9/IL6/IL11/TNF/CXCL6/CSF3/AMHR2/MPL/LIF/LTA/IL1RAP/IL17B/CXCL2/IFNA8/IL18RAP/IL1B/IL20RA/TNFRSF11B/INHBE/TNFSF9/OSMR/BMP2/IL4/TNFSF15/CNTF/TNFSF14/IL1R1/IL22/CCR8/TGFBR1/IL13/CLCF1/CXCR1/CCL16/IL21R/CNTFR/CCR1/CCL18/INHBC
RIBOSOME	RIBOSOME	67	-0.511500464617922	-1.60557286025241	0.00356233468640906	0.217302415870953	0.211240197194081	5159	tags=73%, list=41%, signal=43%	RPL22/RPL34/RPL11/RPL6/RPLP0/RPS28/RPS3/RPL7/RPS18/RSL24D1/RPL19/RPL24/RPS10/RPS7/RPL14/UBA52/RPL8/RPS5/RPL31/RPL15/RPS27A/RPS16/RPL12/RPL37A/RPL26L1/FAU/RPS25/RPL3/RPL37/RPS21/RPS19/RPL38/RPS27L/RPL10A/RPL35/RPL29/RPL10L/RPL23A/RPL18/RPL41/RPS9/RPL36AL/RPL35A/RPL3L/RPL36/RPL27A/RPLP2/RPS11/RPS4Y1
JAK STAT SIGNALING PATHWAY	JAK STAT SIGNALING PATHWAY	138	0.373023068320985	1.39595495704634	0.008844987809298	0.31744800356025	0.308591962045915	2175	tags=25%, list=17%, signal=21%	CSF2/IFNA2/IL5/IL24/IL10/CRLF2/IL7/IL9/IL6/IL11/CSF3/MPL/LIF/IFNA8/IL20RA/OSMR/IL4/CNTF/IL22/IL13/CLCF1/PIK3CG/IL21R/CNTFR/CCND1/CCND2/IL3/IFNG/IL13RA1/IFNA7/PIM1/PTPN11/CSF2RB/IFNA14/SOCS1
COMPLEMENT AND COAGULATION CASCADES	COMPLEMENT AND COAGULATION CASCADES	66	0.449408013432312	1.50978731243418	0.0098034248640696	0.31744800356025	0.308591962045915	1288	tags=32%, list=10%, signal=29%	FGG/F5/C8G/C9/C5AR1/F2/BDKRB1/FGB/SERPINA1/F10/SERPINF2/PLAUR/CFB/BDKRB2/C5/CPB2/CD55/FGA/C4BPA/THBD/C7
PANTOTHENATE AND COA BIOSYNTHESIS	PANTOTHENATE AND COA BIOSYNTHESIS	14	-0.717697296807654	-1.64517187770429	0.0105849598164644	0.31744800356025	0.308591962045915	582	tags=29%, list=5%, signal=27%	DPYS/VNN1/PPCDC/VNN2
TIGHT JUNCTION	TIGHT JUNCTION	114	0.380663033048418	1.39432452878132	0.0121428198083156	0.31744800356025	0.308591962045915	1316	tags=18%, list=10%, signal=16%	MYH1/MYH7B/CLDN17/MYLPF/MYH2/MYL10/MYH7/RAB3B/MYH13/MYL2/CTNNA3/PRKCE/ACTN2/MYH14/MYH6/EPB41/EPB41L3/MYH8/CLDN18/ACTN3
VIRAL MYOCARDITIS	VIRAL MYOCARDITIS	65	0.436248744515259	1.46855271880009	0.0151821796115508	0.347292358614225	0.337603730835801	927	tags=18%, list=7%, signal=17%	MYH1/MYH7B/HLA-DRB4/MYH2/SGCG/SGCA/CXADR/MYH7/MYH13/MYH14/CD55/MYH6
OLFACTORY TRANSDUCTION	OLFACTORY TRANSDUCTION	64	0.425495345524185	1.42870137827018	0.0195371069359776	0.358766511616723	0.348757782359656	1582	tags=36%, list=13%, signal=32%	CALML5/OR2J2/OR51E2/CNGA3/OR11A1/OR7C2/OR2J3/OR7A5/OR2W1/OR12D3/OR2F1/GUCA1A/OR12D2/OR7A17/OR3A3/PRKG2/OR1A1/CLCA4/OR2H2/OR10H3/CALML3/OR10H2/PRKACG
ASCORBATE AND ALDARATE METABOLISM	ASCORBATE AND ALDARATE METABOLISM	11	-0.727340092670606	-1.56061963490641	0.0196047274107499	0.358766511616723	0.348757782359656	382	tags=45%, list=3%, signal=44%	ALDH7A1/UGT2B15/UGT2B4/UGT2B17/UGT2A3
STEROID HORMONE BIOSYNTHESIS	STEROID HORMONE BIOSYNTHESIS	39	-0.529164244195655	-1.51117557926503	0.02355914860664	0.369310673247676	0.359007787051235	382	tags=18%, list=3%, signal=17%	UGT2B4/CYP7A1/HSD17B1/HSD11B2/UGT2B17/HSD3B1/UGT2A3
GLYCOLYSIS GLUCONEOGENESIS	GLYCOLYSIS GLUCONEOGENESIS	54	0.461588621037892	1.49637644015741	0.0242170933277164	0.369310673247676	0.359007787051235	1871	tags=24%, list=15%, signal=21%	ENO3/ALDH3A1/PKLR/ALDH1A3/LDHC/FBP2/ADH6/PGK2/HK2/PFKP/HK3/FBP1/ALDH3B1
B CELL RECEPTOR SIGNALING PATHWAY	B CELL RECEPTOR SIGNALING PATHWAY	71	-0.44071829350069	-1.4005747480959	0.029713861745722	0.418279746112856	0.406610739678301	2144	tags=21%, list=17%, signal=18%	JUN/IKBKB/CD79B/DAPP1/BLNK/RAC3/RAC2/RASGRP3/SYK/CD19/VAV2/AKT2/CD72/CR2/CD79A
ECM RECEPTOR INTERACTION	ECM RECEPTOR INTERACTION	79	-0.426850339499315	-1.38314863742077	0.0463576158940397	0.605960264900662	0.589055420006971	2018	tags=30%, list=16%, signal=26%	COL5A1/HSPG2/COL5A3/VWF/COL1A1/LAMA4/LAMA5/GP5/ITGA7/COL4A4/LAMC2/ITGA4/LAMC3/CHAD/THBS1/LAMA3/ITGA1/SDC1/CD36/COL2A1/TNN/COL11A1/ITGB7/IBSP
