ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
CARDIAC MUSCLE CONTRACTION	CARDIAC MUSCLE CONTRACTION	61	-0.587518362761196	-1.93469961470967	0.0001920136945647	0.0169693600997591	0.0159103002373352	1038	tags=21%, list=8%, signal=20%	ACTC1/CACNA2D1/CACNB2/CACNA1F/CACNA1D/TPM3/CACNG5/ATP1A2/CACNB4/RYR2/MYL2/MYH7/TNNC1
CYTOKINE CYTOKINE RECEPTOR INTERACTION	CYTOKINE CYTOKINE RECEPTOR INTERACTION	230	0.429973316238345	1.58230235178764	0.000210482503946347	0.0169693600997591	0.0159103002373352	1432	tags=26%, list=11%, signal=24%	CCL20/IL24/TNFRSF17/IL3RA/CCL21/CXCL13/IL26/IL1R2/TNFRSF4/FLT4/CD40LG/IFNB1/CXCL3/CD27/CXCL5/CCR3/IL12A/BMPR1B/OSM/TNFRSF10D/IL18R1/LTB/CCL19/IL21R/TNFSF14/IL13/CCR7/CCR6/CXCL1/LIF/CCL17/IL17B/CCL23/CCR8/CCL13/CXCR5/FLT3LG/TNFSF18/CXCR3/IL10/CCL5/CCL18/IL11/PRL/TNFRSF10C/EPO/CSF2/LTA/CCR2/CXCL9/CXCL10/IL15RA/IL9R/CCR10/IL12RB1/IL18RAP/OSMR/TNFSF8/CCL27/IL19
DILATED CARDIOMYOPATHY	DILATED CARDIOMYOPATHY	81	-0.534112806607974	-1.81251343821517	0.000278186231143591	0.0169693600997591	0.0159103002373352	1365	tags=27%, list=11%, signal=24%	ADRB1/SGCB/PRKX/ITGA7/ITGB3/ACTC1/DMD/CACNA2D1/CACNB2/CACNA1F/CACNA1D/DES/TPM3/ITGB8/TTN/CACNG5/CACNB4/RYR2/MYL2/SGCG/MYH7/TNNC1
HYPERTROPHIC CARDIOMYOPATHY HCM	HYPERTROPHIC CARDIOMYOPATHY HCM	75	-0.539921822540408	-1.81845446641406	0.000650875854128416	0.029777570326375	0.0279191484797189	1319	tags=29%, list=11%, signal=26%	SGCB/PRKAB2/IL6/ITGA7/ITGB3/ACTC1/DMD/CACNA2D1/CACNB2/CACNA1F/CACNA1D/DES/TPM3/ITGB8/TTN/CACNG5/CACNB4/RYR2/MYL2/SGCG/MYH7/TNNC1
PPAR SIGNALING PATHWAY	PPAR SIGNALING PATHWAY	61	-0.53066895703154	-1.74749436235853	0.00255234442466351	0.0805824466154871	0.075553286156597	1059	tags=25%, list=8%, signal=23%	ACSL1/FABP4/CYP27A1/SORBS1/ACADL/PPARG/FABP1/CD36/EHHADH/LPL/PDPK1/UCP1/PLIN1/ADIPOQ/PCK1
STARCH AND SUCROSE METABOLISM	STARCH AND SUCROSE METABOLISM	29	0.644916623054914	1.75090097377885	0.00331129078597147	0.0805824466154871	0.075553286156597	637	tags=24%, list=5%, signal=23%	UGT2B17/UGT2A3/TREH/HK3/UGT2B4/GYS2/GBA3
PARKINSONS DISEASE	PARKINSONS DISEASE	84	-0.477681096149634	-1.62623729663322	0.00369893457037958	0.0805824466154871	0.075553286156597	465	tags=4%, list=4%, signal=3%	SLC6A3/SLC25A31/GPR37
FATTY ACID METABOLISM	FATTY ACID METABOLISM	38	-0.586106293123103	-1.76020901728239	0.00388259130122496	0.0805824466154871	0.075553286156597	2771	tags=39%, list=22%, signal=31%	ACADSB/ALDH3A2/ECHS1/ACOX1/ACSL4/ACOX3/HADH/ECI1/ACSL1/ACADL/EHHADH/ADH6/ADH7/ADH1B/ADH1C
ASCORBATE AND ALDARATE METABOLISM	ASCORBATE AND ALDARATE METABOLISM	11	0.79307146532506	1.73992912449508	0.00396307114502395	0.0805824466154871	0.075553286156597	416	tags=27%, list=3%, signal=26%	UGT2B17/UGT2A3/UGT2B4
PENTOSE AND GLUCURONATE INTERCONVERSIONS	PENTOSE AND GLUCURONATE INTERCONVERSIONS	13	0.735076310474582	1.68339394962683	0.00939150000284729	0.171864450052105	0.161138368469906	416	tags=23%, list=3%, signal=22%	UGT2B17/UGT2A3/UGT2B4
ADIPOCYTOKINE SIGNALING PATHWAY	ADIPOCYTOKINE SIGNALING PATHWAY	61	-0.491958470368075	-1.62002062131484	0.0109810418897056	0.173859935896215	0.163009315795703	1431	tags=21%, list=11%, signal=19%	IRS2/SOCS3/MAPK8/PRKAB2/ACSL1/ACACB/NPY/CD36/AGRP/ADIPOQ/SLC2A4/LEP/PCK1
CHEMOKINE SIGNALING PATHWAY	CHEMOKINE SIGNALING PATHWAY	165	0.395823061396279	1.41123649283011	0.011400651534178	0.173859935896215	0.163009315795703	1575	tags=21%, list=13%, signal=19%	CCL20/CCL21/CXCL13/PRKACG/CXCL3/CXCL5/CCR3/PAK1/CCL19/CCR7/CCR6/CXCL1/CCL17/CCL23/CCR8/CCL13/CXCR5/CXCR3/CCL5/STAT2/CCL18/RAC2/CCR2/GRK6/CXCL9/CXCL10/CCR10/NFKBIB/PLCB3/PRKCB/CCL27/ADCY2/PRKCZ/CHUK/FGR
STEROID HORMONE BIOSYNTHESIS	STEROID HORMONE BIOSYNTHESIS	39	0.542660679976678	1.5835608903443	0.0165186682386743	0.228188030483112	0.213946787280686	1969	tags=28%, list=16%, signal=24%	UGT2B17/UGT2A3/CYP7A1/UGT2B4/AKR1C4/HSD11B2/SRD5A1/UGT2B15/HSD3B2/CYP11A1/HSD17B6
CALCIUM SIGNALING PATHWAY	CALCIUM SIGNALING PATHWAY	162	-0.364901439139279	-1.3583023996376	0.0181192931600876	0.228188030483112	0.213946787280686	1802	tags=27%, list=14%, signal=23%	TRHR/PDE1A/AGTR1/CCKAR/ADCY1/ERBB2/ERBB3/TACR1/ERBB4/PPP3R1/CALM1/ADRA1D/ADRB1/EGFR/PHKG1/CYSLTR2/MYLK3/PRKX/PTGER3/GNAL/PDE1B/CAMK2A/HTR2A/PHKG2/PDE1C/BDKRB2/GRIN2A/GRM5/DRD1/CHRM5/CACNA1F/CACNA1D/P2RX1/HTR2B/AVPR1B/P2RX7/ATP2A1/ATP2B3/RYR2/SLC25A31/TNNC2/RYR1/TNNC1
TIGHT JUNCTION	TIGHT JUNCTION	114	-0.391255052348836	-1.38195743875794	0.0187039369248452	0.228188030483112	0.213946787280686	2069	tags=23%, list=16%, signal=19%	MYL7/EPB41L1/YES1/PPP2R2B/CLDN5/PRKCI/PARD3/F11R/MYH7B/TJP2/ACTN2/CLDN1/MYH11/CLDN14/PRKCE/GNAI1/CLDN11/MYH2/OCLN/CLDN8/PARD6B/MYLPF/MYL2/MYH7/MYH4/MYH1
VIRAL MYOCARDITIS	VIRAL MYOCARDITIS	65	-0.447213139039	-1.48308556284096	0.0287968543037828	0.323096141390571	0.30293167124914	363	tags=12%, list=3%, signal=12%	DMD/MYH11/MYH2/SGCG/MYH7/HLA-DRB4/MYH4/MYH1
PORPHYRIN AND CHLOROPHYLL METABOLISM	PORPHYRIN AND CHLOROPHYLL METABOLISM	24	0.606008224002723	1.56638073222071	0.0300143956483044	0.323096141390571	0.30293167124914	416	tags=12%, list=3%, signal=12%	UGT2B17/UGT2A3/UGT2B4
TERPENOID BACKBONE BIOSYNTHESIS	TERPENOID BACKBONE BIOSYNTHESIS	14	0.660934948201744	1.54004008448996	0.031900220324957	0.324318906637063	0.304078123565379	2547	tags=57%, list=20%, signal=46%	MVD/PDSS1/HMGCS1/FDPS/IDI1/ACAT2/PDSS2/HMGCS2
DRUG METABOLISM OTHER ENZYMES	DRUG METABOLISM OTHER ENZYMES	32	0.528505348071811	1.47122955939726	0.0408519766594849	0.388091522688812	0.36387068276259	1304	tags=19%, list=10%, signal=17%	UGT2B17/UGT2A3/UGT2B4/NAT2/TYMP/UGT2B15
LONG TERM DEPRESSION	LONG TERM DEPRESSION	60	-0.461167667616427	-1.50530970372643	0.042414374064351	0.388091522688812	0.36387068276259	2016	tags=23%, list=16%, signal=20%	PRKG1/MAPK3/GNAO1/GNA13/PPP1R17/GRID2/IGF1R/GRM5/GNAI1/PLA2G2E/PLA2G2F/GRIA2/RYR1/GUCY1A2
