ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	230	-0.437123470758706	-1.69634510042024	9.12274487483784e-06	0.00166946231209533	0.00143083051194825	1383	tags=30%, list=11%, signal=27%	FLT3/IL10RA/OSM/IL6/IL1B/IL12RB1/IL15RA/TNFSF18/IL1RAP/IL18RAP/IL23A/TNFSF8/CXCR3/IL2RG/CCL25/CCL24/CXCR4/PRLR/CCR7/LIF/CCL21/IFNA4/CCL11/CCL2/XCL1/IL9/CCL18/INHBA/IL21R/IFNA10/CCL4/CNTF/CCL1/CLCF1/CXCL2/CXCR6/CXCR1/CXCL14/IL3/PRL/IL15/IL12RB2/CXCL9/CCL5/CCR8/CSF2/IL12A/CXCL6/XCR1/CD27/CRLF2/IL7/CSF3/CXCL1/IL10/CXCL10/CD40LG/CXCL8/CCL17/IL18/IFNB1/CXCL3/IL13/IL26/IL24/BMPR1B/CCL20/TNFRSF17/CXCL13
KEGG_CHEMOKINE_SIGNALING_PATHWAY	KEGG_CHEMOKINE_SIGNALING_PATHWAY	165	-0.430160648857798	-1.61115080105658	0.000335666346620675	0.0272231640447899	0.0233319036104325	1154	tags=21%, list=9%, signal=20%	CXCR3/PTK2B/CCL25/CCL24/CXCR4/GNG7/CCR7/CHUK/CCL21/CCL11/CCL2/XCL1/CCL18/PRKCZ/CCL4/CCL1/CXCL2/CXCR6/CXCR1/CXCL14/CXCL9/CCL5/CCR8/CXCL6/XCR1/NCF1/CXCL1/CXCL10/FGR/PAK1/CXCL8/CCL17/CXCL3/CCL20/CXCL13
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	24	-0.709644887247514	-1.88153853461641	0.000446281377783441	0.0272231640447899	0.0233319036104325	926	tags=21%, list=7%, signal=19%	HMOX1/UGT2B28/UGT2A3/UGT2B17/UGT2B4
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	11	-0.807403412328691	-1.75978565991695	0.00111430071057043	0.0484266625241125	0.0415045885308758	909	tags=36%, list=7%, signal=34%	UGT2B28/UGT2A3/UGT2B17/UGT2B4
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	54	-0.544626701303607	-1.72983283519473	0.00132313285585007	0.0484266625241125	0.0415045885308758	1301	tags=28%, list=10%, signal=25%	IL6/IL1B/MAPK13/CHUK/CCL11/CCL2/TAB1/CXCL2/CCL5/CASP5/CXCL1/CXCL8/BIRC3/NOD2/IL18
KEGG_LEISHMANIA_INFECTION	KEGG_LEISHMANIA_INFECTION	67	-0.500120969691075	-1.65043691812148	0.00327384697714596	0.0906075067035045	0.0776561317159745	2846	tags=39%, list=23%, signal=30%	STAT1/ITGB2/NCF2/FOS/HLA-DMB/ITGA4/HLA-DMA/FCGR3B/TLR2/HLA-DPB1/HLA-DOA/HLA-DRA/FCGR1A/PRKCB/CYBA/IL1B/PTPN6/MAPK13/TAB1/NOS2/IL12A/NCF1/IL10/HLA-DRB4/HLA-DQA1/HLA-DOB
KEGG_FOCAL_ADHESION	KEGG_FOCAL_ADHESION	187	0.371011553327277	1.43176645658678	0.00376643511359406	0.0906075067035045	0.0776561317159745	3190	tags=42%, list=25%, signal=32%	VAV2/LAMA3/EGFR/IGF1R/PRKCG/LAMB4/SRC/AKT2/FLNC/COL11A1/ITGA7/CAV3/TLN2/VEGFB/ITGB4/LAMA1/PDGFRB/LAMA5/ITGB3/LAMB2/ITGA3/SHC2/RELN/VWF/LAMA2/PDGFA/PIK3R2/PIK3R1/THBS1/MYLK/THBS3/ARHGAP35/MAPK8/GSK3B/PDGFB/COL5A1/MYL7/CHAD/TNXB/PARVA/LAMA4/PTK2/FLNB/ACTN3/COL4A6/ROCK2/LAMB1/COL6A2/PAK4/FYN/LAMB3/PDGFD/ERBB2/EGF/PIK3R3/VCL/COL6A1/MET/COL5A3/IGF1/ITGB5/PIK3CA/PIK3CG/MYL9/PIP5K1C/MAPK3/CAV2/ITGA10/TLN1/PDPK1/ACTN4/THBS4/ACTN1/DOCK1/ITGA8/SOS1/CAV1/ITGA5
KEGG_PRIMARY_IMMUNODEFICIENCY	KEGG_PRIMARY_IMMUNODEFICIENCY	33	-0.578542293907602	-1.65724276308714	0.00430391604557954	0.0906075067035045	0.0776561317159745	2385	tags=58%, list=19%, signal=47%	IL7R/BLNK/ADA/ICOS/TAP1/RFXANK/CD4/CD3E/PTPRC/IL2RG/ZAP70/CD8A/BTK/RAG2/CD19/CD3D/CD40LG/LCK/CD79A
KEGG_VIRAL_MYOCARDITIS	KEGG_VIRAL_MYOCARDITIS	65	-0.493405076440456	-1.61628328159598	0.00501148817130541	0.0906075067035045	0.0776561317159745	2190	tags=34%, list=17%, signal=28%	HLA-DMA/MYH1/HLA-DPB1/SGCG/HLA-DOA/CD86/CD55/RAC2/HLA-DRA/CD80/BID/MYH15/PRF1/MYH2/ITGAL/MYH7B/CXADR/CD40LG/HLA-DRB4/HLA-DQA1/HLA-DOB/SGCA
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	61	0.481874165909367	1.58026145342544	0.00503585257396229	0.0906075067035045	0.0776561317159745	2100	tags=31%, list=17%, signal=26%	LEP/PCK1/SLC2A4/ADIPOQ/TNF/AKT2/PRKAA1/CD36/ACACB/PPARGC1A/IRS1/RXRA/NPY/MAPK8/ACSL1/PRKAA2/IKBKB/PRKAB2/CPT1A
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	41	-0.550523165326589	-1.67332116497153	0.00544635286195928	0.0906075067035045	0.0776561317159745	2547	tags=56%, list=20%, signal=45%	TNFSF13/HLA-DMB/ITGA4/ICOS/HLA-DMA/CCL27/HLA-DPB1/CCR9/HLA-DOA/CD86/HLA-DRA/CD80/IL6/IL15RA/CCL25/CXCR4/IL15/IL10/CD40LG/HLA-DRB4/HLA-DQA1/HLA-DOB/TNFRSF17
KEGG_PYRIMIDINE_METABOLISM	KEGG_PYRIMIDINE_METABOLISM	76	-0.453281499117899	-1.51982596453149	0.0088402663818988	0.11841218428373	0.101486427715132	3274	tags=37%, list=26%, signal=27%	CANT1/DHODH/POLR3B/NME1/PRIM1/POLR3K/POLD4/DPYD/NME3/TYMS/CMPK1/POLR3G/ITPA/PNP/POLR2K/POLR3D/TK1/UPB1/ENTPD6/DTYMK/DPYS/DCK/POLE2/ENTPD3/TYMP/NUDT2/PRIM2/NT5M
KEGG_STARCH_AND_SUCROSE_METABOLISM	KEGG_STARCH_AND_SUCROSE_METABOLISM	29	-0.581761550014221	-1.63061057406037	0.00944880348649083	0.11841218428373	0.101486427715132	237	tags=28%, list=2%, signal=27%	GCK/UGT2B28/TREH/HK3/UGT2A3/SI/UGT2B17/UGT2B4
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	13	-0.738099929695309	-1.68715972137052	0.00950405964723054	0.11841218428373	0.101486427715132	116	tags=38%, list=1%, signal=38%	DCXR/UGT2B28/UGT2A3/UGT2B17/UGT2B4
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	KEGG_DRUG_METABOLISM_OTHER_ENZYMES	32	-0.564830092607109	-1.60582045116802	0.00970591674456802	0.11841218428373	0.101486427715132	2049	tags=44%, list=16%, signal=37%	HPRT1/DPYD/CYP3A43/ITPA/NAT2/TK1/UPB1/CYP3A5/DPYS/TYMP/UGT2B28/UGT2A3/UGT2B17/UGT2B4
KEGG_PYRUVATE_METABOLISM	KEGG_PYRUVATE_METABOLISM	33	0.532679893165958	1.56231924644797	0.014811240703674	0.169403565548271	0.145189135845225	857	tags=12%, list=7%, signal=11%	PCK1/ACACA/PDHA2/ACACB
KEGG_SULFUR_METABOLISM	KEGG_SULFUR_METABOLISM	10	-0.739422009716357	-1.56036150466678	0.0180304650023697	0.194092652672568	0.166349181755609	1414	tags=30%, list=11%, signal=27%	SULT2B1/CHST11/BPNT1
KEGG_PROSTATE_CANCER	KEGG_PROSTATE_CANCER	85	0.411643139962545	1.44906751613666	0.0218751504363201	0.215114023780036	0.184365772466065	3539	tags=39%, list=28%, signal=28%	INS/EGFR/IGF1R/SRD5A2/AKT2/INSRR/PDGFRB/E2F2/PDGFA/PIK3R2/PIK3R1/GSK3B/PDGFB/FGFR1/IKBKB/CREB3L1/TCF7L1/PDGFD/ERBB2/EGF/PIK3R3/IGF1/PIK3CA/PIK3CG/MAPK3/PDPK1/SOS1/TCF7L2/ARAF/FOXO1/PTEN/RELA/CREB3L2
KEGG_OXIDATIVE_PHOSPHORYLATION	KEGG_OXIDATIVE_PHOSPHORYLATION	82	-0.40722213505973	-1.39971371748169	0.0229167464627433	0.215114023780036	0.184365772466065	5234	tags=62%, list=42%, signal=36%	NDUFV2/NDUFA5/COX7C/COX4I1/ATP6V1E1/COX7A2L/NDUFAB1/NDUFB4/COX7A2/UQCRC1/COX5B/COX6A2/NDUFB2/COX6A1/NDUFS1/UQCRQ/NDUFS4/ATP6V0D1/NDUFS6/ATP6V0E1/NDUFA9/COX6C/NDUFA2/COX8A/ATP6V0E2/NDUFA6/ATP6V1H/ATP6V1C1/COX10/COX6B1/ATP6V1D/UQCR10/COX15/NDUFA4L2/NDUFS3/NDUFB1/NDUFA1/ATP6V0B/UQCR11/ATP4B/NDUFB3/NDUFS7/NDUFA7/COX5A/TCIRG1/COX7B/NDUFA3/ATP6V1G2/ATP12A/ATP4A/ATP6V0A4
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	49	-0.477079758953958	-1.48648684790945	0.0235097293748673	0.215114023780036	0.184365772466065	2486	tags=43%, list=20%, signal=35%	C1QB/HLA-DMB/HLA-DMA/FCGR3B/C7/HLA-DPB1/SNRPD1/C8B/HLA-DOA/CD86/SNRPD3/HLA-DRA/FCGR1A/CTSG/CD80/C8A/IL10/CD40LG/HLA-DRB4/HLA-DQA1/HLA-DOB
KEGG_INSULIN_SIGNALING_PATHWAY	KEGG_INSULIN_SIGNALING_PATHWAY	126	0.356772506739243	1.32529314890086	0.0276315364616976	0.238243852729172	0.204189439497536	3407	tags=42%, list=27%, signal=31%	INS/PCK1/ACACA/SLC2A4/LIPE/TSC2/AKT2/PRKAA1/PYGM/GYS2/ACACB/FASN/PPARGC1A/PHKG1/PYGB/PRKAR2B/IRS1/CALM1/SORBS1/SHC2/PIK3R2/PIK3R1/MAPK8/GSK3B/CBLB/EXOC7/PRKAA2/IKBKB/PRKAB2/HK2/PKLR/RPS6KB1/PYGL/INSR/IRS2/PIK3R3/GYS1/MKNK2/PIK3CA/PIK3CG/MAPK3/PTPRF/CBLC/PDPK1/PPP1R3C/SOS1/ARAF/TRIP10/CALML3/FOXO1/PRKACG/CALML5/PRKAG2
KEGG_ASTHMA	KEGG_ASTHMA	26	-0.562021810962622	-1.53058008046516	0.0289792297400519	0.238243852729172	0.204189439497536	2190	tags=58%, list=17%, signal=48%	HLA-DMA/HLA-DPB1/HLA-DOA/HLA-DRA/MS4A2/FCER1G/CCL11/IL9/IL3/IL10/CD40LG/HLA-DRB4/IL13/HLA-DQA1/HLA-DOB
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	39	0.490592451721036	1.47952646625627	0.0311420600677575	0.238243852729172	0.204189439497536	3088	tags=51%, list=25%, signal=39%	INS/HSD11B2/PRKCG/SCNN1B/ATP1B2/ATP1A2/FXYD2/IRS1/PIK3R2/PIK3R1/SLC9A3R2/INSR/IRS2/PIK3R3/IGF1/PIK3CA/PIK3CG/MAPK3/PDPK1/NEDD4L
