ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	54	0.567383958700383	1.77056303851108	0.000619510189245276	0.0652092277922518	0.0626398679396379	1550	tags=24%, list=12%, signal=21%	IL6/CXCL8/CXCL2/CXCL1/CCL2/CCL7/NLRP3/CCL11/CCL8/IL1B/XIAP/CCL13/TNFAIP3
KEGG_FOCAL_ADHESION	KEGG_FOCAL_ADHESION	187	0.405958702578895	1.52635329260071	0.0011282633945559	0.0652092277922518	0.0626398679396379	3337	tags=41%, list=27%, signal=30%	MYL2/MYLPF/ITGB7/LAMC2/CAV3/COL2A1/JUN/ACTN2/PIK3CG/KDR/SPP1/PAK3/THBS2/SHC3/ITGA8/PDPK1/IGF1/COL5A1/CTNNB1/IBSP/PDGFA/COL1A1/XIAP/COL5A3/RELN/TNC/IGF1R/COL5A2/COMP/COL11A1/FLT1/FLNC/THBS3/ACTN1/RASGRF1/COL4A4/PPP1R12A/CDC42/TNR/CCND1/LAMB1/THBS1/ACTN3/COL4A1/VCL/ITGA2/PAK1/MAPK8/ITGA5/COL3A1/PIK3CA/ACTN4/LAMA5/PDGFB/PDGFRB/COL6A2/MYLK/PIP5K1C/VEGFB/COL6A1/COL4A2/COL1A2/ITGB8/PRKCB/CAV2/COL6A3/ITGA1/MYL12A/RAP1A/GSK3B/PAK2/ROCK1/PGF/PTK2/PDGFD/BIRC2
KEGG_PPAR_SIGNALING_PATHWAY	KEGG_PPAR_SIGNALING_PATHWAY	61	-0.512874309633563	-1.69027635260121	0.00123922697594847	0.0652092277922518	0.0626398679396379	985	tags=20%, list=8%, signal=18%	ACOX2/GK2/FABP6/PCK1/FABP4/ADIPOQ/UCP1/ACADL/FABP2/APOA2/PLIN1/SLC27A6
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	230	0.388680525506555	1.48687217475473	0.00142533831239895	0.0652092277922518	0.0626398679396379	1299	tags=25%, list=10%, signal=23%	IL6/CXCL8/CXCL2/CXCL1/INHBA/PPBP/CLCF1/CXCR1/IL26/CXCL3/CCL18/IFNB1/CCL2/IL10/CXCL6/CCL20/CCL7/IL17A/TNFSF14/IL12B/PRLR/CRLF2/IFNW1/IL12RB2/CSF2/CSF3/IL25/KDR/IL5/IL1R2/CCL11/XCR1/CCL1/IFNG/IL24/IFNA10/CCL8/PF4V1/CCL16/OSM/CCL4/IL7/LIF/IL1RAP/LTA/CXCL5/CCL17/IL21R/BMP2/INHBB/IL15RA/CCR4/IL1R1/CD70/IL1B/PDGFA/TNFSF11/TNFSF9
KEGG_HISTIDINE_METABOLISM	KEGG_HISTIDINE_METABOLISM	23	-0.616142756089625	-1.66490307194103	0.0104004809434808	0.30940301026762	0.297211979952215	3769	tags=78%, list=30%, signal=55%	MAOB/HNMT/HAL/ASPA/ALDH1A3/ALDH2/ALDH3B1/TRMT11/ALDH9A1/LCMT1/ALDH3A2/HEMK1/ALDH3B2/ALDH7A1/FTCD/DDC/MAOA/HDC
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	62	0.483229379607718	1.54169666198396	0.0117697972663817	0.30940301026762	0.297211979952215	687	tags=10%, list=5%, signal=9%	ATP6V1B1/CXCL8/CXCL1/CXCR1/JUN/PTPRZ1
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	61	-0.449674806829537	-1.48199018369148	0.0118421472242337	0.30940301026762	0.297211979952215	610	tags=13%, list=5%, signal=13%	NPY/PCK1/PPARGC1A/ADIPOQ/AKT2/PRKAA2/SLC2A4/LEP
KEGG_PEROXISOME	KEGG_PEROXISOME	69	-0.431889404018222	-1.47103188169692	0.013525814656508	0.30940301026762	0.297211979952215	3271	tags=43%, list=26%, signal=32%	PEX11B/ACSL5/SOD1/EHHADH/CROT/ACOT8/CAT/HMGCL/MLYCD/PEX12/GNPAT/ACAA1/PEX14/PEX2/PAOX/PEX10/MPV17/ECH1/PXMP2/PEX19/HAO1/ACOX2/PEX11A/ECI2/DDO/BAAT/PECR/ABCD2/AMACR/EPHX2
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	14	-0.665818803928933	-1.60293867208077	0.0164244550042038	0.330469441484484	0.317448356214603	2119	tags=64%, list=17%, signal=53%	CYP7A1/CYP46A1/SLC27A5/CYP39A1/AKR1D1/ACOX2/BAAT/AKR1C4/AMACR
KEGG_SMALL_CELL_LUNG_CANCER	KEGG_SMALL_CELL_LUNG_CANCER	84	0.426083728047541	1.42563827317781	0.0187009548514582	0.330469441484484	0.317448356214603	2023	tags=21%, list=16%, signal=18%	CDK6/PTGS2/CDKN2B/CCNE1/E2F2/LAMC2/PIK3CG/MYC/NOS2/TRAF4/XIAP/COL4A4/TRAF3/CCND1/LAMB1/E2F3/COL4A1/ITGA2
KEGG_TYROSINE_METABOLISM	KEGG_TYROSINE_METABOLISM	37	-0.519976139475756	-1.55153572757415	0.0198642833679198	0.330469441484484	0.317448356214603	1781	tags=35%, list=14%, signal=30%	GSTZ1/GOT1/FAH/HEMK1/ALDH3B2/TYRP1/ADH1A/DDC/MAOA/ADH1B/HPD/TPO/ADH1C
KEGG_FATTY_ACID_METABOLISM	KEGG_FATTY_ACID_METABOLISM	38	-0.469409811278959	-1.40620825454733	0.0413634435792504	0.552493182703545	0.530723966128801	2254	tags=47%, list=18%, signal=39%	ALDH2/ACSL5/EHHADH/ALDH9A1/HADHA/ACAA1/ACADS/GCDH/ECI1/ACAT2/ALDH3A2/ALDH7A1/ADH1A/ACADSB/ECI2/ADH1B/ACADL/ADH1C
KEGG_REGULATION_OF_AUTOPHAGY	KEGG_REGULATION_OF_AUTOPHAGY	29	-0.51484843696363	-1.48419895613114	0.0424971330545664	0.552493182703545	0.530723966128801	185	tags=21%, list=1%, signal=20%	IFNA8/ULK1/IFNA4/PRKAA2/IFNA21/IFNA1
KEGG_VIRAL_MYOCARDITIS	KEGG_VIRAL_MYOCARDITIS	65	0.437151298045355	1.39828805739137	0.0466321243523316	0.552493182703545	0.530723966128801	501	tags=11%, list=4%, signal=10%	HLA-DRB4/MYH4/MYH2/MYH7B/MYH7/MYH3/MYH1
KEGG_P53_SIGNALING_PATHWAY	KEGG_P53_SIGNALING_PATHWAY	60	0.451409881120899	1.43020163512169	0.0481927710843374	0.552493182703545	0.530723966128801	1989	tags=27%, list=16%, signal=23%	CDK6/PMAIP1/CCNE1/GADD45B/TP53AIP1/TP73/IGF1/CHEK1/SERPINE1/ATR/BAX/CCNB2/MDM2/IGFBP3/CCND1/THBS1
KEGG_NITROGEN_METABOLISM	KEGG_NITROGEN_METABOLISM	22	0.56456951143455	1.46984375799492	0.0488245931283906	0.552493182703545	0.530723966128801	2038	tags=27%, list=16%, signal=23%	CA3/CA5A/CA6/GLS2/CA12/CA5B
