ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
CYTOKINE CYTOKINE RECEPTOR INTERACTION	CYTOKINE CYTOKINE RECEPTOR INTERACTION	230	0.467600582728587	1.85134601951813	2.29971336407696e-07	4.20847545626083e-05	3.75216390980977e-05	1809	tags=32%, list=14%, signal=28%	IL26/CSF3/CXCL8/CXCL6/IL24/CCL7/CCL22/IL2/IL10/IL21R/CXCL1/CXCR1/CCR3/TNFSF14/CD40LG/GH2/IFNA8/IFNB1/CSF3R/GH1/CCL27/CLCF1/IL17B/IFNA4/CCR4/TNFSF11/CCL1/EPO/IL1R2/PF4V1/IL3/IL3RA/CXCL3/IL19/LTA/CXCL2/IFNA16/CCL18/CCL4/IL13/FLT3/CCR1/VEGFC/IL6/CCL2/TNFSF4/TNFRSF4/CXCR5/NGFR/CXCL9/CCL5/TNFRSF10C/CTF1/IL12B/IFNW1/CCL17/CXCR3/OSM/CSF1R/IFNA7/CSF1/FASLG/PLEKHO2/IL4R/IL5/IL2RA/TGFB1/IL21/CCL8/TGFBR1/OSMR/CCL11/CSF2RB
LYSOSOME	LYSOSOME	105	0.518901727438258	1.8660908924304	2.39836351151131e-05	0.00219450261303284	0.00195655970675922	4680	tags=74%, list=37%, signal=47%	CTSW/LAMP3/AP4E1/AP1M2/CTSE/HYAL1/DNASE2B/ACP5/ATP6AP1/NPC1/CTSD/GAA/CTSS/ARSA/CLTCL1/CTSC/LAPTM5/ATP6V0A4/CTSA/TCIRG1/IGF2R/NAGA/AP1B1/ABCA2/ATP6V0D1/CTSL/PPT1/NAGPA/ATP6V0A2/AP3B2/ACP2/SMPD1/AP3B1/ARSB/CLN3/LIPA/GALC/CTSB/CTSK/LAPTM4B/M6PR/HEXB/AGA/SGSH/ATP6V0B/PLA2G15/ATP6V0A1/GGA3/ATP6V0C/TPP1/CLTC/GNS/IDUA/GM2A/LGMN/DNASE2/ASAH1/PSAP/NAGLU/SLC11A2/MAN2B1/CTSV/SLC17A5/NEU1/GLA/FUCA1/CD164/LAMP2/CTSZ/SCARB2/CD63/GUSB/MCOLN1/CTNS/CTSO/GGA1/CLN5/SLC11A1
CHEMOKINE SIGNALING PATHWAY	CHEMOKINE SIGNALING PATHWAY	165	0.449345491306437	1.71349530805447	6.34862733092756e-05	0.00387266267186581	0.00345276223260973	2150	tags=30%, list=17%, signal=25%	CXCL8/CXCL6/CCL7/CCL22/CXCL1/CXCR1/CCR3/CCL27/PIK3CG/CCR4/CCL1/PF4V1/VAV2/CXCL3/PRKCB/CXCL2/CCL18/CCL4/CCR1/CCL2/CXCR5/CXCL9/CCL5/ADCY1/PRKX/NFKBIB/GRK6/PLCB2/HCK/GNG13/AKT1/CCL17/CXCR3/GNG3/CSK/GNAI2/CCL8/LYN/CCL11/RAC2/ARRB1/VAV3/CCR2/CCL16/FGR/CXCL10/CCR5/GNG4/NCF1
NOD LIKE RECEPTOR SIGNALING PATHWAY	NOD LIKE RECEPTOR SIGNALING PATHWAY	54	0.572995035065373	1.85930434891792	0.000212990953129215	0.00920236381182444	0.00820458090786764	2949	tags=44%, list=24%, signal=34%	CXCL8/CCL7/CXCL1/MEFV/NOD2/CXCL2/MAPK13/IL6/CCL2/CCL5/NFKBIB/NLRP3/TNFAIP3/CCL8/CCL11/MAPK8/IL1B/IKBKG/PYCARD/MAPK3/NAIP/MAPK9/NFKB1/NLRP1
ALLOGRAFT REJECTION	ALLOGRAFT REJECTION	33	0.662522820903695	1.94122087244509	0.000251430705241105	0.00920236381182444	0.00820458090786764	2459	tags=45%, list=20%, signal=37%	IL2/IL10/HLA-DQA1/CD40LG/HLA-DRB4/GZMB/IL12B/FASLG/IL5/CD86/HLA-DMA/HLA-DPA1/HLA-DQB1/HLA-DOA/IL4
INTESTINAL IMMUNE NETWORK FOR IGA PRODUCTION	INTESTINAL IMMUNE NETWORK FOR IGA PRODUCTION	41	0.620925093542325	1.87803129417528	0.00037592116418126	0.0114655955075284	0.0102224176224729	2459	tags=44%, list=20%, signal=35%	IL2/IL10/HLA-DQA1/CD40LG/HLA-DRB4/CCL27/ITGA4/ITGB7/AICDA/IL6/IL5/TGFB1/CD86/HLA-DMA/HLA-DPA1/HLA-DQB1/HLA-DOA/IL4
FATTY ACID METABOLISM	FATTY ACID METABOLISM	38	-0.625718158181429	-1.88642984038645	0.00051034802326414	0.013341955465334	0.0118953298655552	1642	tags=34%, list=13%, signal=30%	ECI1/ADH5/HADH/ACADS/ALDH7A1/ADH1A/ECI2/ADH6/EHHADH/ADH1B/ACADSB/ADH1C/ACADL
TYROSINE METABOLISM	TYROSINE METABOLISM	37	-0.617690731215133	-1.85700624374176	0.000761749934086732	0.017425029742234	0.0155356894451899	2176	tags=51%, list=17%, signal=43%	FAH/ADH5/AOC2/ALDH3B2/AOX1/LCMT2/HGD/GSTZ1/TPO/ADH1A/TYRP1/AOC3/DDC/ADH6/TH/HPD/MAOA/ADH1B/ADH1C
TYPE I DIABETES MELLITUS	TYPE I DIABETES MELLITUS	39	0.57828283525984	1.73081387355919	0.00216231811843273	0.0439671350747987	0.0391999191060903	2281	tags=38%, list=18%, signal=32%	IL2/INS/HLA-DQA1/HLA-DRB4/GZMB/LTA/GAD1/PTPRN/IL12B/FASLG/CD86/HLA-DMA/HLA-DPA1/HLA-DQB1/HLA-DOA
ADIPOCYTOKINE SIGNALING PATHWAY	ADIPOCYTOKINE SIGNALING PATHWAY	61	-0.533503233665931	-1.70388314658482	0.00257158899079359	0.0470600785315228	0.0419575045866323	1222	tags=20%, list=10%, signal=18%	PPARGC1A/CD36/RXRG/IRS2/MTOR/NPY/ACACB/PRKAA2/AKT2/ADIPOQ/PCK1/LEP
